Date,Branch,Branc Description,Operational code,Reference,Concept,Amount ARS,Account
21/05/2020,0,Central House,2767,63709078,Credin Credit,"2.473,00",24842
21/05/2020,0,Central House,4805,74090008,Immediate Transfers,"23.895,00",24845
21/05/2020,0,Central House,4805,2956,Immediate Transfers,"2.299,00",24438
21/05/2020,0,Central House,4805,18909,Immediate Transfers,235,20103
21/05/2020,151,Santiago Del Estero,2030,1124,Effective Deposit Online,"8.900,00",24762
21/05/2020,0,Central House,4805,64844170,Immediate Transfers,"6.076,00",24647
21/05/2020,0,Central House,4805,877519,Immediate Transfers,"1.716,00",23583
21/05/2020,472,Rosario Sur,2030,4325,Effective Deposit Online,"7.500,00",24842
21/05/2020,0,Central House,4805,75506930,Immediate Transfers,450,23978
21/05/2020,69,Tucuman,1257,16031801,Credit Trans By Online Banking,"5.569,00",24842
21/05/2020,0,Central House,4805,7157,Immediate Transfers,"10.500,00",
21/05/2020,101,Canada De Gomez,2030,3735,Effective Deposit Online,"4.000,00",24845
21/05/2020,0,Central House,4805,69109453,Immediate Transfers,"5.723,00",24950
21/05/2020,449,Concepcion - Tucuman,2030,4351,Effective Deposit Online,"7.800,00",24236
21/05/2020,225,Tucuman - Sur,2030,5978,Effective Deposit Online,"28.100,00",24594
21/05/2020,0,Central House,2377,2409076,Payment Interbanking Export Payment,"30.000,00",24763
21/05/2020,0,Central House,4805,54445223,Immediate Transfers,"19.003,00",24374
21/05/2020,10,Berazategui,2030,6109,Effective Deposit Online,"11.620,00",
21/05/2020,268,Alta Gracia - Cordoba,2030,6375,Effective Deposit Online,"3.020,00",24927
21/05/2020,0,Central House,4805,56482754,Immediate Transfers,"6.000,00",24840
21/05/2020,0,Central House,4805,3476,Immediate Transfers,"6.000,00",24843
21/05/2020,701,San Martin Tucuman,2030,3717,Effective Deposit Online,"4.640,00",24777
21/05/2020,701,San Martin Tucuman,2030,3717,Effective Deposit Online,"$4.640,00",24089
22/05/2020,0,Central House,4805,18664,Immediate Transfers,"$20.814,00",24253
22/05/2020,385,El Dorado,2030,1926,Effective Deposit Online,"$6.600,00",24767
22/05/2020,449,Concepcion - Tucuman,2030,8386,Effective Deposit Online,"$8.500,00",24778
22/05/2020,567,Rivadavia-san Juan,2030,2759,Effective Deposit Online,"$45.000,00",24429
22/05/2020,567,Rivadavia-san Juan,2030,2761,Effective Deposit Online,"$8.000,00",24429
22/05/2020,264,Catamarca,38,27000008,Cash Deposit Suc 0264,"$7.150,00",24646
22/05/2020,0,Central House,4805,31103870,Immediate Transfers,"$1.342,00",24285
22/05/2020,102,Santa Rosa,2030,4417,Effective Deposit Online,"$25.700,00",24841
22/05/2020,151,Santiago Del Estero,2030,145,Effective Deposit Online,"$2.550,00",24779
22/05/2020,365,Tucuman-yerba Buena,2030,4643,Effective Deposit Online,"$18.500,00",24767
22/05/2020,0,Central House,4805,28657688,Immediate Transfers,"$3.501,00",24090
22/05/2020,0,Central House,4805,48240397,Immediate Transfers,"$45.000,00",24842
22/05/2020,159,Rio Cuarto,2030,1007,Effective Deposit Online,"$11.900,00",24532
22/05/2020,514,Palmas Del Pilar,2030,1215,Effective Deposit Online,"$28.000,00",24646
22/05/2020,0,Central House,4805,13237788,Immediate Transfers,"$5.000,00",24780
22/05/2020,151,Santiago Del Estero,2030,1290,Effective Deposit Online,"$5.700,00",24835
22/05/2020,230,Tucuman Norte,2030,5213,Effective Deposit Online,"$15.000,00",24842
22/05/2020,225,Tucuman - Sur,2030,6199,Effective Deposit Online,"$15.000,00",24438
22/05/2020,197,Angel Gallardo,2030,299,Effective Deposit Online,"$8.500,00",24918
22/05/2020,0,Central House,4805,889986,Immediate Transfers,"$1.982,00",24951
22/05/2020,272,La Rioja,2030,5277,Effective Deposit Online,"$10.400,00",24763
22/05/2020,0,Central House,4805,201,Immediate Transfers,"$6.071,00",24842
22/05/2020,0,Central House,4805,891083,Immediate Transfers,"$1.551,00",24773
22/05/2020,151,Santiago Del Estero,2030,4757,Effective Deposit Online,"$5.000,00",24541
23/05/2020,69,Tucuman,1430,10062298,Ctas Mobile Banking Transfer,"$17.182,00",
26/05/2020,705,Calle Avellaneda Sgo Del Estero,2030,3585,Effective Deposit Online,"$1.000,00",24541
26/05/2020,0,Central House,4805,18066390,Immediate Transfers,"$12.942,00",24777
26/05/2020,0,Central House,4805,892431,Immediate Transfers,"$3.900,00",24644
26/05/2020,0,Central House,4805,16002537,Immediate Transfers,"$16.000,00",
26/05/2020,164,Resistencia,2030,4488,Effective Deposit Online,"$12.000,00",24842
26/05/2020,0,Central House,4805,950,Immediate Transfers,"$15.185,00",24781
26/05/2020,0,Central House,4805,32810805,Immediate Transfers,"$16.481,00",24762
26/05/2020,0,Central House,4805,77702145,Immediate Transfers,"$1.320,00",24229
26/05/2020,0,Central House,4805,31840388,Immediate Transfers,"$9.228,00",24222
26/05/2020,225,Tucuman - Sur,2030,3265,Effective Deposit Online,"$2.500,00",24384
26/05/2020,69,Tucuman,1968,53399705,Payment To Suppliers,"$5.100,00",24841
26/05/2020,0,Central House,4805,6066,Immediate Transfers,"$650,00",23841
26/05/2020,507,Villa Krause-san Juan,2030,5932,Effective Deposit Online,"$15.000,00",24764
26/05/2020,0,Central House,4805,93473470,Immediate Transfers,"$3.587,00",24842
26/05/2020,0,Central House,4805,906357,Immediate Transfers,"$500,00",23264
26/05/2020,270,Villa Carlos Paz - Cordoba,2030,5788,Effective Deposit Online,"$3.600,00",24919
26/05/2020,151,Santiago Del Estero,2030,1364,Effective Deposit Online,"$1.400,00",20122
26/05/2020,154,Oran,2030,8508,Effective Deposit Online,"$2.100,00",24286
26/05/2020,0,Central House,4805,31348,Immediate Transfers,"$14.561,00",24088
26/05/2020,388,Garin,2030,3361,Effective Deposit Online,"$10.000,00",24841
26/05/2020,0,Central House,4805,2,Immediate Transfers,"$20.000,00",24643
26/05/2020,150,San Salvador De Jujuy,2030,4683,Effective Deposit Online,"$1.000,00",24777
26/05/2020,225,Tucuman - Sur,38,13000004,Cash Deposit Suc 0225,"$6.000,00",24773
26/05/2020,69,Tucuman,2029,3467,Effective Deposit Online,"$6.500,00",24428
26/05/2020,179,San Juan,2030,9438,Effective Deposit Online,"$1.800,00",24779
26/05/2020,0,Central House,4805,43213160,Immediate Transfers,"$2.406,00",24761
26/05/2020,0,Central House,4805,19527889,Immediate Transfers,"$7.299,00",24950
26/05/2020,69,Tucuman,1257,14042232,Credit Trans By Online Banking,"$4.478,00",24544
26/05/2020,441,Guaymallen Mendoza,2030,1492,Effective Deposit Online,"$4.000,00",24841
26/05/2020,0,Central House,4805,40817076,Immediate Transfers,"$1.500,00",21840
26/05/2020,0,Central House,4805,96526676,Immediate Transfers,"$32.519,00",24540
26/05/2020,0,Central House,4805,11406395,Immediate Transfers,"$6.000,00",24643
26/05/2020,205,Sucursal Nueva Cordoba,2030,4813,Effective Deposit Online,"$36.000,00",24773
26/05/2020,0,Central House,4805,16887276,Immediate Transfers,"$6.400,00",24401
26/05/2020,700,Guemes Salta,2030,5799,Effective Deposit Online,"$16.100,00",22570
26/05/2020,567,Rivadavia-san Juan,2030,3094,Effective Deposit Online,"$9.300,00",24763
26/05/2020,48,Moron,2030,3267,Effective Deposit Online,"$8.150,00",23774
27/05/2020,0,Central House,4805,72384790,Immediate Transfers,"$4.500,00",24838
27/05/2020,0,Central House,4805,4180,Immediate Transfers,"$1.600,00",24401
27/05/2020,365,Tucuman-yerba Buena,2030,5180,Effective Deposit Online,"$36.000,00",24780
27/05/2020,0,Central House,4805,96648099,Immediate Transfers,"$8.833,00",24593
27/05/2020,358,Gral. San Martin-mendoza,2030,7723,Effective Deposit Online,"$4.020,00",24763
27/05/2020,151,Santiago Del Estero,2030,2534,Effective Deposit Online,"$3.500,00",24540
27/05/2020,58,Beiro,2030,7371,Effective Deposit Online,"$18.100,00",24778
27/05/2020,58,Beiro,2030,7373,Effective Deposit Online,"$17.000,00",24778
27/05/2020,58,Beiro,2030,7376,Effective Deposit Online,"$15.700,00",24778
27/05/2020,58,Beiro,2030,7378,Effective Deposit Online,"$14.200,00",24778
27/05/2020,58,Beiro,2030,7380,Effective Deposit Online,"$16.400,00",24778
27/05/2020,58,Beiro,2030,7382,Effective Deposit Online,"$12.000,00",24778
27/05/2020,58,Beiro,2030,7384,Effective Deposit Online,"$31.300,00",24778
27/05/2020,58,Beiro,2030,7386,Effective Deposit Online,"$10,00",24778
27/05/2020,0,Central House,4805,6287,Immediate Transfers,"$10.000,00",24843
27/05/2020,373,Villa Del Parque,2030,6437,Effective Deposit Online,"$18.400,00",24962
27/05/2020,373,Villa Del Parque,2030,6439,Effective Deposit Online,"$500,00",24962
27/05/2020,0,Central House,4805,82730333,Immediate Transfers,"$3.124,00",24544
27/05/2020,69,Tucuman,1430,12034120,Ctas Mobile Banking Transfer,"$2.600,00",24950
27/05/2020,0,Central House,4805,904697,Immediate Transfers,"$217.400,00",24538
27/05/2020,69,Tucuman,1257,13282951,Credit Trans By Online Banking,"$12.100,00",24842
27/05/2020,84,San Isidro,2030,1767,Effective Deposit Online,"$40.900,00",24778
27/05/2020,230,Tucuman Norte,2030,4531,Effective Deposit Online,"$4.700,00",24088
27/05/2020,373,Villa Del Parque,2030,6437,Effective Deposit Online,"$18.400,00",24962
27/05/2020,373,Villa Del Parque,2030,6439,Effective Deposit Online,"$500,00",24962
27/05/2020,204,Belgrano R,2030,4844,Effective Deposit Online,"$10.200,00",24778
27/05/2020,0,Central House,4805,5348,Immediate Transfers,"$8.784,00",24646
27/05/2020,361,Mendoza-rodriguez Peña,2030,5836,Effective Deposit Online,"$33.100,00",24919
27/05/2020,361,Mendoza-rodriguez Peña,2030,5837,Effective Deposit Online,"$6.900,00",24919
27/05/2020,0,Central House,4805,883138,Immediate Transfers,"$6.090,00",24840
27/05/2020,0,Central House,4805,6498271,Immediate Transfers,"$15.204,00",24222
27/05/2020,264,Catamarca,2030,4369,Effective Deposit Online,"$1.000,00",24543
27/05/2020,707,Facultad San Juan,2030,4299,Effective Deposit Online,"$7.000,00",24762
27/05/2020,364,Santiago Del Estero-av. Belgrano,2030,3905,Effective Deposit Online,"$1.030,00",19723
27/05/2020,0,Central House,4805,29772788,Immediate Transfers,"$22.000,00",24646
27/05/2020,262,San Rafael - Mendoza,2030,4375,Effective Deposit Online,"$14.700,00",24919
27/05/2020,262,San Rafael - Mendoza,2030,4377,Effective Deposit Online,"$6.900,00",24919
27/05/2020,0,Central House,4805,4106308,Immediate Transfers,"$5.245,00",24762
27/05/2020,0,Central House,4805,57590623,Immediate Transfers,"$3.150,00",24834
27/05/2020,182,Caseros,2030,4132,Effective Deposit Online,"$15.000,00",24642
27/05/2020,0,Central House,4805,891521,Immediate Transfers,"$22.347,00",24761
27/05/2020,0,Central House,4805,45348323,Immediate Transfers,"$11.681,00",24767
28/05/2020,0,Central House,4805,9513,Immediate Transfers,"$6.579,00",24374
28/05/2020,0,Central House,4805,654339,Immediate Transfers,"$7.600,00",24543
28/05/2020,0,Central House,4805,5657,Immediate Transfers,"$5.000,00",24950
28/05/2020,365,Tucuman-yerba Buena,2030,5882,Effective Deposit Online,"$5.620,00",24401
28/05/2020,0,Central House,4805,3172,Immediate Transfers,"$13.027,00",24384
28/05/2020,0,Central House,4805,146,Immediate Transfers,"$6.600,00",24540
28/05/2020,388,Garin,2030,3864,Effective Deposit Online,"$7.000,00",24919
28/05/2020,701,San Martin Tucuman,2030,5034,Effective Deposit Online,"$8.400,00",24230
28/05/2020,705,Calle Avellaneda Sgo Del Estero,2030,1348,Effective Deposit Online,"$4.700,00",24777
28/05/2020,68,Mendoza,2030,6382,Effective Deposit Online,"$3.700,00",24780
28/05/2020,0,Central House,4805,94220089,Immediate Transfers,"$5.219,00",24538
28/05/2020,0,Central House,4805,43830471,Immediate Transfers,"$7.881,00",24287
28/05/2020,0,Central House,4805,17557085,Immediate Transfers,"$8.100,00",24820
28/05/2020,453,Santa Rosa De Calamuchita,2030,1927,Effective Deposit Online,"$5.000,00",24842
28/05/2020,0,Central House,4805,43754870,Immediate Transfers,"$3.440,00",30963
28/05/2020,0,Central House,4805,4268,Immediate Transfers,"$3.556,00",24843
28/05/2020,69,Tucuman,1430,18408894,Ctas Mobile Banking Transfer,"$6.412,00",24777
28/05/2020,757,Av. Coronel Diaz,2030,4849,Effective Deposit Online,"$3.100,00",24646
28/05/2020,0,Central House,4805,42313453,Immediate Transfers,"$14.300,00",24543
28/05/2020,165,Salta,2030,1964,Effective Deposit Online,"$21.800,00",
28/05/2020,165,Salta,2030,4447,Effective Deposit Online,"$20.000,00",
28/05/2020,165,Salta,2030,4449,Effective Deposit Online,"$6.000,00",
28/05/2020,0,Central House,4805,33048355,Immediate Transfers,"$16.000,00",24403
28/05/2020,0,Central House,4805,716118,Immediate Transfers,"$600,00",24286
28/05/2020,0,Central House,4805,35751,Immediate Transfers,"$15.374,00",22531
28/05/2020,0,Central House,2767,17463389,Credin Credit,"$17.400,00",24545
28/05/2020,151,Santiago Del Estero,2030,2828,Effective Deposit Online,"$6.500,00",24766
28/05/2020,0,Central House,4805,2965,Immediate Transfers,"$1.845,00",23630
29/05/2020,0,Central House,4805,66477676,Immediate Transfers,"$13.455,00",24643
29/05/2020,0,Central House,4805,72201797,Immediate Transfers,"$15.000,00",24962
29/05/2020,69,Tucuman,1968,53702225,Payment To Suppliers,"$3.677,77",24838
29/05/2020,225,Tucuman - Sur,2030,4071,Effective Deposit Online,"$3.200,00",24399
29/05/2020,0,Central House,4805,9523,Immediate Transfers,"$3.258,88",24778
29/05/2020,69,Tucuman,1257,9437384,Credit Trans By Online Banking,"$21.000,00",24773
29/05/2020,59,Avellaneda,2030,1788,Effective Deposit Online,"$8.000,00",24772
29/05/2020,233,Gonnet,2030,676,Effective Deposit Online,"$10.000,00",24919
29/05/2020,69,Tucuman,1257,10154716,Credit Trans By Online Banking,"$12.764,00",24968
29/05/2020,264,Catamarca,38,3000003,Cash Deposit Suc 0264,"$7.150,00",24646
29/05/2020,0,Central House,4805,20220636,Immediate Transfers,"$5.500,00",24646
29/05/2020,0,Central House,4805,917456,Immediate Transfers,"$28.100,00",24087
29/05/2020,0,Central House,4805,56468,Immediate Transfers,"$4.740,00",23807
29/05/2020,0,Central House,4805,66522434,Immediate Transfers,"$12.917,00",24146
29/05/2020,165,Salta,2030,2734,Effective Deposit Online,"$14.000,00",24777
29/05/2020,705,Calle Avellaneda Sgo Del Estero,2030,1612,Effective Deposit Online,"$6.800,00",24779
29/05/2020,245,Salta - Tres Cerritos,2030,3252,Effective Deposit Online,"$34.500,00",24767
29/05/2020,700,Guemes Salta,2030,2020,Effective Deposit Online,"$4.600,00",23978
29/05/2020,385,El Dorado,2030,2353,Effective Deposit Online,"$35.000,00",24643
29/05/2020,69,Tucuman,1430,12243627,Ctas Mobile Banking Transfer,"$11.345,00",24841
29/05/2020,23,Plaza Vte. Lopez,2030,6535,Effective Deposit Online,"$7.200,00",24779
29/05/2020,151,Santiago Del Estero,2030,1141,Effective Deposit Online,"$6.950,00",24773
29/05/2020,0,Central House,4805,7450,Immediate Transfers,"$5.630,00",24544
29/05/2020,0,Central House,2767,82899832,Credin Credit,"$15.000,00",24773
29/05/2020,530,Ranchos,2030,173,Effective Deposit Online,"$10.600,00",24777
29/05/2020,462,Tucuman Centro,2030,2318,Effective Deposit Online,"$8.400,00",24919
29/05/2020,0,Central House,4805,3780,Immediate Transfers,"$5.400,00",24414
29/05/2020,0,Central House,4805,4443,Immediate Transfers,"$5.054,00",24763
29/05/2020,0,Central House,4805,66534,Immediate Transfers,"$12.897,00",24593
29/05/2020,0,Central House,4805,9737,Immediate Transfers,"$4.500,00",24762
29/05/2020,0,Central House,4805,61,Immediate Transfers,"$19.034,58",24772
29/05/2020,69,Tucuman,1257,18255961,Credit Trans By Online Banking,"$4.400,00",24927
29/05/2020,69,Tucuman,1257,18376816,Credit Trans By Online Banking,"$5.340,00",24436
29/05/2020,151,Santiago Del Estero,2030,3090,Effective Deposit Online,"$7.000,00",24541
29/05/2020,365,Tucuman-yerba Buena,2030,6379,Effective Deposit Online,"$7.600,00",24594
29/05/2020,501,Cruce Varela,2030,4446,Effective Deposit Online,"$7.000,00",24538
29/05/2020,0,Central House,4805,6571,Immediate Transfers,"$9.833,00",23807
29/05/2020,264,Catamarca,2030,5661,Effective Deposit Online,"$17.000,00",24819
29/05/2020,0,Central House,4805,923986,Immediate Transfers,"$4.583,00",24593
29/05/2020,165,Salta,2030,2967,Effective Deposit Online,"$4.100,00",24544
29/05/2020,0,Central House,4805,922091,Immediate Transfers,"$4.934,00",24248
29/05/2020,0,Central House,4805,48660307,Immediate Transfers,"$7.407,00",24648
29/05/2020,0,Central House,4805,38050710,Immediate Transfers,"$11.113,00",23631
29/05/2020,704,Plaza Cabral Corrientes Capital,2030,1760,Effective Deposit Online,"$3.310,00",22799
29/05/2020,69,Tucuman,1257,14385790,Credit Trans By Online Banking,"$2.000,00",24538
31/05/2020,69,Tucuman,1257,20304994,Credit Trans By Online Banking,"$8.890,00",24642
1/06/2020,0,Central House,4805,826659,Immediate Transfers,"$470,00",24236
1/06/2020,0,Central House,4805,826325,Immediate Transfers,"$30,00",24236
1/06/2020,0,Central House,4805,840158,Immediate Transfers,"$497,00",24236
1/06/2020,150,San Salvador De Jujuy,2030,5217,Effective Deposit Online,"$1.500,00",24761
1/06/2020,0,Central House,4805,92872221,Immediate Transfers,"$15.000,00",24827
1/06/2020,0,Central House,4805,70988,Immediate Transfers,"$7.610,00",24544
1/06/2020,0,Central House,4805,7447,Immediate Transfers,"$20.224,00",24838
1/06/2020,0,Central House,4805,9880,Immediate Transfers,"$21.631,00",23679
1/06/2020,165,Salta,2030,1353,Effective Deposit Online,"$2.850,00",24767
1/06/2020,245,Salta - Tres Cerritos,2030,4761,Effective Deposit Online,"$9.600,00",24767
1/06/2020,0,Central House,4805,991,Immediate Transfers,"$232,00",24950
1/06/2020,0,Central House,4805,917903,Immediate Transfers,"$6.090,00",24099
1/06/2020,69,Tucuman,1968,53820165,Payment To Suppliers,"$5.448,00",22741
1/06/2020,282,San Luis,2030,4917,Effective Deposit Online,"$9.850,00",24842
1/06/2020,0,Central House,4805,7382,Immediate Transfers,"$625,00",22273
1/06/2020,0,Central House,3002,1002338,Transfer Payments To Third Parties,"$3.589,00",24835
1/06/2020,705,Calle Avellaneda Sgo Del Estero,2030,1891,Effective Deposit Online,"$14.500,00",24544
1/06/2020,700,Guemes Salta,2030,631,Effective Deposit Online,"$2.050,00",24648
1/06/2020,0,Central House,2767,63566939,Credin Credit,"$18.500,00",24835
1/06/2020,0,Central House,4805,5731,Immediate Transfers,"$2.000,00",24374
1/06/2020,69,Tucuman,1257,14025415,Credit Trans By Online Banking,"$5.000,00",24950
1/06/2020,449,Concepcion - Tucuman,2030,6422,Effective Deposit Online,"$3.700,00",24538
1/06/2020,364,Santiago Del Estero-av. Belgrano,1938,1977,Online Deposit Banelco O/Suc 0364,"$2.500,00",24766
1/06/2020,0,Central House,4805,988196,Immediate Transfers,"$3.500,00",24437
1/06/2020,0,Central House,4805,7111875,Immediate Transfers,"$11.804,00",24950
1/06/2020,0,Central House,4805,23367406,Immediate Transfers,"$5.000,00",24778
1/06/2020,0,Central House,4805,9880,Immediate Transfers,"$21.631,00",23679
1/06/2020,165,Salta,2030,1353,Effective Deposit Online,"$2.850,00",24767
1/06/2020,245,Salta - Tres Cerritos,2030,4761,Effective Deposit Online,"$9.600,00",24767
1/06/2020,725,Las Magnolias Pilar,2030,9597,Effective Deposit Online,"$19.700,00",24777
2/06/2020,179,San Juan,2030,1470,Effective Deposit Online,"$5.800,00",24438
2/06/2020,543,Villa Gobernador Galvez,2030,2823,Effective Deposit Online,"$20.000,00",24842
2/06/2020,150,San Salvador De Jujuy,2030,595,Effective Deposit Online,"$5.700,00",24777
2/06/2020,0,Central House,4805,92321591,Immediate Transfers,"$6.680,00",24840
2/06/2020,0,Central House,4805,86578699,Immediate Transfers,"$6,00",24840
2/06/2020,246,Jesus Maria - Cordoba,2030,6501,Effective Deposit Online,"$7.440,00",22930
2/06/2020,0,Central House,4805,3210,Immediate Transfers,"$17.894,00",24842
2/06/2020,0,Central House,4805,32589360,Immediate Transfers,"$1.000,00",24972
2/06/2020,0,Central House,4805,5565,Immediate Transfers,"$4.457,00",24777
2/06/2020,0,Central House,4805,8414,Immediate Transfers,"$1.560,00",20549
2/06/2020,0,Central House,4805,8491,Immediate Transfers,"$10.276,00",24767
2/06/2020,0,Central House,4805,767011,Immediate Transfers,"$607,00",24594
2/06/2020,0,Central House,4805,4227,Immediate Transfers,"$8.483,00",24222
2/06/2020,0,Central House,4805,18283690,Immediate Transfers,"$16.078,00",24845
2/06/2020,0,Central House,4805,3080,Immediate Transfers,"$1.704,00",24437
2/06/2020,69,Tucuman,1430,21105629,Ctas Mobile Banking Transfer,"$14.767,00",24842
2/06/2020,481,Isidro Casanova,2030,4879,Effective Deposit Online,"$1.800,00",23665
2/06/2020,0,Central House,4805,43475928,Immediate Transfers,"$20.000,00",24766
2/06/2020,0,Central House,4805,80751342,Immediate Transfers,"$6.200,00",24544
2/06/2020,374,Cba- Barrio Jardin,2030,7020,Effective Deposit Online,"$10.510,00",24843
2/06/2020,0,Central House,4805,3138,Immediate Transfers,"$300,00",24951
3/06/2020,221,Pilar,2030,9486,Effective Deposit Online,"$450,00",24777
3/06/2020,0,Central House,4805,952286,Immediate Transfers,"$6.902,00",24778
3/06/2020,361,Mendoza-rodriguez Peña,2030,8490,Effective Deposit Online,"$95.000,00",24538
3/06/2020,374,Cba- Barrio Jardin,2030,7459,Effective Deposit Online,"$10.000,00",24545
3/06/2020,0,Central House,4805,4382,Immediate Transfers,"$44.600,00",24951
3/06/2020,69,Tucuman,1257,11516164,Credit Trans By Online Banking,"$4.632,00",23257
3/06/2020,365,Tucuman-yerba Buena,2030,7165,Effective Deposit Online,"$11.800,00",24835
3/06/2020,0,Central House,4805,70945433,Immediate Transfers,"$4.404,00",24414
3/06/2020,365,Tucuman-yerba Buena,2030,7558,Effective Deposit Online,"$3.300,00",24644
3/06/2020,385,El Dorado,2030,935,Effective Deposit Online,"$910,00",24088
3/06/2020,0,Central House,4805,20239601,Immediate Transfers,"$931,00",24540
3/06/2020,0,Central House,4805,77496318,Immediate Transfers - Originating,"$4.000,00",24642
3/06/2020,0,Central House,4805,73206879,Immediate Transfers,"$6.200,00",24843
3/06/2020,0,Central House,4805,959597,Immediate Transfers,"$3.114,00",24647
3/06/2020,0,Central House,4805,7516,Immediate Transfers,"$1.500,00",24286
3/06/2020,374,Cba- Barrio Jardin,2030,7771,Effective Deposit Online,"$28.500,00",24835
3/06/2020,0,Central House,4805,2594,Immediate Transfers,"$16.000,00",24764
3/06/2020,0,Central House,4805,3816,Immediate Transfers,"$20.000,00",24762
