Fragrance Name, Cost,Paid in Full / Credit,20%,25%,30%,35%,40%,Competitiion (Liverpool), Price,Margin,Sales paid in Full,GMV,Profit
CK CONTRADICTION , $ 464.00 , Paid in Full, $ 556.80 , $ 580.00 , $ 603.20 , $ 626.40 , $ 649.60 ,, $ 900.00 ,94%,0, $ -   , $ -   
CK ESCAPE  100 ML, $ 505.00 , Paid in Full, $ 606.00 , $ 631.25 , $ 656.50 , $ 681.75 , $ 707.00 ,," $ 1,000.00 ",98%,0, $ -   , $ -   
CK ETERNITY 100 ML, $ 528.00 , Paid in Full, $ 633.60 , $ 660.00 , $ 686.40 , $ 712.80 , $ 739.20 ,," $ 1,000.00 ",89%,1," $ 1,000.00 ", $ 472.00 
CK ETERNITY MOMENTS 100 ML, $ 510.00 , Paid in Full, $ 612.00 , $ 637.50 , $ 663.00 , $ 688.50 , $ 714.00 ," $ 1,000.00 ", $ 750.00 ,47%,0, $ -   , $ -   
CK ETERNITY SUMMER 100 ML, $ 493.00 , Paid in Full, $ 591.60 , $ 616.25 , $ 640.90 , $ 665.55 , $ 690.20 ,, $ 750.00 ,52%,0, $ -   , $ -   
CK EUPHORIA BLOSSOM 100 ML, $ 620.00 , Paid in Full, $ 744.00 , $ 775.00 , $ 806.00 , $ 837.00 , $ 868.00 ,, $ 750.00 ,21%,2," $ 1,500.00 ", $ 260.00 
CK EUFHORIA ENDLESS 125 ML             , $ 608.00 , Paid in Full, $ 729.60 , $ 760.00 , $ 790.40 , $ 820.80 , $ 851.20 ,, $ 750.00 ,23%,0, $ -   , $ -   
CK EUPHORIA EDP 100 ML, $ 811.00 , Paid in Full, $ 973.20 ," $ 1,013.75 "," $ 1,054.30 "," $ 1,094.85 "," $ 1,135.40 "," $ 1,350.00 "," $ 1,150.00 ",42%,0, $ -   , $ -   
CK EUPHORIA FORBIDDEN 100 ML, $ 742.00 , Paid in Full, $ 890.40 , $ 927.50 , $ 964.60 ," $ 1,001.70 "," $ 1,038.80 "," $ 1,300.00 "," $ 1,150.00 ",55%,0, $ -   , $ -   
CK IN 2 U 150ML, $ 528.00 , Paid in Full, $ 633.60 , $ 660.00 , $ 686.40 , $ 712.80 , $ 739.20 ,, $ 850.00 ,61%,0, $ -   , $ -   
CK OBSESSION 100 ML, $ 539.00 , Paid in Full, $ 646.80 , $ 673.75 , $ 700.70 , $ 727.65 , $ 754.60 ,, $ 850.00 ,58%,1, $ 850.00 , $ 311.00 
CK ONE RED 100 ML, $ 423.00 , Paid in Full, $ 507.60 , $ 528.75 , $ 549.90 , $ 571.05 , $ 592.20 ,, $ 850.00 ,101%,0, $ -   , $ -   
CK TRUTH 100 ML, $ 487.00 , Paid in Full, $ 584.40 , $ 608.75 , $ 633.10 , $ 657.45 , $ 681.80 ,, $ 850.00 ,75%,0, $ -   , $ -   
COACH POPPY 100 ML EDP, $ 989.00 , Paid in Full," $ 1,186.80 "," $ 1,236.25 "," $ 1,285.70 "," $ 1,335.15 "," $ 1,384.60 "," $ 2,500.00 "," $ 1,450.00 ",47%,0, $ -   , $ -   
COACH POPPY FLOWER 100 ML EDP , $ 932.00 , Paid in Full," $ 1,118.40 "," $ 1,165.00 "," $ 1,211.60 "," $ 1,258.20 "," $ 1,304.80 "," $ 2,500.00 "," $ 1,450.00 ",56%,0, $ -   , $ -   
COOL WATER 100 ML, $ 499.00 , Paid in Full, $ 598.80 , $ 623.75 , $ 648.70 , $ 673.65 , $ 698.60 ,," $ 1,450.00 ",191%,0, $ -   , $ -   
COOL WATER 200 ML EDT, $ 729.00 , Paid in Full, $ 874.80 , $ 911.25 , $ 947.70 , $ 984.15 ," $ 1,020.60 ",," $ 1,450.00 ",99%,0, $ -   , $ -   
COUTURE JUICY COUTURE EDP 100 ML," $ 1,007.00 ", Paid in Full," $ 1,208.40 "," $ 1,258.75 "," $ 1,309.10 "," $ 1,359.45 "," $ 1,409.80 ",," $ 1,450.00 ",44%,0, $ -   , $ -   
COUTURE PEACE LOVE & JUICY EDP 100 ML, $ 790.00 , Paid in Full, $ 948.00 , $ 987.50 ," $ 1,027.00 "," $ 1,066.50 "," $ 1,106.00 ",," $ 1,450.00 ",84%,0, $ -   , $ -   
COUTURE VIVA LA JUICY 100ML EDP , $ 909.00 , Paid in Full," $ 1,090.80 "," $ 1,136.25 "," $ 1,181.70 "," $ 1,227.15 "," $ 1,272.60 ",," $ 1,450.00 ",60%,0, $ -   , $ -   
D&G DOLCE EDP 75 ML, $ 989.00 , Paid in Full," $ 1,186.80 "," $ 1,236.25 "," $ 1,285.70 "," $ 1,335.15 "," $ 1,384.60 ",," $ 1,450.00 ",47%,0, $ -   , $ -   
DOLCE & GABBANA FEMME   100 ML EDP    (caja tinto), $ 930.00 , Paid in Full," $ 1,116.00 "," $ 1,162.50 "," $ 1,209.00 "," $ 1,255.50 "," $ 1,302.00 ",," $ 1,450.00 ",56%,0, $ -   , $ -   
D&G LIGHT BLUE 100 ML, $ 956.00 , Paid in Full," $ 1,147.20 "," $ 1,195.00 "," $ 1,242.80 "," $ 1,290.60 "," $ 1,338.40 "," $ 2,400.00 "," $ 1,650.00 ",73%,0, $ -   , $ -   
DIOR ADDICT EAU FRAICHE 100 ML EDT                 ," $ 1,083.00 ", Paid in Full," $ 1,299.60 "," $ 1,353.75 "," $ 1,407.90 "," $ 1,462.05 "," $ 1,516.20 "," $ 2,400.00 "," $ 1,450.00 ",34%,0, $ -   , $ -   
DIOR ADDICT EDP," $ 1,338.00 ", Paid in Full," $ 1,605.60 "," $ 1,672.50 "," $ 1,739.40 "," $ 1,806.30 "," $ 1,873.20 "," $ 2,560.00 "," $ 1,700.00 ",27%,0, $ -   , $ -   
DIOR ADDICT EDT ," $ 1,083.00 ", Paid in Full," $ 1,299.60 "," $ 1,353.75 "," $ 1,407.90 "," $ 1,462.05 "," $ 1,516.20 "," $ 2,400.00 "," $ 1,700.00 ",57%,0, $ -   , $ -   
DIOR DOLCE VITA EDT 100 ML," $ 1,185.00 ", Paid in Full," $ 1,422.00 "," $ 1,481.25 "," $ 1,540.50 "," $ 1,599.75 "," $ 1,659.00 "," $ 2,400.00 "," $ 1,700.00 ",43%,0, $ -   , $ -   
DIOR DUNE EDT 100 ML," $ 1,083.00 ", Paid in Full," $ 1,299.60 "," $ 1,353.75 "," $ 1,407.90 "," $ 1,462.05 "," $ 1,516.20 "," $ 2,400.00 "," $ 1,700.00 ",57%,0, $ -   , $ -   
DIOR HYPNOTIC POISON EDT 100 ML," $ 1,083.00 ", Paid in Full," $ 1,299.60 "," $ 1,353.75 "," $ 1,407.90 "," $ 1,462.05 "," $ 1,516.20 "," $ 2,400.00 "," $ 1,700.00 ",57%,0, $ -   , $ -   
DIOR JADORE 100 ML EDP    ," $ 1,338.00 ", Paid in Full," $ 1,605.60 "," $ 1,672.50 "," $ 1,739.40 "," $ 1,806.30 "," $ 1,873.20 "," $ 2,560.00 "," $ 1,800.00 ",35%,0, $ -   , $ -   
DIOR JADORE 150 ML EDP                               ," $ 1,669.00 ", Paid in Full," $ 2,002.80 "," $ 2,086.25 "," $ 2,169.70 "," $ 2,253.15 "," $ 2,336.60 "," $ 3,400.00 "," $ 2,200.00 ",32%,0, $ -   , $ -   
DIOR JADORE VOILE PARFUM 100 ML EDT                  NEW," $ 1,185.00 ", Paid in Full," $ 1,422.00 "," $ 1,481.25 "," $ 1,540.50 "," $ 1,599.75 "," $ 1,659.00 "," $ 2,400.00 "," $ 1,650.00 ",39%,0, $ -   , $ -   
DIOR MISS DIOR  EDP 100 ML  ," $ 1,338.00 ", Paid in Full," $ 1,605.60 "," $ 1,672.50 "," $ 1,739.40 "," $ 1,806.30 "," $ 1,873.20 "," $ 2,560.00 "," $ 1,700.00 ",27%,0, $ -   , $ -   
DIOR MISS DIOR BLOOMING BOUQUET 100 ML EDT," $ 1,083.00 ", Paid in Full," $ 1,299.60 "," $ 1,353.75 "," $ 1,407.90 "," $ 1,462.05 "," $ 1,516.20 "," $ 2,400.00 "," $ 1,650.00 ",52%,0, $ -   , $ -   
DIOR MISS DIOR EAU FRAICHE                                ," $ 1,083.00 ", Paid in Full," $ 1,299.60 "," $ 1,353.75 "," $ 1,407.90 "," $ 1,462.05 "," $ 1,516.20 "," $ 2,400.00 "," $ 1,650.00 ",52%,0, $ -   , $ -   
DIOR POISON EDT," $ 1,083.00 ", Paid in Full," $ 1,299.60 "," $ 1,353.75 "," $ 1,407.90 "," $ 1,462.05 "," $ 1,516.20 "," $ 2,400.00 "," $ 1,650.00 ",52%,0, $ -   , $ -   
GIV AMARIGE EDT 100 ML, $ 905.00 , Paid in Full," $ 1,086.00 "," $ 1,131.25 "," $ 1,176.50 "," $ 1,221.75 "," $ 1,267.00 "," $ 2,400.00 "," $ 1,650.00 ",82%,0, $ -   , $ -   
GIV ANGEL OU DEMON EDP  100 ML , $ 930.00 , Paid in Full," $ 1,116.00 "," $ 1,162.50 "," $ 1,209.00 "," $ 1,255.50 "," $ 1,302.00 "," $ 2,400.00 "," $ 1,650.00 ",77%,0, $ -   , $ -   
GIV ANGEL OU DEMON ELIXIR EDP 100 ML            , $ 955.00 , Paid in Full," $ 1,146.00 "," $ 1,193.75 "," $ 1,241.50 "," $ 1,289.25 "," $ 1,337.00 "," $ 2,400.00 "," $ 1,650.00 ",73%,0, $ -   , $ -   
GIV DAHLIA DIVIN AGUA DE PERFUME 75ML                                 , $ 956.00 , Paid in Full," $ 1,147.20 "," $ 1,195.00 "," $ 1,242.80 "," $ 1,290.60 "," $ 1,338.40 "," $ 2,400.00 "," $ 1,650.00 ",73%,0, $ -   , $ -   
GIV ORGANZA EDP 100 ML, $ 905.00 , Paid in Full," $ 1,086.00 "," $ 1,131.25 "," $ 1,176.50 "," $ 1,221.75 "," $ 1,267.00 "," $ 2,400.00 "," $ 1,650.00 ",82%,0, $ -   , $ -   
GIV PLAY  FEMME  100 ML EDP, $ 803.00 , Paid in Full, $ 963.60 ," $ 1,003.75 "," $ 1,043.90 "," $ 1,084.05 "," $ 1,124.20 "," $ 1,500.00 "," $ 1,200.00 ",49%,1," $ 1,200.00 ", $ 397.00 
GIV PLAY FEMME INTENSO 75 ML EDP, $ 803.00 , Paid in Full, $ 963.60 ," $ 1,003.75 "," $ 1,043.90 "," $ 1,084.05 "," $ 1,124.20 "," $ 1,500.00 "," $ 1,200.00 ",49%,0, $ -   , $ -   
GIV VERY IRRESISTIBLE  EDP 75 ML, $ 790.00 , Paid in Full, $ 948.00 , $ 987.50 ," $ 1,027.00 "," $ 1,066.50 "," $ 1,106.00 "," $ 1,500.00 "," $ 1,200.00 ",52%,0, $ -   , $ -   
GIV VERY IRRESISTIBLE            EDT 75 ML, $ 778.00 , Paid in Full, $ 933.60 , $ 972.50 ," $ 1,011.40 "," $ 1,050.30 "," $ 1,089.20 "," $ 1,500.00 "," $ 1,200.00 ",54%,0, $ -   , $ -   
GUCCI GUILTY 75 ML EDT SPRAY, $ 994.00 , Paid in Full," $ 1,192.80 "," $ 1,242.50 "," $ 1,292.20 "," $ 1,341.90 "," $ 1,391.60 "," $ 1,500.00 "," $ 1,250.00 ",26%,0, $ -   , $ -   
GUCCI GUILTY BLACK , $ 966.00 , Paid in Full," $ 1,159.20 "," $ 1,207.50 "," $ 1,255.80 "," $ 1,304.10 "," $ 1,352.40 "," $ 1,850.00 "," $ 1,350.00 ",40%,2," $ 2,700.00 ", $ 768.00 
GUCCI GUILTY INTENSE 75 ML EDP SPRAY," $ 1,045.00 ", Paid in Full," $ 1,254.00 "," $ 1,306.25 "," $ 1,358.50 "," $ 1,410.75 "," $ 1,463.00 "," $ 1,850.00 "," $ 1,350.00 ",29%,0, $ -   , $ -   
GUCCI PREMIERE 75ML EDT SPARY, $ 943.00 , Paid in Full," $ 1,131.60 "," $ 1,178.75 "," $ 1,225.90 "," $ 1,273.05 "," $ 1,320.20 "," $ 1,850.00 "," $ 1,350.00 ",43%,0, $ -   , $ -   
GUERLAIN CHAPMS ELYSEES 75 ML EDP, $ 930.00 , Paid in Full," $ 1,116.00 "," $ 1,162.50 "," $ 1,209.00 "," $ 1,255.50 "," $ 1,302.00 "," $ 1,850.00 "," $ 1,350.00 ",45%,0, $ -   , $ -   
GUERLAIN IDYLLE 100 ML EDP SPRAY," $ 1,096.00 ", Paid in Full," $ 1,315.20 "," $ 1,370.00 "," $ 1,424.80 "," $ 1,479.60 "," $ 1,534.40 "," $ 1,850.00 "," $ 1,350.00 ",23%,0, $ -   , $ -   
GUERLAIN INSOLENCE 100 ML EDP SPRAY," $ 1,096.00 ", Paid in Full," $ 1,315.20 "," $ 1,370.00 "," $ 1,424.80 "," $ 1,479.60 "," $ 1,534.40 "," $ 1,850.00 "," $ 1,350.00 ",23%,0, $ -   , $ -   
GUERLAIN INSOLENCE 100 ML EDT SPRAY , $ 892.00 , Paid in Full," $ 1,070.40 "," $ 1,115.00 "," $ 1,159.60 "," $ 1,204.20 "," $ 1,248.80 "," $ 1,850.00 "," $ 1,350.00 ",51%,0, $ -   , $ -   
GUERLAIN L INSTANT EDP 80 ML, $ 943.00 , Paid in Full," $ 1,131.60 "," $ 1,178.75 "," $ 1,225.90 "," $ 1,273.05 "," $ 1,320.20 "," $ 1,850.00 "," $ 1,350.00 ",43%,0, $ -   , $ -   
GUERLAIN MY INSOLENCE 100 ML EDT SPRAY, $ 803.00 , Paid in Full, $ 963.60 ," $ 1,003.75 "," $ 1,043.90 "," $ 1,084.05 "," $ 1,124.20 "," $ 1,850.00 "," $ 1,350.00 ",68%,0, $ -   , $ -   
GUERLAIN PETITE ROBE NOIRE 100 ML EDP                        ," $ 1,045.00 ", Paid in Full," $ 1,254.00 "," $ 1,306.25 "," $ 1,358.50 "," $ 1,410.75 "," $ 1,463.00 "," $ 1,850.00 "," $ 1,350.00 ",29%,0, $ -   , $ -   
GUERLAIN PETITE ROBE NOIRE 100 ML EDT     , $ 854.00 , Paid in Full," $ 1,024.80 "," $ 1,067.50 "," $ 1,110.20 "," $ 1,152.90 "," $ 1,195.60 "," $ 1,850.00 "," $ 1,350.00 ",58%,0, $ -   , $ -   
LA PETITE ROBE PETAL 100 ML EAU FRAICHE     , $ 822.00 , Paid in Full, $ 986.40 ," $ 1,027.50 "," $ 1,068.60 "," $ 1,109.70 "," $ 1,150.80 "," $ 1,850.00 "," $ 1,350.00 ",64%,0, $ -   , $ -   
GUERLAIN LE PETIT ROBE NOIR COUTURE 100 ML EDP SPRAY                                   ," $ 1,045.00 ", Paid in Full," $ 1,254.00 "," $ 1,306.25 "," $ 1,358.50 "," $ 1,410.75 "," $ 1,463.00 "," $ 1,850.00 "," $ 1,350.00 ",29%,0, $ -   , $ -   
GUERLAIN SAMSARA 100 ML EDP SPRAY ," $ 1,096.00 ", Paid in Full," $ 1,315.20 "," $ 1,370.00 "," $ 1,424.80 "," $ 1,479.60 "," $ 1,534.40 "," $ 1,850.00 "," $ 1,350.00 ",23%,0, $ -   , $ -   
GUERLAIN SHALIMAR 90 ML EDP SPRAY                ," $ 1,032.00 ", Paid in Full," $ 1,238.40 "," $ 1,290.00 "," $ 1,341.60 "," $ 1,393.20 "," $ 1,444.80 "," $ 1,850.00 "," $ 1,350.00 ",31%,0, $ -   , $ -   
GUERLAIN SHALIMAR 90 ML EDT SPRAY , $ 867.00 , Paid in Full," $ 1,040.40 "," $ 1,083.75 "," $ 1,127.10 "," $ 1,170.45 "," $ 1,213.80 "," $ 1,850.00 "," $ 1,350.00 ",56%,0, $ -   , $ -   
GUESS 75  ML, $ 348.00 , Paid in Full, $ 417.60 , $ 435.00 , $ 452.40 , $ 469.80 , $ 487.20 ,, $ 750.00 ,116%,1, $ 750.00 , $ 402.00 
GUESS DARE  100 ML                                   , $ 366.00 , Paid in Full, $ 439.20 , $ 457.50 , $ 475.80 , $ 494.10 , $ 512.40 ,, $ 750.00 ,105%,0, $ -   , $ -   
GUESS GIRL BELLE 100 ML, $ 355.00 , Paid in Full, $ 426.00 , $ 443.75 , $ 461.50 , $ 479.25 , $ 497.00 ,, $ 750.00 ,111%,0, $ -   , $ -   
GUESS GIRL EDT 100 ML                                           , $ 378.00 , Paid in Full, $ 453.60 , $ 472.50 , $ 491.40 , $ 510.30 , $ 529.20 ,, $ 750.00 ,98%,2," $ 1,500.00 ", $ 744.00 
GUESS SEDUCTIVE                 , $ 360.00 , Paid in Full, $ 432.00 , $ 450.00 , $ 468.00 , $ 486.00 , $ 504.00 ,, $ 500.00 ,39%,0, $ -   , $ -   
HALLOWEEN+CREMA 150 ML +MINIATURA+ GEL DE BAÑO 150 ML, $ 631.00 , Paid in Full, $ 757.20 , $ 788.75 , $ 820.30 , $ 851.85 , $ 883.40 ,, $ 900.00 ,43%,0, $ -   , $ -   
HALSTON COLOGNE 100 ML, $ 300.00 , Paid in Full, $ 360.00 , $ 375.00 , $ 390.00 , $ 405.00 , $ 420.00 ,, $ 500.00 ,67%,0, $ -   , $ -   
HAPPY 100 ML, $ 778.00 , Paid in Full, $ 933.60 , $ 972.50 ," $ 1,011.40 "," $ 1,050.30 "," $ 1,089.20 ",," $ 1,250.00 ",61%,0, $ -   , $ -   
HAPPY HEART 100 ML, $ 778.00 , Paid in Full, $ 933.60 , $ 972.50 ," $ 1,011.40 "," $ 1,050.30 "," $ 1,089.20 ",," $ 1,100.00 ",41%,0, $ -   , $ -   
HERMES EAU DES MERVEILLES 100 ML EDT SPRAY ," $ 1,351.00 ", Paid in Full," $ 1,621.20 "," $ 1,688.75 "," $ 1,756.30 "," $ 1,823.85 "," $ 1,891.40 "," $ 2,650.00 "," $ 1,650.00 ",22%,0, $ -   , $ -   
HERMES UN JARDIN EN MEDITERRANEE 100 ML EDT SPRAY ," $ 1,249.00 ", Paid in Full," $ 1,498.80 "," $ 1,561.25 "," $ 1,623.70 "," $ 1,686.15 "," $ 1,748.60 "," $ 2,400.00 "," $ 1,650.00 ",32%,0, $ -   , $ -   
HERMES UN JARDIN SUR LE NIL 100 ML EDT SPRAY ," $ 1,249.00 ", Paid in Full," $ 1,498.80 "," $ 1,561.25 "," $ 1,623.70 "," $ 1,686.15 "," $ 1,748.60 "," $ 2,400.00 "," $ 1,650.00 ",32%,0, $ -   , $ -   
HUGO BOSS FEMME  EDP 75 ML (ROSA), $ 753.00 , Paid in Full, $ 903.60 , $ 941.25 , $ 978.90 ," $ 1,016.55 "," $ 1,054.20 "," $ 1,200.00 ", $ 950.00 ,26%,0, $ -   , $ -   
HUGO BOSS JOUR EDP 75 ML      , $ 678.00 , Paid in Full, $ 813.60 , $ 847.50 , $ 881.40 , $ 915.30 , $ 949.20 ," $ 1,350.00 ", $ 950.00 ,40%,0, $ -   , $ -   
BOSS JOUR LUMINEUSE EDP 75 ML, $ 867.00 , Paid in Full," $ 1,040.40 "," $ 1,083.75 "," $ 1,127.10 "," $ 1,170.45 "," $ 1,213.80 "," $ 1,200.00 "," $ 1,050.00 ",21%,0, $ -   , $ -   
BOSS MA VIE 75 ML EDP                                                                         , $ 804.00 , Paid in Full, $ 964.80 ," $ 1,005.00 "," $ 1,045.20 "," $ 1,085.40 "," $ 1,125.60 "," $ 1,200.00 "," $ 1,150.00 ",43%,0, $ -   , $ -   
HUGO BOSS NUIT 75 ML EDP, $ 742.00 , Paid in Full, $ 890.40 , $ 927.50 , $ 964.60 ," $ 1,001.70 "," $ 1,038.80 "," $ 1,400.00 "," $ 1,150.00 ",55%,0, $ -   , $ -   
HUGO BOSS ORANGE  SUNSET 75 ML EDT SPRAY, $ 660.00 , Paid in Full, $ 792.00 , $ 825.00 , $ 858.00 , $ 891.00 , $ 924.00 ," $ 1,400.00 "," $ 1,150.00 ",74%,0, $ -   , $ -   
HUGO BOSS WOMAN EDP (BLANCO), $ 701.00 , Paid in Full, $ 841.20 , $ 876.25 , $ 911.30 , $ 946.35 , $ 981.40 ," $ 1,400.00 "," $ 1,150.00 ",64%,0, $ -   , $ -   
HUGO ROJO 75 ML, $ 718.00 , Paid in Full, $ 861.60 , $ 897.50 , $ 933.40 , $ 969.30 ," $ 1,005.20 "," $ 1,400.00 "," $ 1,150.00 ",60%,0, $ -   , $ -   
HUGO X X 100  ML, $ 608.00 , Paid in Full, $ 729.60 , $ 760.00 , $ 790.40 , $ 820.80 , $ 851.20 ,, $ 850.00 ,40%,0, $ -   , $ -   
ISSEY MIYAKE 100 ML EDT , $ 829.00 , Paid in Full, $ 994.80 ," $ 1,036.25 "," $ 1,077.70 "," $ 1,119.15 "," $ 1,160.60 "," $ 1,200.00 "," $ 1,150.00 ",39%,0, $ -   , $ -   
LACOSTE LOVE OF PINK 100 ML, $ 729.00 , Paid in Full, $ 874.80 , $ 911.25 , $ 947.70 , $ 984.15 ," $ 1,020.60 "," $ 1,350.00 "," $ 1,150.00 ",58%,0, $ -   , $ -   
LACOSTE SENSUALLE              , $ 753.00 , Paid in Full, $ 903.60 , $ 941.25 , $ 978.90 ," $ 1,016.55 "," $ 1,054.20 "," $ 1,350.00 "," $ 1,150.00 ",53%,0, $ -   , $ -   
LACOSTE TOUCH OF PINK  90 ML EDP SPRAY, $ 724.00 , Paid in Full, $ 868.80 , $ 905.00 , $ 941.20 , $ 977.40 ," $ 1,013.60 "," $ 1,350.00 "," $ 1,150.00 ",59%,0, $ -   , $ -   
LANCOME HYPNOSE  EDP," $ 1,045.00 ", Paid in Full," $ 1,254.00 "," $ 1,306.25 "," $ 1,358.50 "," $ 1,410.75 "," $ 1,463.00 "," $ 1,700.00 "," $ 1,450.00 ",39%,0, $ -   , $ -   
LANCOME HYPNOSE SENSES EDP," $ 1,045.00 ", Paid in Full," $ 1,254.00 "," $ 1,306.25 "," $ 1,358.50 "," $ 1,410.75 "," $ 1,463.00 "," $ 1,700.00 "," $ 1,450.00 ",39%,0, $ -   , $ -   
LANCOME LA VIE EST BELLE EDP 100  ML   ," $ 1,427.00 ", Paid in Full," $ 1,712.40 "," $ 1,783.75 "," $ 1,855.10 "," $ 1,926.45 "," $ 1,997.80 "," $ 1,700.00 "," $ 1,450.00 ",2%,0, $ -   , $ -   
LANCOME MAGIE NOIRE  75 ML," $ 1,007.00 ", Paid in Full," $ 1,208.40 "," $ 1,258.75 "," $ 1,309.10 "," $ 1,359.45 "," $ 1,409.80 "," $ 1,700.00 "," $ 1,450.00 ",44%,0, $ -   , $ -   
LANCOME MIRACLE EDP," $ 1,083.00 ", Paid in Full," $ 1,299.60 "," $ 1,353.75 "," $ 1,407.90 "," $ 1,462.05 "," $ 1,516.20 "," $ 1,700.00 "," $ 1,450.00 ",34%,0, $ -   , $ -   
LANCOME O BY LANCOME  125 ML EDT SPRAY , $ 918.00 , Paid in Full," $ 1,101.60 "," $ 1,147.50 "," $ 1,193.40 "," $ 1,239.30 "," $ 1,285.20 "," $ 1,700.00 "," $ 1,450.00 ",58%,0, $ -   , $ -   
LANCOME OUI LANCOME, $ 841.00 , Paid in Full," $ 1,009.20 "," $ 1,051.25 "," $ 1,093.30 "," $ 1,135.35 "," $ 1,177.40 "," $ 1,700.00 "," $ 1,450.00 ",72%,0, $ -   , $ -   
LANCOME TRESOR EDP SPR 100 ML," $ 1,185.00 ", Paid in Full," $ 1,422.00 "," $ 1,481.25 "," $ 1,540.50 "," $ 1,599.75 "," $ 1,659.00 "," $ 1,800.00 "," $ 1,450.00 ",22%,0, $ -   , $ -   
LANCOME TRESOR IN LOVE EDP       , $ 956.00 , Paid in Full," $ 1,147.20 "," $ 1,195.00 "," $ 1,242.80 "," $ 1,290.60 "," $ 1,338.40 "," $ 1,700.00 "," $ 1,450.00 ",52%,0, $ -   , $ -   
LANCOME TRESOR MIDNIGHT ROSE  75 ML EDP                                   , $ 988.00 , Paid in Full," $ 1,185.60 "," $ 1,235.00 "," $ 1,284.40 "," $ 1,333.80 "," $ 1,383.20 "," $ 1,700.00 "," $ 1,450.00 ",47%,0, $ -   , $ -   
LANCOME TRESOR LA NUIT 75 ML EDP SPRAY                                            NEW," $ 1,109.00 ", Paid in Full," $ 1,330.80 "," $ 1,386.25 "," $ 1,441.70 "," $ 1,497.15 "," $ 1,552.60 "," $ 1,700.00 "," $ 1,450.00 ",31%,0, $ -   , $ -   
LOEWE AGUA DE LOEWE 100 ML EDT                                        , $ 829.00 , Paid in Full, $ 994.80 ," $ 1,036.25 "," $ 1,077.70 "," $ 1,119.15 "," $ 1,160.60 "," $ 1,500.00 "," $ 1,250.00 ",51%,1," $ 1,250.00 ", $ 421.00 
LOEWE AGUA DE LOEWE 150 ML EDT                     ," $ 1,007.00 ", Paid in Full," $ 1,208.40 "," $ 1,258.75 "," $ 1,309.10 "," $ 1,359.45 "," $ 1,409.80 "," $ 1,500.00 "," $ 1,250.00 ",24%,1," $ 1,250.00 ", $ 243.00 
LOEWE AGUA DE LOEWE ELLA 100 ML EDT , $ 829.00 , Paid in Full, $ 994.80 ," $ 1,036.25 "," $ 1,077.70 "," $ 1,119.15 "," $ 1,160.60 "," $ 1,500.00 "," $ 1,250.00 ",51%,0, $ -   , $ -   
LOEWE AGUA DE LOEWE ELLA 150 ML EDT," $ 1,007.00 ", Paid in Full," $ 1,208.40 "," $ 1,258.75 "," $ 1,309.10 "," $ 1,359.45 "," $ 1,409.80 "," $ 1,500.00 "," $ 1,250.00 ",24%,0, $ -   , $ -   
LOEWE AURA LOEWE 120 ML EDT SPRAY            ," $ 1,134.00 ", Paid in Full," $ 1,360.80 "," $ 1,417.50 "," $ 1,474.20 "," $ 1,530.90 "," $ 1,587.60 "," $ 1,500.00 "," $ 1,390.00 ",23%,0, $ -   , $ -   
LOEWE AURA 120 ML EDP ," $ 1,249.00 ", Paid in Full," $ 1,498.80 "," $ 1,561.25 "," $ 1,623.70 "," $ 1,686.15 "," $ 1,748.60 "," $ 1,500.00 "," $ 1,390.00 ",11%,0, $ -   , $ -   
LOEWE QUIZAS QUIZAS 100 ML EDP," $ 1,096.00 ", Paid in Full," $ 1,315.20 "," $ 1,370.00 "," $ 1,424.80 "," $ 1,479.60 "," $ 1,534.40 "," $ 1,600.00 "," $ 1,450.00 ",32%,0, $ -   , $ -   
LOEWE QUIZAS QUIZAS PASION 100 ML EDT, $ 981.00 , Paid in Full," $ 1,177.20 "," $ 1,226.25 "," $ 1,275.30 "," $ 1,324.35 "," $ 1,373.40 "," $ 1,500.00 "," $ 1,450.00 ",48%,0, $ -   , $ -   
MARC JACOBS DOT EDP 100 ML, $ 943.00 , Paid in Full," $ 1,131.60 "," $ 1,178.75 "," $ 1,225.90 "," $ 1,273.05 "," $ 1,320.20 "," $ 1,500.00 "," $ 1,450.00 ",54%,0, $ -   , $ -   
LOLITA LEMPICKA ELLE L´AIME 80 ML EDP SPRAY           NEW, $ 523.00 , Paid in Full, $ 627.60 , $ 653.75 , $ 679.90 , $ 706.05 , $ 732.20 ,," $ 1,200.00 ",129%,0, $ -   , $ -   
LOLITA LEMPICKA ELLE L´AIME A LA FOLIE 80 ML EDP              NEW, $ 574.00 , Paid in Full, $ 688.80 , $ 717.50 , $ 746.20 , $ 774.90 , $ 803.60 ,," $ 1,200.00 ",109%,0, $ -   , $ -   
MICHAEL KORS GLAM JASMINE 100 ML EDP SPRAY ," $ 1,134.00 ", Paid in Full," $ 1,360.80 "," $ 1,417.50 "," $ 1,474.20 "," $ 1,530.90 "," $ 1,587.60 "," $ 1,850.00 "," $ 1,450.00 ",28%,0, $ -   , $ -   
MICHAEL KORS SEXY AMBER 100 ML EDP SPRAY ," $ 1,134.00 ", Paid in Full," $ 1,360.80 "," $ 1,417.50 "," $ 1,474.20 "," $ 1,530.90 "," $ 1,587.60 "," $ 1,850.00 "," $ 1,450.00 ",28%,0, $ -   , $ -   
