Date,Time,Visitor State,Device,Visitor Type,Page Views,Product Views,Added to Cart,Completed Purchase,Total Spend ($),Average Time on Site (Minutes)
2023-07-20,16:05,Ohio,Mobile,New,6,3,1,2,61,15
2023-07-20,14:10,New York,Mobile,New,9,7,4,2,60.71,17
2023-07-21,15:32,Michigan,Mobile,Returning,9,4,1,2,42.73,13
2023-07-21,21:02,Texas,Tablet,Returning,3,6,4,1,49.41,11
2023-07-21,12:05,Texas,Desktop,Returning,7,6,5,2,75.96,12
2023-07-21,21:44,New York,Desktop,Returning,1,1,1,0,72.53,16
2023-07-21,08:21,Michigan,Tablet,New,3,6,2,3,54.76,3
2023-07-22,15:49,New York,Mobile,New,6,5,3,1,54.72,18
2023-07-22,02:39,Michigan,Desktop,New,3,7,1,3,73.6,16
2023-07-22,20:53,California,Desktop,Returning,3,4,3,3,68.48,29
2023-07-22,12:10,Florida,Tablet,Returning,2,6,5,2,58.32,28
2023-07-22,17:59,Texas,Tablet,New,7,2,0,2,66.58,5
2023-07-22,12:52,Michigan,Mobile,New,5,4,4,0,65.92,15
2023-07-22,06:21,California,Mobile,Returning,3,6,4,3,56.96,12
2023-07-22,19:09,California,Mobile,New,3,7,2,3,63.83,2
2023-07-22,16:22,California,Mobile,New,1,2,3,0,44.45,4
2023-07-22,12:22,New York,Desktop,New,3,5,2,1,43.76,21
2023-07-23,04:11,Illinois,Mobile,Returning,9,6,3,1,47.44,6
2023-07-23,00:03,Ohio,Tablet,Returning,2,3,0,3,77.91,27
2023-07-23,04:09,Florida,Mobile,Returning,2,6,1,3,49.35,19
2023-07-23,15:22,Texas,Mobile,New,9,3,5,0,65.04,10
2023-07-23,22:20,California,Mobile,Returning,4,6,4,3,58.08,18
2023-07-23,07:44,Texas,Desktop,New,4,1,3,1,57.88,10
2023-07-23,14:13,Florida,Mobile,New,7,1,0,0,48.95,28
2023-07-23,00:53,Illinois,Mobile,Returning,9,6,0,0,60.14,16
2023-07-23,04:01,New York,Desktop,New,5,3,0,0,45.84,13
2023-07-24,16:41,California,Mobile,New,7,7,4,2,64.38,6
2023-07-24,23:27,New York,Desktop,New,1,6,2,1,54.65,27
2023-07-24,19:05,California,Mobile,New,7,6,1,0,75.67,28
2023-07-24,05:44,Illinois,Mobile,Returning,6,3,0,3,50.19,16
2023-07-24,03:54,Florida,Tablet,Returning,9,7,0,1,68.53,28
2023-07-24,06:21,Illinois,Mobile,New,10,3,4,2,77.3,28
2023-07-25,05:18,Michigan,Mobile,Returning,3,7,4,1,52.37,7
2023-07-25,09:36,California,Desktop,Returning,6,7,4,1,57.31,7
2023-07-25,12:40,Ohio,Tablet,New,5,2,3,3,47,6
2023-07-25,15:12,Illinois,Tablet,New,7,6,3,3,52.22,30
2023-07-25,21:29,New York,Tablet,New,2,4,2,0,76.62,4
2023-07-25,12:18,New York,Mobile,New,5,4,4,3,47.58,18
2023-07-25,09:09,Florida,Tablet,New,8,3,3,2,62.72,25
2023-07-26,08:26,Florida,Desktop,Returning,4,4,5,2,65.07,25
2023-07-26,22:18,California,Mobile,New,4,6,0,3,71.23,19
2023-07-26,12:18,New York,Desktop,Returning,1,2,1,3,48.4,19
2023-07-26,01:19,California,Tablet,New,1,5,1,1,60.17,7
2023-07-26,03:37,Illinois,Tablet,Returning,8,4,4,2,77.91,1
2023-07-26,16:21,California,Mobile,New,5,1,2,1,77.56,14
2023-07-26,04:01,Michigan,Desktop,New,10,3,0,1,56.94,19
2023-07-26,01:49,Ohio,Tablet,New,3,2,0,3,51.47,21
2023-07-26,06:08,Texas,Mobile,Returning,8,3,3,1,53.49,28
2023-07-26,16:52,Texas,Mobile,New,6,4,4,0,46.87,20
2023-07-27,00:41,Texas,Mobile,Returning,3,1,2,1,72.05,2
2023-07-27,04:45,New York,Tablet,New,9,6,5,0,74.76,20
2023-07-27,08:14,Ohio,Tablet,New,1,3,0,3,46.48,28
2023-07-27,12:24,New York,Tablet,New,5,1,5,0,63.7,14
2023-07-27,15:59,New York,Tablet,Returning,8,3,5,0,52.74,22
2023-07-27,11:52,Florida,Tablet,New,8,3,0,0,52.29,26
2023-07-27,20:34,Florida,Tablet,New,10,5,0,2,74.48,25
2023-07-28,11:58,Illinois,Tablet,Returning,8,3,4,2,61.92,19
2023-07-28,07:32,Florida,Mobile,New,4,1,1,1,64.18,15
2023-07-28,15:04,California,Tablet,Returning,2,3,5,3,66.73,23
2023-07-28,08:46,California,Mobile,Returning,4,2,5,3,70.47,22
2023-07-28,02:05,Michigan,Desktop,Returning,5,4,4,1,59.6,29
2023-07-29,14:40,Illinois,Tablet,Returning,4,4,2,2,60.55,12
2023-07-29,06:54,Michigan,Tablet,Returning,2,6,1,2,42.21,25
2023-07-29,12:04,New York,Desktop,New,9,5,2,3,43.89,19
2023-07-29,16:15,California,Tablet,Returning,1,6,2,1,47.17,28
2023-07-29,14:04,California,Mobile,Returning,2,5,0,2,54.48,8
2023-07-29,08:42,Texas,Tablet,New,1,4,0,0,44.98,28
2023-07-29,10:10,Illinois,Tablet,New,7,6,3,1,73.03,14
2023-07-30,08:25,Michigan,Mobile,New,1,5,3,2,60.64,21
2023-07-30,07:29,Texas,Desktop,New,3,4,0,1,53.97,10
2023-07-30,22:43,Ohio,Tablet,New,1,2,2,3,78.73,24
2023-07-30,19:10,Florida,Desktop,Returning,2,3,2,1,42.36,20
2023-07-30,06:26,Texas,Tablet,New,1,5,3,1,58.92,10
2023-07-31,06:00,Illinois,Tablet,New,6,7,2,1,51.54,23
2023-07-31,03:17,Illinois,Tablet,New,2,4,1,3,74.5,14
2023-07-31,20:50,Florida,Mobile,Returning,10,4,1,3,77.67,21
2023-07-31,16:29,Michigan,Tablet,Returning,2,4,0,1,58.8,6
2023-07-31,09:33,Texas,Desktop,New,7,4,1,1,40.84,17
2023-07-31,10:02,Texas,Mobile,Returning,6,3,0,1,45.02,21
2023-07-31,02:38,Florida,Tablet,New,5,7,0,0,77.7,7
2023-07-31,19:08,Texas,Desktop,Returning,7,3,2,1,77.34,2
2023-07-31,05:12,Illinois,Mobile,Returning,6,5,0,2,42.72,29
