Payment Date,Date Impacted,Details, Card Amount,Clasification,Payment Plan,Card,Bank
8-ago,8-ago,Percepción IVA 3%,"  37,54 ",Impuesto,Plan Z,NARANJA,NARANJA X
8-ago,8-ago,Percepción IVA 3%,"  113,02 ",Impuesto,Plan Z,NARANJA,NARANJA X
10-ago,10-ago,Percepción IVA 3%,"  27,85 ",Impuesto,Plan Z,NARANJA,NARANJA X
12-ago,12-ago,Percepción IVA 3%,"  27,85 ",Impuesto,Plan Z,NARANJA,NARANJA X
14-ago,14-ago,Percepción IVA 3%,"  148,14 ",Impuesto,Plan Z,NARANJA,NARANJA X
16-ago,16-ago,Percepción IVA 3%,"  55,79 ",Impuesto,Plan Z,NARANJA,NARANJA X
17-ago,17-ago,Percepción IVA 3%,"  55,79 ",Impuesto,Plan Z,NARANJA,NARANJA X
17-ago,17-ago,Percepción IVA 3%,"  136,93 ",Impuesto,Plan Z,NARANJA,NARANJA X
18-ago,18-ago,Percepción IVA 3%,"  257,32 ",Impuesto,Plan Z,NARANJA,NARANJA X
19-ago,19-ago,Percepción IVA 3%,"  101,43 ",Impuesto,Plan Z,NARANJA,NARANJA X
21-ago,21-ago,Percepción IVA 3%,"  163,17 ",Impuesto,Plan Z,NARANJA,NARANJA X
21-ago,21-ago,Percepción IVA 3%,"  16,76 ",Impuesto,Plan Z,NARANJA,NARANJA X
22-ago,22-ago,Percepción IVA 3%,"  116,64 ",Impuesto,Plan Z,NARANJA,NARANJA X
23-ago,23-ago,Percepción IVA 3%,"  132,30 ",Impuesto,Plan Z,NARANJA,NARANJA X
23-ago,23-ago,Percepción IVA 3%,"  218,07 ",Impuesto,Plan Z,NARANJA,NARANJA X
26-jul,26-jul,Sirtac 3.5%,"  52,15 ",Impuesto,Plan Z,NARANJA,NARANJA X
2-ago,2-ago,Sirtac 3.5%,"  483,00 ",Impuesto,Plan Z,NARANJA,NARANJA X
10-ago,10-ago,Sirtac 3.5%,"  332,50 ",Impuesto,Plan Z,NARANJA,NARANJA X
25-jul,25-jul,Sirtac 3.5%,"  829,15 ",Impuesto,Plan Z,NARANJA,NARANJA X
26-jul,26-jul,Sirtac 3.5%,"  241,50 ",Impuesto,Plan Z,NARANJA,NARANJA X
26-jul,26-jul,Sirtac 3.5%,"  2.415,00 ",Impuesto,Plan Z,NARANJA,NARANJA X
27-jul,27-jul,Sirtac 3.5%,"  1.038,45 ",Impuesto,Plan Z,NARANJA,NARANJA X
27-jul,27-jul,Sirtac 3.5%,"  402,50 ",Impuesto,Plan Z,NARANJA,NARANJA X
28-jul,28-jul,Sirtac 3.5%,"  704,38 ",Impuesto,Plan Z,NARANJA,NARANJA X
28-jul,28-jul,Sirtac 3.5%,"  707,00 ",Impuesto,Plan Z,NARANJA,NARANJA X
29-jul,29-jul,Sirtac 3.5%,"  760,73 ",Impuesto,Plan Z,NARANJA,NARANJA X
31-jul,31-jul,Sirtac 3.5%,"  289,80 ",Impuesto,Plan Z,NARANJA,NARANJA X
31-jul,31-jul,Sirtac 3.5%,"  2.221,80 ",Impuesto,Plan Z,NARANJA,NARANJA X
3-ago,3-ago,Sirtac 3.5%,"  1.175,30 ",Impuesto,Plan Z,NARANJA,NARANJA X
3-ago,3-ago,Sirtac 3.5%,"  551,43 ",Impuesto,Plan Z,NARANJA,NARANJA X
4-ago,4-ago,Sirtac 3.5%,"  322,00 ",Impuesto,Plan Z,NARANJA,NARANJA X
5-ago,5-ago,Sirtac 3.5%,"  853,48 ",Impuesto,Plan Z,NARANJA,NARANJA X
7-ago,7-ago,Sirtac 3.5%,"  805,00 ",Impuesto,Plan Z,NARANJA,NARANJA X
7-ago,7-ago,Sirtac 3.5%,"  1.404,73 ",Impuesto,Plan Z,NARANJA,NARANJA X
8-ago,8-ago,Sirtac 3.5%,"  374,33 ",Impuesto,Plan Z,NARANJA,NARANJA X
8-ago,8-ago,Sirtac 3.5%,"  1.127,00 ",Impuesto,Plan Z,NARANJA,NARANJA X
10-ago,10-ago,Sirtac 3.5%,"  277,73 ",Impuesto,Plan Z,NARANJA,NARANJA X
12-ago,12-ago,Sirtac 3.5%,"  277,73 ",Impuesto,Plan Z,NARANJA,NARANJA X
14-ago,14-ago,Sirtac 3.5%,"  1.477,18 ",Impuesto,Plan Z,NARANJA,NARANJA X
16-ago,16-ago,Sirtac 3.5%,"  442,75 ",Impuesto,Plan Z,NARANJA,NARANJA X
17-ago,17-ago,Sirtac 3.5%,"  442,75 ",Impuesto,Plan Z,NARANJA,NARANJA X
17-ago,17-ago,Sirtac 3.5%,"  1.086,75 ",Impuesto,Plan Z,NARANJA,NARANJA X
18-ago,18-ago,Sirtac 3.5%,"  2.042,25 ",Impuesto,Plan Z,NARANJA,NARANJA X
19-ago,19-ago,Sirtac 3.5%,"  805,00 ",Impuesto,Plan Z,NARANJA,NARANJA X
21-ago,21-ago,Sirtac 3.5%,"  1.295,00 ",Impuesto,Plan Z,NARANJA,NARANJA X
21-ago,21-ago,Sirtac 3.5%,"  133,00 ",Impuesto,Plan Z,NARANJA,NARANJA X
22-ago,22-ago,Sirtac 3.5%,"  925,75 ",Impuesto,Plan Z,NARANJA,NARANJA X
23-ago,23-ago,Sirtac 3.5%,"  1.050,00 ",Impuesto,Plan Z,NARANJA,NARANJA X
23-ago,23-ago,Sirtac 3.5%,"  1.730,75 ",Impuesto,Plan Z,NARANJA,NARANJA X
26-jul,26-jul,Retención Ganancias 1%,"  14,57 ",Impuesto,Plan Z,NARANJA,NARANJA X
2-ago,2-ago,Retención Ganancias 1%,"  134,92 ",Impuesto,Plan Z,NARANJA,NARANJA X
10-ago,10-ago,Retención Ganancias 1%,"  92,88 ",Impuesto,Plan Z,NARANJA,NARANJA X
25-jul,25-jul,Retención Ganancias 1%,"  202,53 ",Impuesto,Plan Z,NARANJA,NARANJA X
26-jul,26-jul,Retención Ganancias 1%,"  58,99 ",Impuesto,Plan Z,NARANJA,NARANJA X
26-jul,26-jul,Retención Ganancias 1%,"  589,89 ",Impuesto,Plan Z,NARANJA,NARANJA X
27-jul,27-jul,Retención Ganancias 1%,"  253,65 ",Impuesto,Plan Z,NARANJA,NARANJA X
27-jul,27-jul,Retención Ganancias 1%,"  98,32 ",Impuesto,Plan Z,NARANJA,NARANJA X
28-jul,28-jul,Retención Ganancias 1%,"  172,05 ",Impuesto,Plan Z,NARANJA,NARANJA X
28-jul,28-jul,Retención Ganancias 1%,"  172,69 ",Impuesto,Plan Z,NARANJA,NARANJA X
29-jul,29-jul,Retención Ganancias 1%,"  185,82 ",Impuesto,Plan Z,NARANJA,NARANJA X
31-jul,31-jul,Retención Ganancias 1%,"  70,79 ",Impuesto,Plan Z,NARANJA,NARANJA X
31-jul,31-jul,Retención Ganancias 1%,"  542,70 ",Impuesto,Plan Z,NARANJA,NARANJA X
3-ago,3-ago,Retención Ganancias 1%,"  287,08 ",Impuesto,Plan Z,NARANJA,NARANJA X
3-ago,3-ago,Retención Ganancias 1%,"  134,69 ",Impuesto,Plan Z,NARANJA,NARANJA X
4-ago,4-ago,Retención Ganancias 1%,"  78,65 ",Impuesto,Plan Z,NARANJA,NARANJA X
5-ago,5-ago,Retención Ganancias 1%,"  208,47 ",Impuesto,Plan Z,NARANJA,NARANJA X
7-ago,7-ago,Retención Ganancias 1%,"  196,63 ",Impuesto,Plan Z,NARANJA,NARANJA X
7-ago,7-ago,Retención Ganancias 1%,"  343,12 ",Impuesto,Plan Z,NARANJA,NARANJA X
8-ago,8-ago,Retención Ganancias 1%,"  91,43 ",Impuesto,Plan Z,NARANJA,NARANJA X
8-ago,8-ago,Retención Ganancias 1%,"  275,28 ",Impuesto,Plan Z,NARANJA,NARANJA X
10-ago,10-ago,Retención Ganancias 1%,"  67,84 ",Impuesto,Plan Z,NARANJA,NARANJA X
12-ago,12-ago,Retención Ganancias 1%,"  67,84 ",Impuesto,Plan Z,NARANJA,NARANJA X
14-ago,14-ago,Retención Ganancias 1%,"  360,82 ",Impuesto,Plan Z,NARANJA,NARANJA X
16-ago,16-ago,Retención Ganancias 1%,"  103,44 ",Impuesto,Plan Z,NARANJA,NARANJA X
17-ago,17-ago,Retención Ganancias 1%,"  103,44 ",Impuesto,Plan Z,NARANJA,NARANJA X
17-ago,17-ago,Retención Ganancias 1%,"  253,90 ",Impuesto,Plan Z,NARANJA,NARANJA X
18-ago,18-ago,Retención Ganancias 1%,"  477,14 ",Impuesto,Plan Z,NARANJA,NARANJA X
19-ago,19-ago,Retención Ganancias 1%,"  188,08 ",Impuesto,Plan Z,NARANJA,NARANJA X
21-ago,21-ago,Retención Ganancias 1%,"  302,56 ",Impuesto,Plan Z,NARANJA,NARANJA X
21-ago,21-ago,Retención Ganancias 1%,"  31,07 ",Impuesto,Plan Z,NARANJA,NARANJA X
22-ago,22-ago,Retención Ganancias 1%,"  216,29 ",Impuesto,Plan Z,NARANJA,NARANJA X
23-ago,23-ago,Retención Ganancias 1%,"  245,32 ",Impuesto,Plan Z,NARANJA,NARANJA X
23-ago,23-ago,Retención Ganancias 1%,"  404,36 ",Impuesto,Plan Z,NARANJA,NARANJA X
26-jul,26-jul,Retención IVA 3%,"  43,70 ",Impuesto,Plan Z,NARANJA,NARANJA X
2-ago,2-ago,Retención IVA 3%,"  404,76 ",Impuesto,Plan Z,NARANJA,NARANJA X
10-ago,10-ago,Retención IVA 3%,"  278,64 ",Impuesto,Plan Z,NARANJA,NARANJA X
25-jul,25-jul,Retención IVA 3%,"  607,59 ",Impuesto,Plan Z,NARANJA,NARANJA X
26-jul,26-jul,Retención IVA 3%,"  176,97 ",Impuesto,Plan Z,NARANJA,NARANJA X
26-jul,26-jul,Retención IVA 3%,"  1.769,68 ",Impuesto,Plan Z,NARANJA,NARANJA X
27-jul,27-jul,Retención IVA 3%,"  760,96 ",Impuesto,Plan Z,NARANJA,NARANJA X
27-jul,27-jul,Retención IVA 3%,"  294,95 ",Impuesto,Plan Z,NARANJA,NARANJA X
28-jul,28-jul,Retención IVA 3%,"  516,16 ",Impuesto,Plan Z,NARANJA,NARANJA X
28-jul,28-jul,Retención IVA 3%,"  518,08 ",Impuesto,Plan Z,NARANJA,NARANJA X
29-jul,29-jul,Retención IVA 3%,"  557,45 ",Impuesto,Plan Z,NARANJA,NARANJA X
31-jul,31-jul,Retención IVA 3%,"  212,36 ",Impuesto,Plan Z,NARANJA,NARANJA X
31-jul,31-jul,Retención IVA 3%,"  1.628,11 ",Impuesto,Plan Z,NARANJA,NARANJA X
3-ago,3-ago,Retención IVA 3%,"  861,25 ",Impuesto,Plan Z,NARANJA,NARANJA X
3-ago,3-ago,Retención IVA 3%,"  404,08 ",Impuesto,Plan Z,NARANJA,NARANJA X
4-ago,4-ago,Retención IVA 3%,"  235,96 ",Impuesto,Plan Z,NARANJA,NARANJA X
5-ago,5-ago,Retención IVA 3%,"  625,42 ",Impuesto,Plan Z,NARANJA,NARANJA X
7-ago,7-ago,Retención IVA 3%,"  589,89 ",Impuesto,Plan Z,NARANJA,NARANJA X
7-ago,7-ago,Retención IVA 3%,"  1.029,37 ",Impuesto,Plan Z,NARANJA,NARANJA X
8-ago,8-ago,Retención IVA 3%,"  274,30 ",Impuesto,Plan Z,NARANJA,NARANJA X
8-ago,8-ago,Retención IVA 3%,"  825,85 ",Impuesto,Plan Z,NARANJA,NARANJA X
10-ago,10-ago,Retención IVA 3%,"  203,51 ",Impuesto,Plan Z,NARANJA,NARANJA X
12-ago,12-ago,Retención IVA 3%,"  203,51 ",Impuesto,Plan Z,NARANJA,NARANJA X
14-ago,14-ago,Retención IVA 3%,"  1.082,46 ",Impuesto,Plan Z,NARANJA,NARANJA X
16-ago,16-ago,Retención IVA 3%,"  310,32 ",Impuesto,Plan Z,NARANJA,NARANJA X
17-ago,17-ago,Retención IVA 3%,"  310,32 ",Impuesto,Plan Z,NARANJA,NARANJA X
17-ago,17-ago,Retención IVA 3%,"  761,71 ",Impuesto,Plan Z,NARANJA,NARANJA X
18-ago,18-ago,Retención IVA 3%,"  1.431,42 ",Impuesto,Plan Z,NARANJA,NARANJA X
19-ago,19-ago,Retención IVA 3%,"  564,23 ",Impuesto,Plan Z,NARANJA,NARANJA X
21-ago,21-ago,Retención IVA 3%,"  907,67 ",Impuesto,Plan Z,NARANJA,NARANJA X
21-ago,21-ago,Retención IVA 3%,"  93,22 ",Impuesto,Plan Z,NARANJA,NARANJA X
22-ago,22-ago,Retención IVA 3%,"  648,86 ",Impuesto,Plan Z,NARANJA,NARANJA X
23-ago,23-ago,Retención IVA 3%,"  735,95 ",Impuesto,Plan Z,NARANJA,NARANJA X
23-ago,23-ago,Retención IVA 3%,"  1.213,09 ",Impuesto,Plan Z,NARANJA,NARANJA X
1-ago,31-jul,Liq. N° 00050586 - Lote N° 0086 3 Ventas en 3 pagos - Plan Cuotas,"  107.755,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
1-ago,31-jul,Liq. N° 00050586 - Lote N° 0087 4 Ventas en 3 pagos - Plan Cuotas,"  96.370,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
1-ago,31-jul,Liq. N° 00050586 - Lote N° 0088 7 Ventas en 3 pagos - Plan Cuotas,"  138.575,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
1-ago,31-jul,Liq. N° 00050586 - Lote N° 0088 1 Ventas en 6 pagos - Plan Cuotas,"  28.980,00 ",Crédito,Plan 6 pagos,VISA,GALICIA
1-ago,31-jul,Liq. N° 00050588 - Lote N° 0086 2 Ventas Tj.Débito,"  22.800,00 ",Débito,No aplica,VISA,GALICIA
1-ago,31-jul,Liq. N° 00050588 - Lote N° 0088 2 Ventas Tj.Débito,"  91.900,00 ",Débito,No aplica,VISA,GALICIA
1-ago,31-jul,Liq. N° 00050588 - Lote N° 0089 1 Venta Tj. Débito,"  5.000,00 ",Débito,No aplica,VISA,GALICIA
1-ago,31-jul,Liq. N° 00050589 - Lote N° 0086 1 Venta en 1 pago,"  94.000,00 ",Crédito,Plan 1 Pago,VISA,GALICIA
2-ago,31-jul,Liq. N° 00038666 - Lote N° 0087 1 Venta en 3 pagos - Plan Cuotas,"  51.405,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
2-ago,1-ago,Liq. N° 00038667 - Lote N° 0090 3 Ventas en 3 pagos - Plan Cuotas,"  63.135,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
2-ago,1-ago,Liq. N° 00038669 - Lote N° 0090 1 Venta en 1 pago,"  15.000,00 ",Crédito,Plan 1 Pago,VISA,GALICIA
3-ago,1-ago,Liq. N° 00039944 - Lote N° 0091 1 Venta en 3 pagos - Plan Cuotas,"  18.400,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
3-ago,2-ago,Liq. N° 00039945 - Lote N° 0092 3 Ventas en 3 pagos - Plan Cuotas,"  100.840,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
3-ago,2-ago,Liq. N° 00039945 - Lote N° 0093 2 Ventas en 3 pagos - Plan Cuotas,"  51.635,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
3-ago,2-ago,Liq. N° 00039947 - Lote N° 0092 2 Ventas Tj.Débito,"  17.900,00 ",Débito,No aplica,VISA,GALICIA
3-ago,2-ago,Liq. N° 00039947 - Lote N° 0093 1 Venta Tj. Débito,"  6.500,00 ",Débito,No aplica,VISA,GALICIA
4-ago,3-ago,Liq. N° 00037467 - Lote N° 0094 2 Ventas en 3 pagos - Plan Cuotas,"  28.750,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
4-ago,3-ago,Liq. N° 00037467 - Lote N° 0095 2 Ventas en 3 pagos - Plan Cuotas,"  34.845,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
4-ago,3-ago,Liq. N° 00037469 - Lote N° 0094 1 Venta Tj. Débito,"  25.000,00 ",Débito,No aplica,VISA,GALICIA
4-ago,3-ago,Liq. N° 00037469 - Lote N° 0095 2 Ventas Tj.Débito,"  25.500,00 ",Débito,No aplica,VISA,GALICIA
7-ago,4-ago,Liq. N° 00039204 - Lote N° 0096 6 Ventas en 3 pagos - Plan Cuotas,"  159.160,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
7-ago,4-ago,Liq. N° 00039204 - Lote N° 0097 1 Venta en 3 pagos - Plan Cuotas,"  27.600,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
7-ago,4-ago,Liq. N° 00039206 - Lote N° 0096 3 Ventas Tj.Débito,"  22.000,00 ",Débito,No aplica,VISA,GALICIA
7-ago,4-ago,Liq. N° 00039206 - Lote N° 0097 3 Ventas Tj.Débito,"  29.700,00 ",Débito,No aplica,VISA,GALICIA
7-ago,4-ago,Liq. N° 00039207 - Lote N° 0097 1 Venta en 1 pago,"  8.700,00 ",Crédito,Plan 1 Pago,VISA,GALICIA
8-ago,4-ago,Liq. N° 00051746 - Lote N° 0096  1 Venta en 3 pagos - Plan Cuotas,"  27.600,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
8-ago,7-ago,Liq. N° 00051747 - Lote N° 0098 4 Ventas en 3 pagos - Plan Cuotas,"  91.770,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
8-ago,7-ago,Liq. N° 00051747 - Lote N° 0100 2 Ventas en 3 pagos - Plan Cuotas,"  60.375,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
8-ago,7-ago,Liq. N° 00051749 - Lote N° 0098 4 Ventas Tj.Débito,"  80.200,00 ",Débito,No aplica,VISA,GALICIA
8-ago,7-ago,Liq. N° 00051749 - Lote N° 0099 7 Ventas Tj.Débito,"  211.200,00 ",Débito,No aplica,VISA,GALICIA
8-ago,7-ago,Liq. N° 00051749 - Lote N° 0100 4 Ventas Tj.Débito,"  75.000,00 ",Débito,No aplica,VISA,GALICIA
8-ago,7-ago,Liq. N° 00051749 - Lote N° 0101 3 Ventas Tj.Débito,"  29.700,00 ",Débito,No aplica,VISA,GALICIA
9-ago,7-ago,Liq. N° 00038841 - Lote N° 0098 1 Venta en 3 pagos - Plan Cuotas,"  32.200,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
9-ago,8-ago,Liq. N° 00038842 - Lote N° 0103 2 Ventas en 3 pagos - Plan Cuotas,"  29.670,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
9-ago,8-ago,Liq. N° 00038844 - Lote N° 0102 4 Ventas Tj.Débito,"  40.900,00 ",Débito,No aplica,VISA,GALICIA
9-ago,8-ago,Liq. N° 00038844 - Lote N° 0103 1 Venta Tj. Débito,"  6.800,00 ",Débito,No aplica,VISA,GALICIA
10-ago,9-ago,Liq. N° 00039453 - Lote N° 0105 1 Venta en 3 pagos - Plan Cuotas,"  125.350,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
10-ago,9-ago,Liq. N° 00039455 - Lote N° 0104 2 Ventas Tj.Débito,"  11.400,00 ",Débito,No aplica,VISA,GALICIA
10-ago,9-ago,Liq. N° 00039455 - Lote N° 0105 4 Ventas Tj.Débito,"  79.900,00 ",Débito,No aplica,VISA,GALICIA
11-ago,10-ago,Liq. N° 00037590 - Lote N° 0106 3 Ventas en 3 pagos - Plan Cuotas,"  24.615,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
11-ago,10-ago,Liq. N° 00037590 - Lote N° 0107 3 Ventas en 3 pagos - Plan Cuotas,"  47.495,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
11-ago,10-ago,Liq. N° 00037592 - Lote N° 0106 1 Venta Tj. Débito,"  4.000,00 ",Débito,No aplica,VISA,GALICIA
11-ago,10-ago,Liq. N° 00037592 - Lote N° 0107 3 Ventas Tj.Débito,"  17.000,00 ",Débito,No aplica,VISA,GALICIA
14-ago,11-ago,Liq. N° 00039451 - Lote N° 0108 3 Ventas en 3 pagos - Plan Cuotas,"  68.770,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
14-ago,11-ago,Liq. N° 00039451 - Lote N° 0108 1 Ventas en 6 pagos - Plan Cuotas,"  266.500,00 ",Crédito,Plan 6 pagos,VISA,GALICIA
14-ago,11-ago,Liq. N° 00039451 - Lote N° 0109 2 Ventas en 3 pagos - Plan Cuotas,"  37.150,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
14-ago,11-ago,Liq. N° 00039453 - Lote N° 0109 2 Ventas en 1 pago,"  44.300,00 ",Crédito,Plan 1 Pago,VISA,GALICIA
15-ago,14-ago,Liq. N° 00050228 - Lote N° 0110 3 Ventas en 3 pagos - Plan Cuotas,"  53.705,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
15-ago,14-ago,Liq. N° 00050228 - Lote N° 0111 1 Venta en 3 pagos - Plan Cuotas,"  24.150,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
15-ago,14-ago,Liq. N° 00050228 - Lote N° 0112 1 Venta en 3 pagos - Plan Cuotas,"  37.260,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
15-ago,14-ago,Liq. N° 00050230 - Lote N° 0110 1 Venta Tj. Débito,"  5.300,00 ",Débito,No aplica,VISA,GALICIA
15-ago,14-ago,Liq. N° 00050230 - Lote N° 0113 1 Venta Tj. Débito,"  2.200,00 ",Débito,No aplica,VISA,GALICIA
15-ago,14-ago,Liq. N° 00050231 - Lote N° 0110 1 Venta en 1 pago,"  6.000,00 ",Crédito,Plan 1 Pago,VISA,GALICIA
16-ago,15-ago,Liq. N° 00037429 - Lote N° 0114 3 Ventas en 3 pagos - Plan Cuotas,"  36.455,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
16-ago,15-ago,Liq. N° 00037429 - Lote N° 0115 1 Venta en 3 pagos - Plan Cuotas,"  13.915,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
16-ago,15-ago,Liq. N° 00037431 - Lote N° 0115 4 Ventas Tj.Débito,"  52.300,00 ",Débito,No aplica,VISA,GALICIA
18-ago,17-ago,Liq. N° 00035339 - Lote N° 0117 1 Venta en 3 pagos - Plan Cuotas,"  14.050,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
22-ago,18-ago,Liq. N° 00036458 - Lote N° 0119  1 Venta en 3 pagos - Plan Cuotas,"  19.200,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
22-ago,18-ago,Liq. N° 00036458 - Lote N° 0120 1 Venta en 3 pagos - Plan Cuotas,"  18.400,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
23-ago,22-ago,Liq. N° 00052341 - Lote N° 0123  6 Ventas en 3 pagos - Plan Cuotas,"  166.995,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
23-ago,22-ago,Liq. N° 00052341 - Lote N° 0124 1 Venta en 3 pagos - Plan Cuotas,"  126.500,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
23-ago,22-ago,Liq. N° 00052343 - Lote N° 0125 1 Venta Tj. Débito,"  27.000,00 ",Débito,No aplica,VISA,GALICIA
23-ago,22-ago,Liq. N° 00052344 - Lote N° 0121 1 Venta en 1 pago,"  42.000,00 ",Crédito,Plan 1 Pago,VISA,GALICIA
23-ago,22-ago,Liq. N° 00052344 - Lote N° 0124 2 Ventas en 1 pago,"  27.000,00 ",Crédito,Plan 1 Pago,VISA,GALICIA
23-ago,22-ago,Liq. N° 00052344 - Lote N° 0125 1 Venta en 1 pago,"  5.750,00 ",Crédito,Plan 1 Pago,VISA,GALICIA
24-ago,23-ago,Liq. N° 00036173 - Lote N° 0126 1 Venta en 3 pagos - Plan Cuotas,"  15.755,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
24-ago,23-ago,Liq. N° 00036173 - Lote N° 0127 1 Venta en 3 pagos - Plan Cuotas,"  4.945,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
25-ago,24-ago,Liq. N° 00036986 - Lote N° 0128  4 Ventas en 3 pagos - Plan Cuotas,"  170.430,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
25-ago,24-ago,Liq. N° 00036986 - Lote N° 0129 3 Ventas en 3 pagos - Plan Cuotas,"  76.000,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
25-ago,24-ago,Liq. N° 00036988 - Lote N° 0128 1 Venta Tj. Débito,"  15.000,00 ",Débito,No aplica,VISA,GALICIA
25-ago,24-ago,Liq. N° 00036988 - Lote N° 0129 3 Ventas Tj.Débito,"  31.800,00 ",Débito,No aplica,VISA,GALICIA
28-ago,25-ago,Liq. N° 00035308 - Lote N° 0130 5 Ventas en 3 pagos - Plan Cuotas,"  135.830,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
28-ago,25-ago,Liq. N° 00035310 - Lote N° 0130 5 Ventas Tj.Débito,"  120.500,00 ",Débito,No aplica,VISA,GALICIA
29-ago,28-ago,Liq. N° 00049405 - Lote N° 0132  2 Ventas en 3 pagos - Plan Cuotas,"  46.200,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
29-ago,28-ago,Liq. N° 00049405 - Lote N° 0133 2 Ventas en 3 pagos - Plan Cuotas,"  60.950,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
29-ago,28-ago,Liq. N° 00049405 - Lote N° 0134 2 Ventas en 3 pagos - Plan Cuotas,"  36.625,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
29-ago,28-ago,Liq. N° 00049405 - Lote N° 0135 2 Ventas en 3 pagos - Plan Cuotas,"  252.250,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
29-ago,28-ago,Liq. N° 00049407 - Lote N° 0132 1 Venta Tj. Débito,"  21.000,00 ",Débito,No aplica,VISA,GALICIA
29-ago,28-ago,Liq. N° 00049407 - Lote N° 0133 1 Venta Tj. Débito,"  3.800,00 ",Débito,No aplica,VISA,GALICIA
29-ago,28-ago,Liq. N° 00049407 - Lote N° 0134 4 Ventas Tj.Débito,"  70.800,00 ",Débito,No aplica,VISA,GALICIA
29-ago,28-ago,Liq. N° 00049407 - Lote N° 0135 1 Venta Tj. Débito,"  26.000,00 ",Débito,No aplica,VISA,GALICIA
30-ago,28-ago,Liq. N° 00035682 - Lote N° 0132 1 Venta en 3 pagos - Plan Cuotas,"  25.200,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
30-ago,29-ago,Liq. N° 00035683 - Lote N° 0136 3 Ventas en 3 pagos - Plan Cuotas,"  65.550,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
30-ago,29-ago,Liq. N° 00035685 - Lote N° 0136 3 Ventas Tj.Débito,"  47.600,00 ",Débito,No aplica,VISA,GALICIA
30-ago,29-ago,Liq. N° 00035685 - Lote N° 0137 2 Ventas Tj.Débito,"  30.200,00 ",Débito,No aplica,VISA,GALICIA
31-ago,30-ago,Liq. N° 00033676 - Lote N° 0138  2 Ventas en 3 pagos - Plan Cuotas,"  51.950,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
31-ago,30-ago,Liq. N° 00033676 - Lote N° 0139 1 Venta en 3 pagos - Plan Cuotas,"  13.225,00 ",Crédito,Plan 3 pagos,VISA,GALICIA
31-ago,30-ago,Liq. N° 00033678 - Lote N° 0138 1 Venta Tj. Débito,"  25.400,00 ",Débito,No aplica,VISA,GALICIA
31-ago,30-ago,Liq. N° 00033678 - Lote N° 0139 1 Venta Tj. Débito,"  10.000,00 ",Débito,No aplica,VISA,GALICIA
1-ago,1-ago,Arancel,"  9.339,84 ",Arancel,No aplica,VISA,GALICIA
1-ago,1-ago,Serv.Costos Financieros,"  72.497,76 ",Costos Financieros,No aplica,VISA,GALICIA
1-ago,1-ago,Deduc.Impositivas,"  32.191,95 ",Impuesto,No aplica,VISA,GALICIA
1-ago,1-ago,Serv.Cobro Anticipado,"  1.677,03 ",Cobro Anticipado,No aplica,VISA,GALICIA
2-ago,2-ago,Arancel,"  2.331,72 ",Arancel,No aplica,VISA,GALICIA
2-ago,2-ago,Serv.Costos Financieros,"  20.875,25 ",Costos Financieros,No aplica,VISA,GALICIA
