Animal status,National Dairy Registry,Date of birth,Animal ID,Rodeo Number,Milking 1,Milking 2,Milking 3,Production sum,Production avg,Production max
Milk production,0051-01,4/3/2021,7019,2,"12,8",10,"11,8","34,6","11,5","12,8"
Milk production,0051-01,4/16/2021,7037,2,21,"16,8","18,2",56,"18,7",21
Milk production,0051-01,7/16/2021,7045,2,"17,6",12,14,"43,6","14,5","17,6"
Milk production,0051-01,4/3/2021,7049,2,"19,2",14,"15,4","48,6","16,2","19,2"
Milk production,0051-01,4/28/2021,7054,2,13,11,"10,8","34,8","11,6",13
Milk production,0051-01,4/4/2021,7055,1,"12,2","9,8","11,8","33,8","11,3","12,2"
Milk production,0051-01,1/30/2021,7064,2,"12,4","7,6","7,6","27,6","9,2","12,4"
Milk production,0051-01,4/20/2021,7066,1,"12,2",9,"10,2","31,4","10,5","12,2"
Milk production,0051-01,9/18/2020,7068,2,"10,8","8,2","10,8","29,8","9,9","10,8"
Milk production,0051-01,2/27/2021,7071,2,"11,4","9,2",9,"29,6","9,9","11,4"
Milk production,0051-01,2/8/2021,7079,2,"14,4",9,11,"34,4","11,5","14,4"
Milk production,0051-01,3/11/2021,7083,2,10,"8,6","9,8","28,4","9,5",10
Milk production,0051-01,2/28/2021,7085,1,"12,8","9,6","10,8","33,2","11,1","12,8"
Milk production,0051-01,4/18/2021,7088,1,18,12,"12,4","42,4","14,1",18
Milk production,0051-01,8/2/2020,7095,1,"9,8","8,4",7,"25,2","8,4","9,8"
Milk production,0051-01,3/23/2021,7098,2,"12,8","9,8",11,"33,6","11,2","12,8"
Milk production,0051-01,2/12/2021,7099,1,8,"8,8","6,2",23,"7,7","8,8"
Milk production,0051-01,3/26/2021,7103,2,11,"9,2",9,"29,2","9,7",11
Milk production,0051-01,2/21/2021,7108,2,"14,2","9,8","9,8","33,8","11,3","14,2"
Milk production,0051-01,3/15/2021,7109,2,15,"10,6","10,8","36,4","12,1",15
Milk production,0051-01,12/12/2020,7112,1,"12,6","9,8","10,8","33,2","11,1","12,6"
Milk production,0051-01,3/17/2021,7115,2,12,8,10,30,"10,0",12
Milk production,0051-01,5/5/2021,7120,1,"17,6","13,4",13,44,"14,7","17,6"
Milk production,0051-01,3/19/2021,7121,2,11,"8,2","10,6","29,8","9,9",11
Milk production,0051-01,2/18/2021,7129,1,"15,2",10,11,"36,2","12,1","15,2"
Milk production,0051-01,8/29/2021,7137,2,15,"11,8","12,6","39,4","13,1",15
Milk production,0051-01,7/7/2021,7143,2,"13,8",11,12,"36,8","12,3","13,8"
Milk production,0051-01,2/9/2021,7151,1,11,7,"9,4","27,4","9,1",11
Milk production,0051-01,2/17/2021,7165,2,"13,2","8,6","10,6","32,4","10,8","13,2"
Milk production,0051-01,8/25/2021,7170,1,17,"11,8","12,8","41,6","13,9",17
Milk production,0051-01,2/12/2021,7174,2,"7,6","5,2","5,8","18,6","6,2","7,6"
Milk production,0051-01,11/15/2020,7177,2,8,5,7,20,"6,7",8
Milk production,0051-01,4/8/2021,7179,3,"7,2",5,"7,6","19,8","6,6","7,6"
Milk production,0051-01,8/24/2021,7184,2,"14,8","11,6","11,8","38,2","12,7","14,8"
Milk production,0051-01,2/8/2021,7185,1,"13,8",11,"10,8","35,6","11,9","13,8"
Milk production,0051-01,2/10/2021,7186,1,"8,4","7,4",6,"21,8","7,3","8,4"
Milk production,0051-01,3/27/2021,7196,2,"14,8",9,"10,8","34,6","11,5","14,8"
Milk production,0051-01,4/14/2021,7197,1,"14,2",11,"10,8",36,"12,0","14,2"
Milk production,0051-01,7/12/2021,7199,3,"13,2","9,4","9,6","32,2","10,7","13,2"
Milk production,0051-01,4/4/2021,7200,2,"16,2","11,4","12,2","39,8","13,3","16,2"
Milk production,0051-01,12/1/2020,7205,2,"13,6","9,8",12,"35,4","11,8","13,6"
Milk production,0051-01,5/4/2021,7214,2,12,8,"11,8","31,8","10,6",12
Milk production,0051-01,4/12/2021,7217,2,"12,2","10,6","11,2",34,"11,3","12,2"
Milk production,0051-01,2/14/2021,7222,2,10,"8,4","8,8","27,2","9,1",10
Milk production,0051-01,4/6/2021,7228,2,"13,2",11,"11,6","35,8","11,9","13,2"
Milk production,0051-01,4/10/2021,7235,2,"12,2","9,6",12,"33,8","11,3","12,2"
Milk production,0051-01,2/6/2021,7246,1,13,"11,2","10,8",35,"11,7",13
Milk production,0051-01,7/24/2021,7248,1,"18,2","13,8","14,2","46,2","15,4","18,2"
Milk production,0051-01,4/19/2021,7249,2,"16,2","12,8","12,4","41,4","13,8","16,2"
Milk production,0051-01,5/18/2021,7251,2,"15,2","10,4",12,"37,6","12,5","15,2"
Milk production,0051-01,4/14/2021,7254,3,"13,8","9,4",9,"32,2","10,7","13,8"
Milk production,0051-01,4/23/2021,7260,2,14,"9,6","11,6","35,2","11,7",14
Milk production,0051-01,11/23/2020,7266,2,15,11,"11,6","37,6","12,5",15
Milk production,0051-01,4/16/2021,7269,2,"14,8","11,2",12,38,"12,7","14,8"
Milk production,0051-01,7/1/2021,7273,1,"14,8","10,2","13,6","38,6","12,9","14,8"
Milk production,0051-01,8/30/2021,7274,2,14,"10,2","11,2","35,4","11,8",14
Milk production,0051-01,2/22/2021,7280,1,"12,2","8,6","8,8","29,6","9,9","12,2"
Milk production,0051-01,3/13/2021,7281,2,"4,6",3,"4,2","11,8","3,9","4,6"
Milk production,0051-01,3/5/2021,7289,2,11,9,9,29,"9,7",11
Milk production,0051-01,5/8/2021,7291,1,12,"9,8","10,8","32,6","10,9",12
Milk production,0051-01,7/8/2021,7292,2,"11,8","7,8","9,8","29,4","9,8","11,8"
Milk production,0051-01,5/19/2021,7294,1,12,10,"11,8","33,8","11,3",12
Milk production,0051-01,4/20/2021,7303,2,"15,6","10,8","11,2","37,6","12,5","15,6"
Milk production,0051-01,8/20/2021,7305,1,15,"13,2","11,2","39,4","13,1",15
Milk production,0051-01,8/20/2021,7310,2,22,21,19,62,"20,7",22
Milk production,0051-01,7/11/2021,7311,3,"15,6","11,6","11,2","38,4","12,8","15,6"
Milk production,0051-01,7/3/2021,7313,2,"14,6","9,8","11,8","36,2","12,1","14,6"
Milk production,0051-01,5/15/2021,7316,2,"15,6",11,"12,6","39,2","13,1","15,6"
Milk production,0051-01,3/30/2021,7318,2,16,14,"11,2","41,2","13,7",16
Milk production,0051-01,5/3/2021,7319,1,"17,2","11,6","12,8","41,6","13,9","17,2"
Milk production,0051-01,8/24/2021,7322,2,"16,6","13,2","14,2",44,"14,7","16,6"
Milk production,0051-01,3/28/2021,7323,1,"12,8",9,"10,8","32,6","10,9","12,8"
Milk production,0051-01,7/26/2021,7325,2,16,12,11,39,"13,0",16
Milk production,0051-01,7/7/2021,7326,2,"18,2","14,6","15,6","48,4","16,1","18,2"
Milk production,0051-01,7/6/2021,7328,2,"17,2",12,"11,2","40,4","13,5","17,2"
Milk production,0051-01,7/17/2020,7329,1,"13,6",10,"11,6","35,2","11,7","13,6"
Milk production,0051-01,4/20/2021,7340,2,"13,8",10,10,"33,8","11,3","13,8"
Milk production,0051-01,9/8/2020,7342,1,"12,2","12,2","11,8","36,2","12,1","12,2"
Milk production,0051-01,4/7/2021,7345,1,"17,6","12,2","13,4","43,2","14,4","17,6"
Milk production,0051-01,7/24/2020,7346,2,"11,6","9,2","11,2",32,"10,7","11,6"
Milk production,0051-01,3/18/2021,7348,1,"12,8","11,2","12,8","36,8","12,3","12,8"
Milk production,0051-01,2/15/2021,7349,2,"12,8",9,9,"30,8","10,3","12,8"
Milk production,0051-01,11/7/2020,7350,1,"12,2","13,6",10,"35,8","11,9","13,6"
Milk production,0051-01,4/13/2021,7351,1,11,"9,2",11,"31,2","10,4",11
Milk production,0051-01,3/29/2021,7352,2,"11,8","7,8","9,2","28,8","9,6","11,8"
Milk production,0051-01,4/19/2021,7354,1,"15,4","14,2","13,2","42,8","14,3","15,4"
Milk production,0051-01,7/20/2021,7359,2,"17,6",14,"13,8","45,4","15,1","17,6"
Milk production,0051-01,2/15/2021,7361,1,"6,6",5,4,"15,6","5,2","6,6"
Milk production,0051-01,8/19/2021,7365,1,"15,2","11,2",12,"38,4","12,8","15,2"
Milk production,0051-01,5/6/2021,7367,1,"14,6","12,2","15,6","42,4","14,1","15,6"
Milk production,0051-01,5/16/2021,7368,1,"14,2","11,4","11,8","37,4","12,5","14,2"
Milk production,0051-01,2/9/2021,7369,2,"15,8","11,8","11,8","39,4","13,1","15,8"
Milk production,0051-01,4/6/2021,7370,1,"13,2",10,"12,8",36,"12,0","13,2"
Milk production,0051-01,5/14/2021,7373,2,"17,6",13,"11,6","42,2","14,1","17,6"
Milk production,0051-01,4/20/2021,7375,2,"13,8","9,2","13,6","36,6","12,2","13,8"
Milk production,0051-01,11/3/2020,7379,1,14,10,"10,6","34,6","11,5",14
Milk production,0051-01,8/14/2021,7380,2,"16,6","12,8","11,8","41,2","13,7","16,6"
Milk production,0051-01,7/7/2021,7381,2,"16,4","11,8","16,2","44,4","14,8","16,4"
Milk production,0051-01,7/16/2021,7387,1,17,13,14,44,"14,7",17
Milk production,0051-01,4/8/2021,7390,2,15,"11,4","14,6",41,"13,7",15
Milk production,0051-01,3/28/2021,7391,1,"11,2","8,8","10,8","30,8","10,3","11,2"
Milk production,0051-01,5/8/2021,7395,2,12,"8,8","11,8","32,6","10,9",12
Milk production,0051-01,2/9/2021,7402,2,"10,8","6,2",8,25,"8,3","10,8"
Milk production,0051-01,5/15/2021,7405,2,"17,6","14,2","17,8","49,6","16,5","17,8"
Milk production,0051-01,3/30/2021,7407,2,13,"8,6","9,2","30,8","10,3",13
Milk production,0051-01,8/22/2021,7410,2,"16,2","12,8","13,6","42,6","14,2","16,2"
Milk production,0051-01,7/18/2021,7415,1,"16,2","14,2","15,8","46,2","15,4","16,2"
Milk production,0051-01,7/20/2021,7418,2,"15,8",11,15,"41,8","13,9","15,8"
Milk production,0051-01,8/18/2021,7422,1,"16,6",12,"14,8","43,4","14,5","16,6"
Milk production,0051-01,7/18/2021,7425,3,"8,8","7,6","6,2","22,6","7,5","8,8"
Milk production,0051-01,8/25/2021,7426,2,12,10,"14,2","36,2","12,1","14,2"
Milk production,0051-01,3/17/2021,7428,1,"11,2","8,8","9,8","29,8","9,9","11,2"
Milk production,0051-01,4/25/2021,7430,1,"12,2","11,2","11,8","35,2","11,7","12,2"
Milk production,0051-01,11/3/2020,7431,1,13,8,"9,4","30,4","10,1",13
Milk production,0051-01,5/17/2021,7432,1,17,13,"15,2","45,2","15,1",17
Milk production,0051-01,7/13/2021,7437,2,16,13,"12,8","41,8","13,9",16
Milk production,0051-01,5/15/2021,7441,1,"13,6","13,6",13,"40,2","13,4","13,6"
Milk production,0051-01,4/19/2021,7450,2,15,"12,8","12,6","40,4","13,5",15
Milk production,0051-01,4/11/2021,7455,1,11,7,"10,6","28,6","9,5",11
Milk production,0051-01,4/4/2021,7457,2,16,"11,8","12,8","40,6","13,5",16
Milk production,0051-01,5/2/2021,7465,1,"11,4","8,2","12,2","31,8","10,6","12,2"
Milk production,0051-01,9/10/2020,7466,1,10,7,8,25,"8,3",10
Milk production,0051-01,11/4/2020,7469,2,"10,8","7,4","7,8",26,"8,7","10,8"
Milk production,0051-01,5/4/2021,7472,2,"8,8","10,6","9,8","29,2","9,7","10,6"
Milk production,0051-01,4/19/2021,7474,2,10,"7,2","9,6","26,8","8,9",10
Milk production,0051-01,3/20/2021,7475,1,"14,6","11,2","11,2",37,"12,3","14,6"
Milk production,0051-01,7/8/2021,7485,1,17,11,11,39,"13,0",17
Milk production,0051-01,7/13/2021,7486,2,17,"13,8",15,"45,8","15,3",17
Milk production,0051-01,4/24/2021,7489,1,"16,6",12,"12,8","41,4","13,8","16,6"
Milk production,0051-01,7/8/2021,7491,2,"14,6","10,8",10,"35,4","11,8","14,6"
Milk production,0051-01,7/13/2021,7493,1,7,6,"8,2","21,2","7,1","8,2"
Milk production,0051-01,12/19/2020,7499,1,12,7,"9,2","28,2","9,4",12
Milk production,0051-01,12/10/2020,7501,1,"9,2","7,6","10,8","27,6","9,2","10,8"
Milk production,0051-01,5/15/2021,7502,1,"13,6","12,2","14,2",40,"13,3","14,2"
Milk production,0051-01,5/14/2021,7507,2,"7,2",5,6,"18,2","6,1","7,2"
Milk production,0051-01,9/6/2021,7514,2,"15,2","10,8","14,2","40,2","13,4","15,2"
Milk production,0051-01,3/28/2021,7517,2,"10,2",7,9,"26,2","8,7","10,2"
Milk production,0051-01,7/7/2021,7519,1,"13,2",9,11,"33,2","11,1","13,2"
Milk production,0051-01,5/11/2021,7526,2,"14,6","10,6","13,2","38,4","12,8","14,6"
Milk production,0051-01,4/17/2021,7533,2,"11,2","9,4",10,"30,6","10,2","11,2"
Milk production,0051-01,5/7/2021,7534,1,8,"7,2","9,6","24,8","8,3","9,6"
Milk production,0051-01,8/24/2021,7537,2,"14,6","10,2","11,8","36,6","12,2","14,6"
Milk production,0051-01,8/27/2021,7538,2,"16,2","12,8",14,43,"14,3","16,2"
Milk production,0051-01,1/13/2021,7540,1,"11,8","10,2","9,8","31,8","10,6","11,8"
Milk production,0051-01,5/19/2021,7543,2,20,"15,2",17,"52,2","17,4",20
Milk production,0051-01,5/18/2021,7544,2,"19,2","15,8","17,2","52,2","17,4","19,2"
Milk production,0051-01,3/6/2021,7546,1,12,"9,4",9,"30,4","10,1",12
Milk production,0051-01,7/6/2021,7547,2,"13,2","10,4","12,8","36,4","12,1","13,2"
Milk production,0051-01,4/25/2021,7550,1,"14,2",14,"14,8",43,"14,3","14,8"
Milk production,0051-01,7/17/2021,7553,2,"15,6","11,8","11,8","39,2","13,1","15,6"
Milk production,0051-01,6/27/2021,7555,1,16,"12,8","16,8","45,6","15,2","16,8"
Milk production,0051-01,1/29/2021,7559,1,"12,6","11,2","10,2",34,"11,3","12,6"
Milk production,0051-01,8/25/2021,7562,2,"13,8","10,2",10,34,"11,3","13,8"
Milk production,0051-01,7/17/2021,7563,1,"17,2",14,"12,4","43,6","14,5","17,2"
Milk production,0051-01,7/24/2021,7565,1,"13,2","10,2","11,2","34,6","11,5","13,2"
Milk production,0051-01,12/20/2020,7566,1,13,"8,2","10,8",32,"10,7",13
Milk production,0051-01,5/24/2021,7567,2,"17,8","13,8",13,"44,6","14,9","17,8"
Milk production,0051-01,7/12/2021,7570,2,"16,4","11,6","13,8","41,8","13,9","16,4"
Milk production,0051-01,4/10/2021,7571,2,"16,6","11,2","13,6","41,4","13,8","16,6"
Milk production,0051-01,7/2/2021,7573,2,18,"14,2","16,8",49,"16,3",18
Milk production,0051-01,8/11/2021,7577,2,"19,8","14,2","14,4","48,4","16,1","19,8"
Milk production,0051-01,7/16/2021,7580,2,15,13,"11,8","39,8","13,3",15
Milk production,0051-01,8/28/2021,7584,1,"15,2","12,2","16,2","43,6","14,5","16,2"
Milk production,0051-01,7/13/2020,7592,1,13,"10,2",9,"32,2","10,7",13
Milk production,0051-01,11/1/2020,7597,1,"12,4",9,"9,8","31,2","10,4","12,4"
Milk production,0051-01,4/12/2021,7603,1,"13,8","11,2","10,6","35,6","11,9","13,8"
Milk production,0051-01,5/3/2021,7611,3,"10,2","7,8","8,6","26,6","8,9","10,2"
Milk production,0051-01,8/25/2021,7613,1,"13,2","10,2","11,8","35,2","11,7","13,2"
Milk production,0051-01,9/13/2021,7616,1,14,10,"9,8","33,8","11,3",14
Milk production,0051-01,12/17/2020,7619,1,"13,4","9,6","10,4","33,4","11,1","13,4"
Milk production,0051-01,7/13/2021,7621,2,"13,6","8,4",10,32,"10,7","13,6"
Milk production,0051-01,8/6/2021,7628,1,"18,2","13,8","13,8","45,8","15,3","18,2"
Milk production,0051-01,3/27/2021,7629,1,"17,2","11,6","13,2",42,"14,0","17,2"
Milk production,0051-01,8/26/2021,7630,2,"17,2","10,2",12,"39,4","13,1","17,2"
Milk production,0051-01,2/24/2021,7633,1,"11,2",8,"7,2","26,4","8,8","11,2"
Milk production,0051-01,1/11/2021,7634,1,"14,8","10,8","10,2","35,8","11,9","14,8"
Milk production,0051-01,7/13/2021,7636,2,"16,4","12,6","15,8","44,8","14,9","16,4"
Milk production,0051-01,7/23/2021,7639,1,19,15,17,51,"17,0",19
Milk production,0051-01,12/13/2020,7643,1,"12,8","8,8",9,"30,6","10,2","12,8"
Milk production,0051-01,8/28/2021,7647,1,"15,2",14,14,"43,2","14,4","15,2"
Milk production,0051-01,7/21/2021,7650,2,"14,4","9,8",11,"35,2","11,7","14,4"
Milk production,0051-01,1/28/2021,7651,1,"16,2","11,2","14,6",42,"14,0","16,2"
Milk production,0051-01,12/16/2020,7658,1,"14,8","12,8","10,8","38,4","12,8","14,8"
Milk production,0051-01,2/3/2021,7661,3,10,"6,2","7,8",24,"8,0",10
Milk production,0051-01,2/1/2021,7667,1,14,"10,2","10,2","34,4","11,5",14
Milk production,0051-01,8/28/2021,7670,2,"15,8",12,"15,8","43,6","14,5","15,8"
Milk production,0051-01,8/30/2021,7672,2,"15,6","11,8","11,6",39,"13,0","15,6"
Milk production,0051-01,8/29/2021,7674,2,12,"10,2","11,8",34,"11,3",12
Milk production,0051-01,12/13/2020,7685,1,"15,2","9,8","13,2","38,2","12,7","15,2"
Milk production,0051-01,7/7/2021,7686,2,"18,6","14,4",14,47,"15,7","18,6"
Milk production,0051-01,8/15/2021,7688,2,"14,8","14,2","13,6","42,6","14,2","14,8"
Milk production,0051-01,1/18/2021,7693,1,12,"8,8","11,4","32,2","10,7",12
Milk production,0051-01,3/27/2021,7697,1,"11,2","8,8",11,31,"10,3","11,2"
Milk production,0051-01,2/18/2021,7702,1,9,9,6,24,"8,0",9
Milk production,0051-01,2/4/2021,7705,3,9,7,"6,6","22,6","7,5",9
Milk production,0051-01,3/13/2021,7706,3,"12,8",9,"8,2",30,"10,0","12,8"
Milk production,0051-01,12/12/2020,7709,1,"12,8","8,2","9,8","30,8","10,3","12,8"
Milk production,0051-01,7/11/2021,7715,1,13,11,"11,8","35,8","11,9",13
Milk production,0051-01,3/23/2021,7716,1,"12,2",11,11,"34,2","11,4","12,2"
Milk production,0051-01,12/10/2020,7719,1,"13,2",9,"9,4","31,6","10,5","13,2"
Milk production,0051-01,12/18/2020,7722,2,13,"9,8","9,2",32,"10,7",13
Milk production,0051-01,12/13/2020,7726,1,"14,2","9,8",12,36,"12,0","14,2"
Milk production,0051-01,8/17/2021,7731,2,17,"12,8",15,"44,8","14,9",17
Milk production,0051-01,8/24/2021,7737,3,"17,8",11,16,"44,8","14,9","17,8"
Milk production,0051-01,5/29/2021,7738,2,"15,8","12,6","12,8","41,2","13,7","15,8"
Milk production,0051-01,12/7/2020,7757,1,11,11,"10,8","32,8","10,9",11
Milk production,0051-01,3/24/2021,7766,1,"14,2",12,"11,2","37,4","12,5","14,2"
Milk production,0051-01,2/6/2021,7778,1,"14,8","9,8","11,2","35,8","11,9","14,8"
Milk production,0051-01,1/23/2021,7780,1,"12,2","9,2","11,8","33,2","11,1","12,2"
Milk production,0051-01,2/8/2021,7782,1,13,12,9,34,"11,3",13
Milk production,0051-01,8/30/2021,7783,2,"11,2","8,8","11,8","31,8","10,6","11,8"
Milk production,0051-01,6/3/2021,7786,1,3,2,2,7,"2,3",3
Milk production,0051-01,2/3/2021,7791,1,7,5,"5,2","17,2","5,7",7
Milk production,0051-01,12/11/2020,7792,1,"14,4",10,"11,8","36,2","12,1","14,4"
Milk production,0051-01,9/11/2020,7798,1,"14,8","10,8",11,"36,6","12,2","14,8"
Milk production,0051-01,5/23/2021,7799,1,11,"9,8",9,"29,8","9,9",11
Milk production,0051-01,10/31/2020,7800,1,"11,8","7,8",10,"29,6","9,9","11,8"
Milk production,0051-01,2/6/2021,7801,1,14,"10,2",10,"34,2","11,4",14
Milk production,0051-01,3/25/2021,7802,1,10,9,"8,8","27,8","9,3",10
Milk production,0051-01,2/18/2021,7803,1,13,"10,6",12,"35,6","11,9",13
Milk production,0051-01,1/28/2021,7809,1,"13,2","9,6","10,8","33,6","11,2","13,2"
Milk production,0051-01,1/24/2021,7813,1,"18,2","12,8","13,8","44,8","14,9","18,2"
Milk production,0051-01,12/12/2020,7814,1,"12,2",10,9,"31,2","10,4","12,2"
Milk production,0051-01,5/14/2021,7818,1,"11,8","7,2","9,8","28,8","9,6","11,8"
Milk production,0051-01,11/13/2020,7822,1,"12,6","9,6","10,4","32,6","10,9","12,6"
Milk production,0051-01,2/5/2021,7824,1,"9,6",7,"6,8","23,4","7,8","9,6"
Milk production,0051-01,5/15/2021,7831,1,14,"12,8","10,8","37,6","12,5",14
Milk production,0051-01,11/2/2020,7837,1,"13,2",10,8,"31,2","10,4","13,2"
Milk production,0051-01,3/26/2021,7848,1,14,10,11,35,"11,7",14
Milk production,0051-01,1/27/2021,7861,1,"10,6",8,"8,8","27,4","9,1","10,6"
Milk production,0051-01,11/3/2020,7863,1,16,"12,6","13,6","42,2","14,1",16
Milk production,0051-01,2/8/2021,7865,1,13,10,10,33,"11,0",13
Milk production,0051-01,2/8/2021,7872,1,"13,6","11,2",9,"33,8","11,3","13,6"
Milk production,0051-01,5/31/2021,7874,1,"16,2","11,2","13,8","41,2","13,7","16,2"
Milk production,0051-01,2/2/2021,7876,1,12,"9,8",8,"29,8","9,9",12
Milk production,0051-01,2/4/2021,7878,1,"14,2","10,2",11,"35,4","11,8","14,2"
Milk production,0051-01,2/8/2021,7886,1,"14,8","10,2","10,2","35,2","11,7","14,8"
Milk production,0051-01,5/26/2021,7890,1,"14,8","10,8","11,2","36,8","12,3","14,8"
Milk production,0051-01,2/6/2021,7891,1,"12,4",10,"11,8","34,2","11,4","12,4"
Milk production,0051-01,8/19/2021,7901,1,"14,8",10,"12,8","37,6","12,5","14,8"
Milk production,0051-01,5/5/2021,7903,1,"16,4","11,8","10,8",39,"13,0","16,4"
Milk production,0051-01,12/13/2020,7904,1,"11,2",8,"10,8",30,"10,0","11,2"
Milk production,0051-01,2/3/2021,7913,1,"12,8","8,8","10,2","31,8","10,6","12,8"
Milk production,0051-01,4/29/2021,7914,1,"14,2","9,2","10,4","33,8","11,3","14,2"
Milk production,0051-01,2/2/2021,7915,1,"11,8","7,6",9,"28,4","9,5","11,8"
Milk production,0051-01,5/19/2021,7917,1,"12,4","9,4","10,8","32,6","10,9","12,4"
Milk production,0051-01,1/29/2021,7918,1,"11,8","8,2","8,8","28,8","9,6","11,8"
Milk production,0051-01,12/18/2020,7923,1,11,"9,6","10,8","31,4","10,5",11
Milk production,0051-01,2/2/2021,7927,1,"17,2",12,"12,8",42,"14,0","17,2"
Milk production,0051-01,3/16/2021,7928,1,"12,8",9,"9,8","31,6","10,5","12,8"
Milk production,0051-01,3/13/2021,7929,1,13,9,"10,6","32,6","10,9",13
Milk production,0051-01,5/29/2021,7930,1,"16,6",13,"16,8","46,4","15,5","16,8"
Milk production,0051-01,2/4/2021,7933,1,"14,4","10,8","11,8",37,"12,3","14,4"
Milk production,0051-01,4/15/2021,7934,2,"11,4","8,8","9,8",30,"10,0","11,4"
Milk production,0051-01,5/26/2021,7937,1,12,8,9,29,"9,7",12
Milk production,0051-01,5/7/2021,7940,1,"16,6",10,"11,2","37,8","12,6","16,6"
Milk production,0051-01,2/6/2021,7941,1,13,9,"10,6","32,6","10,9",13
Milk production,0051-01,2/3/2021,7945,1,"15,4",9,9,"33,4","11,1","15,4"
Milk production,0051-01,3/19/2021,7946,3,"10,8","7,2",9,27,"9,0","10,8"
Milk production,0051-01,5/25/2021,7947,1,17,15,"12,2","44,2","14,7",17
Milk production,0051-01,2/8/2021,7948,1,"11,8","9,2","10,2","31,2","10,4","11,8"
Milk production,0051-01,4/29/2021,7954,1,"9,8","7,8",8,"25,6","8,5","9,8"
Milk production,0051-01,3/17/2021,7962,1,"15,8",11,10,"36,8","12,3","15,8"
Milk production,0051-01,2/14/2021,7969,1,"12,2","10,2","9,2","31,6","10,5","12,2"
Milk production,0051-01,5/7/2021,7971,1,16,12,"12,8","40,8","13,6",16
Milk production,0051-01,5/31/2021,7974,1,"13,8","10,6","11,8","36,2","12,1","13,8"
Milk production,0051-01,3/29/2021,7978,1,8,8,"9,6","25,6","8,5","9,6"
Milk production,0051-01,5/26/2021,7991,1,13,11,9,33,"11,0",13
Milk production,0051-01,3/22/2021,7994,2,"16,4","11,8","13,8",42,"14,0","16,4"
Milk production,0051-01,7/27/2021,7995,1,12,"9,8",11,"32,8","10,9",12
Milk production,0051-01,5/22/2021,8000,1,"15,8",11,"12,4","39,2","13,1","15,8"
Milk production,0051-01,2/10/2021,8001,1,"12,8","7,2","11,8","31,8","10,6","12,8"
Milk production,0051-01,5/23/2021,8004,1,14,10,"13,6","37,6","12,5",14
Milk production,0051-01,5/4/2021,8008,1,17,"12,6","13,8","43,4","14,5",17
Milk production,0051-01,5/14/2021,8011,1,"15,4","12,2","12,2","39,8","13,3","15,4"
Milk production,0051-01,7/29/2021,8012,2,"13,8","9,4","12,2","35,4","11,8","13,8"
Milk production,0051-01,4/28/2021,8013,1,15,12,"12,2","39,2","13,1",15
Milk production,0051-01,2/1/2021,8019,1,13,9,"10,8","32,8","10,9",13
Milk production,0051-01,5/21/2021,8029,1,"15,2","11,8","12,8","39,8","13,3","15,2"
Milk production,0051-01,5/30/2021,8044,1,"13,6","10,6",12,"36,2","12,1","13,6"
Milk production,0051-01,3/20/2021,8045,1,"14,2","11,2","10,8","36,2","12,1","14,2"
Milk production,0051-01,5/21/2021,8048,1,13,"10,8","14,4","38,2","12,7","14,4"
Milk production,0051-01,5/28/2021,8049,1,12,"9,8",10,"31,8","10,6",12
Milk production,0051-01,4/5/2021,8050,1,"9,8","8,2",10,28,"9,3",10
Milk production,0051-01,4/10/2021,8053,1,"12,6","10,6","8,8",32,"10,7","12,6"
Milk production,0051-01,4/7/2021,8054,1,11,"9,8",11,"31,8","10,6",11
Milk production,0051-01,5/6/2021,8055,1,13,13,"13,6","39,6","13,2","13,6"
Milk production,0051-01,5/31/2021,8058,1,"15,8","12,2","13,8","41,8","13,9","15,8"
Milk production,0051-01,5/2/2021,8060,1,17,"14,6",14,"45,6","15,2",17
Milk production,0051-01,4/9/2021,8061,1,10,"7,8","9,2",27,"9,0",10
Milk production,0051-01,5/31/2021,8064,1,"12,2","10,8",11,34,"11,3","12,2"
Milk production,0051-01,2/5/2021,8068,1,"11,6",10,"9,8","31,4","10,5","11,6"
Milk production,0051-01,3/31/2021,8077,1,"15,8",13,"11,8","40,6","13,5","15,8"
Milk production,0051-01,5/22/2021,8080,1,"11,2",7,"9,8",28,"9,3","11,2"
Milk production,0051-01,5/2/2021,8081,1,"14,6","11,8","12,4","38,8","12,9","14,6"
Milk production,0051-01,7/8/2021,8082,1,"12,8","12,2","13,6","38,6","12,9","13,6"
Milk production,0051-01,3/13/2021,8083,1,"10,2","8,8",10,29,"9,7","10,2"
Milk production,0051-01,3/21/2021,8084,1,"12,8","9,6",12,"34,4","11,5","12,8"
Milk production,0051-01,8/29/2021,8087,1,9,"7,8",8,"24,8","8,3",9
Milk production,0051-01,5/4/2021,8088,1,"13,8","11,2",11,36,"12,0","13,8"
Milk production,0051-01,4/2/2021,8090,3,"9,2","6,8","9,8","25,8","8,6","9,8"
Milk production,0051-01,4/23/2021,8095,1,"13,2","9,8","10,6","33,6","11,2","13,2"
Milk production,0051-01,5/27/2021,8099,1,15,10,11,36,"12,0",15
Milk production,0051-01,4/10/2021,8105,1,"11,2","9,8","12,6","33,6","11,2","12,6"
Milk production,0051-01,5/19/2021,8107,1,10,"7,6","10,6","28,2","9,4","10,6"
Milk production,0051-01,4/12/2021,8116,1,"14,8","10,6","11,8","37,2","12,4","14,8"
Milk production,0051-01,5/24/2021,8121,1,9,7,11,27,"9,0",11
Milk production,0051-01,3/22/2021,8122,1,"11,2",9,"10,6","30,8","10,3","11,2"
