Cat. Page,Item No.,Description,Case Pack,Weight (lbs) per case,Cubic Feet Per Case,Universal Product Code,Dangerous Goods Class," Indvl Width""    L to R",Indvl Lengt'' F to B,"Indvl Height""  T to B ",Indvl Cubic Ft.,Indvl.  Wt. lbs.,Case Dim. Length,"Case Dim. Width""","Case Dim. Height""",Cu.Ft.Per Case,Country of Origin
61,9511,Camp Knife - 11 Function,6,1.8,0.06,0 5638909511 3,,4.750,0.750,6.875,0.011,0.29,7.38,3.00,5.00,0.064,CHINA
21,9545,Safety Fork  ,12,7.5,0.58,0 5638909545 8,,4.500,0.500,42.000,0.049,0.61,42.63,5.25,4.50,0.583,TAIWAN
79,9549,Sew-On Flags - Canada,12,0.7,0.06,0 5638909549 6,,4.750,0.125,6.500,0.005,0.05,7.13,5.75,2.38,0.056,CHINA
44,9560,Emergency Stove   ,12,7.7,0.21,0 5638909560 1,,3.750,1.250,5.875,0.018,0.63,11.00,4.13,8.00,0.210,CHINA
44,9565,Fuel Tablets   ,12,4.7,0.13,0 5638909565 6,,3.000,1.125,4.875,0.010,0.38,9.00,3.25,7.38,0.125,CHINA
45,9586,Two Step Drinking Water Purification System,12,2.3,0.13,0 5638909586 1,,3.000,1.000,5.000,0.011,0.18,7.38,7.25,4.13,0.128,USA
25,9613,Camp Soap - 2 oz.   ,12,2.9,0.25,0 5638909613 4,,3.500,0.625,8.000,0.021,0.23,8.00,7.38,7.25,0.248,USA
25,9617,Camp Soap - 4 oz.   ,4,1.6,0.11,0 5638909617 2,,3.500,0.875,8.000,0.027,0.39,8.25,5.75,3.88,0.106,USA
39,9640,Rectangular Mosquito Net - White,6,4.5,0.44,0 5638909640 0,,10.000,0.250,14.000,0.074,0.74,10.50,10.25,7.13,0.444,CHINA
38,9648,Mosquito Netting   ,12,1.9,0.21,0 5638909648 6,,6.750,0.125,10.500,0.018,0.15,8.00,6.50,7.00,0.211,CHINA
78,9660,Mini Carabiners - 5 mm,12,0.5,0.03,0 5638909660 8,,3.000,0.125,5.375,0.002,0.04,5.75,2.38,3.25,0.026,CHINA
78,9665,Mini Carabiners - 6 mm,12,0.7,0.03,0 5638909665 3,,3.000,0.125,5.500,0.002,0.05,6.50,2.38,3.25,0.029,CHINA
21,9670,Telescoping Fork   ,12,1.8,0.08,0 5638909670 7,,2.500,0.625,13.375,0.007,0.14,14.50,3.75,2.50,0.079,CHINA
48,9685,Deluxe Map Compass,12,1.8,0.17,0 5638909685 1,,3.750,0.875,9.250,0.014,0.15,9.50,7.88,4.00,0.173,TAIWAN
61,9690,Camper's Tool   ,6,2.2,0.07,0 5638909690 5,,5.000,0.875,6.875,0.012,0.36,7.50,3.25,5.25,0.074,CHINA
87,9695,Seam Seal   ,12,3.0,0.20,0 5638909695 0,,4.250,1.000,5.000,0.016,0.24,6.50,6.50,8.00,0.196,USA
85,9710,Water Resistant Pouches - 3 Pack,12,4.6,0.22,0 5638909710 0,,5.750,0.125,13.125,0.019,0.37,12.13,6.38,5.00,0.224,TAIWAN
79,9712,Thermometer Key Ring,12,0.6,0.04,0 5638909712 4,,2.750,0.250,6.250,0.003,0.04,6.25,3.37,3.38,0.041,TAIWAN
79,9714,Thermometer and Compass Key Ring,12,0.6,0.04,0 5638909714 8,,2.750,0.250,6.000,0.003,0.04,6.25,3.38,3.38,0.041,TAIWAN
63,9720,Mini Shovel with Pick  ,4,5.3,0.18,0 5638909720 9,,3.875,2.125,7.625,0.045,1.30,8.00,8.13,4.75,0.179,TAIWAN
63,9725,Folding Shovel with Saw   ,4,10.0,0.63,0 5638909725 4,,6.000,2.875,13.750,0.157,2.44,12.38,6.25,14.00,0.627,TAIWAN
26,9737,Expandable Camp Jug - 2 Gallon,6,4.8,0.83,0 5638909737 7,,10.375,0.875,12.000,0.138,0.78,17.50,10.88,7.50,0.826,TAIWAN
47,9740,Compass with Thermometer,6,1.0,0.14,0 5638909740 7,,4.500,0.875,7.875,0.023,0.16,8.13,6.00,4.88,0.138,TAIWAN
69,9742,Plastic Mallet  ,6,3.1,0.34,0 5638909742 1,,4.250,1.875,17.750,0.056,0.51,13.25,9.25,4.75,0.337,CHINA
76,9750,Stretch Cord Assorted - 12 Pack,6,8.7,0.37,0 5638909750 6,,7.375,2.000,11.250,0.062,1.42,12.13,7.75,6.88,0.374,CHINA
39,9755,Rectangular Mosquito Net - Green,6,4.4,0.51,0 5638909755 1,,10.125,1.000,14.000,0.085,0.71,12.13,10.25,7.13,0.512,CHINA
39,9760,Double Mosquito Net - White,6,5.6,0.61,0 5638909760 5,,10.000,1.000,13.500,0.101,0.91,12.38,10.25,8.25,0.606,CHINA
39,9765,Double Mosquito Net - Green,6,5.4,0.63,0 5638909765 0,,10.250,1.250,14.250,0.104,0.87,12.38,10.00,8.75,0.627,CHINA
38,9770,Travellers Mosquito Net  ,4,5.7,0.81,0 5638909770 4,,10.375,2.750,12.625,0.202,1.38,10.75,10.38,12.50,0.807,CHINA
38,9775,Hikers Mosquito Net   ,4,2.2,0.24,0 5638909775 9,,3.750,3.000,8.000,0.060,0.54,8.00,7.25,7.13,0.239,CHINA
93,9785,Tripod Stool   ,4,5.6,0.67,0 5638909785 8,,3.375,3.375,21.750,0.168,1.37,7.25,7.38,21.75,0.673,CHINA
42,9801,Trek I First Aid Kit   ,12,2.6,0.33,0 5638909801 5,,5.125,0.750,7.625,0.027,0.21,13.50,11.25,3.75,0.330,USA 
42,9802,Trek II First Aid Kit   ,6,3.0,0.44,0 5638909802 2,,9.750,0.750,9.875,0.073,0.49,11.25,10.13,6.63,0.437,USA
42,9803,Trek III First Aid Kit   ,6,3.5,0.50,0 5638909803 9,,8.000,2.125,8.000,0.083,0.57,16.00,10.00,5.38,0.498,USA
56,9806,Citronella Tub Candles  ,12,2.8,0.15,0 5638909806 0,,3.000,0.750,6.000,0.013,0.23,7.13,5.50,6.63,0.150,CANADA
67,9809,"Steel Tent Stakes 9"" - 4 Pack",12,5.8,0.20,0 5638909809 1,,3.500,1.250,10.250,0.016,0.47,9.50,7.50,4.75,0.196,TAIWAN
67,9810,"Steel Tent Stakes 9"" - Bulk   ",50,5.3,0.13,0 5638909810 7,,0.625,1.000,9.000,0.003,0.10,9.75,5.75,3.88,0.126,TAIWAN
67,9812,"Steel Tent Stakes 12"" - 4 Pack",12,6.9,0.23,0 5638909812 1,,3.500,1.000,13.500,0.019,0.56,12.50,7.00,4.50,0.228,TAIWAN
67,9813,"Steel Tent Stakes 12"" - Bulk",50,6.7,0.16,0 5638909813 8,,0.250,1.000,12.000,0.003,0.13,12.38,5.63,4.00,0.161,TAIWAN
43,9815,Emergency Bag   ,12,2.7,0.14,0 5638909815 2,,3.000,1.000,6.000,0.012,0.22,10.50,7.13,3.25,0.141,CHINA
,,Lightsticks - Packaged,,, ,,,,,,,,,,, ,
55,9202,Lightsticks - Green - 2 Pack ,12,2.1,0.23,0 5638909202 0,,4.750,0.750,12.875,0.019,0.17,13.50,5.25,5.50,0.226,CHINA
55,9820,Lightsticks - Red - 2 Pack,12,2.1,0.23,0 5638909820 6,,4.750,0.750,12.875,0.019,0.17,13.50,5.25,5.50,0.226,CHINA
55,9830,Lightsticks - Blue - 2 Pack,12,2.1,0.23,0 5638909830 5,,4.750,0.750,12.875,0.019,0.17,13.50,5.25,5.50,0.226,CHINA
55,9836,Lightsticks - Orange - 2 Pack,12,2.1,0.23,0 5638909836 7,,4.750,0.750,12.875,0.019,0.17,13.50,5.25,5.50,0.226,CHINA
55,9840,Lightsticks - Yellow - 2 Pack,12,2.1,0.23,0 5638909840 4,,4.750,0.750,12.875,0.019,0.17,13.50,5.25,5.50,0.226,CHINA
55,9845,Lightsticks - Assorted - 4 Pack,6,2.0,0.26,0 5638909845 9,,4.750,0.750,15.000,0.042,0.32,15.25,5.25,5.50,0.255,CHINA
55,9848,"Lightsticks - 4"" Family Pack",12,2.6,0.15,0 5638909848 0,,4.125,1.125,5.875,0.012,0.21,8.00,6.50,4.88,0.147,CHINA
,,Lightsticks - Bulk,,, ,,,,,,,,,,, ,
55,9200,Lightsticks - Bulk - Green   ,50,2.9,0.19,0 5638909200 6,,1.125,0.500,8.625,0.004,0.06,9.38,6.38,5.63,0.195,CHINA
55,9821,Lightsticks - Red - 50 Pack Bulk,50,2.9,0.19,0 5638909821 3,,1.125,0.500,8.625,0.004,0.06,9.38,6.38,5.63,0.195,CHINA
55,9831,Lightsticks - Blue - 50 Pack Bulk,50,2.9,0.19,0 5638909831 2,,1.125,0.500,8.625,0.004,0.06,9.38,6.38,5.63,0.195,CHINA
55,9837,Lightsticks - Orange - 50 Pack Bulk,50,2.9,0.19,0 5638909837 4,,1.125,0.500,8.625,0.004,0.06,9.38,6.38,5.63,0.195,CHINA
55,9841,Lightsticks - Yellow - 50 Pack Bulk,50,2.9,0.19,0 5638909841 1,,1.125,0.500,8.625,0.004,0.06,9.38,6.38,5.63,0.195,CHINA
,,Lightsticks - Displays,,, ,,,,,,,,,,, ,
55,9200BD,Lightsticks - Display - Green,50,3.0,0.23,0 5638909200 6,,1.125,0.500,8.625,0.005,0.06,11.00,8.38,4.25,0.227,CHINA
55,9821BD,Lightsticks - Red - Display,50,3.0,0.23,0 5638909821 3,,1.125,0.500,8.625,0.005,0.06,11.00,8.38,4.25,0.227,CHINA
55,9831BD,Lightsticks - Blue - Display,50,3.0,0.23,0 5638909831 2,,1.125,0.500,8.625,0.005,0.06,11.00,8.38,4.25,0.227,CHINA
55,9837BD,Lightsticks - Orange - Display,50,3.0,0.23,0 5638909837 4,,1.125,0.500,8.625,0.005,0.06,11.00,8.38,4.25,0.227,CHINA
55,9837HL,Lightstick - Halloween Display,50,3.0,0.23,0 5638909837 4,,1.125,0.500,8.625,0.005,0.06,11.00,8.38,4.25,0.227,CHINA
55,9841BD,Lightsticks - Yellow - Display,50,3.0,0.23,0 5638909841 1,,1.125,0.500,8.625,0.005,0.06,11.00,8.38,4.25,0.227,CHINA
,,,,, ,,,,,,,,,,, ,
40,9850,Survival Kit-In-A-Can  ,12,2.9,0.18,0 5638909850 3,,4.250,1.000,8.875,0.015,0.23,10.38,6.75,4.50,0.182,CANADA
84,9856,Laundry Bag  ,6,2.0,0.18,0 5638909856 5,,6.375,1.250,10.500,0.029,0.33,9.50,4.63,6.88,0.175,CHINA
84,9869,Mesh Accessory Bags - 3 pack,12,1.3,0.15,0 5638909869 5,,5.875,1.000,7.375,0.012,0.10,7.13,6.50,5.50,0.147,CHINA
51,9900,"Signal Mirror - 2"" x 3"" - Bulk",12,1.5,0.04,0 5638909900 5,,3.500,0.375,2.750,0.003,0.12,5.75,3.00,3.75,0.037,JAPAN
51,9902,"Signal Mirror - 2"" x 3""  ",6,1.0,0.06,0 5638909902 9,,4.000,0.500,7.750,0.011,0.16,8.75,2.50,5.00,0.063,JAPAN
85,9918,Weatherproof Wallet   ,12,1.2,0.05,0 5638909918 0,,5.125,0.125,8.250,0.004,0.10,8.50,1.75,5.25,0.045,CHINA
79,9944,Zipper Pulls - 4 Pack,12,0.3,0.03,0 5638909944 9,,3.000,0.750,6.250,0.003,0.02,5.88,2.63,3.38,0.030,CHINA
44,9957,Folding Stove ,6,6.4,0.29,0 5638909957 9,,7.092,8.274,0.985,0.048,1.04,7.49,7.49,8.87,0.287,CHINA
25,9961,Multi-Spice  ,12,4.7,0.18,0 5638909961 6,,2.375,2.375,2.875,0.015,0.38,10.50,8.50,3.50,0.181,USA
91,9965,Solar Heated Camp Shower,4,4.0,0.33,0 5638909965 4,,6.875,2.250,9.250,0.083,0.97,16.00,5.13,7.00,0.332,CHINA
41,0015,Tick Remover  ,12,0.7,0.06,0 5638900015 5,,3.500,0.500,7.125,0.005,0.05,7.38,3.88,3.88,0.064,CHINA
74,0020,Polypropylene Rope 50',12,6.6,0.32,0 5638900020 9,,9.456,2.364,1.379,0.026,0.54,9.46,9.46,6.11,0.316,CHINA
27,0036,Bottle Carrier   ,12,2.8,0.29,0 5638900036 0,,5.500,1.000,9.500,0.024,0.23,10.00,9.25,5.38,0.288,CHINA
49,0044,Four Function Whistle   ,12,1.3,0.14,0 5638900044 5,,4.000,0.750,6.875,0.012,0.11,8.88,6.38,4.25,0.139,TAIWAN
"49, 103",0045,Bowl of Four Function Whistles 42 Count,42,2.9,0.18,0 5638900045 2,,5.750,5.750,8.125,0.004,0.07,6.25,6.25,8.00,0.181,TAIWAN
45,0047,Foot Warmers - 4 Pack,12,3.1,0.13,0 5638900047 6,,4.750,0.625,6.250,0.011,0.25,6.75,6.50,5.13,0.130,CHINA
45,0048,Foot Warmers - 2 Pack - Bulk,25,2.9,0.10,0 5638900048 3,,8.000,0.125,4.125,0.004,0.11,8.38,4.25,4.88,0.100,CHINA
36,0055,Bug Jacket - Small   ,6,2.2,0.35,0 5638900055 1,,5.500,1.500,10.750,0.058,0.35,8.00,6.50,11.63,0.350,CHINA
36,0057,Bug Jacket - Medium   ,6,2.3,0.35,0 5638900057 5,,5.500,1.750,11.000,0.058,0.38,8.00,6.50,11.63,0.350,CHINA
36,0059,Bug Jacket - Large   ,6,2.5,0.35,0 5638900059 9,,5.500,1.500,10.875,0.058,0.40,8.00,6.50,11.63,0.350,CHINA
36,0061,Bug Jacket - Extra Large  ,6,2.5,0.35,0 5638900061 2,,5.500,1.250,10.750,0.058,0.40,8.00,6.50,11.63,0.350,CHINA
36,0064,Bug Pants - Small   ,6,1.9,0.35,0 5638900064 3,,5.500,1.500,10.875,0.058,0.31,8.00,6.50,11.63,0.350,CHINA
36,0066,Bug Pants - Medium  ,6,1.9,0.35,0 5638900066 7,,5.500,1.500,10.875,0.058,0.31,8.00,6.50,11.63,0.350,CHINA
36,0068,Bug Pants - Large   ,6,2.0,0.35,0 5638900068 1,,5.500,1.500,10.750,0.058,0.33,8.00,6.50,11.63,0.350,CHINA
36,0070,Bug Pants - Extra Large   ,6,2.2,0.35,0 5638900070 4,,5.500,1.500,10.750,0.058,0.35,8.00,6.50,11.63,0.350,CHINA
25,0072,Multi-Grill Shaker   ,12,4.2,0.19,0 5638900072 8,,2.500,2.500,2.875,0.016,0.34,10.63,8.50,3.63,0.189,USA
58,0077,Machete with Sheath  ,6,7.6,0.41,0 5638900077 3,,4.625,1.250,26.500,0.068,1.24,26.88,5.13,5.13,0.409,CHINA
85,0118,Organizer Bags ,12,2.6,0.17,0 5638900118 3,,4.875,1.125,9.000,0.014,0.21,8.63,5.00,6.88,0.172,CHINA
33,0150,Fire Lighters  ,6,1.7,0.13,0 5638900150 3,,2.375,1.125,5.500,0.022,0.27,9.25,4.50,5.38,0.129,S.AFRICA
35,0160,No-See-Um Head Net,6,0.6,0.09,0 5638900160 2,,4.000,0.750,5.875,0.015,0.09,12.38,2.88,4.38,0.090,CHINA
78,0174,Mini Carabiners - 4 mm,12,0.4,0.03,0 5638900174 9,,3.000,0.125,5.375,0.002,0.03,5.75,2.38,3.25,0.026,CHINA
78,0178,Carabiners - 8 mm,12,1.0,0.06,0 5638900178 7,,3.000,0.125,5.500,0.005,0.08,6.00,4.50,3.63,0.057,CHINA
77,0180,"Quick Release Buckles 1""",12,1.2,0.05,0 5638900180 0,,4.000,0.375,5.750,0.004,0.10,6.38,4.50,3.25,0.054,CHINA
75,0181,Clothesline,12,2.7,0.26,0 5638900181 7,,4.250,1.750,8.500,0.022,0.22,9.25,9.25,5.25,0.260,CANADA
87,0194,Tent Pole Repair Kit  ,12,1.6,0.07,0 5638900194 7,,4.000,0.625,7.000,0.006,0.13,6.88,4.13,4.25,0.070,CHINA
87,0196,Replacement Shock Cord  ,12,1.3,0.08,0 5638900196 1,,4.125,0.375,6.625,0.006,0.10,7.88,3.88,4.25,0.075,CHINA
87,0205,Nylon Tent Repair Kit ,12,2.4,0.17,0 5638900205 0,,4.125,0.750,7.000,0.014,0.20,9.00,4.50,7.13,0.167,TAIWAN
,,Coghlan's For Kids,,, ,,,,,,,,,,, ,
98,0225,"4"" Lightsticks for Kids - 4 Pack",12,1.9,0.15,0 5638900225 8,,4.125,0.750,5.875,0.013,0.15,8.50,4.88,6.38,0.153,CHINA
99,0235,Seven Function Binoculars for Kids,6,1.3,0.19,0 5638900235 7,,4.750,2.000,9.250,0.031,0.20,10.00,4.88,6.63,0.187,CHINA
100,0238,Binoculars for Kids  ,4,1.5,0.09,0 5638900238 8,,3.350,1.900,6.200,0.024,0.37,11.25,3.75,3.88,0.095,CHINA
100,0240,Four Function Whistle for Kids,6,0.8,0.09,0 5638900240 1,,4.000,0.750,8.125,0.015,0.12,9.00,3.75,4.50,0.088,TAIWAN
"95, 100",0242,Poncho for Kids ,12,1.0,0.07,0 5638900242 5,,3.750,0.375,5.750,0.005,0.08,6.00,4.75,4.00,0.066,CHINA
,,,,, ,,,,,,,,,,, ,
77,0302,Sleeping Bag Bungee Cords,12,2.5,0.16,0 5638900302 6,,3.500,0.875,10.500,0.013,0.20,10.50,3.88,6.63,0.156,CHINA
79,0355,Multi-pack Carabiners,12,1.6,0.08,0 5638900355 2,,4.000,0.375,6.375,0.007,0.13,7.00,4.63,4.50,0.084,CHINA
79,0365,Carbiner with Compass,12,0.8,0.06,0 5638900365 1,,2.875,0.500,6.375,0.005,0.06,8.13,4.50,3.00,0.063,CHINA
51,0425,Bear Bell with Magnetic Silencer,12,1.2,0.06,0 5638900425 2,,2.750,1.250,5.375,0.005,0.09,10.75,1.88,5.38,0.063,CHINA
75,0433,Bunge Clothesline,6,1.4,0.12,0 5638900433 7,,5.000,1.000,7.000,0.020,0.22,8.25,4.88,5.25,0.122,CHINA
47,0448,Read in the Dark Compass,6,0.9,0.09,0 5638900448 1,,3.625,0.500,9.250,0.015,0.14,9.50,4.00,4.13,0.091,TAIWAN
44,0450,Camp Heat,12,13.4,0.40,0 5638900450 4,,7.000,3.500,2.250,0.033,1.09,14.00,10.25,4.75,0.394,USA
49,0466,Six Function Whistle,6,0.9,0.14,0 5638900466 5,,4.625,1.000,8.750,0.023,0.15,9.63,4.75,5.25,0.139,TAIWAN
60,0562,Pocket Sierra Saw,6,1.1,0.09,0 5638900562 4,,4.750,0.750,8.500,0.015,0.17,9.00,3.13,5.50,0.090,S.KOREA
35,0563,Youth Bug Jacket,6,2.0,0.34,0 5638900563 1,,5.500,1.250,10.750,0.057,0.32,8.00,6.38,11.63,0.343,CHINA
79,0572,Carabiner with Bottle Carrier,12,0.5,0.05,0 5638900572 3,,2.875,0.500,5.375,0.004,0.04,7.88,3.25,3.25,0.048,CHINA
30,0573,Wind Resistant Lighter,6,1.6,0.22,0 5638900573 0,,,,,0.036,0.26,7.00,4.00,13.25,0.215,CHINA
91,0621,Tissue on the Go -Bulk,24,2.4,0.22,0 5638900621 8,,5.250,1.375,2.375,0.009,0.10,9.75,6.00,6.50,0.220,CHINA
91,0622,Tissue on the Go - 2 Pack,6,1.3,0.14,0 5638900622 5,,6.875,1.250,6.500,0.024,0.20,9.00,6.13,4.50,0.144,CHINA
28,0660,Tablecloth Combo Pack,6,4.7,0.35,0 5638900660 7,,5.000,1.500,10.200,0.058,0.76,11.00,7.75,7.00,0.345,CHINA
93,0690,Inside/Outside Tent Mat,6,5.3,0.74,0 5638900690 4,,18.000,3.250,3.250,0.123,0.86,18.75,9.75,7.00,0.741,CANADA
26,0741,Bota Bag - 0.52 Gallon,6,2.8,0.39,0 5638900741 3,,9.125,1.500,16.250,0.065,0.45,16.13,9.63,4.38,0.393,Spain
20,0744,Cast Iron Camp Cooker ,3,8.0,0.39,0 5638900744 4,,5.000,1.750,27.000,0.130,2.61,27.00,5.00,5.00,0.391,China
51,0756,Magnetic Bear Bell - Red,6,0.6,0.04,0 5638900756 7,,2.750,1.500,5.875,0.007,0.10,7.00,1.88,5.50,0.042,China
51,0757,Magnetic Bear Bell - Blue,6,0.6,0.04,0 5638900757 4,,2.750,1.500,5.875,0.007,0.10,7.00,1.88,5.50,0.042,China
51,0758,Magnetic Bear Bell - Yellow,6,0.6,0.04,0 5638900758 1,,2.750,1.500,5.875,0.007,0.09,7.00,1.88,5.50,0.042,China
"51, 102",0760,Bowl of Bear Bells - 20 pieces,20,2.1,0.17,0 5638900760 4,,1.250,1.250,3.500,0.008,0.10,6.25,5.88,7.88,0.167,China
"78, 102",0765,"Carabiner Bowl - .24"" - 174 pieces",174,3.8,0.15,0 5638900765 9,,5.000,5.500,7.750,0.001,0.02,6.13,5.38,7.63,0.145,China
"78, 102",0778,"Carabiner Bowl - .31"" - 72 pieces",72,3.9,0.17,0 5638900778 9,,5.000,5.500,7.750,0.002,0.05,6.13,6.00,7.88,0.168,China
96,0809,Electric Air Pump 110/120V ,4,5.8,0.36,0 5638900809 0,,6.000,4.375,5.250,0.090,1.41,12.00,9.38,5.50,0.358,China
96,0815,Electric Air Pump 12V DC ,4,3.3,0.25,0 5638900815 1,,6.125,3.750,4.000,0.062,0.80,12.50,7.88,4.38,0.249,China
97,0817,Battery Air Pump 4D ,4,3.7,0.33,0 5638900817 5,,5.000,4.375,5.625,0.083,0.89,10.50,4.75,11.50,0.332,China
31,0829,Disposable Flex Lighter,12,3.4,0.33,0 5638900829 8,,3.500,0.875,12.250,0.027,0.27,6.88,6.38,13.00,0.330,China
53,0842,Micro Lantern,6,0.8,0.11,0 5638900842 7,,4.750,1.000,6.875,0.018,0.12,8.00,4.38,5.25,0.106,China
50,0844,Safety Whistle ,12,0.8,0.09,0 5638900844 1,,4.000,0.750,6.625,0.007,0.06,5.13,4.25,7.13,0.090,Taiwan
28,0902,Cooler Light,6,0.7,0.05,0 5638900902 8,,4.125,0.625,6.375,0.009,0.11,8.13,4.25,2.63,0.052,China
51,0905,Sight-Grid Signal Mirror,6,0.5,0.02,0 5638900905 9,,2.625,0.375,4.375,0.004,0.08,4.75,2.50,3.13,0.021,Japan
67,1000,Ultralight Tent Stakes - 4 Pack,6,1.3,0.05,0 5638901000 0,,3.500,0.500,13.750,0.009,0.20,9.38,3.75,2.63,0.053,China
67,1001,Ultralight Tent Stakes - Bulk,100,4.3,0.12,0 5638901001 7,,0.500,0.500,11.625,0.001,0.04,10.00,6.00,3.50,0.122,China
33,1005,Flint Striker,6,0.9,0.05,0 5638901005 5,,3.625,0.625,5.875,0.008,0.14,4.25,3.13,6.50,0.050,China
65,1009,"Skewer Pegs - 9"" - 4 Pack",12,3.1,0.12,0 5638901009 3,,3.750,0.375,10.750,0.010,0.25,11.13,4.00,4.63,0.119,China
66,1010,"Skewer Pegs - 9"" - Bulk",100,5.5,0.15,0 5638901010 9,,1.250,0.125,9.000,0.002,0.05,10.13,6.00,4.38,0.154,China
25,1012,Egg Holder - 2 Count,6,0.6,0.10,0 5638901012 3,,3.000,3.250,6.250,0.016,0.10,8.13,6.00,3.38,0.095,China
75,1014,Tarp Clips,8,1.2,0.05,0 5638901014 7,,4.137,3.546,0.788,0.006,0.15,6.50,3.94,3.35,0.050,CHINA
51,1018,Orange Trail Tape,6,1.3,0.05,0 5638901018 5,,3.000,1.125,6.250,0.008,0.21,6.88,3.38,3.63,0.049,Taiwan
82,1107,Lightweight Dry Bag 10L,4,0.8,0.18,0 5638901107 6,,4.750,2.000,8.000,0.046,0.18,8.13,7.38,5.25,0.182,China
82,1110,Lightweight Dry Bag 25L,4,1.0,0.18,0 5638901110 6,,4.750,2.000,8.000,0.046,0.23,8.13,7.38,5.25,0.182,China
82,1112,Lightweight Dry Bag 55L,4,1.2,0.18,0 5638901112 0,,4.750,2.000,8.000,0.044,0.29,8.13,7.38,5.13,0.178,China
22,1130,Heavy Duty Camp Grill,3,21.7,1.03,0 5638901130 4,,23.625,0.875,16.250,0.343,7.07,23.50,16.38,4.63,1.030,China
79,1152,Large Carabiner Carry Handle,6,1.9,0.11,0 5638901152 6,,6.500,0.625,5.875,0.019,0.31,6.63,4.75,6.25,0.114,China
59,1160,Pack Axe,4,4.7,0.16,0 5638901160 1,,6.375,0.750,14.000,0.040,1.14,14.38,6.75,2.88,0.161,Taiwan
"48, 103",1168,Bowl of Pin-On Compasses - 100 pieces,100,3.2,0.18,0 5638901168 7,,5.750,5.500,8.125,0.002,0.03,6.13,6.25,8.13,0.180,Taiwan
32,1170,Storm Matches,6,0.4,0.06,0 5638901170 0,,2.250,1.000,5.000,0.011,0.07,6.00,5.25,3.50,0.064,India
54,1202,Dynamo Flashlight,6,0.6,0.06,0 5638901202 8,,3.875,0.500,5.875,0.010,0.10,6.25,4.13,4.00,0.060,China
"54, 103",1203,Bowl of Dynamo Flashlights - 50 pieces,50,3.1,0.15,0 5638901203 5,,5.750,5.500,8.125,0.003,0.06,6.00,5.63,7.63,0.149,China
26,1205,Collapsible Water Container,6,7.7,1.17,0 5638901205 9,,9.456,3.349,10.638,0.195,1.26,19.70,10.84,9.46,1.168,China
81,1219,Pop-Up Camp Trash Can,4,6.9,0.92,0 5638901219 6,,19.500,1.500,21.000,0.229,1.68,20.13,4.00,19.63,0.914,China
20,1230,Camper's S'mores Grill,6,5.5,0.40,0 5638901230 1,,4.625,1.500,29.250,0.066,0.90,29.63,5.13,4.53,0.398,Taiwan
49,1235,Trail Compass,12,0.9,0.08,0 5638901235 6,,3.500,0.125,7.875,0.007,0.07,8.25,4.13,4.00,0.079,Taiwan
"49, 103",1236,Bowl of Trail Compasses - 90 pieces,90,3.7,0.18,0 5638901236 3,,5.750,5.500,8.125,0.002,0.04,6.38,6.25,8.00,0.184,Taiwan
50,1240,Emergency Survival Horn,6,0.7,0.14,0 5638901240 0,,4.500,1.875,6.875,0.024,0.11,7.00,7.25,4.88,0.143,China
23,1305,3 pc. Nylon Utensil Set,4,1.1,0.13,0 5638901305 6,,3.500,1.750,14.000,0.032,0.27,12.50,4.11,4.30,0.128,China
19,1340,Stainless Coffee Pot - 9 Cup,4,6.7,0.88,0 5638901340 7,,7.625,4.000,8.250,0.220,1.64,15.50,10.63,9.25,0.882,China
19,1342,Stainless Coffee Pot - 12 Cup,4,9.5,1.15,0 5638901342 1,,8.750,5.750,9.000,0.287,2.32,24.00,8.88,9.33,1.149,China
19,1346,Aluminum Coffee Pot - 9 Cup,4,4.2,0.71,0 5638901346 9,,5.000,4.000,8.250,0.176,1.02,11.63,11.63,9.00,0.704,China
85,1350,"Load 'N Lock Pouch 4"" x 6""",6,1.0,0.12,0 5638901350 6,,3.750,0.750,7.125,0.020,0.16,8.25,5.25,4.75,0.119,TAIWAN
85,1352,"Load 'N Lock Pouch 5.5"" x 8""",4,1.2,0.24,0 5638901352 0,,6.250,1.875,9.500,0.059,0.29,9.63,6.25,6.75,0.235,TAIWAN
73,1360,Utility Cord - 3 mm,12,1.8,0.14,0 5638901360 5,,1.750,1.125,8.500,0.012,0.15,7.13,6.75,5.00,0.139,CHINA
73,1365,Utility Cord - 5 mm,12,4.2,0.26,0 5638901365 0,,2.750,1.750,9.500,0.022,0.34,8.88,8.25,6.13,0.260,CHINA
73,1370,Utility Cord - 7 mm,12,8.2,0.48,0 5638901370 4,,2.750,1.500,11.750,0.040,0.67,11.50,10.75,6.75,0.483,CHINA
73,1375,Utility Rope - 6 mm,12,6.9,0.46,0 5638901375 9,,2.500,1.500,10.500,0.038,0.56,10.75,9.88,7.50,0.461,CHINA
43,1390,Emergency Survival Poncho,6,1.7,0.10,0 5638901390 2,,3.875,1.000,5.875,0.017,0.27,10.25,3.88,4.38,0.101,CHINA
72,1406,Paracord Bracelet,8,0.5,0.05,0 5638901406 0,,2.400,1.000,6.000,0.007,0.06,6.13,5.50,2.75,0.054,CHINA
50,1414,Air Horn - 1.4 oz ,4,1.2,0.13,0 5638901414 5,,4.000,1.250,7.625,0.032,0.29,4.25,6.25,8.25,0.127,USA
32,1424,Fire Disc - Display - 24 pieces,24,5.5,0.29,0 5638901424 4,,3.750,0.875,3.750,0.012,0.22,12.50,9.63,4.13,0.287,USA
