Material,Texto breve de material,UMB,Precio,por,Moneda,Valor UNI
11005424,MEDALLON DE POLLO PORCION PREELAB 220 GR,KG,"310,000",100,CLP," $  3,100 "
11005454,PECHUGA POLLO EMPANIZADA 100 GR,KG,"350,731",100,CLP," $  3,507 "
11005479,MALAYA DE CERDO KG,KG,"391,480",100,CLP," $  3,915 "
11005480,PAN CONG AMASADO SANDWICH GRANDE 110 GR,KG,"182,500",100,CLP," $  1,825 "
11005486,BIFE CHORIZO LOMO LISO 300 GR,KG,"830,000",100,CLP," $  8,300 "
11005488,BIFE ANCHO LOMO VETADO 300 GR,KG,"800,000",100,CLP," $  8,000 "
11005490,ENTRAÑAS 400 GR,KG,"898,467",100,CLP," $  8,985 "
11005496,VACUNO FILETE PORCION 200 GR KG,KG,"1,175,500",100,CLP," $  11,755 "
11005555,CARPACCIO DE SALMON KG,KG,"13,596",1,CLP," $  13,596 "
11005556,LOMO LISO PORCION 1 KG,KG,"7,171",1,CLP," $  7,171 "
11005568,QUICHE FAMILIAR CHAMPIÑON 980 GR,UN,"607,050",100,CLP," $  6,071 "
11005569,QUICHE FAMILIAR ESPINACA Y QUESO 980 GR,UN,"607,050",100,CLP," $  6,071 "
11005570,QUICHE FAMILIAR LORRAINE 980 GR,UN,"607,050",100,CLP," $  6,071 "
11005585,VACUNO OJO DE BIFE C/H KG,KG,"10,674",1,CLP," $  10,674 "
11005587,SALSA BOLOGÑESA PREELABORADO KG,KG,"4,300",1,CLP," $  4,300 "
11005588,SALSA ALFREDO PREELABORADO KG,KG,"3,168",1,CLP," $  3,168 "
11005589,PAPAS MAYO PREELABORADO KG,KG,"1,090",1,CLP," $  1,090 "
11005590,BUDIN DE VERDURAS PREELABORADO KG,KG,"2,075",1,CLP," $  2,075 "
11005591,POROTOS CON PILCO PREELABORADO KG,KG,"1,364",1,CLP," $  1,364 "
11005592,RAVIOLI PREELABORADO KG,KG,"1,366",1,CLP," $  1,366 "
11005593,ARROZ C/ZANAHORIA PREELABORADO KG,KG,583,1,CLP, $  583 
11005594,PURE DE PAPAS PREELABORADO KG,KG,"2,329",1,CLP," $  2,329 "
11005605,BROWNIE UN,UN,430,1,CLP, $  430 
11005610,MUFFIN CONGELADO DE FRAMBUESA 125 GR,UN,348,1,CLP, $  348 
11005617,YOGHURT BATIDO NESTLE 125 GR,UN,"25,125",100,CLP, $  251 
11005618,YOGHURT SVELTY NESTLE 125 GR,UN,"12,100",100,CLP, $  121 
11005619,YOGHURT TROZOS NESTLE 125 GR,UN,"33,525",100,CLP, $  335 
11005625,TOMATICAN PREELABORADO KG,KG,"3,915",1,CLP," $  3,915 "
11005627,FETUCCINI PREELABORADO KG,KG,"1,115",1,CLP," $  1,115 "
11005645,CEBOLLIN FRESCO UN,UN,"1,425",1,CLP," $  1,425 "
11005665,ANILLOS CEBOLLA 907 GR,UN,"3,015",1,CLP," $  3,015 "
11005675,CAVIAR DE LUMPO ROJO FCO 100 GR,UN,"6,463",1,CLP," $  6,463 "
11005676,CAVIAR DE LUMPO NEGRO FCO 50 GR,UN,"4,531",1,CLP," $  4,531 "
11005745,HELADO CHIRIMOYA ALEGRE PALETA,UN,215,1,CLP, $  215 
11005757,GYOSA CERDO BOL 20 UN,UN,"207,200",100,CLP," $  2,072 "
11005758,GYOSA CAMARON BOL 20 UN,UN,"207,200",100,CLP," $  2,072 "
11005769,POLLO ENTERO CONGELADO S/MENUDENCIAS KG,KG,"2,416",1,CLP," $  2,416 "
11005786,EMPANADA CHAMPIÑON CONGELADA CJ 20 UN,UN,"24,600",100,CLP, $  246 
11005787,EMPANADA ESPINACA CONG CJ 20 UN,UN,"23,500",100,CLP, $  235 
11005792,QUICHE CHAMPIÑON CEBOLLA CONG CJ 18 UN,UN,920,1,CLP, $  920 
11005795,SOPAIPILLA COCKTAIL CONG CJ 100 UN,UN,70,1,CLP, $  70 
11005806,CREMA LARGA VIDA LT,UN,"177,956",100,CLP," $  1,780 "
11005807,CHORITO JUGOSON CONGELADO 80/100 KG,KG,"2,000",1,CLP," $  2,000 "
11007052,CHOCLO FRESCO AMERICANO KG,KG,"260,000",100,CLP," $  2,600 "
11007055,QUICHE ESPINACA INDIVIDUAL CONG CJ 36 UN,UN,"39,009",100,CLP, $  390 
11007057,QUICHE LORRAINE INDIVIDUAL CONG CJ 36 UN,UN,"35,000",100,CLP, $  350 
11007059,PEREJIL FRESCO KG,KG,"232,007",100,CLP," $  2,320 "
11007066,VACUNO LOMO LISO ANGUS KG,KG,"899,000",100,CLP," $  8,990 "
11007075,PAN CONGELADO CROISSANT 25 GR,UN,"15,000",100,CLP, $  150 
11007089,PULPA DE CERDO JULIANA KG,KG,"364,753",100,CLP," $  3,648 "
11007090,PECHUGA DE PAVO 200 GR,KG,"607,636",100,CLP," $  6,076 "
11007092,PECHUGA DE POLLO JULIANA KG,KG,"375,940",100,CLP," $  3,759 "
11007093,ALBONDIGA KG,KG,"334,603",100,CLP," $  3,346 "
11007096,PULPA DE CERDO 200 GR,KG,"3,215",1,CLP," $  3,215 "
11007135,CHORITOS CARNE CONGELADOS KG,KG,"2,500",1,CLP," $  2,500 "
11007167,LOCO COCIDO CONGELADO BOLSA 10 UN,BOL,"1,749,278",100,CLP," $  17,493 "
11007196,MIX FLORES COMESTIBLES 100 GR,UN,"1,500,000",100,CLP," $  15,000 "
11007198,LECHUGA FRESCA COSTINA GOURMET KG,KG,"147,800",100,CLP," $  1,478 "
11007265,MASA DE PASTA ARTESANAL KG,UN,"2,163",1,CLP," $  2,163 "
11007478,KALE KG,KG,"7,190",1,CLP," $  7,190 "
11007482,CHEESE BURGUER MEDIANA,UN,"91,600",100,CLP, $  916 
11007565,MINI DONUT CHOCOLATE 27 GR,UN,"14,700",100,CLP, $  147 
11007566,MINI DONUT AZUCAR 24 GR,UN,"13,800",100,CLP, $  138 
11007591,CAMARON APANADO KG,KG,"7,999",1,CLP," $  7,999 "
11007746,VACUNO LOMO VETADO C/H 3 CM,KG,"1,150,000",100,CLP," $  11,500 "
11007747,VACUNO LOMO VETADO C/H 9 CM,KG,"1,150,000",100,CLP," $  11,500 "
11007751,POLLO TRUTO CORTO CONGELADO C/HUESO KG,KG,"1,525",1,CLP," $  1,525 "
11007752,POLLO TRUTO ALA CONGELADO C/HUESO KG,KG,"2,000",1,CLP," $  2,000 "
11008019,YOGHURT SIN LACTOSA SABORES 125 GR,UN,"21,775",100,CLP, $  218 
11008078,FLORES COMESTIBLES CJ 50 GR,UN,"279,926",100,CLP," $  2,799 "
11008090,MICRO MIX DE BROTES FRESCOS 60 GR,UN,"2,800",1,CLP," $  2,800 "
12000026,VITAMIN WATER POWER C BT 500 CC,UN,"73,000",100,CLP, $  730 
12000037,NO USAR BEBS COCA COLA ZERO LATA 250 CC,UN,277,1,CLP, $  277 
12000154,AGUA MINERAL VITAL C/GAS BT 500 CC,BOT,297,1,CLP, $  297 
12000155,BEB FTSIA COCA COLA BT 580 CC,UN,"47,041",100,CLP, $  470 
12000156,AGUA MINERAL CON GAS CACHANTUN BT 350 CC,BOT,"22,987",100,CLP, $  230 
12000159,AGUA MINERAL PERRIER C/GAS BT 330 CC,BOT,814,1,CLP, $  814 
12000160,"AGUA MINERAL VITAL C/GAS BOT 1,5 LT",BOT,"43,775",100,CLP, $  438 
12000161,AGUA MINERAL VITAL C/GAS BT 1.6 LT,BOT,"44,075",100,CLP, $  441 
12000164,AGUA MINERAL VITAL C/GAS BT 350 CC,BOT,"21,775",100,CLP, $  218 
12000166,NO USAR AGUA MRAL EVIAN S/GAS 330 CC,BOT,"91,371",100,CLP, $  914 
12000171,AGUA MINERAL LATE S/GAS BT 500 CC,BOT,"38,150",100,CLP, $  382 
12000175,AGUA MINERAL VITAL S/GAS BT 500 CC,BOT,322,1,CLP, $  322 
12000176,AGUA MINERAL (PLAS)EVIAN S/GAS BT 330 CC,BOT,785,1,CLP, $  785 
12000180,"AGUA MINERAL VITAL S/GAS BOT 1,5 CC",BOT,"57,350",100,CLP, $  574 
12000181,AGUA MINERAL VITAL S/GAS BT 1.6 LT,BOT,301,1,CLP, $  301 
12000183,AGUA MINERAL VITAL S/GAS BT 340 CC,BOT,271,1,CLP, $  271 
12000184,AGUA MINERAL VITAL S/GAS BT 350 CC,BOT,"21,848",100,CLP, $  218 
12000186,AGUA MINERAL SAN PELLEGRINO BT 250 CC,BOT,"27,960",100,CLP, $  280 
12000189,LICOR AMARETTO DI SARONNO BT 700 CC,BOT,"13,901",1,CLP," $  13,901 "
12000193,ANIS CHINCHON BT 700 CC,BOT,"13,482",1,CLP," $  13,482 "
12000198,BAG IN BOX COCA COLA CJ 20 LT,CJ,"65,295",1,CLP," $  65,295 "
12000199,BAG IN BOX COCA COLA LIGHT CJ 10 LT,CJ,"26,458",1,CLP," $  26,458 "
12000201,BAG IN BOX COCA COLA ZERO CJ 10 LT,CJ,"30,286",1,CLP," $  30,286 "
12000202,BAG IN BOX ANDIFRUT DURAZNO CJ 10 LT,CJ,"18,927",1,CLP," $  18,927 "
12000203,BAG IN BOX FANTA CJ 10 LT,CJ,"28,243",1,CLP," $  28,243 "
12000204,BAG IN BOX FANTA CJ 20 LT,CJ,"55,250",1,CLP," $  55,250 "
12000205,BAG IN BOX ANDIFRUT NARANJA CJ 10 LT,CJ,"22,370",1,CLP," $  22,370 "
12000206,BAG IN BOX ANDIFRUT PIÑA CJ 10 LT,CJ,"22,369",1,CLP," $  22,369 "
12000208,BAG IN BOX SPRITE CJ 10 LT,CJ,"32,736",1,CLP," $  32,736 "
12000209,BAG IN BOX SPRITE CJ 20 LT,CJ,"6,529,400",100,CLP," $  65,294 "
12000211,BAG IN BOX SPRITE ZERO CJ 10 LT,CJ,"30,287",1,CLP," $  30,287 "
12000213,BEB FTSIA AGUA ROSA CL ALWADI 33CC,BOT,"256,733",100,CLP," $  2,567 "
12000214,BEB FTSIA AGUA SODA SIFON 1.5 LT,UN,"37,800",100,CLP, $  378 
12000218,BEB FTSIA AGUA TONICA NORDIC BT 1.5 LT,BOT,"43,575",100,CLP, $  436 
12000221,BEB FTSIA AGUA TONICA NORDIC LATA 250 CC,UN,223,1,CLP, $  223 
12000222,BEB FTSIA AGUA TONICA LT 350 CC,UN,"46,267",100,CLP, $  463 
12000223,BEB FTSIA COCA COLA BT 500 CC,BOT,"28,976",100,CLP, $  290 
12000225,BEB FTSIA COCA COLA BT 350 CC,BOT,263,1,CLP, $  263 
12000228,BEB FTSIA COCA COLA LIGHT BT 350 CC,BOT,245,1,CLP, $  245 
12000229,BEB FTSIA COCA COLA LIGHT LT 250 CC,UN,242,1,CLP, $  242 
12000230,NO USAR BEB COCA COLA LGH LT 250 CC,UN,247,1,CLP, $  247 
12000231,BEB FTSIA COCA COLA LIGHT LT 350 CC,UN,323,1,CLP, $  323 
12000232,BEB FTSIA COCA COLA LT 250 CC,UN,256,1,CLP, $  256 
12000233,BEB FTSIA COCA COLA LT 350 CC,UN,343,1,CLP, $  343 
12000234,BEB FTSIA COCA COLA ZERO BT 3 LT,BOT,"1,125",1,CLP," $  1,125 "
12000235,BEB FTSIA COCA COLA ZERO BT 350 CC,BOT,263,1,CLP, $  263 
12000236,BEB FTSIA COCA COLA ZERO LT 350 CC,UN,324,1,CLP, $  324 
12000239,BEB FTSIA DIET GREE TEA C/GINSE BT 473ML,BOT,"12,002",1,CLP," $  12,002 "
12000240,ENERGETICA DARK DOG LIGHT LATA 250CC,UN,963,1,CLP, $  963 
12000241,ENERGETICA RED BULL LATA 250 CC,UN,"1,204",1,CLP," $  1,204 "
12000242,ENERGETICA DARK DOG LATA 250 CC,UN,790,1,CLP, $  790 
12000247,BEB FTSIA GIN ALE CANADA DRY LATA 350 CC,UN,347,1,CLP, $  347 
12000249,BEB FTSIA GINGER ALE NORDIC LATA 250 CC,UN,210,1,CLP, $  210 
12000250,BEB FTSIA GINGER ALE NORDIC BT 1.5 LT,BOT,"82,881",100,CLP, $  829 
12000253,BEB FTSIA GINGER ALE NORDIC BOT 250 CC,UN,248,1,CLP, $  248 
12000254,BEB FTSIA GREE TEA C/GINSE-MIEL BT 473ML,BOT,"11,903",1,CLP," $  11,903 "
12000267,NO USAR RED BULL ENERGY DRINK 250 ML,UN,944,1,CLP, $  944 
12000271,NO USAR BEB FTSIA SPRITE LGH BOT 350 CC,BOT,311,1,CLP, $  311 
12000273,BEB FTSIA SPRITE LIGHT LATA 350 CC,UN,740,1,CLP, $  740 
12000274,BEB FTSIA SPRITE ZERO BT 1.5 LT,BOT,722,1,CLP, $  722 
12000275,BEB FTSIA SPRITE ZERO BT 350 CC,BOT,272,1,CLP, $  272 
12000276,BEB FTSIA SPRITE ZERO LT 350 CC,UN,352,1,CLP, $  352 
12000285,BEB FTSIA COCA COLA BT 3 LT,BOT,856,1,CLP, $  856 
12000286,NO USAR BEBS COCA COLA LT 250 CC,UN,215,1,CLP, $  215 
12000287,NO USAR BEBS COCA COLA LT 250 CC,UN,193,1,CLP, $  193 
12000293,BEB FTSIA FANTA BT 3 LT,BOT,"1,198",1,CLP," $  1,198 "
12000294,BEB FTSIA FANTA BT 350 CC,BOT,261,1,CLP, $  261 
12000295,BEB FTSIA FANTA LT 250 CC,UN,261,1,CLP, $  261 
12000296,NO USAR BEBS  FANTA LT 250 CC,UN,274,1,CLP, $  274 
12000297,BEB FTSIA FANTA LT 350 CC,UN,334,1,CLP, $  334 
12000298,BEB FTSIA FANTA BT 500 CC,BOT,"39,813",100,CLP, $  398 
12000300,BEB FTSIA COCA COLA BT 590 CC,BOT,"52,735",100,CLP, $  527 
12000301,BEB FTSIA FANTA BOT 590 CC,BOT,"46,875",100,CLP, $  469 
12000303,BEB FTSIA SPRITE BT 500 CC,BOT,"39,818",100,CLP, $  398 
12000305,BEB FTSIA SPRITE BT 3 LT,BOT,"1,192",1,CLP," $  1,192 "
12000306,BEB FTSIA SPRITE BT 350 CC,BOT,263,1,CLP, $  263 
12000307,BEB FTSIA SPRITE LT 250 CC,UN,257,1,CLP, $  257 
12000308,NO USAR BEBS SPRITE LT 250 CC,UN,277,1,CLP, $  277 
12000309,BEB FTSIA SPRITE LT 350 CC,UN,338,1,CLP, $  338 
12000311,LICOR BITTER CAMPARI BT 750 CC,BOT,"6,719",1,CLP," $  6,719 "
12000313,BOURBON JACK DANIELS GENTLEMAN BT 750 CC,BOT,"23,808",1,CLP," $  23,808 "
12000314,NO USAR BOURBON JACK DANIELS OLD 7 B 750,BOT,"1,031,371",100,CLP," $  10,314 "
12000315,BRANDY CARLOS I BT 750 CC,BOT,"1,813,000",100,CLP," $  18,130 "
12000317,BRANDY DUQUE DEL ALBA BT 750 CC,BOT,"21,890",1,CLP," $  21,890 "
12000320,BRANDY LEPANTO BT 750 CC,BOT,"36,888",1,CLP," $  36,888 "
12000321,LICOR APEROL BT 750 CC,BOT,"677,277",100,CLP," $  6,773 "
12000323,CERVEZA AUSTRAL PATAGONA BT 330 CC,BOT,791,1,CLP, $  791 
12000325,CERVEZA KUNSTMANN S/ALCOHOL BT 330 CC,BOT,995,1,CLP, $  995 
12000328,CERVEZA AUSTRAL CALAFATE BT 330 CC,BOT,801,1,CLP, $  801 
12000330,CERVEZA AUSTRAL YAGAN BT 330 CC,BOT,676,1,CLP, $  676 
12000331,CERVEZA MODELO ESPECIAL BT 330 CC,BOT,672,1,CLP, $  672 
12000332,CERVEZA BUDWEISER BT 355 CC,BOT,593,1,CLP, $  593 
12000333,CERVEZA BUDWEISER LT 350 CC,UN,504,1,CLP, $  504 
12000334,GAS CO2 CILINDRO 10 KG PARA CERVEZA,UN,"5,540",1,CLP," $  5,540 "
12000335,CERVEZA CORONA EXTRA BT 355 CC,BOT,601,1,CLP, $  601 
12000336,CERVEZA CRISTAL BARRIL 50 LT,TR,"26,840",1,CLP," $  26,840 "
12000337,CERVEZA BECK´S BT 275 CC,BOT,"50,094",100,CLP, $  501 
12000338,CERVEZA CRISTAL LT 350 CC,UN,350,1,CLP, $  350 
12000339,CERVEZA CRISTAL BT 330 CC,BOT,352,1,CLP, $  352 
12000340,CERVEZA ESCUDO BT 355 CC,BOT,367,1,CLP, $  367 
12000344,CERVEZA HEINEKEN BOT 330 CC,BOT,668,1,CLP, $  668 
12000345,CERVEZA HEINEKEN LT 350 CC,UN,511,1,CLP, $  511 
12000346,CERVEZA IMPERIAL LAGER BT 330 CC,BOT,"91,829",100,CLP, $  918 
12000347,CERVEZA CRISTAL LIGHT BT 355 CC,BOT,"50,000",100,CLP, $  500 
12000348,CERVEZA CRISTAL LIGHT LT 350 CC,UN,"38,450",100,CLP, $  385 
12000349,CERVEZA IMPERIAL DUNKEL BT 330 CC,BOT,616,1,CLP, $  616 
12000352,CERVEZA KUNSTMANN BOCK BT 330 CC,BOT,801,1,CLP, $  801 
12000353,CERVEZA KUNSTMANN LAGER BT 330 CC,BOT,"1,080",1,CLP," $  1,080 "
12000354,CERVEZA KUNSTMANN MIEL BT 330 CC,BOT,824,1,CLP, $  824 
12000361,CERVEZA NEGRA MODELO BT 325 CC,BOT,806,1,CLP, $  806 
12000364,CERVEZA ROYAL BT 355 CC,BOT,476,1,CLP, $  476 
12000365,CERVEZA ROYAL LATA 350 CC,UN,374,1,CLP, $  374 
12000372,CHAMPAGNE BRUT G-MILLESIM GOSSET BT 750C,BOT,"49,206",1,CLP," $  49,206 "
12000374,CHAMPAGNE BRUT MOET CHANDON BT 750 CC,BOT,"2,441,900",100,CLP," $  24,419 "
12000377,CHAMPAGNE BRUT SUPREM UNDURRAGA BT 750CC,BOT,"7,298",1,CLP," $  7,298 "
12000379,ESPUMANTE BRUT VALDIVIESO BT 750 CC,BOT,"361,050",100,CLP," $  3,611 "
12000380,CHAMPAGNE BRUT VEUVE CLICQUOT BT 750 CC,BOT,"30,966",1,CLP," $  30,966 "
12000384,VINO ES DOM PERIGNON BOT 750 CC,BOT,"11,775,180",100,CLP," $  117,752 "
12000385,CHAMPAGNE DEMI SEC CUVEE MUMM BT 750 CC,BOT,"4,657",1,CLP," $  4,657 "
12000391,CHAMPAGNE D-SEC VALDIVIESO BT 375 CC,BOT,"1,691",1,CLP," $  1,691 "
12000392,CHAMPAGNE D-SEC VALDIVIESO BT 750 CC,BOT,"1,627",1,CLP," $  1,627 "
12000393,ESPUMANTE EXTRA BRUT CUVEE MUMM BT 750CC,BOT,"6,656",1,CLP," $  6,656 "
12000394,CHAMPAGNE EXTR BRUT VALDIVIESO BT 750 CC,BOT,"2,519",1,CLP," $  2,519 "
12000397,CHAMPAGNE GOSSET GRAND MILLESIM BT 750CC,BOT,"4,788,300",100,CLP," $  47,883 "
12000398,CHAMPAGNE CODORNIU BRUT BT 750 CC,BOT,"6,443",1,CLP," $  6,443 "
12000403,CHAMPAGNE D SEC MOET CHANDON BT 750 CC,BOT,"30,209",1,CLP," $  30,209 "
12000417,CHERRY MITJANS BT 750 CC,BOT,"1,716",1,CLP," $  1,716 "
12000419,CHICHA BT 700 CC,BOT,901,1,CLP, $  901 
12000424,COGNAC COURVOISIER VSOP BT 700 CC,BOT,"27,140",1,CLP," $  27,140 "
12000425,COGNAC HENNESSY VSOP BT 700 CC,BOT,"48,592",1,CLP," $  48,592 "
12000427,COGNAC REMY MARTIN VSOP BT 750 CC,BOT,"29,485",1,CLP," $  29,485 "
12000428,COGNAC 3 PALOS BT 1 LT,BOT,"4,196",1,CLP," $  4,196 "
12000429,COGNAC GASTON LAGRANGE BT 700 CC,BOT,"15,657",1,CLP," $  15,657 "
12000430,COGNAC HENNESSY VS BT 700 CC,BOT,"22,997",1,CLP," $  22,997 "
12000432,COGNAC HENNESSY VSOP BT 700 CC,BOT,"24,023",1,CLP," $  24,023 "
12000433,COGNAC MARTELL VS BT 700 CC,BOT,"1,580,392",100,CLP," $  15,804 "
12000434,COGNAC REMY MARTIN XO 50 AÑOS BT 750 CC,BOT,"141,345",1,CLP," $  141,345 "
12000436,LICOR CREMA DE BANANA BT 700 CC,BOT,"2,109",1,CLP," $  2,109 "
12000439,LICOR CREMA DE CASSIS BOLS BT 750 CC,BOT,"4,086",1,CLP," $  4,086 "
12000441,CREMA MARULA AMARULA BT 750 CC,BOT,"7,361",1,CLP," $  7,361 "
12000442,LICOR CURACAO AZUL BOLS BT 700 CC,BOT,"2,671",1,CLP," $  2,671 "
12000445,CURACAO AZUL MITJANS BT 750 CC,BOT,"2,343",1,CLP," $  2,343 "
12000451,LICOR FERNET BRANCA BT 750 CC,BOT,"5,704",1,CLP," $  5,704 "
12000457,GALLIANO SAMBUCA BT 700 CC,BOT,"14,820",1,CLP," $  14,820 "
12000458,GIN BEEFEATER BT 50 CC,BOT,"1,217",1,CLP," $  1,217 "
12000459,GIN BEEFEATER BT 750 CC,BOT,"8,005",1,CLP," $  8,005 "
12000464,GIN SAPPHIRE BOMBAY BT 750 CC,BOT,"7,699",1,CLP," $  7,699 "
12000467,GIN TANQUERAY BT 750 CC,BOT,"9,747",1,CLP," $  9,747 "
12000470,JARABE GOMA LT,BOT,1,1,CLP, $  1 
12000472,JARABE GRANADINA MITJANS BT 900 CC,BOT,"3,300",1,CLP," $  3,300 "
12000474,JEREZ FINO LA INA DOMECQ BT 750 CC,BOT,"5,998",1,CLP," $  5,998 "
12000476,JEREZ TIO PEPE BT 750 CC,BOT,"10,312",1,CLP," $  10,312 "
12000477,JEREZ ZALAMERO MITJANS BT 750 CC,BOT,"2,523",1,CLP," $  2,523 "
12000492,JUGO LIQ ANDINA DAMAS 1 LT,L,"40,300",100,CLP, $  403 
12000493,JUGO LIQUIDO ANDINA DURAZNO 1 LT,L,"36,913",100,CLP, $  369 
12000495,JUGOS LIQUIDO FRUTA AFE BT 300 CC,BOT,"59,747",100,CLP, $  597 
12000499,JUGO LIQUIDO JUMEX MANGO LATA 335 CC,UN,280,1,CLP, $  280 
12000500,JUGO PURO MANZANA 12X250 CC,UN,"52,327",100,CLP, $  523 
12000505,JUGO NARANJA CJ 1 LT,CJ,490,1,CLP, $  490 
12000509,JUGO PIÑA CJ 1 LT,CJ,490,1,CLP, $  490 
12000513,JUGO LIQUIDO YUZ 200 CC,UN,199,1,CLP, $  199 
12000516,LICOR AGUARDIENTE CHILLAN BT 900 CC,BOT,"138,300",100,CLP," $  1,383 "
12000517,LICOR AGUARDIENTE MITJANS BT 900 CC,BOT,"4,958",1,CLP," $  4,958 "
12000519,LICOR AMARGO ANGOSTURA BITTER BT 100 CC,BOT,"10,842",1,CLP," $  10,842 "
12000521,LICOR AMARGO ANGOSTURA ROSSARD BT 250 CC,BOT,"2,591",1,CLP," $  2,591 "
12000525,LICOR AMERICANO GANCIA BT 950 CC,BOT,"3,299",1,CLP," $  3,299 "
12000527,LICOR FRANGELICO AVELLANA BT 700 CC,BOT,"7,525",1,CLP," $  7,525 "
12000529,LICOR DE CACAO BT 700 CC,BOT,"1,869",1,CLP," $  1,869 "
12000530,LICOR DE CACAO BOLS BT 700 CC,BOT,"2,038",1,CLP," $  2,038 "
12000531,LICOR CACAO MITJANS BT 750 CC,BOT,"1,570",1,CLP," $  1,570 "
12000532,LICOR CACHAZA IMPORTADA BT 1 LT,BOT,"2,073",1,CLP," $  2,073 "
12000533,LICOR DE CAFE BT 700 CC,BOT,"238,100",100,CLP," $  2,381 "
12000534,LICOR DE CAFE KAHLUA BT 750 CC,BOT,"7,108",1,CLP," $  7,108 "
12000539,LICOR COINTREAU FRANCES BT 700 CC,BOT,"1,339,000",100,CLP," $  13,390 "
12000540,LICOR COINTREAU FRANCES BT 700 CC,BOT,"14,062",1,CLP," $  14,062 "
12000550,LICOR FRANGELICO BT 750 CC,BOT,"1,032,127",100,CLP," $  10,321 "
12000552,GRAND MARNIER LAPOSTOLLE BT 700 CC,BOT,"22,070",1,CLP," $  22,070 "
12000553,LICOR GRAPPA  FRATTINA BT 700 CC,BOT,"8,904",1,CLP," $  8,904 "
12000557,LICOR MANZANA CALVADOS BT 700 CC,BOT,"9,569",1,CLP," $  9,569 "
12000558,LICOR MANZANA/TRIGO BERENTZEN BT 1 LT,BOT,"5,847",1,CLP," $  5,847 "
12000559,LICOR DE MANZANILLA BOLS BT 700 CC,BOT,"2,872",1,CLP," $  2,872 "
12000561,LICOR MANZANILLA MITJANS BT 750 CC,BOT,"1,621",1,CLP," $  1,621 "
12000565,LICOR DE MENTA BOLS BT 700 CC,BOT,"280,167",100,CLP," $  2,802 "
12000574,LICOR DE WHISKY DRAMBUIE BT 750 CC,BOT,"14,413",1,CLP," $  14,413 "
12000575,LICOR WHISKY LOCHAN ORA CHR BT 700 CC,BOT,"1,502,000",100,CLP," $  15,020 "
12000576,LIMONCELLO SORRENTO VILLA MASSA BT 700CC,BOT,"9,587",1,CLP," $  9,587 "
12000578,MARTINI BIANCO BT 900 CC,BOT,"1,615",1,CLP," $  1,615 "
12000583,LICOR DE MENTA MARIE BRIZARD BT 700 CC,BOT,"8,755",1,CLP," $  8,755 "
12000588,NECTAR ANDINA B ANCHA DAMASCO BT 300 CC,BOT,295,1,CLP, $  295 
12000590,NECTAR ANDINA B ANCHA NARANJA BT 300 CC,BOT,331,1,CLP, $  331 
12000591,NECTAR SATURNO PAPAYA LIGHT BT 290 CC,BOT,"39,010",100,CLP, $  390 
12000592,NECTAR ANDINA B ANCHA PIÑA BT 300 CC,BOT,334,1,CLP, $  334 
12000593,NECTAR ANDINA B ANCHA FRUTA BT 300 CC,BOT,332,1,CLP, $  332 
12000595,NECTAR ANDINA DURAZNO BT 350 CC,BOT,343,1,CLP, $  343 
12000599,NECTAR ANDIFRUT DURAZNO CJ 200 CC,CJ,"17,767",100,CLP, $  178 
12000600,JUGO GUALLARAUCO PIÑA MANG NAR 250 CC,UN,416,1,CLP, $  416 
12000601,JUGO GUALLARAUCO MARACUYA MANGO BT 250,UN,416,1,CLP, $  416 
12000607,NECTAR ANDIFRUT NARANJA CJ 200 CC,CJ,"14,322",100,CLP, $  143 
12000613,JUGO GUALLARAUCO FRAMBUESA BT 250 CC,UN,655,1,CLP, $  655 
12000616,JUGO GUALLARAUCO MANGO BT 250 CC,UN,534,1,CLP, $  534 
12000623,OPORTO DIAMANTE MITJANS BT 750 CC,BOT,"3,927",1,CLP," $  3,927 "
12000624,OPORTO J-CLUB RVA BURMEISTER BT 750 CC,BOT,"6,386",1,CLP," $  6,386 "
12000625,PERNOD FRANCES BT 750 CC,BOT,"737,333",100,CLP," $  7,373 "
12000626,PERNOD FRANCES PARIS BT 700 CC,BOT,"6,974",1,CLP," $  6,974 "
12000628,PISCO BAUZA 35° BT 750 CC,BOT,"335,667",100,CLP," $  3,357 "
12000629,PISCO CAPEL 35° BT 1 LT,BOT,"2,641",1,CLP," $  2,641 "
12000632,PISCO MISTRAL 35° BT 750 CC,BOT,"2,919",1,CLP," $  2,919 "
12000635,PISCO ALTO DEL CARMEN 35° BT 750 CC,BOT,"358,400",100,CLP," $  3,584 "
12000636,PISCO CAPEL 35° BT 700 CC,BOT,"184,417",100,CLP," $  1,844 "
12000637,PISCO ALTO DEL CARMEN 40° BT 750 CC,BOT,"452,489",100,CLP," $  4,525 "
12000639,PISCO MISTRAL 40° BT 750 CC,BOT,"4,543",1,CLP," $  4,543 "
12000640,PISCO TRES ERRES 40° BT 700 CC,BOT,"2,752",1,CLP," $  2,752 "
12000641,PISCO ALTO DEL CARMEN ENV 40° BT 750 CC,BOT,"3,192",1,CLP," $  3,192 "
12000643,PISCO MISTRAL 46° BT 750 CC,BOT,"2,894",1,CLP," $  2,894 "
12000647,PISCO ALTO DEL CARMEN CREMISSE BT 700,BOT,"4,097",1,CLP," $  4,097 "
12000649,PISCO ALTO DEL CARMEN MINI 35° BT 50 CC,BOT,977,1,CLP, $  977 
