DATE, AMOUNT, TYPE, KIND, DETAILS, CODE
3/13/2017,-$50.32,HHA Office,Amazon,DEBIT PURCHASE                Mar 10 7690,10013
3/13/2017,-$74.00,HHA Office,Amazon,OTHER DECREASE,10013
3/13/2017,-$23.48,Meal,Artist EMZ,DEBIT PURCHASE                Mar 08 7690,10012
3/13/2017,-$100.00,HHA Misc. ,Cash,NONCITIBANK ATM WITHDRAWAL,10021
3/13/2017,-$99.00,HHA Office,Gallery Manager,DEBIT PURCHASE                Mar 09 0895,10013
3/13/2017,"-$1,191.71",Insurance,Hardford,OTHER DECREASE,10008
3/13/2017,-$153.07,Labor,SJ,CHECK   15292,10010
3/13/2017,"-$1,080.00",Labor,SJ,CHECK   15291,10010
3/13/2017,$972.13,Exhibition,TO amazon,DEBIT RETURN,10006
3/13/2017,"$1,199.00",Exhibition,TO amazon,DEBIT RETURN,10006
3/13/2017,-$2.99,uber,uber,OTHER DECREASE,10026
3/13/2017,-$3.01,uber,uber,OTHER DECREASE,10026
3/13/2017,-$6.42,uber,uber,OTHER DECREASE,10026
3/14/2017,-$121.79,HHA Office,Amazon,DEBIT PURCHASE                Mar 10 7690,10013
3/14/2017,-$0.99,HHA Office,Apple app,DEBIT PURCHASE                Mar 09 0895,10013
3/14/2017,-$28.14,Meal,Artist EMZ,DEBIT PURCHASE                Mar 10 7690,10012
3/14/2017,-$4.38,Meal,HHA Office Studio L,DEBIT PIN PURCHASE,10013
3/15/2017,-$34.82,HHA Office,Amazon,DEBIT PURCHASE                Mar 13 7690,10013
3/15/2017,-$171.70,Meal,Artist BOC,DEBIT PURCHASE                Mar 13 7690,10012
3/15/2017,-$100.00,HHA Office,Mailchimp,DEBIT PURCHASE                Mar 13 7690,10013
3/16/2017,-$5.98,HHA Office,Amazon,DEBIT PURCHASE                Mar 14 7690,10013
3/16/2017,-$100.00,HHA Misc. ,cash,NONCITIBANK ATM WITHDRAWAL,10021
3/16/2017,-$40.50,HHA Office,intuit,DEBIT PURCHASE                Mar 14 0895,10013
3/17/2017,-$29.34,Meal,Artist TO,DEBIT PURCHASE                Mar 14 7690,10012
3/17/2017,-$19.23,Meal,Hammer ,DEBIT PURCHASE                Mar 15 7690,10013
3/17/2017,$139.21,HHA Office,vimeo,DEBIT RETURN,10013
3/20/2017,$25.98,HHA Office,amazon,DEBIT RETURN,10013
3/20/2017,-$57.03,Meal,Artist TO,DEBIT PURCHASE                Mar 16 7690,10012
3/20/2017,-$200.00,Meal,Artist TO,NONCITIBANK ATM WITHDRAWAL,10012
3/20/2017,-$7.46,Meal,HHA Office,DEBIT PURCHASE                Mar 15 7690,10013
3/20/2017,-$23.81,Meal,Writer,OTHER DECREASE,10013
3/21/2017,$25.98,HHA Office,amazon,DEBIT RETURN,10013
3/21/2017,$85.91,HHA Office,apple,DEBIT RETURN,10013
3/21/2017,-$38.82,Meal,Curator,DEBIT PURCHASE                Mar 17 7690,10013
3/21/2017,-$69.17,Insurance,Insurance,OTHER DECREASE,10008
3/23/2017,-$32.61,HHA Office,buisness cards,OTHER DECREASE,10013
3/23/2017,-$79.99,Utility,Internet,DEBIT PURCHASE                Mar 21 7690,10027
3/23/2017,-$37.00,Travel ,travel client meal,DEBIT PURCHASE                Mar 20 7690,10026
3/23/2017,-$37.00,Travel ,travel client meal,DEBIT PURCHASE                Mar 21 7690,10026
3/23/2017,-$16.50,Travel ,travel meal,DEBIT PURCHASE                Mar 20 7690,10026
3/23/2017,-$26.79,HHA Misc. ,walgreens,DEBIT PURCHASE                Mar 21 7690,10013
3/23/2017,$5.67,HHA Office,Walgreens,DEBIT RETURN,10013
3/24/2017,-$37.69,Meal,Artist PIG,OTHER DECREASE,10012
3/27/2017,-$79.25,Insurance,Travelers,OTHER DECREASE,10008
3/28/2017,-$86.86,Meal,Artist EMZ,DEBIT PURCHASE                Mar 26 7690,10012
3/28/2017,-$99.59,Meal,Curator,DEBIT PURCHASE                Mar 23 7690,10013
3/28/2017,-$26.00,ER,ER,DEBIT PURCHASE                Mar 24 7690,10005
3/28/2017,-$14.67,HHA Misc. ,walgreens,DEBIT PURCHASE                Mar 24 7690,10013
3/29/2017,-$27.00,Bank Fee,Bank Fee,"FEE-INT""L WIRE",10003
3/29/2017,"-$5,840.40",Art Fair,MACO Shipping,INTL WIRE OUT,10001
3/29/2017,-$11.99,Research ,netflix,DEBIT PURCHASE                Mar 27 7690,10018
3/29/2017,-$32.07,uber,uber,OTHER DECREASE,10026
3/30/2017,"-$3,569.78",Labor,CS,OTHER DECREASE,10010
3/30/2017,-$285.12,Labor,CS payroll,OTHER DECREASE,10010
3/30/2017,"$2,500.00",SALE,Refferal,ACH Electronic Credit,10024
3/31/2017,-$60.28,Utility,ADT,DEBIT PURCHASE                Mar 29 7690,10027
3/31/2017,-$11.00,Meal,Artist PIG,DEBIT PURCHASE                Mar 28 7690,10012
3/31/2017,-$109.69,Production,PIG framing,DEBIT PURCHASE                Mar 29 0895,10016
3/31/2017,"-$2,016.00",Labor,SJ,CHECK   15297,10010
3/31/2017,-$137.16,ER,vet ER,DEBIT PURCHASE                Mar 29 0895,10005
3/31/2017,-$35.89,Meal,Writer,DEBIT PURCHASE                Mar 28 7690,10013
4/3/2017,-$92.28,Utility,phone ,DEBIT PURCHASE                Mar 30 0895,10027
4/3/2017,-$2.82,Meal,HHA Office Studio L,DEBIT PIN PURCHASE,10013
4/4/2017,-$49.99,HHA Office,Adobe,OTHER DECREASE,10013
4/4/2017,-$8.99,HHA Office,Apple,DEBIT PURCHASE                Mar 31 7690,10013
4/4/2017,-$10.42,Meal,Artist PIG,DEBIT PURCHASE                Apr 02 7690,10012
4/4/2017,-$42.21,Meal,Artist PIG,DEBIT PURCHASE                Apr 02 7690,10012
4/4/2017,-$239.00,storage,Whittier,DEBIT PURCHASE                Apr 01 0895,10017
4/4/2017,-$239.00,storage,Whittier,DEBIT PURCHASE                Apr 01 0895,10017
4/4/2017,-$29.16,HHA Office,google,DEBIT PURCHASE                Apr 02 0895,10013
4/4/2017,-$132.77,Utility,phone,DEBIT PURCHASE                Apr 01 7690,10027
4/4/2017,-$6.51,Meal,HHA Office,DEBIT PURCHASE                Mar 31 7690,10013
4/4/2017,-$18.21,Research ,Sirius,DEBIT PURCHASE                Apr 02 7690,10018
4/4/2017,$37.52,LA Transport,zipcar,DEBIT RETURN,10009
4/4/2017,-$37.52,LA Transport,zipcar,DEBIT PURCHASE                Apr 01 7690,10009
4/5/2017,-$103.93,Utility,internet,DEBIT PURCHASE                Apr 02 0895,10027
4/5/2017,-$115.10,Production,PIG Production Pip,OTHER DECREASE,10016
4/5/2017,-$53.83,LA Transport,zipcar,DEBIT PURCHASE                Apr 03 7690,10009
4/7/2017,-$244.00,Building,HVAC,CHECK   15299,10004
4/7/2017,-$144.47,Utility,LADWP,OTHER DECREASE,10027
4/10/2017,-$39.61,Meal,Artist EMZ,DEBIT PIN PURCHASE,10012
4/10/2017,-$9.96,Meal,Artist PIG,DEBIT PIN PURCHASE,10012
4/10/2017,-$0.50,HHA Misc. ,parking,DEBIT PURCHASE                Apr 06 7690,10022
4/10/2017,-$200.00,Opening ,PIG Opening Meals,NONCITIBANK ATM WITHDRAWAL,10014
4/10/2017,-$400.00,Opening ,PIG Opening Meals,NONCITIBANK ATM WITHDRAWAL,10014
4/10/2017,-$400.00,Production,PIG Production Pip,NONCITIBANK ATM WITHDRAWAL,10016
4/11/2017,-$99.00,HHA Office,Gallery Manager,DEBIT PURCHASE                Apr 09 0895,10013
4/11/2017,-$12.98,Production,PIG Anawalt,DEBIT PURCHASE                Apr 07 0895,10016
4/11/2017,-$9.78,Opening ,PIG Opening Meals,DEBIT PURCHASE                Apr 08 7690,10014
4/11/2017,-$21.75,Travel ,travel client meal,DEBIT PURCHASE                Apr 08 7690,10026
4/11/2017,-$37.00,Travel ,travel client meal,DEBIT PURCHASE                Apr 08 7690,10026
4/12/2017,-$0.99,HHA Office,Apple,DEBIT PURCHASE                Apr 09 7690,10013
4/12/2017,-$1.98,HHA Office,apple ,DEBIT PURCHASE                Apr 08 7690,10013
4/12/2017,-$8.62,Meal,Artist EMZ,DEBIT PURCHASE                Apr 10 7690,10012
4/12/2017,"$4,632.50",SALE,Ceramic,TELLER DEPOSIT                 Apr 12 18:59,10024
4/12/2017,-$37.00,Travel ,travel client meal,DEBIT PURCHASE                Apr 09 7690,10026
4/13/2017,"-$5,840.40",Labor,CS,CHECK   15300,10010
4/13/2017,-$401.85,Insurance,Hartford,OTHER DECREASE,10008
4/13/2017,-$40.50,HHA Office,Intuit,DEBIT PURCHASE                Apr 11 0895,10013
4/14/2017,-$7.94,Meal,Artist BOC,DEBIT PURCHASE                Apr 12 7690,10012
4/14/2017,-$32.63,Meal,Joan LA,OTHER DECREASE,10013
4/14/2017,-$6.51,Meal,HHA Office Studio L,DEBIT PIN PURCHASE,10013
4/17/2017,-$5.00,Meal,Artist JAK,DEBIT PURCHASE                Apr 13 7690,10012
4/17/2017,-$90.00,HHA Office,Mailchimp,DEBIT PURCHASE                Apr 13 7690,10013
4/17/2017,-$103.00,Travel ,Travel Cash,NONCITIBANK ATM WITHDRAWAL,10026
4/18/2017,-$0.99,HHA Office,Apple app,DEBIT PURCHASE                Apr 15 7690,10013
4/18/2017,-$50.00,Meal,Artist EMZ,DEBIT PURCHASE                Apr 15 7690,10012
4/18/2017,-$7.60,Meal,coffee,DEBIT PURCHASE                Apr 13 7690,10013
4/18/2017,-$26.00,Meal,HHA Office,DEBIT PURCHASE                Apr 14 7690,10013
4/18/2017,-$105.62,HHA Office,Walgreens,DEBIT PURCHASE                Apr 15 7690,10013
4/19/2017,-$21.95,Meal,Artist BOC,DEBIT PURCHASE                Apr 18 7690,10012
4/19/2017,-$200.00,Meal,Curators/writers  Tacos,NONCITIBANK ATM WITHDRAWAL,10013
4/19/2017,"$25,000.00",LOAN ,X,INCOMING WIRE,10011
4/20/2017,-$15.00,Bank Fee,Bank Fee,ACH Electronic Debit,10003
4/20/2017,-$69.17,Insurance,Insurance,OTHER DECREASE,10008
4/20/2017,$10.82,Exhibition,TO Anawalt,DEBIT RETURN,10006
4/21/2017,-$433.20,Travel , NYC,DEBIT PURCHASE                Apr 19 0895,10026
4/21/2017,-$37.00,Travel ,travel client meal,DEBIT PURCHASE                Apr 18 7690,10026
4/24/2017,-$105.00,Labor,gallery sitting,CHECK   15295,10010
4/24/2017,-$180.00,Labor,gallery sitting,CHECK   15301,10010
4/24/2017,-$120.00,ER,Optikos,DEBIT PURCHASE                Apr 19 0895,10005
4/24/2017,$959.42,Exhibition,TO amazon,DEBIT RETURN,10006
4/24/2017,$959.42,Exhibition,TO amazon,DEBIT RETURN,10006
4/24/2017,-$130.80,Exhibition,TO Cosmos Lighting,DEBIT PURCHASE                Apr 19 7690,10006
4/24/2017,-$600.00,Photography,TO Photography ,CHECK   15294,10015
4/24/2017,-$13.00,Travel ,travel client meal,DEBIT PURCHASE                Apr 20 7690,10026
4/25/2017,-$25.06,Meal,Artist BOC,DEBIT PURCHASE                Apr 20 7690,10012
4/25/2017,-$211.82,Meal,Artist JAK,DEBIT PURCHASE                Apr 22 7690,10012
4/25/2017,-$99.00,HHA Office,Gallery Manager,DEBIT PURCHASE                Apr 21 0895,10013
4/25/2017,-$79.99,Utility,internet,DEBIT PURCHASE                Apr 21 7690,10027
4/25/2017,-$37.50,ER,nails,DEBIT PURCHASE                Apr 23 7690,10005
4/25/2017,-$72.06,Travel ,NYC meal New Artist,DEBIT PURCHASE                Apr 21 7690,10026
4/25/2017,-$8.16,Travel ,NYC taxi,DEBIT PURCHASE                Apr 22 7690,10026
4/25/2017,-$17.80,Travel ,NYC taxi,DEBIT PURCHASE                Apr 23 7690,10026
4/25/2017,-$20.80,Travel ,NYC taxi,DEBIT PURCHASE                Apr 23 7690,10026
4/25/2017,-$21.95,Travel ,NYC taxi,DEBIT PURCHASE                Apr 21 7690,10026
4/25/2017,-$16.50,Travel ,NYC virgin ,DEBIT PURCHASE                Apr 20 7690,10026
4/25/2017,-$50.00,Travel ,NYC virgin ,DEBIT PURCHASE                Apr 20 7690,10026
4/25/2017,"$3,500.00",SALE,SALE (old sale),TELLER DEPOSIT                 Apr 25 17:05,10024
4/26/2017,-$4.90,Travel ,NYC meal,DEBIT PURCHASE                Apr 24 7690,10026
4/26/2017,"$2,000.00",SALE,PIG Garner,TELLER DEPOSIT                 Apr 26 20:50,10024
4/27/2017,-$9.38,Travel ,NYC meal,DEBIT PURCHASE                Apr 25 7690,10026
4/27/2017,-$49.37,Travel ,NYC meal,DEBIT PURCHASE                Apr 23 7690,10026
4/27/2017,-$17.30,Travel ,NYC taxi,DEBIT PURCHASE                Apr 25 7690,10026
4/28/2017,-$200.00,HHA Misc. ,cash,NONCITIBANK ATM WITHDRAWAL,10021
4/28/2017,-$441.00,Labor,CS,OTHER DECREASE,10010
4/28/2017,"-$3,569.78",Labor,CS,OTHER DECREASE,10010
4/28/2017,-$9.36,Travel ,NYC meal,DEBIT PURCHASE                Apr 25 7690,10026
4/28/2017,-$18.33,Travel ,NYC meal,DEBIT PURCHASE                Apr 25 7690,10026
4/28/2017,-$9.30,Travel ,NYC taxi,DEBIT PURCHASE                Apr 25 7690,10026
4/28/2017,-$11.30,Travel ,NYC taxi,DEBIT PURCHASE                Apr 25 7690,10026
4/28/2017,-$11.30,Travel ,NYC taxi,DEBIT PURCHASE                Apr 25 7690,10026
4/28/2017,-$15.30,Travel ,NYC taxi,DEBIT PURCHASE                Apr 25 7690,10026
4/28/2017,-$20.80,Travel ,NYC taxi,DEBIT PURCHASE                Apr 25 7690,10026
5/1/2017,-$443.20,Travel ,aiHHAre,DEBIT PURCHASE                Apr 27 7690,10026
5/1/2017,"-$1,527.60",Sales Tax,IRS,OTHER DECREASE,10025
5/1/2017,-$11.99,Research ,netflix,DEBIT PURCHASE                Apr 27 7690,10018
5/1/2017,-$5.34,Travel ,NYC meal,DEBIT PURCHASE                Apr 27 7690,10026
5/1/2017,-$26.74,Travel ,NYC meal,DEBIT PURCHASE                Apr 27 7690,10026
5/1/2017,-$32.31,Travel ,NYC meal,DEBIT PURCHASE                Apr 25 7690,10026
5/1/2017,-$534.95,uber,uber,OTHER DECREASE,10026
5/2/2017,-$60.28,Utility,ADT,DEBIT PURCHASE                Apr 29 7690,10027
5/2/2017,-$200.00,Labor,cash / cleaning,NONCITIBANK ATM WITHDRAWAL,10010
5/2/2017,-$16.30,Exhibition,CF anawalt,DEBIT PURCHASE                Apr 28 0895,10006
5/2/2017,-$35.83,Exhibition,CF anawalt,DEBIT PURCHASE                Apr 28 0895,10006
5/2/2017,-$64.52,Labor,CS payroll,CHECK   15304,10010
5/2/2017,-$27.66,LA Transport,Gas,DEBIT PURCHASE                Apr 29 7690,10009
5/2/2017,"-$9,970.00",RENT,Holllywood,OTHER DECREASE,10017
5/2/2017,-$843.52,Art Fair,MACO CS Reimbursment,CHECK   15290,10001
5/2/2017,-$21.00,Travel ,NYC meal,DEBIT PURCHASE                Apr 28 7690,10026
5/2/2017,-$105.30,Travel ,NYC taxi,DEBIT PURCHASE                Apr 27 7690,10026
5/2/2017,-$17.99,Travel ,NYC wifi,DEBIT PURCHASE                Apr 27 7690,10026
5/3/2017,-$29.15,HHA Office,google,DEBIT PURCHASE                May 01 0895,10013
5/3/2017,-$281.81,Utility,phone,DEBIT PURCHASE                May 01 7690,10027
5/3/2017,-$18.21,Research ,Sirus ,DEBIT PURCHASE                May 02 7690,10018
5/4/2017,-$239.00,storage,Whittier,DEBIT PURCHASE                May 01 0895,10017
5/4/2017,-$239.00,storage,Whittier,DEBIT PURCHASE                May 01 0895,10017
5/4/2017,-$31.92,Exhibition,CF anawalt,DEBIT PURCHASE                May 02 0895,10006
5/4/2017,-$104.00,Utility,internet,DEBIT PURCHASE                May 02 0895,10027
5/4/2017,-$1.00,HHA Misc. ,parking,DEBIT PURCHASE                May 02 7690,10022
5/4/2017,-$8.67,Meal,HHA Office,DEBIT PURCHASE                May 02 7690,10013
5/5/2017,-$7.98,HHA Office,Apple app,DEBIT PURCHASE                May 02 7690,10013
5/5/2017,-$6.41,Exhibition,CF anawalt,DEBIT PURCHASE                May 03 0895,10006
5/8/2017,-$26.00,Meal,CF,CHECK   15296,10012
5/8/2017,-$117.03,Utility,LADWP,OTHER DECREASE,10027
5/8/2017,"-$1,109.48",Art Fair,MACO shipping,DEBIT PURCHASE                May 04 0895,10001
5/8/2017,-$22.47,Meal,HHA Office,DEBIT PIN PURCHASE,10013
5/9/2017,-$21.59,HHA Office,Amazon,DEBIT PURCHASE                May 05 0895,10013
5/9/2017,-$39.99,HHA Office,Apple app,DEBIT PURCHASE                May 05 7690,10013
5/9/2017,-$14.73,Exhibition,CF anawalt,DEBIT PURCHASE                May 05 0895,10006
5/9/2017,-$37.08,Meal,Client ,DEBIT PURCHASE                May 06 7690,10013
5/9/2017,-$285.12,Labor,CS payroll,OTHER DECREASE,10010
5/9/2017,-$42.24,Meal,Curator m ,DEBIT PURCHASE                May 04 7690,10013
5/9/2017,"$3,270.00",SALE,LAZ,INCOMING WIRE,10024
5/9/2017,"$5,609.40",Art Fair,MACO reem Krieling,INCOMING WIRE,10001
5/9/2017,-$14.17,uber,uber,DEBIT PURCHASE                May 07 0895,10026
5/9/2017,-$14.79,uber,uber,DEBIT PURCHASE                May 07 0895,10026
5/9/2017,-$10.88,Meal,water,DEBIT PIN PURCHASE,10013
5/10/2017,-$15.00,Bank Fee,Bank Fee,ACH Electronic Debit,10003
5/10/2017,-$200.00,HHA Misc. ,Cash,NONCITIBANK ATM WITHDRAWAL,10021
5/10/2017,"-$1,773.00",Labor,SJ,CHECK   15305,10010
5/11/2017,$85.98,HHA Office,Amazon,DEBIT RETURN,10013
5/11/2017,-$142.06,HHA Office,Amazon,DEBIT PURCHASE                May 10 0895,10013
5/11/2017,-$11.28,HHA Office,Apple app,DEBIT PURCHASE                May 07 7690,10013
5/11/2017,-$2.72,Exhibition,CF anawalt,DEBIT PURCHASE                May 09 0895,10006
5/11/2017,-$4.88,Exhibition,CF anawalt,DEBIT PURCHASE                May 09 0895,10006
5/12/2017,-$0.99,HHA Office,Apple app,DEBIT PURCHASE                May 09 7690,10013
5/12/2017,-$40.77,Meal,Curator ,DEBIT PURCHASE                May 10 7690,10013
5/12/2017,"$3,000.00",SALE,LAZ,ACH Electronic Credit,10024
5/12/2017,-$11.27,uber,uber,DEBIT PURCHASE                May 10 0895,10026
5/12/2017,-$14.75,uber,uber,DEBIT PURCHASE                May 11 0895,10026
5/12/2017,-$7.59,HHA Office,Walgreens,DEBIT PURCHASE                May 09 7690,10013
5/15/2017,-$40.50,HHA Office,Intuit,DEBIT PURCHASE                May 11 0895,10013
5/15/2017,-$35.53,LA Transport,Zip,DEBIT PURCHASE                May 11 7690,10009
5/15/2017,-$35.53,LA Transport,Zip,DEBIT PURCHASE                May 11 7690,10009
5/15/2017,-$35.53,LA Transport,Zip,DEBIT PURCHASE                May 11 7690,10009
5/16/2017,-$91.21,Meal,Artist EMZ,DEBIT PURCHASE                May 13 7690,10012
5/16/2017,-$12.00,Meal,Artist EMZ,DEBIT PURCHASE                May 14 7690,10012
5/16/2017,-$22.00,Meal,Client ,DEBIT PURCHASE                May 12 7690,10013
5/16/2017,-$119.29,Meal,Client ,DEBIT PURCHASE                May 12 7690,10013
5/16/2017,$28.68,SALE,LAZ,DEBIT RETURN,10024
5/16/2017,-$90.00,HHA office,Mailchimp,DEBIT PURCHASE                May 13 7690,10013
5/16/2017,-$60.74,Exhibition,SS,DEBIT PURCHASE                May 12 7690,10006
5/16/2017,-$5.33,uber,uber,DEBIT PURCHASE                May 14 0895,10026
5/16/2017,-$55.43,HHA Office,Walgreens,DEBIT PURCHASE                May 12 7690,10013
5/17/2017,-$26.00,Meal,Artist CF,DEBIT PURCHASE                May 15 7690,10012
5/17/2017,-$23.17,Meal,Client ,DEBIT PURCHASE                May 16 7690,10013
5/18/2017,-$3.23,HHA Office,99 cent,DEBIT PURCHASE                May 16 7690,10013
5/18/2017,-$0.99,HHA Office,Apple app,DEBIT PURCHASE                May 15 7690,10013
5/18/2017,-$65.19,Meal,Artist CF,DEBIT PURCHASE                May 17 7690,10012
5/18/2017,-$5.21,Meal,Artist EMZ,DEBIT PURCHASE                May 16 7690,10012
5/18/2017,-$14.13,Meal,Artist EMZ,DEBIT PURCHASE                May 15 7690,10012
5/18/2017,-$200.00,HHA Misc. ,Cash,NONCITIBANK ATM WITHDRAWAL,10021
5/18/2017,-$6.50,travel ,train,DEBIT PURCHASE                May 16 7690,10026
5/18/2017,-$19.50,travel ,train,DEBIT PURCHASE                May 16 7690,10026
5/18/2017,-$37.00,travel ,train,DEBIT PURCHASE                May 15 7690,10026
5/19/2017,-$37.18,Meal,Artist BOC,DEBIT PURCHASE                May 16 7690,10012
5/19/2017,-$15.05,Meal,Artist EMZ,DEBIT PIN PURCHASE,10012
5/19/2017,-$19.03,Meal,Artist EMZ,DEBIT PURCHASE                May 17 7690,10012
5/19/2017,-$5.75,Meal,Artist JAK,DEBIT PURCHASE                May 17 7690,10012
5/19/2017,-$5.00,Travel ,coffee / SD,DEBIT PURCHASE                May 16 7690,10026
5/19/2017,"-$20,527.60",Sales Tax,IRS,OTHER DECREASE,10025
5/19/2017,-$74.12,HHA Office,Marshalls,DEBIT PIN PURCHASE,10013
5/19/2017,-$37.00,travel ,train,DEBIT PURCHASE                May 16 7690,10026
5/22/2017,-$69.17,Insurance,insurance,OTHER DECREASE,10008
5/23/2017,-$39.80,Meal,Artist BOC,DEBIT PURCHASE                May 18 7690,10012
5/23/2017,-$90.00,ER,ER,DEBIT PURCHASE                May 19 7690,10005
5/23/2017,-$99.00,HHA Office,Gallery Manager,DEBIT PURCHASE                May 21 0895,10013
5/23/2017,-$79.99,Utility,internet,DEBIT PURCHASE                May 21 7690,10027
5/23/2017,-$9.18,uber,uber,DEBIT PURCHASE                May 21 0895,10026
5/24/2017,-$99.00,HHA Office,Gallery Manager,DEBIT PURCHASE                May 22 0895,10013
5/24/2017,"-$1,500.00",Artist Payment,LAZ,CHECK   15308,10002
5/24/2017,"-$3,120.00",Artist Payment,LAZ,CHECK   15309,10002
5/25/2017,"-$1,925.00",Artist Payment,Anabeth Marks,CHECK   15306,10002
5/25/2017,-$100.00,HHA Misc. ,Cash,NONCITIBANK ATM WITHDRAWAL,10021
5/25/2017,-$23.60,Meal,HHA Office Studio L,DEBIT PIN PURCHASE,10013
5/25/2017,-$87.17,Insurance,Travelers,OTHER DECREASE,10008
5/25/2017,-$9.67,uber,uber,DEBIT PURCHASE                May 23 0895,10026
5/26/2017,-$43.81,Meal,Artist New artist,DEBIT PURCHASE                May 24 0895,10012
5/30/2017,-$13.07,Meal,Artist New artist,DEBIT PIN PURCHASE,10012
5/30/2017,-$27.00,ER,ER,DEBIT PIN PURCHASE,10005
5/30/2017,-$42.22,uber,uber,DEBIT PURCHASE                May 25 0895,10026
5/30/2017,-$454.61,uber,uber,OTHER DECREASE,10026
5/31/2017,-$60.28,Utility,ADT,DEBIT PURCHASE                May 29 7690,10027
5/31/2017,-$20.00,Meal,Artist BOC,DEBIT PURCHASE                May 28 7690,10012
5/31/2017,-$23.00,Meal,Artist CF,DEBIT PURCHASE                May 28 0895,10012
5/31/2017,"-$3,500.00",Labor,CS,CHECK   15312,10010
5/31/2017,-$17.38,LA Transport,Gas,DEBIT PURCHASE                May 29 7690,10009
5/31/2017,-$11.99,Research ,netflix,DEBIT PURCHASE                May 28 7690,10018
5/31/2017,-$13.99,uber,uber,DEBIT PURCHASE                May 29 7690,10026
5/31/2017,-$42.39,uber,uber,DEBIT PURCHASE                May 27 0895,10026
5/31/2017,-$5.69,HHA Misc. ,Walgreens,DEBIT PURCHASE                May 25 0895,10013
6/1/2017,-$40.71,Meal,Artist CF,DEBIT PURCHASE                May 29 7690,10012
6/1/2017,-$149.00,Meal,Artist New artist,DEBIT PURCHASE                May 30 7690,10012
6/2/2017,-$7.60,Meal,HHA Office,DEBIT PURCHASE                May 30 7690,10013
6/2/2017,-$16.11,Meal,HHA Office,DEBIT PURCHASE                May 31 0895,10013
6/5/2017,-$49.99,HHA Office,Adobe,OTHER DECREASE,10013
6/5/2017,-$31.98,HHA Office,Amazon,DEBIT PURCHASE                May 31 0895,10013
6/5/2017,-$8.66,Building,Anawalt,DEBIT PURCHASE                Jun 01 0895,10004
6/5/2017,-$25.47,Meal,Coffee,DEBIT PURCHASE                Jun 01 7690,10013
6/5/2017,-$29.16,HHA Office,google,DEBIT PURCHASE                Jun 01 0895,10013
6/5/2017,-$65.13,Labor,HL,CHECK   15289,10010
6/5/2017,-$115.47,Utility,phone,DEBIT PURCHASE                Jun 01 7690,10027
6/5/2017,-$18.21,Research ,Sirius,DEBIT PURCHASE                Jun 02 7690,10018
6/5/2017,-$60.00,Photography,SS,CHECK   15314,10015
6/5/2017,-$9.99,Research ,Spotify,OTHER DECREASE,10018
6/5/2017,-$4.95,uber,uber,OTHER DECREASE,10026
6/5/2017,-$5.25,uber,uber,OTHER DECREASE,10026
6/5/2017,-$6.02,uber,uber,OTHER DECREASE,10026
6/5/2017,-$7.99,uber,uber,OTHER DECREASE,10026
6/5/2017,-$10.55,uber,uber,OTHER DECREASE,10026
6/5/2017,-$12.98,uber,uber,OTHER DECREASE,10026
6/5/2017,-$42.04,uber,uber,OTHER DECREASE,10026
6/6/2017,-$14.97,HHA Office,Amazon,DEBIT PURCHASE                Jun 02 0895,10013
6/6/2017,-$214.00,storage,Whittier,DEBIT PURCHASE                Jun 01 0895,10017
6/6/2017,-$239.00,storage,Whittier,DEBIT PURCHASE                Jun 01 0895,10017
6/6/2017,-$200.00,Labor,cash / cleaning,TELLER WITHDRAWAL,10010
6/6/2017,-$9.05,Meal,Client ,DEBIT PURCHASE                Jun 02 7690,10013
6/6/2017,-$9.70,Meal,Client ,DEBIT PURCHASE                Jun 02 7690,10013
6/6/2017,-$19.13,Meal,Client ,DEBIT PURCHASE                Jun 02 7690,10013
6/6/2017,-$22.54,Meal,Client ,DEBIT PURCHASE                Jun 03 7690,10013
6/6/2017,-$104.00,Utility,internet,DEBIT PURCHASE                Jun 02 0895,10027
6/6/2017,-$27.00,ER,nails,DEBIT PURCHASE                Jun 03 7690,10005
6/6/2017,-$9.50,uber,uber,OTHER DECREASE,10026
6/6/2017,-$40.87,uber,uber,DEBIT PURCHASE                Jun 03 0895,10026
6/6/2017,-$13.82,HHA Misc. ,Walgreens,DEBIT PURCHASE                Jun 03 7690,10013
6/7/2017,-$123.42,Utility,LADWP,OTHER DECREASE,10027
6/7/2017,-$5.00,uber,uber,OTHER DECREASE,10026
6/7/2017,-$6.98,uber,uber,OTHER DECREASE,10026
6/7/2017,-$12.92,uber,uber,DEBIT PURCHASE                Jun 04 7690,10026
6/7/2017,-$13.30,uber,uber,DEBIT PURCHASE                Jun 05 7690,10026
6/8/2017,-$3.23,uber,uber,DEBIT PURCHASE                Jun 06 7690,10026
6/8/2017,-$5.00,uber,uber,DEBIT PURCHASE                Jun 06 7690,10026
6/8/2017,-$5.16,uber,uber,OTHER DECREASE,10026
6/8/2017,-$7.99,uber,uber,OTHER DECREASE,10026
6/8/2017,-$10.91,uber,uber,OTHER DECREASE,10026
6/9/2017,-$3.01,uber,uber,DEBIT PURCHASE                Jun 06 7690,10026
6/9/2017,-$5.76,uber,uber,OTHER DECREASE,10026
6/9/2017,-$12.97,uber,uber,DEBIT PURCHASE                Jun 06 7690,10026
6/12/2017,-$31.99,Meal,Artist EMZ,DEBIT PURCHASE                Jun 07 0895,10012
6/12/2017,"-$1,000.00",Labor,CF,CHECK   15320,10010
6/12/2017,$149.00,ER,Return,OTHER ADDITION,10005
