name,brand,month,qty,price_unit,total_sales
CORREGIDORA 2 (QRO),SAM,November,5,3912.9300000000003,19564.65
GUERRERO (QRO),MOTO,December,6,3260.6349999999998,19563.809999999998
MADERO (QRO),HISENSE,April,7,2788.605468,19520.238276
MADERO (QRO),SAM,October,5,3899.1376552,19495.688276
ANTEA (QRO),XIAOMI,August,4,4870.04517275,19480.180691
PARQUE (CELAYA),HONOR,November,5,3895.6917240000002,19478.45862
ALAMEDA (QRO),XIAOMI,November,8,2434.806724125,19478.453793
FIESTA (IRAPUATO),NOKIA,August,12,1622.7037357833333,19472.4448294
MADERO (QRO),HISENSE,July,6,3231.9003448333333,19391.402069
MAYOREO (QRO),SAM,January,7,2770.197783142857,19391.384482
HIDALGO (CELAYA),XIAOMI,June,7,2770.074671428571,19390.522699999998
BOULEVARES (QRO),XIAOMI,April,4,4837.5689655,19350.275862
PLAZA MAYOR (LEON),XIAOMI,July,5,3864.4494482,19322.247241
MADERO (QRO),MOTO,February,6,3217.53,19305.18
GUERRERO (QRO),HISENSE,April,8,2412.93047425,19303.443794
PLAZA PATIO (QRO),HISENSE,August,5,3843.9682069999994,19219.841034999998
MAYOREO (QRO),SAM,February,6,3191.667528666667,19150.005172
CORREGIDORA 4 (QRO),HUAWEI,August,4,4783.6224999999995,19134.489999999998
CONSTITUYENTES (QRO),HONOR,December,5,3826.7231033999997,19133.615517
LEON CENTRO (LEON),XIAOMI,May,9,2186.6375,19130.17
ANTEA (QRO),XIAOMI,September,5,3809.4849654,19047.424827
CORREGIDORA 2 (QRO),HONOR,March,5,3809.4846894,19047.423447
CORREGIDORA 2 (QRO),HUAWEI,November,5,3809.4837180000004,19047.41859
PARQUE (QRO),HONOR,April,5,3809.4808965999996,19047.404483
ALLENDE (CELAYA),HISENSE,April,6,3174.4257471666665,19046.554483
LA VICTORIA (QRO),MOTO,June,6,3171.685,19030.11
PARQUE (CELAYA),SAM,April,6,3364.6554482,18977.587241
PARQUE (QRO),APPLE,July,1,18964.65517,18964.65517
BOULEVARES (QRO),APPLE,May,1,18964.65517,18964.65517
BOULEVARES (QRO),APPLE,July,1,18964.65517,18964.65517
OBREGON (LEON),HISENSE,December,6,3160.633710333333,18963.802261999997
PLAZA PATIO (QRO),APPLE,January,2,9481.9,18963.8
LA VICTORIA (QRO),APPLE,January,2,9481.9,18963.8
LA CRUZ (QRO),HONOR,November,5,3792.2431722,18961.215861
URBAN (QRO),MOTO,June,4,4718.967327750001,18875.869311000002
BOULEVARES (QRO),SAM,March,4,4718.96637925,18875.865517
HIDALGO 2 (CELAYA),MOTO,March,4,4718.965475,18875.8619
HIDALGO 2 (CELAYA),HISENSE,August,7,2696.183002571429,18873.281018
LA CRUZ (QRO),XIAOMI,December,8,2359.0525,18872.42
BOULEVARES (QRO),MOTO,April,5,3757.7599999999998,18788.8
GALERIAS (QRO),HONOR,October,5,3757.7599308,18788.799654
PARQUE (QRO),HONOR,March,5,3757.7591033999997,18788.795517
OBREGON (LEON),NOKIA,May,8,2338.0380125,18704.3041
ANTEA (QRO),XIAOMI,April,4,4669.39655175,18677.586207
ALLENDE (QRO),SAM,November,6,3108.4781610000005,18650.868966000002
ANDADOR (CELAYA),HONOR,October,4,4654.31031975,18617.241279
BOULEVARES (QRO),XIAOMI,June,4,4654.31,18617.24
ALAMEDA (QRO),HONOR,June,5,3723.2777798,18616.388899
PLAZA PATIO (QRO),HONOR,July,5,3723.2760000000003,18616.38
ALLENDE (QRO),BLU,May,21,883.7847291857142,18559.4793129
CORREGIDORA 2 (QRO),HONOR,February,4,4632.761120499999,18531.044481999998
ALLENDE (CELAYA),HISENSE,June,5,3706.0376552000002,18530.188276
LEON CENTRO (LEON),ZTE,December,12,1543.7501436666664,18525.001723999998
URBAN (QRO),HONOR,January,5,3688.7946206,18443.973103
ALLENDE (CELAYA),HISENSE,July,6,3073.852183833333,18443.113103
GALERIAS (QRO),XIAOMI,March,4,4589.65422425,18358.616897
CORREGIDORA 2 (QRO),NOKIA,April,8,2294.39606375,18355.16851
CORREGIDORA 4 (QRO),ZTE,September,12,1529.310204,18351.722448
ANTEA (QRO),SAM,November,5,3662.932,18314.66
CORREGIDORA 2 (QRO),HISENSE,October,7,2616.133448285714,18312.934138
ALAMEDA (QRO),XIAOMI,July,5,3654.3112412,18271.556206
GUERRERO (QRO),HONOR,February,6,3045.1150453333335,18270.690272
FIESTA (IRAPUATO),ZTE,July,10,1826.7239654,18267.239654
HIDALGO 2 (CELAYA),HISENSE,October,6,3037.9330425000003,18227.598255
ANDADOR (CELAYA),HONOR,May,4,4546.551175,18186.2047
ALLENDE (QRO),HONOR,July,5,3637.0688274,18185.344137
ALAMEDA (QRO),MOTO,December,6,3030.75,18184.5
CORREGIDORA 3 (QRO),HISENSE,July,6,3030.748563333333,18184.49138
ALLENDE (CELAYA),NOKIA,May,8,2272.844396625,18182.755173
PLAZA PATIO (QRO),APPLE,November,2,9050.863793,18101.727586
ANTEA (QRO),MOTO,November,4,4525.00017225,18100.000689
PLAZA PATIO (QRO),MOTO,April,9,2010.6299999999999,18095.67
PARQUE (QRO),MOTO,January,5,3602.9308208,18014.654104
ALAMEDA (QRO),HONOR,August,4,4503.44862075,18013.794483
HIDALGO (CELAYA),SAM,November,4,4503.4482,18013.7928
ANDADOR (CELAYA),HISENSE,July,5,3602.5876372,18012.938186
ALLENDE (QRO),XIAOMI,December,7,2573.031428571429,18011.22
CORREGIDORA 4 (QRO),XIAOMI,May,9,2046.55375,18009.5
CORREGIDORA 2 (QRO),ZTE,December,11,1637.0704075454546,18007.774483
CORREGIDORA 2 (QRO),SAM,September,5,3588.7940000000003,17943.97
MADERO (LEON),XIAOMI,June,3,5976.152069,17928.456207
CORREGIDORA 4 (QRO),ZTE,May,11,1625.3146707272726,17878.461378
HIDALGO (CELAYA),BLU,May,15,1172.1673399785716,17874.9979317
ANTEA (QRO),MOTO,October,4,4460.34405175,17841.376207
PARQUE (CELAYA),XIAOMI,August,5,3568.103586,17840.51793
LEON CENTRO (LEON),XIAOMI,June,8,2427.2999999999997,17837.94
LEON CENTRO (LEON),ZTE,April,9,1981.8977394444446,17837.079655
ALLENDE (QRO),ZTE,April,12,1486.2073558333334,17834.48827
CORREGIDORA 4 (QRO),HUAWEI,September,4,4438.7961000000005,17755.184400000002
ANTEA (QRO),XIAOMI,October,4,4438.79517225,17755.180689
OBREGON (LEON),XIAOMI,February,5,3550.864,17754.32
ALLENDE (QRO),LANIX,June,10,1775.0102696,17750.102695999998
ALAMEDA (QRO),SAM,December,3,5910.06,17730.18
OBREGON (LEON),HONOR,March,5,3535.2820399999996,17676.4102
HIDALGO (CELAYA),HONOR,October,5,3533.6226135999996,17668.113068
PLAZA PATIO (QRO),HONOR,January,4,4395.69146525,17582.765861
ANTEA (QRO),XIAOMI,May,4,4395.690862,17582.763448
ALAMEDA (QRO),XIAOMI,April,4,4395.6900000000005,17582.760000000002
LA VICTORIA (QRO),XIAOMI,February,5,3516.377931,17581.889655
ANTEA (QRO),MOTO,January,5,3516.2070346,17581.035173
FIESTA (IRAPUATO),NOKIA,May,7,2511.4557142857143,17580.19
PARQUE (QRO),XIAOMI,January,4,4374.3528344999995,17497.411337999998
PORTAL (QRO),MOTO,October,4,4374.13775,17496.551
ANTEA (QRO),HISENSE,May,6,2915.95023,17495.70138
ALLENDE (QRO),NOKIA,September,10,1749.13792588,17491.3792588
CONSTITUYENTES (QRO),SAM,January,4,4371.30181025,17485.207241
URBAN (QRO),XIAOMI,February,4,4352.585862,17410.343448
ALLENDE (CELAYA),SAM,March,5,3481.8990718,17409.495359
MADERO (QRO),XIAOMI,September,5,3481.8962758000002,17409.481379
PLAZA PATIO (QRO),XIAOMI,June,7,2486.8228571428567,17407.76
MADERO (LEON),SAM,August,5,3476.7263445999997,17383.631723
GUERRERO (QRO),ZTE,December,11,1579.0751705454545,17369.826876
PLAZA PATIO (QRO),HISENSE,November,6,2894.25523,17365.53138
OBREGON (LEON),HONOR,November,4,4331.68196025,17326.727841
ANDADOR (CELAYA),HONOR,November,4,4331.0560077499995,17324.224030999998
PARQUE (QRO),HONOR,June,5,3464.8264828,17324.132414
PARQUE (QRO),HISENSE,November,6,2887.2142528333334,17323.285517
PLAZA MAYOR (LEON),MOTO,January,5,3210.345,17323.28
HIDALGO (CELAYA),NOKIA,May,8,2165.085603475,17320.6848278
PLAZA MAYOR (LEON),SAM,August,6,2882.3274136666664,17293.964482
GUERRERO (QRO),APPLE,June,2,8619.828793,17239.657586
BOULEVARES (QRO),SAM,February,4,4309.484914000001,17237.939656000002
ALLENDE (QRO),HUAWEI,April,4,4309.48489925,17237.939597
FIESTA (IRAPUATO),MOTO,March,4,4309.4838795,17237.935518
ALLENDE (QRO),HONOR,December,5,3447.4155172,17237.077586
PORTAL (QRO),SAM,January,5,3447.4148,17237.074
HIDALGO 2 (CELAYA),HISENSE,September,6,2872.702738666667,17236.216432
CORREGIDORA 2 (QRO),ZTE,June,10,1723.2762759000002,17232.762759
OBREGON (LEON),XIAOMI,August,5,3430.690082,17153.45041
BOULEVARES (QRO),HONOR,October,4,4287.93206875,17151.728275
ALLENDE (QRO),NOKIA,January,10,1714.65575864,17146.5575864
LA CRUZ (QRO),MOTO,August,4,4275.001197250001,17100.004789000002
PARQUE (QRO),HUAWEI,June,3,5688.794598,17066.383794
CORREGIDORA 3 (QRO),HUAWEI,March,3,5688.794482666667,17066.383448
OBREGON (LEON),XIAOMI,May,5,3555.6034085,17066.379151
ALLENDE (CELAYA),HUAWEI,April,4,4266.380475,17065.5219
MADERO (QRO),XIAOMI,July,5,3412.9304826,17064.652413
ANDADOR (CELAYA),NOKIA,April,8,2128.447444875,17027.579559
PORTAL (QRO),MOTO,January,5,3395.692,16978.46
PORTAL (QRO),XIAOMI,December,6,2829.6002298333333,16977.601379
CORREGIDORA 3 (QRO),SAM,September,4,4234.05181025,16936.207241
OBREGON (LEON),HONOR,June,4,4223.92238975,16895.689559
PARQUE (CELAYA),XIAOMI,May,4,4223.27741375,16893.109655
ANTEA (QRO),SAM,October,4,4223.276724,16893.106896
ANDADOR (CELAYA),XIAOMI,October,4,4223.27654575,16893.106183
LA VICTORIA (QRO),HONOR,September,4,4223.27646525,16893.105861
HIDALGO (CELAYA),SAM,September,4,4223.27584,16893.10336
GUERRERO (QRO),XIAOMI,May,5,3378.4464805999996,16892.232402999998
CORREGIDORA 4 (QRO),HISENSE,August,6,2815.232643833333,16891.395862999998
LEON CENTRO (LEON),ZTE,August,9,1874.9819923333334,16874.837931000002
PLAZA PATIO (QRO),APPLE,May,1,16809.48,16809.48
ANTEA (QRO),APPLE,June,1,16809.48,16809.48
HIDALGO 2 (CELAYA),SAM,March,4,4201.7267,16806.9068
CORREGIDORA 2 (QRO),HUAWEI,September,4,4201.7260345,16806.904138
CORREGIDORA 3 (QRO),HUAWEI,June,5,3361.2072262,16806.036131
CORREGIDORA 4 (QRO),MOTO,June,6,2800.8624713333334,16805.174828
MADERO (QRO),HISENSE,September,6,2793.7773563333335,16762.664138
PLAZA PATIO (QRO),SAM,August,4,4180.1736205,16720.694482
CORREGIDORA 3 (QRO),HONOR,March,4,4180.1727585,16720.691034
FIESTA (IRAPUATO),HONOR,October,5,3343.9679308,16719.839654
ALAMEDA (QRO),NOKIA,August,9,1857.4727203999998,16717.254483599998
CORREGIDORA 3 (QRO),MOTO,July,5,3326.7239999999997,16633.62
LEON CENTRO (LEON),ZTE,November,10,1662.27120692,16622.7120692
PLAZA MAYOR (LEON),SAM,June,7,2370.6063545714287,16594.244482000002
HIDALGO 2 (CELAYA),HONOR,December,4,4137.0686000000005,16548.274400000002
ANDADOR (CELAYA),SAM,June,5,3309.48368,16547.4184
CORREGIDORA 2 (QRO),ZTE,April,10,1685.1544444444444,16545.7
PORTAL (QRO),HONOR,November,4,4115.51913775,16462.076551
CORREGIDORA 3 (QRO),HUAWEI,April,5,3292.2414484,16461.207242
MADERO (LEON),NOKIA,August,7,2351.356009828571,16459.4920688
GUERRERO (QRO),ZTE,November,11,1494.2106878181817,16436.317565999998
CORREGIDORA 2 (QRO),HUAWEI,October,4,4093.9665,16375.866
CORREGIDORA 4 (QRO),HONOR,April,4,4093.96537075,16375.861483
GUERRERO (QRO),MOTO,November,5,3275.004,16375.02
HIDALGO (CELAYA),HISENSE,December,6,2729.023276,16374.139656
HIDALGO (CELAYA),NOKIA,April,7,2339.041177857143,16373.288245
ANDADOR (CELAYA),MOTO,March,4,4076.7241190000004,16306.896476000002
BOULEVARES (QRO),HONOR,May,5,3257.756,16288.779999999999
LEON CENTRO (LEON),XIAOMI,February,6,2714.6568965,16287.941379
CORREGIDORA 2 (QRO),HISENSE,May,7,2326.7235961428573,16287.065173
GUERRERO (QRO),ZTE,April,9,1809.483295,16285.349655
PLAZA PATIO (QRO),ZTE,April,10,1690.9486077499998,16284.485413999999
CORREGIDORA 4 (QRO),ZTE,November,12,1353.304850675,16239.6582081
ANTEA (QRO),MOTO,February,3,5401.439310333334,16204.317931000001
ANDADOR (CELAYA),SAM,March,3,5401.438501,16204.315503
PLAZA PATIO (QRO),XIAOMI,January,4,4050.86241375,16203.449655
CORREGIDORA 3 (QRO),MOTO,April,8,2024.9993534999999,16199.994827999999
GUERRERO (QRO),HISENSE,October,7,2308.252611,16157.768277
ALLENDE (QRO),ZTE,March,11,1468.5733223636364,16154.306546
ALLENDE (QRO),SAM,September,4,4029.31,16117.24
CORREGIDORA 3 (QRO),KODAK,August,12,1342.5285633333335,16110.342760000001
HIDALGO (CELAYA),HONOR,September,4,4007.75980075,16031.039203
CORREGIDORA 2 (QRO),MOTO,July,6,2671.555,16029.33
CORREGIDORA 2 (QRO),HONOR,July,4,3986.20887925,15944.835517
MADERO (LEON),SAM,December,5,3188.7943446,15943.971722999999
CORREGIDORA 4 (QRO),MOTO,December,5,3188.794,15943.97
LA CRUZ (QRO),SAM,May,5,3181.9,15909.5
LEON CENTRO (LEON),ZTE,July,9,1766.379042111111,15897.411379
LA VICTORIA (QRO),MOTO,October,3,5286.4944829999995,15859.483449
LEON CENTRO (LEON),XIAOMI,February,4,3964.655431,15858.621724
ALLENDE (CELAYA),XIAOMI,January,5,3171.552,15857.76
HIDALGO 2 (CELAYA),XIAOMI,August,5,3171.5511675999996,15857.755838
CORREGIDORA 3 (QRO),XIAOMI,January,5,3171.549931,15857.749655
LA VICTORIA (QRO),XIAOMI,April,4,3943.1039655,15772.415862
PLAZA MAYOR (LEON),XIAOMI,May,5,3154.3113792,15771.556896
ALAMEDA (QRO),XIAOMI,February,7,2252.833251142857,15769.832758
GALERIAS (QRO),SAM,April,3,5229.023908,15687.071724000001
ALAMEDA (QRO),MOTO,July,4,3921.5564655,15686.225862
MADERO (QRO),HONOR,January,4,3921.55491375,15686.219655
LA VICTORIA (QRO),HONOR,March,4,3921.55112075,15686.204483
ALLENDE (CELAYA),MOTO,December,5,3137.07206,15685.3603
LEON CENTRO (LEON),ZTE,September,8,1956.0364655,15648.291724
GUERRERO (QRO),NOKIA,October,10,1563.7929656000001,15637.929656
MADERO (QRO),MOTO,May,3,5206.035172333333,15618.105517
GALERIAS (QRO),XIAOMI,October,3,5200.2905746666665,15600.871724
URBAN (QRO),SAM,March,3,5200.288850666667,15600.866552
CONSTITUYENTES (QRO),MOTO,January,4,3899.9981035,15599.992414
CORREGIDORA 2 (QRO),XIAOMI,July,5,3119.828,15599.14
ALLENDE (QRO),HONOR,November,4,3878.8801725000003,15515.520690000001
GALERIAS (QRO),MOTO,November,3,5171.551724333333,15514.655173
PLAZA PATIO (QRO),HONOR,May,4,3878.44887925,15513.795517
PLAZA PATIO (QRO),XIAOMI,May,5,3102.5855862,15512.927931
ALAMEDA (QRO),HONOR,May,4,3856.89637925,15427.585517
ALAMEDA (QRO),MOTO,May,5,3085.348,15426.74
ANDADOR (CELAYA),XIAOMI,May,6,2570.9771166666665,15425.8627
CORREGIDORA 3 (QRO),SAM,April,6,2565.2310918333333,15391.386551
PARQUE (QRO),MOTO,February,3,5114.366666666667,15343.1
HIDALGO 2 (CELAYA),SAM,January,3,5114.082166666667,15342.246500000001
ALLENDE (CELAYA),HONOR,July,4,3835.34603425,15341.384137
MADERO (LEON),HONOR,August,4,3835.34387925,15341.375517
ALLENDE (QRO),BLU,August,27,567.464799037037,15321.549573999999
MADERO (QRO),XIAOMI,August,3,5085.346436666667,15256.03931
CORREGIDORA 4 (QRO),HONOR,January,4,3813.79448275,15255.177931
ALLENDE (QRO),HUAWEI,November,4,3813.794476,15255.177904
GALERIAS (QRO),MOTO,May,4,3813.79405175,15255.176207
CORREGIDORA 2 (QRO),MOTO,November,5,3050.864,15254.32
ALAMEDA (QRO),ZTE,October,10,1520.6495461999998,15206.495461999999
URBAN (QRO),MOTO,August,3,5062.358735666668,15187.076207000002
CORREGIDORA 3 (QRO),HONOR,January,4,3792.24224125,15168.968965
CORREGIDORA 4 (QRO),HONOR,May,4,3792.24224125,15168.968965
LA CRUZ (QRO),HONOR,December,4,3792.24137925,15168.965517
MADERO (QRO),XIAOMI,January,6,2527.8766666666666,15167.259999999998
CORREGIDORA 3 (QRO),MOTO,September,6,2527.8758046666667,15167.254828000001
ANDADOR (CELAYA),HISENSE,August,6,2527.8735293333334,15167.241176
CORREGIDORA 2 (QRO),ZTE,July,9,1685.057701111111,15165.51931
CORREGIDORA 2 (QRO),ZTE,October,10,1512.0700345,15120.700345
PLAZA MAYOR (LEON),XIAOMI,June,5,3017.4627585999997,15087.313793
OBREGON (LEON),MOTO,June,5,3016.7257078,15083.628539
ANTEA (QRO),MOTO,July,3,5027.875977000001,15083.627931
PLAZA PATIO (QRO),HONOR,June,3,5027.875287333333,15083.625861999999
PLAZA PATIO (QRO),XIAOMI,November,4,3770.6875,15082.75
CORREGIDORA 3 (QRO),ZTE,September,10,1503.4497931,15034.497931
PORTAL (QRO),SAM,February,3,4999.14,14997.42
BOULEVARES (QRO),MOTO,February,4,3749.14,14996.56
PLAZA PATIO (QRO),HONOR,April,4,3749.13862075,14996.554483
PLAZA PATIO (QRO),HONOR,April,4,3734.7701146666664,14996.551723
OBREGON (LEON),HUAWEI,June,4,3745.6896,14982.7584
OBREGON (LEON),HONOR,February,4,3728.0193,14912.0772
LEON CENTRO (LEON),HONOR,February,4,3727.5874999999996,14910.349999999999
CORREGIDORA 3 (QRO),HONOR,June,4,3727.5873955,14910.349582
PARQUE (QRO),SAM,August,4,3727.5825,14910.33
ALLENDE (QRO),BLU,December,24,620.5462046833333,14893.1089124
PLAZA MAYOR (LEON),XIAOMI,February,5,2969.712,14848.56
MAYOREO (QRO),MOTO,October,4,3710.3454309999997,14841.381723999999
FIESTA (IRAPUATO),HUAWEI,September,3,4941.6694253333335,14825.008276
CORREGIDORA 4 (QRO),HUAWEI,October,3,4941.668965666667,14825.006897
PORTAL (QRO),XIAOMI,February,4,3706.0375,14824.15
URBAN (QRO),MOTO,November,4,3706.036638,14824.146552
CORREGIDORA 3 (QRO),MOTO,August,5,2964.656,14823.279999999999
HIDALGO 2 (CELAYA),SAM,April,5,2964.6553599999997,14823.2768
ALAMEDA (QRO),SAM,March,6,2461.782356333333,14770.694137999999
CORREGIDORA 3 (QRO),SAM,August,5,2950.8628964,14754.314482
LA CRUZ (QRO),SAM,April,2,7369.82945,14739.6589
CORREGIDORA 3 (QRO),SAM,July,4,3667.24,14668.96
CORREGIDORA 4 (QRO),HONOR,March,4,3662.9313792499997,14651.725516999999
PLAZA PATIO (QRO),MOTO,December,7,2092.7364039999998,14649.154827999999
PARQUE (QRO),ZTE,November,9,1622.701456,14604.313104
HIDALGO 2 (CELAYA),SAM,June,4,3645.6911,14582.7644
ANDADOR (CELAYA),HONOR,March,3,4855.459759666667,14566.379279
CORREGIDORA 3 (QRO),MOTO,December,4,3641.3825,14565.53
CONSTITUYENTES (QRO),XIAOMI,June,4,3641.3793102500003,14565.517241000001
CORREGIDORA 4 (QRO),HISENSE,October,6,2427.2998851666666,14563.799310999999
ALAMEDA (QRO),ZTE,August,7,2080.4193102857143,14562.935172
CORREGIDORA 4 (QRO),ZTE,July,8,1820.260043,14562.080344
GUERRERO (QRO),HISENSE,September,6,2420.1140805,14520.684483
CORREGIDORA 2 (QRO),KODAK,August,11,1319.6705643636365,14516.376208000001
OBREGON (LEON),NOKIA,June,7,2068.7191971142856,14481.0343798
PARQUE (CELAYA),SAM,November,3,4826.7257469999995,14480.177241
HIDALGO 2 (CELAYA),HONOR,November,4,3619.8266,14479.3064
CORREGIDORA 2 (QRO),REALME,April,5,2895.6906208,14478.453104
HIDALGO 2 (CELAYA),HISENSE,June,5,2895.6893972000003,14478.446986
MADERO (LEON),HISENSE,August,4,3609.054138,14436.216552
CORREGIDORA 4 (QRO),NOKIA,October,10,1441.34864832,14413.4864832
LA CRUZ (QRO),MOTO,May,2,7197.4136,14394.8272
CONSTITUYENTES (QRO),SAM,March,3,4797.991149333334,14393.973448
GALERIAS (QRO),XIAOMI,June,3,4797.988505666667,14393.965517
GUERRERO (QRO),HONOR,March,4,3598.27655075,14393.106203
HIDALGO (CELAYA),MOTO,March,4,3598.275843,14393.103372
CORREGIDORA 4 (QRO),MOTO,July,5,2878.448,14392.24
ALAMEDA (QRO),NOKIA,February,6,2398.5648851666665,14391.389310999999
ALAMEDA (QRO),ZTE,April,7,2055.789991142857,14390.529938
PARQUE (CELAYA),NOKIA,June,7,2055.789211942857,14390.5244836
GUERRERO (QRO),HONOR,June,4,3576.72663775,14306.906551
HIDALGO 2 (CELAYA),HUAWEI,May,4,3576.7250249999997,14306.900099999999
PLAZA PATIO (QRO),HONOR,May,4,3576.7238792499998,14306.895516999999
OBREGON (LEON),HUAWEI,October,5,2844.82746,14224.1373
LA VICTORIA (QRO),APPLE,January,1,14223.27586,14223.27586
CONSTITUYENTES (QRO),HONOR,October,4,3555.173017,14220.692068
ALLENDE (CELAYA),SAM,August,4,3555.1724999999997,14220.689999999999
PLAZA PATIO (QRO),HISENSE,June,4,3555.1723275000004,14220.689310000002
ANDADOR (CELAYA),MOTO,May,4,3555.171775,14220.6871
MAYOREO (QRO),MOTO,February,5,2843.9668966,14219.834482999999
PARQUE (CELAYA),NOKIA,April,6,2369.8304022999996,14218.982413799999
GUERRERO (QRO),HUAWEI,September,3,4711.784983333334,14135.35495
PLAZA PATIO (QRO),SAM,November,3,4711.782413666667,14135.347241
ANTEA (QRO),XIAOMI,February,4,3533.62284475,14134.491379
CORREGIDORA 4 (QRO),XIAOMI,July,5,2826.7259999999997,14133.63
LEON CENTRO (LEON),XIAOMI,April,6,2355.4616666666666,14132.77
OBREGON (LEON),XIAOMI,April,6,2355.4608046666667,14132.764828
GUERRERO (QRO),NOKIA,December,7,2018.844138,14131.908965999999
GUERRERO (QRO),SAM,November,3,4683.047,14049.141
PLAZA PATIO (QRO),HONOR,March,4,3512.06887925,14048.275517
ALAMEDA (QRO),NOKIA,July,7,2006.5279311142858,14045.6955178
PARQUE (QRO),HUAWEI,November,3,4654.594368,13963.783104
CORREGIDORA 4 (QRO),SAM,September,3,4654.3124136666665,13962.937241
URBAN (QRO),MOTO,October,3,4654.240000000001,13962.720000000001
CONSTITUYENTES (QRO),MOTO,February,5,2792.4164828000003,13962.082414
HIDALGO 2 (CELAYA),HISENSE,December,5,2792.2419999999997,13961.21
CORREGIDORA 2 (QRO),XIAOMI,April,8,1744.82875,13958.63
CONSTITUYENTES (QRO),XIAOMI,April,2,6945.5172415,13891.034483
VIA ALTA SUR (LEON),XIAOMI,September,3,4625.578046,13876.734138
BOULEVARES (QRO),MOTO,August,3,4625.574138,13876.722414
OBREGON (LEON),HISENSE,September,5,2775.1738498,13875.869249
URBAN (QRO),XIAOMI,May,4,3468.965862,13875.863448
PORTAL (QRO),HONOR,October,4,3468.96577575,13875.863103
PLAZA PATIO (QRO),XIAOMI,September,5,2775.0,13875.0
PLAZA PATIO (QRO),XIAOMI,March,6,2312.358333333333,13874.15
CORREGIDORA 4 (QRO),NOKIA,January,6,2312.3578736333334,13874.1472418
OBREGON (LEON),HUAWEI,August,3,4597.701099999999,13793.103299999999
OBREGON (LEON),HONOR,February,3,4597.414593,13792.243779
PARQUE (CELAYA),HONOR,October,3,4596.841493999999,13790.524481999999
LA VICTORIA (QRO),HONOR,August,3,4596.841493999999,13790.524481999999
MADERO (QRO),SAM,March,3,4596.840919666667,13790.522759000001
CORREGIDORA 3 (QRO),HUAWEI,October,3,4596.839885,13790.519655
ALLENDE (QRO),HONOR,May,4,3447.6299135,13790.519654
ALAMEDA (QRO),HISENSE,September,4,3447.416207,13789.664828
ALLENDE (CELAYA),HISENSE,September,4,3447.416207,13789.664828
ALLENDE (CELAYA),HISENSE,October,4,3447.4155975000003,13789.662390000001
ALAMEDA (QRO),SAM,May,5,2757.9322758000003,13789.661379000001
GUERRERO (QRO),HONOR,April,4,3447.41499975,13789.659999
ANDADOR (CELAYA),NOKIA,June,6,2297.9888886666668,13787.933332
PLAZA PATIO (QRO),ZTE,January,7,1969.5828571428572,13787.08
VIA ALTA SUR (LEON),MOTO,December,5,2749.1382000000003,13745.691
ALLENDE (QRO),HONOR,September,4,3426.0790515,13704.316206
MADERO (LEON),NOKIA,July,7,1957.2664533714285,13700.8651736
FIESTA (IRAPUATO),HISENSE,June,7,2257.7564138,13700.842069
FIESTA (IRAPUATO),BLU,May,37,795.9056467125,13692.3551737
ALLENDE (QRO),NOKIA,December,12,1137.7877012166666,13653.4524146
PARQUE (QRO),MOTO,June,3,4539.9437929999995,13619.831379
URBAN (QRO),SAM,January,3,4539.371149333333,13618.113448
HIDALGO (CELAYA),XIAOMI,February,3,4539.368266666667,13618.104800000001
LEON CENTRO (LEON),HONOR,August,4,3404.3127585,13617.251034
ALAMEDA (QRO),NOKIA,June,7,1944.9527588,13614.6693116
ALLENDE (QRO),NOKIA,February,10,1361.20644832,13612.0644832
CORREGIDORA 4 (QRO),ZTE,October,11,1237.3819749090908,13611.201723999999
ALLENDE (QRO),BLU,September,25,542.241377692,13556.0344423
PLAZA PATIO (QRO),MOTO,September,4,3382.7625,13531.05
FIESTA (IRAPUATO),HUAWEI,November,4,3382.7593105,13531.037242
ALAMEDA (QRO),XIAOMI,March,5,2706.2062682,13531.031341
CORREGIDORA 4 (QRO),MOTO,September,5,2706.036,13530.18
CORREGIDORA 4 (QRO),XIAOMI,March,5,2706.0348966,13530.174483
PORTAL (QRO),HONOR,February,3,4481.9,13445.699999999999
LEON CENTRO (LEON),HONOR,August,3,4481.898160666667,13445.694481999999
ALAMEDA (QRO),HONOR,December,3,4481.8966666666665,13445.689999999999
GUERRERO (QRO),HONOR,January,4,3361.2090335000003,13444.836134000001
HIDALGO 2 (CELAYA),SAM,May,4,3361.20885,13444.8354
CORREGIDORA 3 (QRO),SAM,May,5,2688.7923446,13443.961723
VIA ALTA SUR (LEON),XIAOMI,November,3,4453.160919666667,13359.482759
CONSTITUYENTES (QRO),NOKIA,May,5,2671.5517241999996,13357.758620999999
CORREGIDORA 3 (QRO),MOTO,March,7,1908.0078325714287,13356.054828
MADERO (LEON),HISENSE,October,5,2662.9297242000002,13314.648621
URBAN (QRO),SAM,February,3,4424.426666666667,13273.28
HIDALGO 2 (CELAYA),XIAOMI,April,3,4424.424336666666,13273.273009999999
LA CRUZ (QRO),SAM,March,4,3318.105,13272.42
PARQUE (QRO),HONOR,August,4,3318.104655,13272.41862
CORREGIDORA 4 (QRO),XIAOMI,March,4,3318.1040515,13272.416206
ALLENDE (CELAYA),SAM,May,4,3305.1736,13220.6944
PLAZA MAYOR (LEON),ZTE,October,9,1465.1966666666667,13186.77
BOULEVARES (QRO),HONOR,July,4,3296.551724,13186.206896
CORREGIDORA 4 (QRO),HISENSE,May,6,2197.4137931666664,13184.482758999999
