HOLII SAPI DE CV - Space Statistics
User,carla.mccadden@holii.mx
Last refreshed,12/14/23 08:24:07 UTC
Timeframe,Lifetime

Space name,Space Details URL,Parent folder name,Internal ID,Presented By,Contact name,Address,Public status,Deleted status,Created Date,Impressions,Visits,Unique Visitors
Torre Heldan 1001,https://my.matterport.com/models/yN94AEE8rNx/,Torre Heldan,,http://www.boogietech.com.mx,,"Av. Thiers 251, Anzures, Miguel Hidalgo, 22235 San Miguel, CDMX, México",Public,Not Deleted,03/28/22,8,8,7
Áreas Comunes VRTKL Del Valle,https://my.matterport.com/models/LhPARiEi3CU/,Marcos Arquitectos,,Holii.mx,,"Gabriel Mancera, 45, México, 03100, Mexico",Public,Not Deleted,03/16/22,73,69,45
Insurgentes Sur 3838,https://my.matterport.com/models/Sk7k1GF5quc/,Colliers,,Holii.mx,,,Public,Not Deleted,03/13/22,191,154,90
San Miguel De Allende,https://my.matterport.com/models/RyVBrUL78sx/,Jose Anduc,,Holii.mx,,,Public,Not Deleted,03/09/22,1177,957,692
Piso 8 (Dirección),https://my.matterport.com/models/HAsBNukWTJC/,Colliers,,Holii.mx,,Ci Banco,Public,Not Deleted,02/21/22,350,98,59
Piso 7 (Planta tipo similar al piso 2 y 6),https://my.matterport.com/models/jo7kcL8HBoo/,Colliers,,Holii.mx,,,Public,Not Deleted,02/21/22,86,68,53
Tennyson,https://my.matterport.com/models/Ho1pXPmkJqJ/,Maia Home,,Holii.mx,,Ttennyson,Public,Not Deleted,02/18/22,865,368,228
Revo  1386,https://my.matterport.com/models/LXW59494AUR/,Grupo IDI,,Holii.mx,,,Public,Not Deleted,01/28/22,6869,3030,2401
Culiacan 53,https://my.matterport.com/models/2Qt8Ac9xf9n/,Grupo IDI,,Holii.mx,,,Public,Not Deleted,01/28/22,573,508,378
Casamia Monasterio,https://my.matterport.com/models/ZFLjP3hwtcW/,Casamia,,Holii.mx,,,Public,Not Deleted,01/22/22,7010,1823,1133
Landmark,https://my.matterport.com/models/X6f41bvnH1X/,Grupo IDI,,Holii.mx,,,Public,Not Deleted,01/21/22,14503,3866,3187
Torre Zentrum Santa Fe 1903,https://my.matterport.com/models/5GPcWYx8sGJ/,Torre Zentrum,,www.boogietech.com.mx,,"Torre Zentrum, Av. Santa Fe, Santa Fe, Contadero, Cuajimalpa de Morelos, 01219 Ciudad de México, CDMX, México",Public,Not Deleted,01/15/22,123,111,53
Torre Zentrum Santa Fe 302,https://my.matterport.com/models/mYXCPKiUYhx/,Torre Zentrum,,www.boogietech.com.mx,,"Torre Zentrum, Av. Santa Fe, Santa Fe, Contadero, Cuajimalpa de Morelos, 01219 Ciudad de México, CDMX, México",Public,Not Deleted,01/15/22,35,32,19
Quirófano,https://my.matterport.com/models/3X1mtn3yNuq/,Saleh,,www.boogietech.com.mx,,"Av. José López Portillo 86, San Francisco Chilpan, 54944 Buenavista, Méx., México",Public,Not Deleted,01/15/22,3120,421,288
Cunero,https://my.matterport.com/models/GTHF9mBzn7L/,Saleh,,www.boogietech.com.mx,,"Av. José López Portillo 86, San Francisco Chilpan, 54944 Buenavista, Méx., México",Public,Not Deleted,01/05/22,3172,482,391
Unidad De Cuidados Intensivos Neonatales (UCIN),https://my.matterport.com/models/ZyHjFVx8RhG/,Saleh,,,,"Av. José López Portillo 86, San Francisco Chilpan, 54944 Buenavista, Méx., México",Public,Not Deleted,12/22/21,3008,211,176
Unidad de Terapia Intensiva,https://my.matterport.com/models/ePeYDQ3TGP7/,Saleh,,www.boogietech.com.mx,,"Av. José López Portillo 86, San Francisco Chilpan, 54944 Buenavista, Méx., México",Public,Not Deleted,12/22/21,2977,156,140
Lunamar,https://my.matterport.com/models/wpUqwQDeUeK/,Copri,,Holii.mx,,"Lunamar, Lote2 Núm 307 Entre Norte Y 6 Norte, Playa Del Carmen, Quintana Roo, Mexico",Public,Not Deleted,12/18/21,1197,746,527
"UTI (Unidad de Cuidados Intensivos), UCIN (Unidad de Cuidados Intensivos Neonatales)",https://my.matterport.com/models/J4nui2gSbPa/,Saleh,,www.boogietech.com.mx,Leonel Ledezma,"Diagonal Defensores de la República No 201, Col. Amor, CP 72140, Puebla, Pue.",Public,Not Deleted,12/13/21,1677,877,697
Sala de Urgencias,https://my.matterport.com/models/y7yrQRYsQh7/,Saleh,,www.boogietech.com.mx,,,Public,Not Deleted,12/13/21,3227,208,184
Habitación 1,https://my.matterport.com/models/FZQbWFUS5Sn/,Saleh,,www.boogietech.com.mx,,"Av. José López Portillo 86, San Francisco Chilpan, 54944 Buenavista, Méx., México",Public,Not Deleted,12/13/21,3874,776,579
Sala de Rayos X,https://my.matterport.com/models/yeqA8WpRa8e/,Saleh,,www.boogietech.com.mx,,"Av. José López Portillo 86, San Francisco Chilpan, 54944 Buenavista, Méx., México",Public,Not Deleted,12/05/21,2833,120,104
Almena Cowork,https://my.matterport.com/models/GPeYPdvkDuf/,Isidoro Sutton,,Holii.mx,,,Public,Not Deleted,11/26/21,1183,704,478
Parque San Rafael - Depto muestra,https://my.matterport.com/models/ZvJXa9DnUUG/,Nah Mexicana,,Holii.mx,,,Public,Not Deleted,11/22/21,70178,21369,17341
Tomógrafo,https://my.matterport.com/models/cR4jYikdY2o/,Saleh,,www.boogietech.com.mx,,"Av. José López Portillo 86, San Francisco Chilpan, 54944 Buenavista, Méx., México",Public,Not Deleted,11/21/21,2849,99,91
Lobby,https://my.matterport.com/models/MxrSPzCLTnt/,Saleh,,www.boogietech.com.mx,,"Av. José López Portillo 86, San Francisco Chilpan, 54944 Buenavista, Méx., México",Public,Not Deleted,11/21/21,3785,1118,763
World Plaza PB1,https://my.matterport.com/models/nHNiLuE2EGt/,World Plaza,,www.boogietech.com.mx,Arq. Melissa Rivas Clavel,"Av Sta Fe 481, Santa Fe, Contadero, Cuajimalpa de Morelos, 01219 Ciudad de México, CDMX, México",Public,Not Deleted,11/21/21,65,56,36
World Plaza 401,https://my.matterport.com/models/tVd6DDiv2Vw/,World Plaza,,www.boogietech.com.mx,Arq. Melissa Rivas Clavel,"Av Sta Fe 481, Santa Fe, Contadero, Cuajimalpa de Morelos, 01219 Ciudad de México, CDMX, México",Public,Not Deleted,11/16/21,22,21,15
World Plaza 1701,https://my.matterport.com/models/PmEmmmN1XA1/,World Plaza,,www.boogietech.com.mx,Melissa Rivas,"Av Sta Fe 481, Santa Fe, Contadero, Cuajimalpa de Morelos, 01219 Ciudad de México, CDMX, México",Public,Not Deleted,11/16/21,33,29,19
AMI Workshop Testing Area,https://my.matterport.com/models/KrNv6bsHJJ5/,AMI Automation,,Holii.mx,,,Public,Not Deleted,11/14/21,44,29,20
World Plaza 2201,https://my.matterport.com/models/Bw98PQ2kDXo/,World Plaza,,www.boogietech.com.mx,Arq. Melissa Rivas Clavel,"Av Sta Fe 481, Santa Fe, Contadero, Cuajimalpa de Morelos, 01219 Ciudad de México, CDMX, México",Public,Not Deleted,11/13/21,162,152,85
Lobby,https://my.matterport.com/models/eGEwGr6K96S/,Saleh,,www.boogietech.com.mx,Leonel Ledezma,"Diagonal Defensores de la República No 201, Col. Amor, CP 72140, Puebla, Pue.",Public,Not Deleted,11/08/21,2655,814,299
Habitación Sencilla,https://my.matterport.com/models/RDtkssfXJQ8/,Saleh,,www.boogietech.com.mx,Leonel Ledezma,"Diagonal Defensores de la República No 201, Col. Amor, CP 72140, Puebla, Pue.",Public,Not Deleted,11/08/21,2880,998,526
Suite,https://my.matterport.com/models/wESDB8ZCSJN/,Saleh,,www.boogietech.com.mx,Leonel Ledezma,"Diagonal Defensores de la República No 201, Col. Amor, CP 72140, Puebla, Pue.",Public,Not Deleted,11/08/21,2488,389,301
Cunero,https://my.matterport.com/models/CEF4aDUpBoQ/,Saleh,,www.boogietech.com.mx,Leonel Ledezma,"Diagonal Defensores de la República No 201, Col. Amor, CP 72140, Puebla, Pue.",Public,Not Deleted,11/08/21,2150,294,197
Sala de Toco,https://my.matterport.com/models/7yoKdkbrTux/,Saleh,,www.boogietech.com.mx,Leonel Ledezma,"Diagonal Defensores de la República No 201, Col. Amor, CP 72140, Puebla, Pue.",Public,Not Deleted,11/08/21,1978,142,109
Sala de Médicos,https://my.matterport.com/models/nn6sNc6ohz7/,Saleh,,www.boogietech.com.mx,Leonel Ledezma,"Diagonal Defensores de la República No 201, Col. Amor, CP 72140, Puebla, Pue.",Public,Not Deleted,11/08/21,1967,110,101
Quirófano Sala 1,https://my.matterport.com/models/oYD6SkaUhW6/,Saleh,,www.boogietech.com.mx,Leonel Ledezma,"Diagonal Defensores de la República No 201, Col. Amor, CP 72140, Puebla, Pue.",Public,Not Deleted,11/08/21,4481,561,348
Sala de Rayos X,https://my.matterport.com/models/nt2fw7z4Eue/,Saleh,,www.boogietech.com.mx,Leonel Ledezma,"Diagonal Defensores de la República No 201, Col. Amor, CP 72140, Puebla, Pue.",Public,Not Deleted,11/08/21,1998,147,125
Tomógrafo,https://my.matterport.com/models/usGbAJ7WApV/,Saleh,,www.boogietech.com.mx,Leonel Ledezma,"Diagonal Defensores de la República No 201, Col. Amor, CP 72140, Puebla, Pue.",Public,Not Deleted,11/08/21,1944,92,54
Sala de Urgencias,https://my.matterport.com/models/P6FkqmwBWNr/,Saleh,,www.boogietech.com.mx,Leonel Ledezma,"Diagonal Defensores de la República No 201, Col. Amor, CP 72140, Puebla, Pue.",Public,Not Deleted,11/08/21,2127,179,138
Galería Arroníz Vol. 9,https://my.matterport.com/models/ZeAD65kWW3G/,Arroniz Galería,,Holii.mx,,,Not Public,Not Deleted,11/06/21,798,244,177
Casa Terranova - Canario,https://my.matterport.com/models/veUs6ChFAUv/,Terranova,,Holii.mx,,,Public,Not Deleted,11/05/21,69594,30778,11346
Casa Terranova - Colibrí 10,https://my.matterport.com/models/sCFKaijsdsu/,Terranova,,Holii.mx,,,Public,Not Deleted,11/04/21,32962,15379,9128
Casa Terranova - Colibri 20,https://my.matterport.com/models/vqhoAcNGpeg/,Terranova,,Holii.mx,,,Public,Not Deleted,11/04/21,50136,22655,11786
Isola B Real,https://my.matterport.com/models/4Wv8wDDpJfR/,Amir Cherit,,Holii.mx,,,Public,Not Deleted,10/25/21,1743,1439,624
Londres 256 - Terraza,https://my.matterport.com/models/4pHrFvz6ZPx/,Arquitectoma,,Holii.mx,,,Public,Not Deleted,10/19/21,362,235,183
Londres 256 - Gym y Lobby,https://my.matterport.com/models/VJsqu5LukFG/,Arquitectoma,,Holii.mx,,,Public,Not Deleted,10/19/21,29,29,24
Mobil Gas Temixco,https://my.matterport.com/models/kiaEc6LytJX/,Momentumm WW,,Holii.mx,,Mobil Gas Temixco,Public,Not Deleted,10/17/21,129,121,50
Residencial Toreo - Amenidades,https://my.matterport.com/models/8Wzgd5WPQPW/,Copri,,Holii.mx,,,Public,Not Deleted,10/15/21,643,606,456
Mobil Gas,https://my.matterport.com/models/iJ5CzuA5VL1/,Momentumm WW,,Holii.mx,,,Public,Not Deleted,10/10/21,277,259,95
Canelos 33,https://my.matterport.com/models/xB3EwwBrJfT/,Marisol Cano,,Holii.mx,Marisol Cano,,Public,Not Deleted,09/28/21,236,185,120
Nave León,https://my.matterport.com/models/ekw7AKq7uRz/,CBRE,,Holii.mx,,,Not Public,Not Deleted,09/27/21,64,38,31
Departamento Muestra Parallelo Insurgentes,https://my.matterport.com/models/MRNg9Jop8fj/,Metra Desarrolladora,,holii.mx,,"Av. Insurgentes Sur 1831, Guadalupe Inn, Álvaro Obregón, 01020 Ciudad de México, CDMX, México",Public,Not Deleted,09/14/21,5551,4799,3860
Lobby Parallelo Insurgentes,https://my.matterport.com/models/va1N84ZEEEU/,Metra Desarrolladora,,Holii.mx,,"Av. Insurgentes Sur 1831, Guadalupe Inn, Álvaro Obregón, 01020 Ciudad de México, CDMX, México",Public,Not Deleted,09/06/21,2114,1788,1531
Grand 2000.,https://my.matterport.com/models/EPdLwx8Kxws/,Residencial Iztac,,Holii.mx,,,Public,Not Deleted,09/01/21,44,39,31
Areas Comunes Parallelo Insurgentes,https://my.matterport.com/models/NGzsHY68p8e/,Metra Desarrolladora,,www.boogietech.com.mx,,"Av. Insurgentes Sur 1831, Guadalupe Inn, Álvaro Obregón, 01020 Ciudad de México, CDMX, México",Public,Not Deleted,08/26/21,3045,2421,1941
Casa Santa Fe,https://my.matterport.com/models/Hu37EKGjBQp/,Medellin Basurto Arquitectos,,Holii.mx,,,Public,Not Deleted,07/15/21,5,5,3
Depto Santa Fe,https://my.matterport.com/models/AqqB41k7kvK/,Medellin Basurto Arquitectos,,Holii.mx,,,Public,Not Deleted,07/15/21,2,2,1
Rancho El Madroño - Valle de Bravo,https://my.matterport.com/models/MjH19DmrrGU/,Medellin Basurto Arquitectos,,Holii.mx,,,Public,Not Deleted,07/15/21,998,344,229
Residencial Tequila y Mezcal - Modelo Mezcal,https://my.matterport.com/models/d78rwH9opD6/,Nivel 1 Constructora,,Holii.mx,,,Public,Not Deleted,07/08/21,11696,2357,1880
Parque Jardin depto muestra,https://my.matterport.com/models/7F7NXSWvt24/,Copri,,Holii.mx,,,Public,Not Deleted,07/06/21,7252,5564,3314
Oficina Radiatas,https://my.matterport.com/models/pYuewkegmJJ/,IM Desarrollos,,Holii.mx,,,Public,Not Deleted,07/06/21,69,61,36
Vivanta Residencial - Modelo Cinco,https://my.matterport.com/models/hAHTSDUwM31/,Vivanta Residencial,,Holii.mx,,,Public,Not Deleted,07/06/21,7696,5189,3108
Vivanta Residencial - Modelo Uno,https://my.matterport.com/models/vDG3mu4z9XG/,Vivanta Residencial,,Holii.mx,,,Public,Not Deleted,07/02/21,3808,2742,1735
Vivanta Residencial - Modelo Dos,https://my.matterport.com/models/h5ZBHhf1QNx/,Vivanta Residencial,,Holii.mx,,,Public,Not Deleted,07/02/21,5305,3646,2313
Vivanta Residencial - Modelo Tres,https://my.matterport.com/models/XPTMQUiVSvi/,Vivanta Residencial,,Holii.mx,,,Public,Not Deleted,07/02/21,6291,4099,2545
Vivanta Residencial - Modelo Cuatro,https://my.matterport.com/models/b7zosKQmaWT/,Vivanta Residencial,,Holii.mx,,,Public,Not Deleted,07/02/21,4786,3226,2025
Lomas Del Sol,https://my.matterport.com/models/kunemJ7XsHZ/,Salomon Galante,,Holii.mx,,,Not Public,Not Deleted,06/28/21,532,402,207
Oficinas EY - Monterrey,https://my.matterport.com/models/1K9cjeCMA3o/,Colliers,,Holii.mx,,,Public,Not Deleted,06/23/21,715,344,275
Alure San José Insurgentes,https://my.matterport.com/models/r1QPzrKuaBG/,ZKC,,holii.mx,,"Av. Revolución 1030, San José Insurgentes, Benito Juárez, 03900 Ciudad de México, CDMX, México",Public,Not Deleted,06/23/21,33133,5403,4180
Super 1000 Plus,https://my.matterport.com/models/RZR88KWWf6e/,Residencial Iztac,,Holii.mx,,,Public,Not Deleted,06/22/21,28656,22987,14345
Grand 2000,https://my.matterport.com/models/QSKqHapfgGE/,Residencial Iztac,,Holii.mx,,,Public,Not Deleted,06/22/21,7976,6949,4902
Grand 2000,https://my.matterport.com/models/VKCCp5d2uiD/,Residencial Iztac,,Holii.mx,,,Public,Not Deleted,06/22/21,18123,14139,8587
Premier 6000 Plus,https://my.matterport.com/models/BvA79meGgVk/,Residencial Iztac,,Holii.mx,,,Public,Not Deleted,06/21/21,14597,11585,6913
Royal 8000 Plus,https://my.matterport.com/models/D4GE7Qt5RoA/,Residencial Iztac,,Holii.mx,,,Public,Not Deleted,06/21/21,14197,11273,7574
Royal 8000,https://my.matterport.com/models/bCH6mT6Afqa/,Residencial Iztac,,Holii.mx,,,Public,Not Deleted,06/21/21,6421,5067,3847
Newton,https://my.matterport.com/models/t2bvEAxKR8p/,Jemil,,Holii.mx,,,Public,Not Deleted,06/15/21,1427,1251,613
Be Grand Bosques 135 m2,https://my.matterport.com/models/fhiWWv2jBxB/,Park Bosques,,Holii.mx,,,Public,Not Deleted,06/14/21,3407,1864,1526
Homework Cowork,https://my.matterport.com/models/ezESA5aHNFm/,Homework,,,,,Public,Not Deleted,06/11/21,4927,2779,1988
Oficinas EY - Antara Polanco,https://my.matterport.com/models/DiFBP7oQuvr/,Colliers,,Holii.mx,,,Public,Not Deleted,06/05/21,896,460,313
Tienda del Auditorio Nacional,https://my.matterport.com/models/VnxEX1b27cg/,Central Interactiva,,,,,Public,Not Deleted,05/29/21,14243,8926,8028
Fly Business - 1996 GULFSTREAM G4,https://my.matterport.com/models/D9o5XNbkP98/,Fly Business App,,Holii.mx,,,Public,Not Deleted,05/27/21,2779,210,159
Laboratorio Medico Polanco - Tamiahua 2,https://my.matterport.com/models/6xZhgW5FQom/,Laboratorio Medico Polanco,,Holii.mx,,,Public,Not Deleted,05/12/21,38,29,11
Laboratorio Medico Polanco - Tamiahua 1,https://my.matterport.com/models/GPCeui1bio3/,Laboratorio Medico Polanco,,Holii.mx,,,Public,Not Deleted,05/12/21,122,65,27
Laboratorio Médico Polanco - Anzures Proceso,https://my.matterport.com/models/nVs38W3N2x8/,Laboratorio Medico Polanco,,Holii.mx,,,Public,Not Deleted,05/11/21,78,55,12
Laboratorio Medico Polanco - Corporativo,https://my.matterport.com/models/hZTMmpYf4jr/,Laboratorio Medico Polanco,,Holii.mx,,Oaxaca 28 Lmp,Public,Not Deleted,05/09/21,21,16,5
Laboratorio Medico Polanco - Anzures LCP,https://my.matterport.com/models/eXPy7qm5DeC/,Laboratorio Medico Polanco,,Holii.mx,,,Public,Not Deleted,05/09/21,39,31,15
Laboratorio Médico Polanco - San Jerónimo CID,https://my.matterport.com/models/gZHaP3mdYpa/,Laboratorio Medico Polanco,,Holii.mx,,,Public,Not Deleted,05/08/21,67,39,14
Laboratorio Medico Polanco - Citibanamex,https://my.matterport.com/models/zPj9RwUvfya/,Laboratorio Medico Polanco,,Holii.mx,,,Public,Not Deleted,05/06/21,52,38,22
Laboratorio Medico Polanco - Aeropuerto GDL,https://my.matterport.com/models/Gd3GhCC5wDs/,Laboratorio Medico Polanco,,Holii.mx,,,Public,Not Deleted,05/05/21,85,45,23
Laboratorio Medico Polanco - Medica Mía,https://my.matterport.com/models/FoqQtNsBkuN/,Laboratorio Medico Polanco,,Holii.mx,,,Public,Not Deleted,05/04/21,50,32,18
Laboratorio Medico Polanco - Centro Cívico,https://my.matterport.com/models/yeb1kXZsGSr/,Laboratorio Medico Polanco,,Holii.mx,,,Public,Not Deleted,04/30/21,51,32,15
Laboratorio Medico Polanco - Polanco,https://my.matterport.com/models/xoeGZEAXXfX/,Laboratorio Medico Polanco,,Holii.mx,,,Public,Not Deleted,04/30/21,606,115,55
LS Galería,https://my.matterport.com/models/i12BsNKadDS/,LS Galería,,Holii.mx,,,Public,Not Deleted,04/29/21,1531,868,616
Art Jaus,https://my.matterport.com/models/3M6jcErdWJd/,Galerías de arte,,Holii.mx,,,Public,Not Deleted,04/26/21,292,266,210
Topacio 3,https://my.matterport.com/models/CsUW2cW9PJo/,Vimo,,Holii.mx,,,Public,Not Deleted,04/26/21,21015,4796,3702
Esmeralda 3 - Modelo Jade,https://my.matterport.com/models/skaseTaGUuo/,Vimo,,Holii.mx,,,Public,Not Deleted,04/19/21,13956,2626,1758
Galeria Rio Ebro 85,https://my.matterport.com/models/aT7SmoeAbx1/,Pollo Lopez,,Holii.mx,,,Not Public,Not Deleted,04/16/21,534,93,58
Texas 71,https://my.matterport.com/models/mk4MaisTC4y/,Abraham Perez,,Holii.mx,,,Public,Not Deleted,04/13/21,500,174,95
Totalsec,https://my.matterport.com/models/J2vTccrtJbd/,Impulso Virtual,,Totalsec Expertos en Ciberseguridad,,,Public,Not Deleted,04/09/21,55556,2419,1770
Galería LS - VIA Santa Fe,https://my.matterport.com/models/HXcmCrBWE4o/,LS Galería,,Holii.mx,,,Not Public,Not Deleted,04/08/21,75,67,47
Bondojito 328,https://my.matterport.com/models/Frke2i2UbMo/,Interlogix,,Holii.mx,,,Public,Not Deleted,03/30/21,103,63,35
Crea Del Valle,https://my.matterport.com/models/fV27QD2dwHW/,Crea Working Spaces,,Holii.mx,,"Av. Coyoacán 1622 Edificio 4 Piso 2, Col. Del Valle, 03310, CDMX, México",Public,Not Deleted,03/22/21,56928,3951,3085
Villas Xaltipa II - casa 2,https://my.matterport.com/models/84dJYTkxyyf/,Villas Xaltipa 2021,,,,,Public,Not Deleted,03/18/21,2324,1983,1011
Villas Xaltipa II - casa 1,https://my.matterport.com/models/YY4UxcMDHGr/,Villas Xaltipa 2021,,,,,Public,Not Deleted,03/18/21,22817,11991,7325
Villas Xaltipa II - casa 3,https://my.matterport.com/models/5QjRYFwtq9m/,Villas Xaltipa 2021,,,,,Public,Not Deleted,03/18/21,26903,14503,8592
Lagos de Puente Moreno 1.1,https://my.matterport.com/models/mg869kgXvdd/,Jose Ricaño,,Holii.mx,,,Public,Not Deleted,03/17/21,13230,4937,2976
AMI North Workshop and Electronic Manufacturing Laboratory,https://my.matterport.com/models/g4DvqfY81tM/,AMI Automation,,Holii.mx,,,Public,Not Deleted,03/15/21,228,161,81
AMITech Center,https://my.matterport.com/models/R9Afs4JYJHS/,AMI Automation,,Holii.mx,,,Public,Not Deleted,03/13/21,169,117,77
AMI South Workshop,https://my.matterport.com/models/Jwq2Ui2KBPE/,AMI Automation,,Holii.mx,,,Public,Not Deleted,03/13/21,144,112,74
Lagos de Puente Moreno 5.1,https://my.matterport.com/models/2VZzjV6tKcq/,Jose Ricaño,,Holii.mx,,,Public,Not Deleted,03/12/21,7425,2711,1837
Lagos de Puente Moreno 2.1,https://my.matterport.com/models/caYPA42pKNk/,Jose Ricaño,,Holii.mx,,,Public,Not Deleted,03/12/21,7328,2785,1902
Lagos de Puente Moreno 3.1,https://my.matterport.com/models/uDUxVpnuUsf/,Jose Ricaño,,Holii.mx,,,Public,Not Deleted,03/12/21,10315,3847,2421
Lagos de Puente Moreno 4.1,https://my.matterport.com/models/tvds6WDqjFj/,Jose Ricaño,,Holii.mx,,,Public,Not Deleted,03/12/21,18677,6649,4227
Depto. Muestra VRTKL Del Valle,https://my.matterport.com/models/ZK8LQUQPf7V/,Marcos Arquitectos,,holii.mx,,"Gabriel Mancera 2, 103, México, México",Public,Not Deleted,03/05/21,12684,2454,1742
Fly Business,https://my.matterport.com/models/TxzcvjGFP7N/,Fly Business App,,Holii.mx,,,Public,Not Deleted,03/03/21,5340,289,183
Esmeralda - Modelo Aguamarina,https://my.matterport.com/models/pm9KbaSniTV/,Vimo,,Holii.mx,,,Public,Not Deleted,02/09/21,18431,2926,2222
Residencial Role,https://my.matterport.com/models/eKnEQacYLhX/,Casamia,,Holii.mx,,,Public,Not Deleted,02/04/21,6149,1315,878
Casa Liebres Lote 11,https://my.matterport.com/models/yis7iUt9neP/,Vascondesa,,Holii.mx,,,Not Public,Not Deleted,01/31/21,21,21,11
Tour Virtual casa Lomas Country Club - Roberto Isoard 55 1950 9635,https://my.matterport.com/models/ckWGAynj4ZU/,Roberto Isoard,,Holii.mx,Roberto Isoard,,Public,Not Deleted,01/24/21,1111,883,390
Zazil Tunich Cenote-Museo,https://my.matterport.com/models/diCZf7pDhda/,Spaces,,Holii.mx,presentado por Grupo Zero,"Zazil Tunics, Carretera Yalcoba-Xtut Km 6, Valladolid, Yucatan, 97780",Public,Not Deleted,01/22/21,1946,1336,747
Colegios Florencia Nightingale: Plantel Industrial,https://my.matterport.com/models/Zg474Ahq2Vy/,Colegio Florencia Nightingdale,,Holii.mx,,,Public,Not Deleted,01/22/21,113490,6502,3376
Colegios Florencia Nightingale: Plantel Lindavista,https://my.matterport.com/models/qzHWZ5RSSK2/,Colegio Florencia Nightingdale,,Holii.mx,,,Public,Not Deleted,01/22/21,119269,10235,6416
Suzuki Tlalpan,https://my.matterport.com/models/YfgBC6MczNN/,Edgar Aguilar,,Holii.mx,,,Public,Not Deleted,01/19/21,3886,2764,1915
Guadalajara 101,https://my.matterport.com/models/DTyMA7A3M5z/,Claudia Godinez / Pablo Limon,,Holii.mx,,,Public,Not Deleted,01/16/21,1383,1038,625
Montes Urales 638,https://my.matterport.com/models/mRBENhKZhHa/,Oficinas,,Holii.mx,,,Public,Not Deleted,01/11/21,147,128,65
Nave Año Juarez,https://my.matterport.com/models/25meAYR2KXb/,Colliers,,Holii.mx,,,Public,Not Deleted,12/31/20,368,134,81
Peugeot Lomas Verdes 2,https://my.matterport.com/models/5YQt22FuBBd/,Edgar Aguilar,,Holii.mx,,,Public,Not Deleted,12/24/20,265,248,164
Mapfre,https://my.matterport.com/models/Mypmt3SJfJu/,Colliers,,Holii.mx,,,Public,Not Deleted,12/20/20,667,229,118
Londres 256 - 1R,https://my.matterport.com/models/Y7n3SNusKPu/,Arquitectoma,,Holii.mx,,,Public,Not Deleted,12/17/20,1185,793,605
BRISAS CASA FIAMMA - 5 HABITACIONES - 1167m2,https://my.matterport.com/models/fVzT52EFGwd/,WAO,,Holii.mx,,,Public,Not Deleted,12/17/20,886,689,287
Residence Bosque Real,https://my.matterport.com/models/EQAEfaEB1kg/,Bosque Real,,holii.mx,,Residence Bosque Real,Public,Not Deleted,12/09/20,29298,4945,3745
360 Torre del Carmen 1R,https://my.matterport.com/models/363bsAZFhD9/,Torre del Carmen,,Holii.mx,,,Public,Not Deleted,11/28/20,1501,782,428
360 Torre del Carmen 2R,https://my.matterport.com/models/aAyPhn78iHv/,Torre del Carmen,,Holii.mx,,,Public,Not Deleted,11/28/20,1176,659,479
Piso 12,https://my.matterport.com/models/uLHCdDUNost/,Oficinas,,Holii.mx,,,Not Public,Not Deleted,11/27/20,81,70,51
PORCELANOSA MÉXICO - SHOWROOM CANCÚN,https://my.matterport.com/models/wAsX4KRWA5Q/,Porcelanosa,,Holii.mx,,"Porcelanosa Cancun, Plaza Vandutch Av Bonampak Up-51 Lt.1-02 Mz 27, Local S-2 Y S-3, Supermanzana Puerto Cancun, Zona Hotelera, Cancun, Quintana Roo, 77500, Mexico",Public,Not Deleted,11/17/20,2829,1639,892
PORCELANOSA MÉXICO - SHOWROOM PLAYA DEL CARMEN,https://my.matterport.com/models/5XXYEqwJGeM/,Porcelanosa,,Holii.mx,,,Public,Not Deleted,11/17/20,3798,2067,1229
Taman Condesa,https://my.matterport.com/models/xs6cc1iqhoA/,Arquitectoma,,Holii.mx,,,Public,Not Deleted,11/10/20,6992,2840,1691
Piso 17,https://my.matterport.com/models/dkcgUwfwMgG/,Oficinas,,Holii.mx,,,Public,Not Deleted,11/06/20,83,61,32
Piso 5 - Comedor,https://my.matterport.com/models/WapZSeHmkwi/,Oficinas,,Holii.mx,,,Public,Not Deleted,11/06/20,80,61,29
Piso 7,https://my.matterport.com/models/pfYZRF2Wtsn/,Oficinas,,Holii.mx,,,Not Public,Not Deleted,11/05/20,105,88,47
Lobby,https://my.matterport.com/models/SzHXNnJsmdu/,Oficinas,,Holii.mx,,,Public,Not Deleted,11/05/20,261,220,88
Piso 15,https://my.matterport.com/models/Tz5tNiASX2F/,Oficinas,,Holii.mx,,,Public,Not Deleted,11/05/20,66,51,27
Piso 18,https://my.matterport.com/models/X85BQYfNx7D/,Oficinas,,Holii.mx,,,Public,Not Deleted,11/03/20,63,48,30
Piso 19,https://my.matterport.com/models/ESQDKq5MyGo/,Oficinas,,Holii.mx,,,Public,Not Deleted,11/02/20,76,62,35
Chapultepec Uno,https://my.matterport.com/models/neia956R6go/,Arquitectoma,,Holii.mx,,,Public,Not Deleted,10/23/20,5815,1663,1058
Paseo de los Laureles 444,https://my.matterport.com/models/mcRtXWehpn4/,Raul Pinto,,Holii.mx,,,Public,Not Deleted,10/16/20,109,98,61
Emilia,https://my.matterport.com/models/2iXvwvrh9v3/,Maia Home,,Holii.mx,,,Public,Not Deleted,10/05/20,3287,1257,533
