Shop,Date,Shift,Tickets,Covers,System Sales,Lounge Sales,Delivery Sales,Bar Sales,Delivery Quantity,Lounge Quantity,Sale Fiscal,Visa Card,Visa electron,Pedidos Ya,Mercado Pago,Rappi
CDLM 2,22/03/2023,Noche,26,16,103095,46138,48206,8751,15,3,45181,8941,22349,33754,2521,0
CDLM 3,22/03/2023,Noche,44,74,248306,195542,51884,880,15,1,278610,122520,0,18740,0,7329
CDLM 4,22/03/2023,Noche,30,24,135412,53577,71146,10689,18,3,80674,4180,9753,"39202,9",4104,0
CDLM 5,22/03/2023,Noche,28,0,67508,67508,0,0,0,0,116419,16320,22686,0,9190,0
CDLM 6,22/03/2023,Noche,57,45,251765,137920,113845,0,37,0,120986,44105,0,"61995,3",0,0
La Embajada,22/03/2023,Noche,8,0,"45078,4","45078,4",0,0,0,0,"44974,4",0,"34613,56",0,"6664,84",0
La Embajada,23/03/2023,Mediodía,4,0,"28118,07","28118,07",0,0,0,0,0,"8472,61","12235,45",0,"7410,01",0
CDLM 4,23/03/2023,Mediodía,19,11,69101,31226,37875,0,13,0,0,20086,0,"16221,1",0,2316
CDLM 5,23/03/2023,Mediodía,39,0,124657,124657,0,0,0,0,0,25049,29639,0,14889,0
CDLM 3,23/03/2023,Mediodía,24,37,106351,81549,24802,0,10,0,0,73561,0,11964,0,1764
CDLM 1,23/03/2023,Mediodía,56,63,"289759,7",172478,89579,"27702,7",28,5,0,"96085,7",0,48842,0,1998
CDLM 6,23/03/2023,Mediodía,52,62,"250377,3","155665,3",93612,1100,31,1,0,86919,0,"55458,1",0,0
CDLM 2,23/03/2023,Mediodía,22,20,132181,54450,72261,5470,18,1,0,51008,5470,30690,0,0
CDLM 1,23/03/2023,Noche,69,69,311580,164408,138956,8216,41,3,365637,95403,0,79315,0,2669
CDLM 2,23/03/2023,Noche,23,13,"124422,33","32009,33",77605,14808,14,4,65223,6180,"6943,33","49796,7",7494,0
CDLM 3,23/03/2023,Noche,47,74,265406,212074,53332,0,18,0,204426,15066,36344,24949,32495,14041
CDLM 4,23/03/2023,Noche,33,41,183578,89444,85423,8711,22,1,66139,33186,0,58158,0,1350
CDLM 5,23/03/2023,Noche,20,0,64510,64510,0,0,0,0,129725,26270,11090,0,1840,0
CDLM 6,23/03/2023,Noche,95,142,503679,380060,120769,2850,39,1,233061,196665,0,65264,0,0
La Embajada,23/03/2023,Noche,11,0,"60613,47","60613,47",0,0,0,0,"88731,54","14492,62","27186,97",0,"6986,26",0
La Embajada,24/03/2023,Mediodía,9,0,"83036,83","83036,83",0,0,0,0,0,0,"15623,94",0,"35671,73",0
CDLM 5,24/03/2023,Mediodía,71,0,253573,253573,0,0,0,0,0,43579,86008,0,11078,0
CDLM 4,24/03/2023,Mediodía,27,22,136786,54296,70529,11961,17,2,0,34725,0,21856,0,"3210,5"
CDLM 1,24/03/2023,Mediodía,74,99,415813,255541,157122,3150,43,1,0,113195,0,"102193,5",0,14483
CDLM 3,24/03/2023,Mediodía,70,165,"465462,1","399316,1",66146,0,17,0,0,259087,0,43693,0,12019
CDLM 2,24/03/2023,Mediodía,40,92,"253541,6","224218,6",23231,6092,8,2,0,"50929,5","69282,5",10825,31647,0
CDLM 6,24/03/2023,Mediodía,82,85,"390317,2","233359,2",150531,6427,47,3,0,70688,"41803,8",0,9650,0
CDLM 1,24/03/2023,Noche,58,110,"369340,9","313685,9",55655,0,17,0,516501,168201,0,22024,0,21123
CDLM 4,24/03/2023,Noche,37,43,166800,101402,65398,0,21,0,120808,27508,12740,46547,12740,3629
CDLM 2,24/03/2023,Noche,44,46,225623,114941,105135,5547,29,1,222262,19212,39410,90021,11324,0
CDLM 5,24/03/2023,Noche,49,0,137448,137448,0,0,0,0,362310,22540,17300,0,19599,0
La Embajada,24/03/2023,Noche,16,0,"118805,5","118805,5",0,0,0,0,"201842,35","27799,08","43132,62",0,"5832,02",0
CDLM 3,24/03/2023,Noche,88,214,549527,511631,31446,6450,7,3,703368,140712,77906,14193,73695,0
CDLM 6,24/03/2023,Noche,103,150,569584,446425,118789,4370,48,1,593878,47694,116486,65788,90184,0
La Embajada,25/03/2023,Mediodía,6,0,"47884,43","47884,43",0,0,0,0,0,"6753,89","33583,75",0,0,0
CDLM 5,25/03/2023,Mediodía,84,0,270080,270080,0,0,0,0,0,65786,68226,0,28906,0
CDLM 6,25/03/2023,Mediodía,73,86,422270,259254,152076,10940,41,1,0,197830,0,94713,0,0
CDLM 4,25/03/2023,Mediodía,31,24,162020,56215,66287,39518,16,6,0,36687,19962,35237,15050,11675
CDLM 2,25/03/2023,Mediodía,42,54,251151,131564,71504,48083,20,7,0,93596,24924,59361,7991,0
CDLM 3,25/03/2023,Mediodía,59,140,374087,340007,34080,0,9,0,0,203634,0,27980,0,4880
CDLM 1,25/03/2023,Mediodía,74,106,405594,296030,107188,2376,34,1,0,87254,0,65455,0,9676
CDLM 1,25/03/2023,Noche,98,176,"577688,1","457100,1",111409,9179,36,4,413860,201416,0,57345,0,"22556,5"
CDLM 2,25/03/2023,Noche,38,64,228213,157371,38904,31938,12,5,245754,"49462,5","62898,5",21070,6194,0
CDLM 3,25/03/2023,Noche,92,227,712854,678657,23685,10512,9,2,648231,497038,0,14041,0,999
CDLM 4,25/03/2023,Noche,41,54,"215728,8",137265,73778,"4685,8",19,2,195384,79336,0,"40034,3",0,"11257,5"
CDLM 5,25/03/2023,Noche,57,0,166871,166871,0,0,0,0,259329,"24267,99",27359,0,16286,0
CDLM 6,25/03/2023,Noche,83,160,"527935,2","436709,2",81026,10200,25,3,576368,230122,0,63856,0,0
La Embajada,25/03/2023,Noche,15,0,"112682,29","112682,29",0,0,0,0,"138286,96","44205,46","22978,06",0,"24254,69",0
La Embajada,26/03/2023,Mediodía,13,0,"60222,09","60222,09",0,0,0,0,0,"15138,11","3355,91",0,"5353,8",0
CDLM 5,26/03/2023,Mediodía,0,0,259617,259617,0,0,0,0,0,42305,44067,0,38347,0
CDLM 4,26/03/2023,Mediodía,36,43,170037,98527,65922,5588,19,3,0,45723,21887,40112,18271,999
CDLM 6,26/03/2023,Mediodía,75,103,"437527,2","284967,2",144821,7739,41,2,0,"237104,2",0,93040,0,0
CDLM 2,26/03/2023,Mediodía,46,92,"300911,2","225607,2",62679,12625,20,2,0,27739,33406,"39978,9",14832,0
CDLM 3,26/03/2023,Mediodía,85,224,644492,603003,41489,0,12,0,0,64422,80020,33709,45114,0
CDLM 1,26/03/2023,Mediodía,63,126,420436,346613,63470,10353,22,2,0,193567,0,"26648,5",0,"18970,5"
CDLM 2,26/03/2023,Noche,23,24,127121,56906,62208,8007,15,1,206472,22289,0,45871,3470,0
CDLM 4,26/03/2023,Noche,26,25,"121980,6","51105,6",65805,5070,18,1,172506,20061,0,28221,0,5527
CDLM 5,26/03/2023,Noche,68,0,179136,179136,0,0,0,0,366218,22208,30026,0,35860,0
CDLM 1,26/03/2023,Noche,48,79,"315258,1","248987,1",51863,14408,17,4,569123,"161441,1",0,5606,0,"31603,5"
CDLM 3,26/03/2023,Noche,52,105,318875,261255,57620,0,16,0,666374,146421,0,46038,0,3529
CDLM 6,26/03/2023,Noche,73,126,"483336,8","383542,8",99794,0,32,0,579951,83876,72540,"71773,8",15330,0
La Embajada,27/03/2023,Mediodía,3,0,"27809,21","27809,21",0,0,0,0,0,0,"7866,01",0,0,0
CDLM 5,27/03/2023,Mediodía,38,0,"120081,1","120081,1",0,0,0,0,0,23057,25108,0,5189,0
CDLM 4,27/03/2023,Mediodía,15,13,73346,35833,37513,0,10,0,0,34551,0,22919,0,"3762,5"
CDLM 6,27/03/2023,Mediodía,30,11,118742,35145,81497,2100,24,1,0,13689,0,56359,0,0
CDLM 1,27/03/2023,Mediodía,36,65,"179018,4","151274,4",25349,2395,9,1,0,"69965,4",0,1850,0,5915
CDLM 2,27/03/2023,Mediodía,15,21,91420,70175,15690,5555,5,5,0,56372,0,12536,0,0
CDLM 3,27/03/2023,Mediodía,38,59,198692,158391,37632,2669,11,1,0,25220,43861,22890,18243,2300
CDLM 1,27/03/2023,Noche,59,56,"287146,8","157535,8",129611,0,38,0,407082,85793,0,96117,0,"14803,5"
CDLM 2,27/03/2023,Noche,15,20,82644,54104,12655,15885,4,4,78560,6344,10175,7640,7945,1425
CDLM 3,27/03/2023,Noche,31,41,164081,97551,59910,6620,17,2,246591,58095,0,40669,0,0
CDLM 4,27/03/2023,Noche,15,37,78457,75788,0,2669,0,1,101053,9063,12940,0,8416,0
CDLM 5,27/03/2023,Noche,32,0,83642,83642,0,0,0,0,126927,4530,18058,0,12128,0
CDLM 6,27/03/2023,Noche,32,18,"134824,4","58434,4",76390,0,24,0,68688,4047,33734,49019,16280,0
La Embajada,27/03/2023,Noche,5,0,"42063,11","42063,11",0,0,0,0,"69872,32","27041,99","2997,36",0,0,0
La Embajada,28/03/2023,Mediodía,2,0,"4849,68","4849,68",0,0,0,0,0,0,"1040,4",0,0,0
CDLM 4,28/03/2023,Mediodía,24,16,106324,48328,52402,5594,15,1,0,34540,0,27641,0,0
CDLM 5,28/03/2023,Mediodía,36,0,87568,87568,0,0,0,0,0,15350,21367,0,18076,0
CDLM 6,28/03/2023,Mediodía,32,29,131859,77472,54387,0,19,0,0,13415,25545,28479,7565,0
CDLM 3,28/03/2023,Mediodía,32,69,201882,185291,12774,3817,4,2,0,78917,0,4286,0,0
CDLM 2,28/03/2023,Mediodía,18,27,107339,73902,30662,2775,8,2,0,26647,17208,26739,0,0
CDLM 1,28/03/2023,Mediodía,63,67,263771,169699,93277,795,30,2,0,73291,0,40445,0,13500
CDLM 4,28/03/2023,Noche,25,29,"140387,1","82644,1",40510,17233,12,2,153401,"17330,7","28984,4",21283,26724,0
CDLM 5,28/03/2023,Noche,20,0,39215,39215,0,0,0,0,88360,4530,3909,0,3540,0
La Embajada,28/03/2023,Noche,5,0,"46747,46","46747,46",0,0,0,0,"42205,22",0,"17368,06",0,"23796,76",0
CDLM 1,28/03/2023,Noche,48,36,"233958,5","102379,5",131579,0,35,0,231951,55190,0,90031,0,"10429,5"
CDLM 2,28/03/2023,Noche,13,16,71438,45539,6361,19538,3,3,106194,0,8350,3299,11188,0
CDLM 3,28/03/2023,Noche,27,42,145944,106022,39922,0,11,0,189617,42086,0,17704,10667,6782
CDLM 6,28/03/2023,Noche,38,55,194638,136232,58406,0,19,0,128250,34773,0,36016,0,0
La Embajada,29/03/2023,Mediodía,1,0,3170,3170,0,0,0,0,0,0,0,0,0,0
CDLM 6,29/03/2023,Mediodía,39,27,161364,78319,83045,0,27,0,0,8987,36517,"56117,9",24384,0
CDLM 5,29/03/2023,Mediodía,34,0,95157,95157,0,0,0,0,0,21289,21440,0,6150,0
CDLM 4,29/03/2023,Mediodía,11,15,60083,38109,10709,11265,4,1,0,14350,11221,3669,0,999
CDLM 1,29/03/2023,Mediodía,53,80,275528,205229,68949,1350,25,1,0,81547,0,47838,0,2349
CDLM 3,29/03/2023,Mediodía,25,38,150539,104072,34673,11794,8,4,0,77285,0,29083,0,"2124,5"
CDLM 2,29/03/2023,Mediodía,13,14,55321,33365,19078,2878,6,1,0,7299,0,10026,11196,0
CDLM 1,29/03/2023,Noche,46,50,258005,165354,92651,0,28,0,476441,68357,0,49046,0,14885
CDLM 2,29/03/2023,Noche,17,36,133019,100482,27138,5399,7,2,126008,14078,35754,24076,49326,0
CDLM 3,29/03/2023,Noche,42,77,"243866,4","208292,4",34149,1425,10,1,279669,33285,55922,15024,28627,1001
CDLM 4,29/03/2023,Noche,22,57,194862,155901,21818,17143,5,2,140833,54881,8666,16318,39927,3389
CDLM 5,29/03/2023,Noche,27,0,"82151,2","82151,2",0,0,0,0,161016,21519,6820,0,17667,0
CDLM 6,29/03/2023,Noche,41,42,"182747,2","97147,2",85600,0,25,0,115636,60215,0,51942,0,4900
La Embajada,29/03/2023,Noche,7,0,"41574,86","41574,86",0,0,0,0,"37101,29","22262,71","13021,61",0,"3554,88",0
La Embajada,30/03/2023,Mediodía,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDLM 4,30/03/2023,Mediodía,21,18,85683,38753,46930,0,13,0,0,9105,8300,36766,0,0
CDLM 5,30/03/2023,Mediodía,36,0,129431,129431,0,0,0,0,0,39695,23538,0,15408,0
CDLM 6,30/03/2023,Mediodía,43,35,"170494,6","99286,6",63718,7490,25,2,0,"63138,6",0,40857,0,2521
CDLM 1,30/03/2023,Mediodía,67,60,277657,161830,115827,0,39,0,0,84106,0,83422,0,4869
CDLM 3,30/03/2023,Mediodía,31,60,186285,162342,21274,2669,8,1,0,93049,0,9794,0,0
CDLM 2,30/03/2023,Mediodía,23,27,111825,69888,39416,2521,12,1,0,20464,37705,23392,3900,0
La Embajada,30/03/2023,Noche,6,0,"26941,14","26941,14",0,0,0,0,"26941,14",0,"13194,5",0,0,0
CDLM 1,30/03/2023,Noche,55,47,"250599,5","129092,5",113137,8370,36,3,267096,45250,0,81052,0,"7602,5"
CDLM 2,30/03/2023,Noche,22,34,127988,96909,29939,1140,10,1,126483,16914,15169,18574,0,0
CDLM 3,30/03/2023,Noche,37,69,199157,160792,31103,7262,11,3,192837,123740,0,17498,0,0
CDLM 4,30/03/2023,Noche,28,41,145635,97030,31105,17500,11,4,153940,60677,0,19535,0,4440
CDLM 5,30/03/2023,Noche,25,0,74388,74388,0,0,0,0,149030,15906,13918,0,5948,0
CDLM 6,30/03/2023,Noche,43,44,"206030,7","125883,7",67868,12279,21,2,242206,25060,41624,"44080,2",16589,8769
La Embajada,31/03/2023,Mediodía,3,0,"9287,61","9287,61",0,0,0,0,0,0,0,0,"1945,27",0
CDLM 4,31/03/2023,Mediodía,30,23,115700,59153,49650,6897,18,3,0,36854,0,32843,0,0
CDLM 5,31/03/2023,Mediodía,66,0,183963,183963,0,0,0,0,0,39179,33398,0,6358,0
CDLM 2,31/03/2023,Mediodía,35,36,193434,102987,87926,2521,23,1,0,41026,41102,62861,0,0
CDLM 1,31/03/2023,Mediodía,93,91,"405574,6","239117,6",166457,0,58,0,0,54857,0,92523,0,17579
CDLM 6,31/03/2023,Mediodía,80,62,"300109,6","151591,6",139528,8990,53,2,0,102471,0,"53660,2",0,2005
CDLM 3,31/03/2023,Mediodía,54,122,"323698,8","289074,8",34624,0,13,0,0,188364,0,"27164,2",0,0
CDLM 1,31/03/2023,Noche,103,134,"577034,3","396247,3",167397,13390,54,2,578889,"239183,3",0,95300,0,"19226,5"
CDLM 2,31/03/2023,Noche,44,74,267562,168204,89540,9818,23,2,167635,68067,43541,31757,12449,7765
CDLM 3,31/03/2023,Noche,56,130,376549,329595,46954,0,14,0,290057,270328,0,32308,0,0
CDLM 4,31/03/2023,Noche,50,72,270493,170888,67550,32055,23,6,134450,103116,7894,56172,26082,0
CDLM 5,31/03/2023,Noche,40,0,104883,104883,0,0,0,0,261817,20719,39968,0,13569,0
La Embajada,31/03/2023,Noche,10,0,"91064,17","91064,17",0,0,0,0,"61022,6","23353,23","4716,08",0,16082,0
CDLM 6,31/03/2023,Noche,110,123,"565638,6","411287,1","148793,5",5558,71,1,328964,"256290,6",0,108920,0,4438
La Embajada,01/04/2023,Mediodía,15,0,"124960,18","124960,18",0,0,0,0,0,"17402,32","39614,03",0,"6189,16",0
CDLM 5,01/04/2023,Mediodía,90,0,276476,276476,0,0,0,0,0,51056,81325,0,39788,0
CDLM 1,01/04/2023,Mediodía,82,133,"489208,2","360627,2",113940,14641,33,3,0,"146127,2",0,65968,0,13589
CDLM 4,01/04/2023,Mediodía,54,70,272305,189184,74806,8315,24,3,0,165520,0,41804,0,999
CDLM 3,01/04/2023,Mediodía,66,157,430707,383260,47447,0,11,0,0,227251,0,20557,0,13135
CDLM 6,01/04/2023,Mediodía,103,104,528787,271233,239879,17675,65,3,0,162715,0,"168169,1",0,13988
CDLM 2,01/04/2023,Mediodía,45,87,296484,215294,81190,0,19,0,0,74142,58884,69374,14524,0
CDLM 1,01/04/2023,Noche,89,152,"562754,4","426913,4",110168,25673,32,5,789992,247660,0,61367,0,"13181,5"
CDLM 3,01/04/2023,Noche,85,214,583902,524461,48722,10719,11,5,786555,401285,0,13820,0,7520
CDLM 4,01/04/2023,Noche,47,86,301277,227417,73860,0,20,0,329368,42319,"56520,5",24689,"42765,5",6980
La Embajada,01/04/2023,Noche,15,0,"126696,95","126696,95",0,0,0,0,"214918,77","39489,7","36587,57",0,"9799,68",0
CDLM 6,01/04/2023,Noche,116,183,681232,521370,159862,0,48,0,840682,60770,185583,81840,27226,11689
CDLM 5,01/04/2023,Noche,62,0,183662,183662,0,0,0,0,351599,30118,26600,0,45478,0
CDLM 2,02/04/2023,Noche,55,135,451633,377640,57012,16981,17,3,298315,141671,90657,27967,21000,0
La Embajada,02/04/2023,Mediodía,14,0,"154054,13","154054,13",0,0,0,0,0,"13114,82","72586,48",0,"13570,84",0
CDLM 4,02/04/2023,Mediodía,42,42,190897,105206,73863,11828,24,2,0,37836,8513,60938,28404,"1998,5"
CDLM 1,02/04/2023,Mediodía,74,131,453957,334834,112423,6700,29,4,0,204238,0,"62554,6",0,4028
CDLM 2,02/04/2023,Mediodía,53,136,"403831,8","338490,8",49954,15387,15,3,0,139007,"49389,8",39715,29803,0
CDLM 3,02/04/2023,Mediodía,70,213,558061,511582,36899,9580,11,1,0,336508,0,29212,0,0
CDLM 6,02/04/2023,Mediodía,128,90,"584726,7","255024,7",311851,17851,89,2,0,72893,"77370,7",184183,31342,16467
CDLM 5,02/04/2023,Mediodía,68,0,222147,222147,0,0,0,0,0,31145,90890,0,17089,0
CDLM 1,02/04/2023,Noche,72,97,438436,268321,161602,8513,41,2,721842,111784,0,82546,0,21194
CDLM 2,02/04/2023,Noche,16,12,69534,23544,41310,4680,12,1,409683,0,9976,21993,0,2878
CDLM 3,02/04/2023,Noche,46,100,"283346,45","244224,2",33795,"5327,25",12,2,649902,151674,0,22203,0,3300
CDLM 4,02/04/2023,Noche,33,48,191857,118383,72326,1148,18,1,188849,32557,0,"44413,3",0,14252
CDLM 5,02/04/2023,Noche,69,0,184097,184097,0,0,0,0,332558,50347,37041,0,21748,0
CDLM 6,02/04/2023,Noche,74,70,"331682,3","187599,3",144083,0,46,0,422795,122369,0,40434,0,18265
CDLM 4,03/04/2023,Noche,24,35,115117,85137,26455,3525,8,1,110364,29959,7620,13343,4169,3134
La Embajada,03/04/2023,Mediodía,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDLM 4,03/04/2023,Mediodía,27,26,115394,69237,43488,2669,15,1,0,48326,0,20268,0,3360
CDLM 1,03/04/2023,Mediodía,55,68,"274202,5",196586,75881,"1735,5",26,2,0,"120483,5",0,50278,0,2521
CDLM 2,03/04/2023,Mediodía,15,12,"56696,6","28523,6",22992,5181,8,2,0,"9077,6",5250,11981,0,0
CDLM 3,03/04/2023,Mediodía,38,80,223016,205186,17830,0,6,0,0,129355,0,1545,0,2878
CDLM 6,03/04/2023,Mediodía,54,22,"183458,8","56340,8",122328,4790,43,1,0,12917,27736,68109,13578,9322
CDLM 1,03/04/2023,Noche,48,63,284898,173364,110434,1100,33,1,276147,83570,0,60122,0,10988
CDLM 2,03/04/2023,Noche,19,20,102371,46747,54436,1188,11,1,44792,10874,14577,28638,3979,4582
CDLM 3,03/04/2023,Noche,30,42,151562,110273,41289,0,13,0,106715,57804,0,32483,0,3302
CDLM 6,03/04/2023,Noche,81,56,350656,"157117,44","190869,56",2669,60,1,243302,78617,0,"68847,7",0,9836
La Embajada,03/04/2023,Noche,3,0,"13515,37","13515,37",0,0,0,0,"13515,37","10135,69","992,88",0,0,0
La Embajada,04/04/2023,Mediodía,1,0,"12019,44","12019,44",0,0,0,0,0,0,0,0,"12019,44",0
CDLM 4,04/04/2023,Mediodía,17,11,64259,28877,35382,0,13,0,0,19536,7634,21491,0,5387
CDLM 2,04/04/2023,Mediodía,18,12,73006,27792,35424,9790,11,3,0,0,6942,21412,21434,1700
CDLM 1,04/04/2023,Mediodía,60,66,"261549,3","161211,3",99738,600,33,1,0,85786,0,"63026,1",0,"8031,5"
CDLM 3,04/04/2023,Mediodía,41,79,224423,199668,24755,0,11,0,0,148347,0,18512,0,0
CDLM 6,04/04/2023,Mediodía,46,24,"152103,4","67619,4",80474,4010,30,2,0,17659,"33431,4",47770,18680,6142
CDLM 2,04/04/2023,Noche,26,26,153548,58987,81543,13018,3,3,114493,20762,11022,67835,18022,"3736,5"
CDLM 4,04/04/2023,Noche,22,12,110252,34915,59532,15805,15,3,157424,44170,0,36495,0,0
La Embajada,04/04/2023,Noche,6,0,"56593,38","56593,38",0,0,0,0,"19972,76","38149,6","2071,44",0,"16372,34",0
CDLM 1,04/04/2023,Noche,65,68,348105,184166,160599,3340,42,1,395182,131391,0,82834,0,3597
CDLM 3,04/04/2023,Noche,36,83,232564,187100,38346,7118,13,1,377417,137722,0,31866,0,999
CDLM 6,04/04/2023,Noche,49,56,249079,153856,91923,3300,27,1,388198,111905,0,"52636,1",0,"7841,5"
La Embajada,05/04/2023,Mediodía,2,0,"25851,27","25851,27",0,0,0,0,0,0,0,0,0,0
CDLM 4,05/04/2023,Mediodía,26,18,91488,43577,47911,0,18,0,0,13916,22861,27051,0,0
CDLM 2,05/04/2023,Mediodía,19,5,73201,13440,55742,4019,15,2,0,6020,0,28378,0,0
CDLM 6,05/04/2023,Mediodía,80,64,324991,171173,151297,2521,56,1,0,21796,75414,69213,9695,16474
CDLM 3,05/04/2023,Mediodía,47,83,267925,202084,60247,5594,17,1,0,88376,0,35834,0,6891
CDLM 1,05/04/2023,Mediodía,103,77,402571,191218,208203,3150,69,1,0,95342,0,90077,0,"20535,5"
CDLM 1,05/04/2023,Noche,87,118,501353,338882,159950,2521,50,1,713981,149780,0,95645,0,13662
CDLM 2,05/04/2023,Noche,43,67,265445,169910,91950,3585,22,3,193381,41361,24084,"47140,1",34708,0
CDLM 3,05/04/2023,Noche,69,153,464202,382869,76143,5190,20,1,470961,104131,90577,43781,45891,3467
CDLM 4,05/04/2023,Noche,51,93,"328772,6","210701,6",118071,0,29,0,162067,0,"3736,6","78373,3",30422,0
CDLM 6,05/04/2023,Noche,105,145,"589386,6","391466,6",192249,5671,60,2,290457,220416,0,"90899,9",0,12231
La Embajada,05/04/2023,Noche,17,0,"130057,58","130057,58",0,0,0,0,"105730,8","25172,28","70205,28",0,"19935,71",0
La Embajada,06/04/2023,Mediodía,4,0,"48999,24","48999,24",0,0,0,0,0,"13538,82","34135,52",0,0,0
CDLM 3,06/04/2023,Mediodía,54,125,358091,295404,62687,0,18,0,0,148391,0,40065,0,5070
CDLM 2,06/04/2023,Mediodía,37,73,"199704,2","157668,2",30821,11215,12,3,0,21058,75574,20334,37709,0
CDLM 4,06/04/2023,Mediodía,25,29,141863,82228,59635,0,14,0,0,0,58953,18494,0,"3736,5"
CDLM 6,06/04/2023,Mediodía,56,54,271385,142286,129099,0,38,0,0,31589,60007,66832,14638,11094
CDLM 1,06/04/2023,Mediodía,73,101,368939,246895,104358,17686,34,4,0,165676,0,"67513,2",0,"7911,5"
CDLM 1,06/04/2023,Noche,78,218,"770931,2","709366,2",59027,2538,17,2,857686,322222,0,26804,0,14502
CDLM 2,06/04/2023,Noche,40,61,234263,161042,62462,10759,19,1,207082,107346,0,36105,0,0
CDLM 3,06/04/2023,Noche,60,203,"475867,3","458257,3",13097,4513,4,2,616489,"335888,2",0,8004,0,0
CDLM 4,06/04/2023,Noche,48,52,251131,142824,88887,19420,23,3,202587,94023,0,"52211,4",0,3016
CDLM 5,06/04/2023,Noche,44,0,146290,146290,0,0,0,0,93963,39309,35566,0,17918,0
CDLM 6,06/04/2023,Noche,74,102,437161,311308,124173,1680,36,1,518592,228176,0,54267,0,5672
La Embajada,06/04/2023,Noche,4,0,"54671,44","54671,44",0,0,0,0,"22337,08","3936,95","10229,03",0,"17075,22",0
La Embajada,07/04/2023,Mediodía,5,0,"48460,26","48460,26",0,0,0,0,0,0,0,0,"40569,43",0
CDLM 5,07/04/2023,Mediodía,48,0,173472,173472,0,0,0,0,0,35040,34847,0,14500,0
CDLM 4,07/04/2023,Mediodía,37,14,129746,34423,95323,0,29,0,0,21332,0,44179,0,999
CDLM 6,07/04/2023,Mediodía,75,52,355058,171515,181243,2300,56,1,0,20808,114829,"77272,4",11268,3929
CDLM 2,07/04/2023,Mediodía,33,82,329626,257643,61723,10260,16,1,0,28647,20815,38461,56616,0
CDLM 1,07/04/2023,Mediodía,99,170,"677607,6","524607,6",153000,0,48,0,0,"181308,8",0,"64711,9",0,"4888,5"
CDLM 3,07/04/2023,Mediodía,62,160,506691,463311,43380,0,12,0,0,185079,0,9665,0,2600
CDLM 1,07/04/2023,Noche,138,256,"906693,2","711966,2",191952,2775,66,2,911173,345223,0,110398,0,3098
CDLM 2,07/04/2023,Noche,39,50,196947,133950,54335,8662,19,4,272322,14304,30892,16006,43864,3145
CDLM 3,07/04/2023,Noche,85,194,522905,420200,94627,8078,25,4,473040,275872,0,48408,0,1700
CDLM 4,07/04/2023,Noche,50,47,229732,118012,111720,0,35,0,235112,15200,46525,"54480,4",5930,2300
CDLM 5,07/04/2023,Noche,67,0,"216932,4","216932,4",0,0,0,0,234468,40597,59957,0,10508,0
CDLM 6,07/04/2023,Noche,110,128,505914,309054,193560,3300,67,2,561010,215468,0,83225,0,"12319,5"
La Embajada,07/04/2023,Noche,6,0,"33715,02","33715,02",0,0,0,0,"65727,73","6798,95","21634,16",0,0,0
La Embajada,08/04/2023,Mediodía,11,0,"50953,44","50953,44",0,0,0,0,0,0,"1094,44",0,"15798,97",0
CDLM 5,08/04/2023,Mediodía,70,0,258772,258772,0,0,0,0,0,58460,64595,0,48256,0
CDLM 4,08/04/2023,Mediodía,51,69,263399,167741,95658,0,32,0,0,70682,0,42836,0,"4865,5"
CDLM 6,08/04/2023,Mediodía,82,124,"476050,8","322472,8",153578,0,49,0,0,44898,"160715,8","78968,2",22769,"7119,5"
CDLM 3,08/04/2023,Mediodía,88,303,616519,562570,51428,2521,14,1,0,296778,0,32467,0,1680
CDLM 1,08/04/2023,Mediodía,105,236,"779644,9","621917,9",157727,0,43,0,0,"266376,7",0,76669,0,"17797,5"
CDLM 1,08/04/2023,Noche,123,266,"886280,35","713275,6",157177,"15827,75",34,5,706713,277221,0,"74503,9",0,"25152,5"
CDLM 2,08/04/2023,Noche,52,120,404486,315160,76032,13294,19,3,400004,"87539,5","96652,5",35888,39938,2390
CDLM 3,08/04/2023,Noche,116,309,842290,774177,55513,12600,14,3,750346,460591,0,29775,0,7655
CDLM 4,08/04/2023,Noche,62,122,381208,310664,64997,5547,19,1,334780,56585,49183,30238,42042,0
CDLM 6,08/04/2023,Noche,127,222,"796746,2","593660,2",197144,5942,55,3,617559,269459,0,98846,0,16543
CDLM 5,08/04/2023,Noche,75,0,"237102,1","237102,1",0,0,0,0,393524,36838,26379,0,32517,0
La Embajada,08/04/2023,Noche,12,0,"67122,5","67122,5",0,0,0,0,"100216,74","7514,3","32562,4",0,0,0
CDLM 2,08/04/2023,Mediodía,42,134,"386908,6","344647,6",42261,0,11,0,0,144248,40607,28430,0,0
La Embajada,09/04/2023,Mediodía,19,0,"126699,7","126699,7",0,0,0,0,0,"12717,8","36171,66",0,"35070,69",0
CDLM 5,09/04/2023,Mediodía,67,0,235260,235260,0,0,0,0,0,22237,70956,0,17987,0
CDLM 4,09/04/2023,Mediodía,33,41,198564,119119,64143,15302,20,2,0,84155,0,30517,0,"3227,5"
CDLM 6,09/04/2023,Mediodía,67,46,"319866,2","124374,2",177913,17579,47,3,0,18463,47558,92679,37757,6602
CDLM 1,09/04/2023,Mediodía,58,121,"373235,8","320517,8",52718,0,19,0,0,209018,0,36025,0,"1868,5"
