Site Name,Year-Month,Productivity - Stamping,Efficiency - Stamping,Efficiency Invoicing - Stamping WO,Standard Time,Dealer GP - Total,Dealer GP % - Total,Discount - Total
S24 - Cerro Lindo,2023-04,88.19 %,91.47 %,97.22 %,"3,037.16","208,511.99",51.11 %,"58,447.54"
S24 - Cerro Lindo,2023-05,90.31 %,99.51 %,105.77 %,"3,077.50","473,500.44",52.07 %,"121,573.36"
S24 - Cerro Lindo,2023-06,89.50 %,96.39 %,101.88 %,"2,368.80","192,524.65",47.75 %,"83,337.50"
S24 - Cerro Lindo,2023-07,88.15 %,100.09 %,105.65 %,"2,458.86","204,233.25",49.51 %,"76,777.03"
S24 - Cerro Lindo,2023-08,88.84 %,99.58 %,104.74 %,"2,950.08","162,401.10",50.09 %,"57,262.70"
S24 - Cerro Lindo,2023-09,88.01 %,100.94 %,106.49 %,"2,061.52","144,131.93",46.51 %,"60,681.80"
S24 - Cerro Lindo,2023-10,88.44 %,101.03 %,106.53 %,"2,627.28","146,121.29",47.08 %,"46,000.91"
S24 - Cerro Lindo,2023-11,63.52 %,101.59 %,106.84 %,"1,703.19","135,357.34",54.65 %,"32,541.30"
S24 - Cerro Lindo,2023-12,81.87 %,103.72 %,110.18 %,296.90,"19,232.40",63.24 %,"3,012.09"
S25 - Piura,2023-01,91.04 %,107.04 %,109.75 %,160.80,"38,574.93",51.61 %,"7,619.74"
S25 - Piura,2023-02,88.66 %,99.06 %,92.44 %,302.71,"38,480.90",44.54 %,"7,463.19"
S25 - Piura,2023-03,93.99 %,99.79 %,100.92 %,277.87,"41,921.72",45.44 %,"7,914.92"
S25 - Piura,2023-04,87.36 %,113.78 %,110.64 %,261.56,"27,962.56",44.17 %,"5,618.07"
S25 - Piura,2023-05,82.57 %,98.81 %,106.06 %,284.76,"45,062.12",51.16 %,"12,293.50"
S25 - Piura,2023-06,88.34 %,82.35 %,92.54 %,213.67,"38,631.40",47.91 %,"13,933.60"
S25 - Piura,2023-07,92.20 %,68.53 %,72.49 %,188.51,"41,759.78",47.24 %,"10,023.36"
S25 - Piura,2023-08,86.10 %,81.95 %,86.68 %,322.39,"26,075.55",28.03 %,"12,891.78"
S25 - Piura,2023-09,81.05 %,93.40 %,98.43 %,344.05,"46,881.32",32.38 %,"13,571.89"
S25 - Piura,2023-10,90.68 %,101.55 %,107.01 %,221.22,"43,371.15",44.37 %,"9,018.01"
S25 - Piura,2023-11,90.19 %,90.95 %,95.40 %,249.90,"41,065.92",41.40 %,"6,897.83"
S25 - Piura,2023-12,90.29 %,90.48 %,96.54 %,42.60,"8,265.61",42.25 %,"1,364.05"
S26 - PeruRail,2023-01,63.91 %,92.07 %,95.99 %,217.70,"20,781.70",51.45 %,"13,841.92"
S26 - PeruRail,2023-02,48.49 %,88.28 %,92.41 %,136.70,"15,204.86",39.55 %,"10,609.14"
S26 - PeruRail,2023-03,68.52 %,89.21 %,92.56 %,164.80,"12,042.77",39.74 %,"8,741.79"
S26 - PeruRail,2023-04,70.32 %,92.63 %,97.18 %,190.40,"13,244.28",44.45 %,"7,004.75"
S26 - PeruRail,2023-05,76.95 %,98.63 %,103.43 %,226.30,"40,854.45",51.74 %,"8,089.93"
S26 - PeruRail,2023-06,70.05 %,93.80 %,98.74 %,162.60,"17,088.13",34.68 %,"6,778.26"
S26 - PeruRail,2023-07,65.22 %,96.55 %,101.84 %,290.00,"16,929.48",43.44 %,"8,923.22"
S26 - PeruRail,2023-08,54.42 %,93.02 %,97.39 %,177.70,"17,073.22",38.38 %,"12,936.56"
S26 - PeruRail,2023-09,62.03 %,91.04 %,94.93 %,227.40,"22,205.99",41.47 %,"12,625.52"
S26 - PeruRail,2023-10,58.99 %,94.78 %,99.91 %,195.30,"20,148.39",33.19 %,"8,608.30"
S26 - PeruRail,2023-11,43.31 %,93.38 %,97.58 %,179.10,"22,812.38",46.79 %,"9,066.37"
S26 - PeruRail,2023-12,32.42 %,92.92 %,97.04 %,24.80,"4,460.55",47.05 %,"2,162.23"
S27 - Servosa,2023-01,80.78 %,83.36 %,85.46 %,341.55,"136,405.64",62.39 %,"24,500.81"
S27 - Servosa,2023-02,,529.27 %,533.00 %,42.50,"6,758.61",77.25 %,600.93
S27 - Servosa,2023-03,92.73 %,104.83 %,108.35 %,942.15,"114,027.06",59.12 %,"27,688.21"
S27 - Servosa,2023-04,89.18 %,94.54 %,97.23 %,"1,612.38","123,470.25",43.58 %,"50,171.21"
S27 - Servosa,2023-05,83.21 %,101.80 %,104.63 %,"2,017.45","227,817.30",38.96 %,"60,829.95"
S27 - Servosa,2023-06,87.22 %,102.34 %,104.98 %,"1,926.07","96,933.18",32.51 %,"37,299.59"
S27 - Servosa,2023-07,90.74 %,105.85 %,108.79 %,"1,832.36","101,236.49",34.04 %,"49,376.60"
S27 - Servosa,2023-08,89.55 %,105.15 %,108.80 %,"2,095.79","95,095.69",44.01 %,"43,416.86"
S27 - Servosa,2023-09,90.02 %,96.88 %,99.95 %,"2,218.31","139,179.44",42.56 %,"74,782.46"
S27 - Servosa,2023-10,91.01 %,101.48 %,104.73 %,"2,056.81","156,019.81",45.35 %,"64,103.48"
S27 - Servosa,2023-11,86.00 %,98.38 %,101.64 %,"2,409.97","180,121.52",46.26 %,"39,714.89"
S27 - Servosa,2023-12,87.56 %,98.95 %,104.26 %,584.34,"48,654.91",63.54 %,"10,651.75"
S28 - Sol del Pacífico,2023-01,88.41 %,96.99 %,102.08 %,326.15,"84,045.26",71.21 %,"9,887.60"
S28 - Sol del Pacífico,2023-02,,112.22 %,117.90 %,43.70,"27,601.72",42.63 %,"11,175.03"
S28 - Sol del Pacífico,2023-03,98.92 %,84.88 %,89.54 %,839.54,"102,409.23",57.00 %,"27,357.78"
S28 - Sol del Pacífico,2023-04,96.88 %,102.88 %,108.48 %,"1,911.56","156,918.48",54.44 %,"45,228.40"
S28 - Sol del Pacífico,2023-05,94.34 %,97.97 %,103.27 %,"1,961.02","262,484.56",43.95 %,"74,781.98"
S28 - Sol del Pacífico,2023-06,92.31 %,100.95 %,106.44 %,"2,129.25","116,898.70",32.96 %,"45,622.70"
S28 - Sol del Pacífico,2023-07,95.52 %,97.88 %,103.26 %,"2,039.26","104,951.52",43.79 %,"39,467.64"
S28 - Sol del Pacífico,2023-08,95.15 %,98.25 %,103.64 %,"2,209.85","66,506.14",33.15 %,"41,468.48"
S28 - Sol del Pacífico,2023-09,94.82 %,99.92 %,105.44 %,"2,276.89","125,813.73",36.28 %,"69,252.75"
S28 - Sol del Pacífico,2023-10,94.84 %,100.88 %,106.07 %,"2,386.92","107,676.26",42.34 %,"36,974.29"
S28 - Sol del Pacífico,2023-11,93.48 %,104.46 %,109.79 %,"2,254.76","126,037.72",47.21 %,"34,246.17"
S28 - Sol del Pacífico,2023-12,94.86 %,106.24 %,111.89 %,236.10,"21,473.66",41.50 %,"5,796.30"
S29 - Casapalca,2023-01,28.83 %,104.01 %,108.71 %,37.60,"15,463.63",58.81 %,35.48
S29 - Casapalca,2023-02,29.73 %,97.36 %,101.44 %,97.80,"50,061.05",54.97 %,"2,200.79"
S29 - Casapalca,2023-03,22.98 %,84.57 %,86.35 %,61.60,"31,239.43",56.60 %,0.00
S29 - Casapalca,2023-04,99.98 %,87.93 %,92.73 %,169.03,"32,721.20",59.39 %,28.34
S29 - Casapalca,2023-05,100.00 %,91.66 %,94.27 %,42.10,"35,171.11",41.11 %,"1,257.76"
S29 - Casapalca,2023-06,,,,0.00,"31,651.66",49.13 %,"3,586.48"
S29 - Casapalca,2023-07,,,,0.00,"16,297.50",51.80 %,"1,965.76"
S29 - Casapalca,2023-08,,,,2.25,"26,796.20",54.79 %,"3,006.59"
S29 - Casapalca,2023-09,,,,0.00,"13,223.69",51.58 %,885.84
S29 - Casapalca,2023-10,,87.75 %,93.90 %,-96.53,"19,934.20",46.28 %,"1,437.39"
S29 - Casapalca,2023-11,,,,0.00,"20,633.96",54.33 %,"1,574.57"
S29 - Casapalca,2023-12,,,,,0.00,0.00 %,0.00
Total general,,86.47 %,97.46 %,102.48 %,"240,840.74","36,004,873.82",42.80 %,"6,908,759.01"
