location_country,location_region,location_city,total_visitors,total_sessions
Sweden,Skåne County,Arloev,1,1
United States,Rhode Island,Pawtucket,1,1
United States,Missouri,Brookfield,1,1
United States,New Jersey,East Brunswick,1,1
United States,Missouri,Joplin,1,1
United States,Rhode Island,Cranston,1,1
Sweden,Västra Götaland County,Gothenburg,1,1
United States,Indiana,Pittsboro,1,1
Sweden,Västra Götaland County,Trollhättan,1,1
United States,North Carolina,West Jefferson,1,1
United States,Missouri,Wooldridge,1,1
United States,Pennsylvania,Oil City,1,1
Malta,L-Imsida,Imsida,1,1
Netherlands,Overijssel,Oldenzaal,1,1
United States,Kentucky,Manchester,1,1
United States,Indiana,Terre Haute,1,1
United States,Kentucky,Versailles,1,1
United States,North Carolina,Forest City,1,1
Bulgaria,Pazardzhik,Popintsi,1,1
United States,Massachusetts,Boston,1,1
United States,Kentucky,Frankfort,1,1
United States,North Carolina,Jacksonville,1,1
Denmark,Capital Region,,1,1
United States,Indiana,Westfield,1,1
United States,Maine,Portland,1,1
United States,North Carolina,Willow Springs,1,1
United States,Maine,Waterville,1,1
United States,Pennsylvania,York,1,1
United States,Alabama,Mobile,1,1
United States,North Carolina,Thomasville,1,1
United States,California,Stevenson Ranch,1,1
India,Tamil Nadu,Chennai,1,1
United States,Alabama,Fort Payne,1,1
United States,North Carolina,Mount Holly,1,1
United States,Vermont,Jericho,1,1
United States,Alabama,Tuscaloosa,1,1
United States,North Carolina,Apex,1,1
Canada,Saskatchewan,Muenster,1,1
United States,Indiana,Michigan City,1,1
United States,Florida,Lehigh Acres,1,1
United States,North Carolina,Reidsville,1,1
United States,Florida,Land O' Lakes,1,1
United States,Pennsylvania,Lafayette Hill,1,1
United States,Florida,Daytona Beach,1,1
United States,North Carolina,Winston-Salem,1,1
United States,Florida,Weston,1,1
United States,Indiana,Fort Wayne,1,1
United States,Florida,Stuart,1,1
Brazil,Goias,Goiânia,1,1
United States,Florida,Wesley Chapel,1,1
United States,Massachusetts,Nantucket,1,1
United States,Florida,Bonita Springs,1,1
United Arab Emirates,Dubai,Ash Shindaghah,1,1
Canada,Alberta,Lethbridge,1,1
United States,Texas,Austin,1,1
Canada,Alberta,Fairview,1,1
United States,North Carolina,Southern Pines,1,1
United States,Florida,Apopka,1,1
United States,Wyoming,Burlington,1,1
Canada,Alberta,Langdon,1,1
United States,North Carolina,Chapel Hill,1,1
Canada,British Columbia,Vernon,1,1
United States,Texas,Lindale,1,1
United States,Florida,Boca Raton,1,1
United States,South Dakota,Sioux Falls,1,1
Canada,British Columbia,Terrace,1,1
United States,New Jersey,Verona,1,1
United States,Florida,Pensacola,1,1
United States,South Dakota,Madison,1,1
United States,Florida,Vero Beach,1,1
United States,Texas,Boerne,1,1
Canada,British Columbia,Delta,1,1
Ireland,Leinster,Donabate,1,1
United States,Florida,Titusville,1,1
United States,Pennsylvania,Marcus Hook,1,1
United States,Michigan,Grand Rapids,1,1
United States,Connecticut,Wallingford,1,1
Canada,British Columbia,Quesnel,1,1
United States,Texas,El Paso,1,1
United States,Michigan,Mount Pleasant,1,1
United States,Connecticut,Cheshire,1,1
United States,Michigan,Grand Blanc,1,1
United States,Massachusetts,Weymouth,1,1
United States,Michigan,Canton,1,1
United States,Connecticut,Bristol,1,1
United States,Michigan,East Lansing,1,1
United States,New Jersey,North Bergen,1,1
United States,Michigan,Gladwin,1,1
United States,Connecticut,Wethersfield,1,1
United States,Michigan,Plymouth,1,1
Madagascar,,,1,1
Canada,Ontario,Kitchener,1,1
United States,New Jersey,Westfield,1,1
United States,Michigan,Farmington Hills,1,1
United States,Texas,Spring,1,1
United States,Michigan,Jackson,1,1
Croatia,Zagreb County,Zaprešić,1,1
United States,Michigan,Ottawa,1,1
United States,New Jersey,Wildwood,1,1
United States,Michigan,Westland,1,1
United States,Connecticut,Meriden,1,1
Canada,Ontario,London,1,1
Belgium,Flanders,Zichem,1,1
United States,Michigan,Whitmore Lake,1,1
Costa Rica,Alajuela Province,Quesada,1,1
United States,Michigan,Lake Orion,1,1
United States,Pennsylvania,Emmaus,1,1
Canada,Ontario,Burlington,1,1
United States,Oklahoma,Moore,1,1
United States,Minnesota,Saint Paul,1,1
United States,Texas,Azle,1,1
United States,Minnesota,Victoria,1,1
Zambia,Lusaka Province,Lusaka,1,1
Canada,Ontario,Oshawa,1,1
United States,Massachusetts,Cambridge,1,1
Canada,Ontario,Oakville,1,1
United States,California,San Luis Obispo,1,1
United States,Minnesota,Harris,1,1
Greece,Attica,Athens,1,1
United States,Minnesota,Champlin,1,1
United States,California,Susanville,1,1
United States,Minnesota,Dassel,1,1
United States,Pennsylvania,Pleasant Mount,1,1
United States,Minnesota,Albany,1,1
Russia,,,1,1
United States,Minnesota,Marshall,1,1
United States,Texas,Euless,1,1
United States,Minnesota,Foley,1,1
United States,California,Lompoc,1,1
Canada,Ontario,Waterloo,1,1
United States,Arizona,,1,1
United States,Virginia,Chesapeake,1,1
United States,California,Corona,1,1
United States,Virginia,McGaheysville,1,1
Austria,Styria,Rottenmann,1,1
United States,Virginia,Blacksburg,1,1
Nigeria,Lagos,Lagos,1,1
United States,Virginia,Stafford,1,1
United States,Pennsylvania,Hanover,1,1
United States,Virginia,Falls Church,1,1
Guatemala,Guatemala,Guatemala City,1,1
United States,Virginia,Chesterfield,1,1
United States,New Jersey,Irvington,1,1
United States,Virginia,Henrico,1,1
Japan,Tokyo,Tokyo,1,1
United States,Virginia,Goodview,1,1
United States,Delaware,Newark,1,1
Canada,Quebec,Pincourt,1,1
United States,California,,1,1
United States,Wisconsin,Twin Lakes,1,1
United States,Texas,Grand Prairie,1,1
United States,Wisconsin,Hubertus,1,1
United States,New Jersey,Spring Lake,1,1
United States,Wisconsin,Racine,1,1
United States,Pennsylvania,Malvern,1,1
United States,Wisconsin,Oconomowoc,1,1
France,Île-de-France,Paris,1,1
United States,Wisconsin,Delafield,1,1
United States,South Carolina,Charleston,1,1
United States,Wisconsin,West Bend,1,1
United States,California,Rocklin,1,1
Canada,Quebec,Beauharnois,1,1
United States,New Jersey,Laurelton,1,1
United States,Wisconsin,Soldiers Grove,1,1
United States,California,El Dorado Hills,1,1
Canada,Newfoundland and Labrador,St. John's,1,1
United States,South Carolina,Drayton,1,1
United States,Wisconsin,Rice Lake,1,1
United States,California,Simi Valley,1,1
Mexico,Quintana Roo,Juarez,1,1
United States,Pennsylvania,Wilkes-Barre,1,1
Lithuania,Vilnius,Vilnius,1,1
Germany,North Rhine-Westphalia,,1,1
China,,,1,1
Spain,Catalonia,Barcelona,1,1
Jordan,Amman Governorate,Amman,1,1
United States,Illinois,Aurora,1,1
Poland,Lesser Poland,Krakow,1,1
United States,Alaska,Fairbanks,1,1
Poland,Greater Poland,Komorniki,1,1
United States,New Jersey,Sicklerville,1,1
Spain,Canary Islands,Arucas,1,1
United States,New Jersey,New Jersey,1,1
United States,New Jersey,Montclair,1,1
United States,New Jersey,Long Branch,1,1
United States,Hawaii,Honolulu,1,1
United States,Massachusetts,Hopkinton,1,1
United States,New Jersey,Haddonfield,1,1
United States,Indiana,Muncie,1,1
Italy,Lazio,Rome,1,1
Canada,,,1,1
