Scheduled Date,Application Date,SAP Module,AREA (hectares),Lot,Trademark,Active Ingredient,Measurement Unit,Acceptable Harvest Date,Dose per cylinder,Dose per hectare,Application Objective,Type of Application,Number of Cylinders,Volume Liters per Hectare
12/10/2022,12/10/2022,M07,51.31,T I-II-III-IV-V-VI,ORGANOSILICONE SURFACTANT 208,TRI SILOXANE ETOXILATE,L,11/12/22,0.02,380,Adjuvant,Mechanized,974.89,3800
12/14/2022,12/14/2022,M04,52.33,T I-II-III-V-VI-VII,MILBEKNOCK 1% EC,Milbemectin,L,15/12/22,0.15,2850,Brown Spider,Mechanized,994.3,3800
12/14/2022,12/14/2022,M04,52.33,T I-II-III-V-VI-VII,ORGANOSILICONE SURFACTANT 208,TRI SILOXANE ETOXILATE,L,15/12/22,0.02,380,Adjuvant,Mechanized,994.3,3800
12/14/2022,12/14/2022,M05,55.5,T I-II-III-IV-V-VI,MILBEKNOCK 1% EC,Milbemectin,L,15/12/22,0.15,2850,Brown Spider,Mechanized,1054.5,3800
12/14/2022,12/14/2022,M05,55.5,T I-II-III-IV-V-VI,ORGANOSILICONE SURFACTANT 208,TRI SILOXANE ETOXILATE,L,15/12/22,0.02,380,Adjuvant,Mechanized,1054.5,3800
12/15/2022,12/15/2022,M04,27.87,T IV-VIII,MILBEKNOCK 1% EC,Milbemectin,L,16/12/22,0.15,2850,Brown Spider,Mechanized,529.5,3800
12/15/2022,12/15/2022,M04,27.87,T IV-VIII,ORGANOSILICONE SURFACTANT 208,TRI SILOXANE ETOXILATE,L,16/12/22,0.02,380,Adjuvant,Mechanized,529.5,3800
12/15/2022,12/15/2022,M02,32.36,T III-IV,CROPS DETER,Fatty Acids - Potassium Soap,L,16/12/22,0.07,1330,Powder,Mechanized,614.8,3800
12/15/2022,12/15/2022,M03,59.71,T II-III-IV-I,CROPS DETER,Fatty Acids - Potassium Soap,L,16/12/22,0.08,1520,Powder,Mechanized,1134.5,3800
12/16/2022,12/16/2022,M03,5,L 74-75,CROPS DETER,Fatty Acids - Potassium Soap,L,17/12/22,0.08,1520,Powder,Mechanized,95,3800
12/16/2022,12/16/2022,M03,5,L 74-75,BEAUVESOL ,Beauveria bassiana,KG,17/12/22,0.6,11400,Coccus Viridis (17),Mechanized,95,3800
12/16/2022,12/16/2022,M02,35.53,T I-II,BEAUVESOL ,Beauveria bassiana,KG,17/12/22,0.61,11591,Coccus Viridis (17),Mechanized,675.1,3800
12/16/2022,12/16/2022,M02,35.53,T I-II,CROPS DETER,Fatty Acids - Potassium Soap,L,17/12/22,0.07,1330,Powder,Mechanized,675.1,3800
12/16/2022,12/16/2022,M01,56.66,T I-II-III,BEAUVESOL ,Beauveria bassiana,KG,17/12/22,0.6,11400,Coccus Viridis (17),Mechanized,1076.5,3800
12/16/2022,12/16/2022,M01,56.66,T I-II-III,CROPS DETER ,Fatty Acids - Potassium Soap,L,17/12/22,0.07,1330,Powder,Mechanized,1076.5,3800
12/17/2022,12/17/2022,M07,51.31,T I-II-III-IV-V-VI,BEAUVESOL ,Beauveria bassiana,KG,18/12/22,0.6,11400,Coccus Viridis (17),Mechanized,974.9,3800
12/17/2022,12/17/2022,M07,51.31,T I-II-III-IV-V-VI,ORGANOSILICONE SURFACTANT 208,TRI SILOXANE ETOXILATE,L,18/12/22,0.02,380,Adjuvant,Mechanized,974.9,3800
12/17/2022,12/17/2022,M11,18.79,L 10001 AL 10025,PYRIPROX 10 CE,Pyriproxyfen ,L,18/12/22,0.2,1800,Avocado Bug (55),Mechanized,169.1,1800
12/17/2022,12/17/2022,M11,18.79,L 10001 AL 10025,ORGANOSILICONE SURFACTANT 208,TRI SILOXANE ETOXILATE,L,18/12/22,0.02,180,Adjuvant,Mechanized,169.1,1800
12/17/2022,12/17/2022,M11,1.42,L 1000,PYRIPROX 10 CE,Pyriproxyfen ,L,18/12/22,0.1,1000,Avocado Bug (55),Mechanized,14.2,2000
12/17/2022,12/17/2022,M11,1.42,L 1000,ORGANOSILICONE SURFACTANT 208,TRI SILOXANE ETOXILATE,L,18/12/22,0.02,200,Adjuvant,Mechanized,14.2,2000
12/17/2022,12/17/2022,M11,1.42,L 1000,MILBEKNOCK 1% EC,Milbemectin,L,18/12/22,0.2,2000,ACARO,Mechanized,14.2,2000
12/22/2022,12/22/2022,M02,32.36,T III-IV,BEAUVESOL ,Beauveria bassiana,L,23/12/22,0.26,4940,Coccus Viridis (17),Mechanized,614.8,3800
12/22/2022,12/22/2022,M02,32.36,T III-IV,ORGANOSILICONE SURFACTANT 208,TRI SILOXANE ETOXILATE,L,23/12/22,0.08,1520,Adjuvant,Mechanized,614.8,3800
12/22/2022,12/22/2022,M02,32.36,T III-IV,ACIDO FOSFORICO,Fenazaquin ,KG,23/12/22,0.01,190,Acidifier,Mechanized,614.8,3800
12/22/2022,12/22/2022,M03,59.71,T II-III-IV-L82-80-78-77-73-76-75-74,BEAUVESOL ,Beauveria bassiana,L,23/12/22,0.26,4940,Coccus Viridis (17),Mechanized,1134.5,3800
12/22/2022,12/22/2022,M03,59.71,T II-III-IV-L82-80-78-77-73-76-75-74,ORGANOSILICONE SURFACTANT 208,TRI SILOXANE ETOXILATE,L,23/12/22,0.08,1520,Adjuvant,Mechanized,1134.5,3800
12/22/2022,12/22/2022,M03,59.71,T II-III-IV-L82-80-78-77-73-76-75-74,ACIDO FOSFORICO,Fenazaquin ,KG,23/12/22,0.01,190,Acidifier,Mechanized,1134.5,3800
12/22/2022,12/22/2022,M09,1,L 244A-244B,THIABENDAZOLE 50 SC,Thiabendazole,L,23/12/22,0.15,1500,Regressive Death,Mechanized,10,2000
12/22/2022,12/22/2022,M09,1,L 244A-244B,ORGANOSILICONE SURFACTANT 208,TRI SILOXANE ETOXILATE,L,23/12/22,0.08,800,Adjuvant,Mechanized,10,2000
12/26/2022,12/26/2022,M08,51.37,T I-II-III-IV-V-VI,ORGANOSILICONE SURFACTANT 208,TRI SILOXANE ETOXILATE,L,27/12/22,0.08,1520,Powder,Mechanized,976,3800
12/26/2022,12/26/2022,M10,70.24,T I-II-III-IV-V-VI-VII-VIII,ORGANOSILICONE SURFACTANT 208,TRI SILOXANE ETOXILATE,L,27/12/22,0.08,1340,Powder,Mechanized,1176.5,3350
12/27/2022,12/27/2022,M06,1.82,L 170B-170C-172,CROPS DETER ,Fatty Acids-Potassium Soap,L,28/12/22,0.06,540,Powder,Mechanized,16.38,1800
12/27/2022,12/27/2022,M06,67.4,T II-III-IV-V-VI-L168-169-170A-171-173,CROPS DETER ,Fatty Acids-Potassium Soap,L,28/12/22,0.08,1520,Powder,Mechanized,1280.6,3800
12/27/2022,12/27/2022,M09,2.65,L 228A1-228A2-228B,STILETTO 20SC,Fenazaquin ,L,28/12/22,0.1,1900,Brown Spider,Mechanized,50.35,3800
12/27/2022,12/27/2022,M09,2.65,L 228A1-228A2-228B,CROPS COVER PLUS,TRI SILOXANE ETOXILATE,L,28/12/22,0.02,380,Adjuvant,Mechanized,50.35,3800
12/27/2022,12/27/2022,M09,50.5,T I-II-III-IV-V-VI-VII-L225-228C1-228C2-229,CROPS DETER ,Fatty Acids-Potassium Soap,L,28/12/22,0.08,1520,Powder,Mechanized,959.5,3800
12/28/2022,12/28/2022,M04,15.74,T VIII,CROPS DETER ,Fatty Acids-Potassium Soap,L,29/12/22,0.08,1520,Powder,Mechanized,299.1,3801
12/28/2022,12/28/2022,M05,0.52,L 155,THIABENDAZOLE 50 SC,Thiabendazole,L,29/12/22,0.31,2500,Regressive Death,Mechanized,10,3846
12/28/2022,12/28/2022,M05,0.52,L 155,ORGANOSILICONE SURFACTANT 208,TRI SILOXANE ETOXILATE,L,29/12/22,0.O8,800,Adjuvant,Mechanized,10,3846
12/28/2022,12/28/2022,M11,1.42,L 10000,BUPROFEZIN 25WP,Buprofezin ,L,29/12/22,0.3,3760,Coccus Viridis (17),Mechanized,17.75,2500
12/28/2022,12/28/2022,M11,1.42,L 10000,ETOXAZOL 11 SC,EtoxazolE,L,29/12/22,0.1,1250,Brown Spider,Mechanized,17.75,2500
12/28/2022,12/28/2022,M11,1.42,L 10000,AGRIOL OIL 99SL,Mineral Oil,L,29/12/22,1,12500,Adjuvant,Mechanized,17.8,2507
12/28/2022,12/28/2022,M05,55.5,T I-II-III-IV-V-VI,CROPS DETER ,Fatty Acids-Potassium Soap,L,29/12/22,0.08,1520,Powder,Mechanized,1054.5,3800
12/28/2022,12/28/2022,M07,50.26,T I-II-III-IV-VI-L214-217-221-223,CROPS DETER ,Fatty Acids-Potassium Soap,L,29/12/22,0.08,1520,Powder,Mechanized,954.9,3800
12/29/2022,12/29/2022,M04,64.46,T I-II-III-IV-VI-VII,CROPS DETER ,Fatty Acids-Potassium Soap,L,30/12/22,0.08,1520,Powder,Mechanized,1224.7,3800
12/29/2022,12/29/2022,M01,56.66,T I-II-III,CROPS DETER ,Fatty Acids-Potassium Soap,L,30/12/22,0.08,1520,Powder,Mechanized,1076.5,3800
12/30/2022,12/30/2022,M03,64.71,T I-II-III-IV,CROPS DETER ,Fatty Acids-Potassium Soap,L,31/12/22,0.08,1520,Powder,Mechanized,1229.5,3800
12/30/2022,12/30/2022,M02,18.65,T I,CROPS DETER ,Fatty Acids-Potassium Soap,L,31/12/22,0.08,1520,Powder,Mechanized,354.4,3801
12/30/2022,12/30/2022,M02,49.24,T II-III-IV,CROPS DETER ,Fatty Acids-Potassium Soap,L,31/12/22,0.08,1520,Powder,Mechanized,935.6,3800
1/2/2023,1/2/2023,M05,14,T III-L 159-162-165-167,Water ,Water,L,03/01/23,0,0,Powder,Mechanized,490,7000
1/2/2023,1/2/2023,M08,14,T IV-CANTEO L266-263-260-257-254-251-248-245-246-247,Water ,Water,L,03/01/23,0,0,Powder,Mechanized,490,7000
1/3/2023,1/3/2023,M05,55.5,T I-II-III-IV-V-VI,FERTIMAR,-,L,04/01/23,0.2,1000,Foliar Nutrition,Mechanized,277.5,1000
1/3/2023,1/3/2023,M06,11.08,L 170A-172-195-193B-197-199A-199B-201,FERTIMAR,-,L,04/01/23,0.2,1000,Foliar Nutrition,Mechanized,55.4,1000
1/4/2023,1/4/2023,M04,40.69,T I-III-VI-VIII,FERTIMAR,-,L,05/01/23,0.2,1000,Foliar Nutrition,Mechanized,203.5,1000
1/4/2023,1/4/2023,M07,30.23,T III-VI-V-L213B-216B-220-219,FERTIMAR,-,L,05/01/23,0.2,1000,Foliar Nutrition,Mechanized,151.2,1000
1/5/2023,1/5/2023,M06,15.87,L 200-198A-198B-196-192-193A-189-185-184,Water ,Water,L,06/01/23,0,0,Powder,Mechanized,301.53,3800
1/5/2023,1/5/2023,M03,13.69,T IV,Water ,Water,L,06/01/23,0,0,Powder,Mechanized,260.11,3800
1/6/2023,1/6/2023,M11,18.79,L 10001 AL 10025,ETOXACROP 112 SC,EtoxazolE,L,07/01/23,0.06,540,Oxidia,Mechanized,169.11,1800
1/6/2023,1/6/2023,M11,18.79,L 10001 AL 10025,CROP DETER ,Fatty Acids-Potassium Soap,L,07/01/23,0.06,540,Powder,Mechanized,169.11,1800
1/6/2023,1/6/2023,M09,2.65,L 95-86-84,THIABENDAZOLE 50 SC,Thiabendazole,L,07/01/23,131,2489,Regressive Death,Mechanized,50.35,3800
1/6/2023,1/6/2023,M09,2.65,L 95-86-84,ORGANOSILICONE SURFACTANT 208,TRI SILOXANE ETOXILATE,L,07/01/23,0.02,380,Adjuvant,Mechanized,50.35,3800
1/6/2023,1/6/2023,M09,50.5,T I-II-IV-V-VI-VII-L 225-228C1-228C2-229,THIABENDAZOLE 50 SC,Thiabendazole,L,07/01/23,131,2489,Regressive Death,Mechanized,959.5,3800
1/6/2023,1/6/2023,M09,50.5,T I-II-IV-V-VI-VII-L 225-228C1-228C2-229,ORGANOSILICONE SURFACTANT 208,TRI SILOXANE ETOXILATE,L,07/01/23,0.08,1520,Adjuvant,Mechanized,959.5,3800
1/9/2023,1/9/2023,M08,51.37,T I-II-III-IV-V-VI,THIABENDAZOLE 50 SC,Thiabendazole,L,10/01/23,0.13,2470,Regressive Death,Mechanized,976.03,3800
1/9/2023,1/9/2023,M08,51.37,T I-II-III-IV-V-VI,ORGANOSILICONE SURFACTANT 208,TRI SILOXANE ETOXILATE,L,10/01/23,0.08,1520,Adjuvant,Mechanized,976.03,3800
1/10/2023,1/10/2023,M02,2.94,L 58-99,THIABENDAZOLE 50 SC,Thiabendazole,L,11/01/23,0.13,2470,Regressive Death,Mechanized,55.86,3800
1/10/2023,1/10/2023,M02,2.94,L 58-99,ORGANOSILICONE SURFACTANT 208,TRI SILOXANE ETOXILATE,L,11/01/23,0.08,1520,Adjuvant,Mechanized,55.86,3800
1/10/2023,1/10/2023,M03,1.49,L 102,THIABENDAZOLE 50 SC,Thiabendazole,L,11/01/23,0.13,1170,Regressive Death,Mechanized,13.41,1800
1/10/2023,1/10/2023,M03,1.49,L 102,ORGANOSILICONE SURFACTANT 208,TRI SILOXANE ETOXILATE,L,11/01/23,0.06,540,Adjuvant,Mechanized,13.41,1800
1/10/2023,1/10/2023,M03,63.22,T I-II-III-L 94-97-101-105-106-98,THIABENDAZOLE 50 SC,Thiabendazole,L,11/01/23,0.13,2470,Regressive Death,Mechanized,1201.18,3800
1/10/2023,1/10/2023,M03,63.22,T I-II-III-L 94-97-101-105-106-98,ORGANOSILICONE SURFACTANT 208,TRI SILOXANE ETOXILATE,L,11/01/23,0.08,1520,Adjuvant,Mechanized,1201.18,3800
1/10/2023,1/10/2023,M06,41.95, III-IV-V-VI,THIABENDAZOLE 50 SC,Thiabendazole,L,11/01/23,0.13,2470,Regressive Death,Mechanized,797.05,3800
1/10/2023,1/10/2023,M06,41.95, III-IV-V-VI,ORGANOSILICONE SURFACTANT 208,TRI SILOXANE ETOXILATE,L,11/01/23,0.08,1520,Adjuvant,Mechanized,797.05,3800
1/10/2023,1/10/2023,M06,41.95, III-IV-V-VI,FINESSE 50 WG,Emamectin benzoate,L,11/01/23,0.07,1330,Basket Bug (54),Mechanized,797.05,3800
1/10/2023,1/10/2023,M10,70.24, T I-II-III-IV-V-VI-VII-VIII,THIABENDAZOLE 50 SC,Thiabendazole,L,11/01/23,0.13,2178,Regressive Death,Mechanized,1176.52,3350
1/10/2023,1/10/2023,M10,70.24, T I-II-III-IV-V-VI-VII-VIII,ORGANOSILICONE SURFACTANT 208,TRI SILOXANE ETOXILATE,L,11/01/23,0.08,1340,Adjuvant,Mechanized,1176.52,3350
1/11/2023,1/11/2023,M07,1.05,L 214-217-221-223,ORGANOSILICONE SURFACTANT 208,TRI SILOXANE ETOXILATE,L,12/01/23,0.08,1520,Powder,Mechanized,19.95,3800
1/11/2023,1/11/2023,M05,0.52,L 155,ORGANOSILICONE SURFACTANT 208,TRI SILOXANE ETOXILATE,L,12/01/23,0.08,1520,Powder,Mechanized,9.88,3800
1/11/2023,1/11/2023,M03,1.49,L 102,THIABENDAZOLE 50 SC,Thiabendazole,L,12/01/23,0.13,2470,Regressive Death,Mechanized,28.31,3800
1/11/2023,1/11/2023,M03,1.49,L 102,ORGANOSILICONE SURFACTANT 208,TRI SILOXANE ETOXILATE,L,12/01/23,0.06,1140,Adjuvant,Mechanized,28.31,3800
1/11/2023,1/11/2023,M02,2.94,L 58-99,THIABENDAZOLE 50 SC,Thiabendazole,L,12/01/23,0.13,2470,Regressive Death,Mechanized,55.86,3800
1/11/2023,1/11/2023,M02,2.94,L 58-99,ORGANOSILICONE SURFACTANT 208,TRI SILOXANE ETOXILATE,L,12/01/23,0.08,1520,Adjuvant,Mechanized,55.86,3800
1/11/2023,1/11/2023,M06,1.82,L 170B-170C-172,THIABENDAZOLE 50 SC,Thiabendazole,L,12/01/23,0.15,1350,Regressive Death,Mechanized,16.38,1800
1/11/2023,1/11/2023,M06,1.82,L 170B-170C-172,ORGANOSILICONE SURFACTANT 208,TRI SILOXANE ETOXILATE,L,12/01/23,0.06,540,Adjuvant,Mechanized,16.38,1800
1/12/2023,1/12/2023,M05,10.4,T I,THIABENDAZOLE 50 SC,Thiabendazole,L,13/01/23,0.13,2470,Regressive Death,Mechanized,197.6,3800
1/12/2023,1/12/2023,M05,10.4,T I,ORGANOSILICONE SURFACTANT 208,TRI SILOXANE ETOXILATE,L,13/01/23,0.08,1520,Adjuvant,Mechanized,197.6,3800
1/12/2023,1/12/2023,M05,44.58,T II-IV-V-VI-L-146-148-151-155,THIABENDAZOLE 50 SC,Thiabendazole,L,13/01/23,0.13,2470,Regressive Death,Mechanized,847.02,3800
1/12/2023,1/12/2023,M05,44.58,T II-IV-V-VI-L-146-148-151-155,ORGANOSILICONE SURFACTANT 208,TRI SILOXANE ETOXILATE,L,13/01/23,0.08,1520,Adjuvant,Mechanized,847.02,3800
1/12/2023,1/12/2023,M06,7.29,L 174-178-182,THIABENDAZOLE 50 SC,Thiabendazole,L,13/01/23,0.13,2470,Regressive Death,Mechanized,138.51,3800
1/12/2023,1/12/2023,M06,7.29,L 174-178-182,ORGANOSILICONE SURFACTANT 208,TRI SILOXANE ETOXILATE,L,13/01/23,0.08,1520,Adjuvant,Mechanized,138.51,3800
1/12/2023,1/12/2023,M06,7.59,L 174-178-182,FLUDIOX 23 SC,FLUDIOXONIL ,L,13/01/23,0.2,3800,Basket Bug (54),Mechanized,144.21,3800
1/12/2023,1/12/2023,M06,18.16,L 168-169-170A-171-173-175-179-183,THIABENDAZOLE 50 SC,Thiabendazole,L,13/01/23,0.13,2470,Regressive Death,Mechanized,345.04,3800
1/12/2023,1/12/2023,M06,18.16,L 168-169-170A-171-173-175-179-183,ORGANOSILICONE SURFACTANT 208,TRI SILOXANE ETOXILATE,L,13/01/23,0.08,1520,Adjuvant,Mechanized,345.04,3800
1/12/2023,1/12/2023,M06,18.16,L 168-169-170A-171-173-175-179-183,FINESSE 50 WG,Emamectin benzoate,L,13/01/23,0.07,1330,Basket Bug (54),Mechanized,345.04,3800
1/12/2023,1/12/2023,M07,50.26,T I-II-III-IV-VI-L214-217-221-223,THIABENDAZOLE 50 SC,Thiabendazole,L,13/01/23,0.13,2470,Regressive Death,Mechanized,954.94,3800
1/12/2023,1/12/2023,M07,50.26,T I-II-III-IV-VI-L214-217-221-223,ORGANOSILICONE SURFACTANT 208,TRI SILOXANE ETOXILATE,L,13/01/23,0.08,1520,Adjuvant,Mechanized,954.94,3800
