Date,Category,Company,Order #,Inv. Bought,QTY Sold,Description,Income,Expense,Tax Category
7/12/2023,Fees,Etsy,2943330265,,,Shipping Fee,,$3.92,
7/12/2023,Fees,Etsy,2943184679,,,Shipping Fee,,$3.92,
7/12/2023,Fees,Etsy,2949891358,,,Shipping Fee,,$3.92,
7/12/2023,Fees,Etsy,2943128263,,,Shipping Fee,,$3.92,
7/12/2023,Fees,Etsy,2949687372,,,Shipping Fee,,$3.92,
7/12/2023,Fees,PayPal Shipping,,,,Ship to Redacted,,$3.92,
7/17/2023,Fees,Etsy,,,,Listing Fees,,$0.80,
7/17/2023,Order,Etsy,2948792015,,4,(4) Books,$35.63,,
7/17/2023,Fees,Etsy,2948792015,,,Processing Fee,,$1.32,
7/17/2023,Sales Tax,Etsy,2948792015,,,Sales Tax,,$2.33,
7/17/2023,Fees,Etsy,2948792015,,,Transaction Fee,,$2.16,
7/18/2023,Fees,Etsy,2948792015,,,Shipping Fee,,$4.67,
7/24/2023,Fees,Etsy,,,,Listing Fees,,$0.80,
7/24/2023,Order,Etsy,2962024998,,4,(4) Books,$36.71,,
7/24/2023,Fees,Etsy,2962024998,,,Processing Fee,,$1.35,
7/24/2023,Sales Tax,Etsy,2962024998,,,Sales Tax,,$3.41,
7/24/2023,Fees,Etsy,2962024998,,,Transaction Fee,,$2.16,
7/24/2023,Fees,Etsy,2962024998,,,Shipping Fee,,$4.67,
8/14/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
8/14/2023,Order,Etsy,2984019944,,1,(1) Book,$15.88,,
8/14/2023,Fees,Etsy,2984019944,,,Processing Fee,,$0.73,
8/14/2023,Sales Tax,Etsy,2984019944,,,Sales Tax,,$0.90,
8/14/2023,Fees,Etsy,2984019944,,,Transaction Fee,,$0.97,
8/14/2023,Fees,Etsy,2984019944,,,Shipping Fee,,$3.92,
8/22/2023,Supplies,Blick Art Material,,,,Ink and Pens,,$62.82,
8/25/2023,Fees,Etsy,,,,Listing Fees,,$0.40,
8/25/2023,Order,Etsy,2995226764,,2,(2) Books,$17.65,,
8/25/2023,Fees,Etsy,2995226764,,,Processing Fee,,$0.78,
8/25/2023,Sales Tax,Etsy,2995226764,,,Sales Tax,,$1.00,
8/25/2023,Fees,Etsy,2995226764,,,Transaction Fee,,$1.08,
8/25/2023,Fees,Etsy,2995226764,,,Shipping Fee,,$3.92,
8/31/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
8/31/2023,Order,Etsy,2995011277,,1,(1) Book,$17.65,,
8/31/2023,Fees,Etsy,2995011277,,,Processing Fee,,$0.78,
8/31/2023,Sales Tax,Etsy,2995011277,,,Sales Tax,,$1.00,
8/31/2023,Fees,Etsy,2995011277,,,Transaction Fee,,$1.08,
9/1/2023,Fees,Etsy,2995011277,,,Shipping Fee,,$3.92,
9/5/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
9/5/2023,Order,Etsy,3007027310,,1,(1) Book,$8.90,,
9/5/2023,Fees,Etsy,3007027310,,,Processing Fee,,$0.52,
9/5/2023,Sales Tax,Etsy,3007027310,,,Sales Tax,,$0.58,
9/5/2023,Fees,Etsy,3007027310,,,Transaction Fee,,$0.54,
9/5/2023,Fees,Etsy,3007027310,,,Shipping Fee,,$3.92,
9/15/2023,Order,Etsy,3010781383,,,Bronze Horse w/ Orange Yarn,$58.93,,
9/15/2023,Fees,Etsy,3010781383,,,Processing Fee,,$2.02,
9/15/2023,Sales Tax,Etsy,3010781383,,,Sales Tax,,$3.98,
9/15/2023,Fees,Etsy,3010781383,,,Transaction Fee,,$3.57,
9/15/2023,Fees,Etsy,3010781383,,,Shipping Fee,,$4.15,
9/17/2023,Fees,Etsy,,,,Listing Fees,,$1.00,
10/3/2023,Royaltees,IngramSpark,,,,1 test royalty from my Amazon order,$3.89,,
10/9/2023,Order,Etsy,3036824455,,,Red Horse w/ White Yarn,$59.56,,
10/9/2023,Fees,Etsy,3036824455,,,Processing Fee,,$2.04,
10/9/2023,Sales Tax,Etsy,3036824455,,,Sales Tax,,$4.61,
10/9/2023,Fees,Etsy,3036824455,,,Transaction Fee,,$3.57,
10/9/2023,Fees,Etsy,3036824455,,,Share & Save Refund,$2.20,,
10/10/2023,Advertising,Etsy,,,,Etsy Ads,,$0.47,
10/10/2023,Order,Etsy,3038201115,,,Pink Horse w/ Gray Yarn,$57.86,,
10/10/2023,Fees,Etsy,3038201115,,,Processing Fee,,$1.99,
10/10/2023,Sales Tax,Etsy,3038201115,,,Sales Tax,,$2.91,
10/10/2023,Fees,Etsy,3038201115,,,Transaction Fee,,$3.57,
10/10/2023,Fees,Etsy,3038201115,,,Shipping Fee,,$4.15,
10/10/2023,Fees,Etsy,3036824455,,,Shipping Fee,,$4.09,
10/11/2023,Advertising,Etsy,,,,Etsy Ads,,$0.24,
10/11/2023,Supplies,Amazon,,,,"1,000 Self-Adhesive Mailing Labels",,$33.19,
10/12/2023,Advertising,Etsy,,,,Etsy Ads,,$0.52,
10/18/2023,Supplies,Amazon,,,,"Wrapping Paper, Packing Tape, Ribbon for  Books",,$39.08,
11/2/2023,Advertising,Etsy,,,,Etsy Ads,,$0.38,
11/3/2023,Advertising,Etsy,,,,Etsy Ads,,$0.97,
11/3/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
11/4/2023,Advertising,Etsy,,,,Etsy Ads,,$1.00,
11/5/2023,Advertising,Etsy,,,,Etsy Ads,,$0.43,
11/6/2023,Advertising,Etsy,,,,Etsy Ads,,$0.95,
11/8/2023,Supplies,Amazon,,,,Proof of KDP Paperback,,$8.04,
11/11/2023,Supplies,Amazon,,,,Proof of KDP Paperback,,$8.04,
11/15/2023,Advertising,Etsy,,,,Etsy Ads,,$0.71,
11/16/2023,Advertising,Etsy,,,,Etsy Ads,,$1.00,
11/16/2023,Supplies,Amazon,,,,Proof of KDP Paperback,,$7.79,
11/17/2023,Advertising,Etsy,,,,Etsy Ads,,$0.30,
11/18/2023,Advertising,Etsy,,,,Etsy Ads,,$0.51,
11/23/2023,Supplies,Amazon,,1,,KDP Paperback (returned but will re-buy in Dec.),,$11.99,
11/27/2023,Advertising,Etsy,,,,Etsy Ads,,$0.88,
11/28/2023,Advertising,Etsy,,,,Etsy Ads,,$0.69,
11/29/2023,Advertising,Etsy,,,,Etsy Ads,,$1.00,
11/30/2023,Advertising,Etsy,,,,Etsy Ads,,$0.96,
12/5/2023,Fees,Ebookpreneur,,,,Publisher Rocket Software,,$97.00,
