Listing title,eBay item ID,Quantity sold,Total sales (Includes taxes),Item sales,Taxes and government fees paid by buyer to eBay,Shipping and handling paid by buyer to you,Total selling costs,Insertion fees,Optional listing upgrade fees,Final value fees,Ads Standard fees,International fees,Fee credits,Shipping labels cost (Amount you paid to buy shipping labels on eBay),Net sales (Net of taxes and selling costs),Average Selling price,Quantity sold via promoted listing,Quantity sold via Best Offers,Quantity sold via Seller Initiated Offers
2x CREMA PARA PEINAR ARGAN KERASHINE BRILLO ANTI FRIZZ/ UV PROTECTION 100ml each,255032401445,4,$85.91,$81.96,$3.95,$0.00,$35.48,$0.00,$0.00,$12.45,$2.84,$0.00,$0.00,$20.19,$46.48,$21.48,3,0,0
HAIR TREATMENT FERMODYL ENERGIA HUMECTANTE,255058747252,4,$66.87,$61.56,$5.31,$0.00,$26.79,$0.00,$0.00,$9.70,$3.41,$0.00,$0.00,$13.68,$34.77,$16.72,4,0,1
1x Teatrical Mother Cells Hydrating Moisturizer CELULAS MADRE HUMECTANTE. 100g,255104821860,4,$62.28,$53.36,$8.92,$0.00,$29.98,$0.00,$0.00,$8.37,$1.99,$0.00,$0.00,$19.62,$23.38,$15.57,3,0,0
"Café Gila Regiones Chiapas, GROUND COFFEE CAFE MOLIDO con ANTIOXIDANTES 380 G",255112308860,4,$99.96,$99.96,$0.00,$0.00,$41.55,$0.00,$0.00,$13.04,$3.00,$0.00,$0.00,$25.51,$58.41,$24.99,4,0,0
3 xDesodorante Palmolive Neutro Balance 0% zero en roll on unisex 50 g,255439736454,4,$108.18,$101.98,$6.20,$0.00,$43.35,$0.00,$0.00,$15.36,$4.43,$0.40,$0.00,$23.16,$58.63,$27.05,4,0,0
3 x Neutro Balance Zero Spray Deodorant Palmolive,255444884086,4,$116.03,$107.96,$8.07,$0.00,$39.23,$0.00,$0.00,$16.17,$4.53,$0.00,$0.00,$18.53,$68.73,$29.01,4,0,0
2X  Crema corporal Real Skin Care Cuidado Humectante para piel extra seca 220 g,255536543283,4,$91.15,$83.97,$7.18,$0.00,$38.55,$0.00,$0.00,$12.97,$3.18,$0.00,$0.00,$22.40,$45.42,$22.79,4,0,0
8 x Palmolive Naturals -Humectacion Refrescante - Moisturizing Bar Soap,255536543882,4,$114.48,$106.96,$7.52,$0.00,$98.00,$0.00,$48.00,$15.98,$4.12,$0.00,$0.00,$29.90,$8.96,$28.62,4,0,0
"2x Ting Polvo 160g Ayuda A Eliminar La Sudoracion , Mal Olor , Comezon , Ardor,",255747343200,4,$192.44,$179.80,$12.64,$0.00,$62.86,$0.00,$0.00,$26.69,$9.62,$0.00,$0.00,$26.55,$116.94,$48.11,4,0,0
"3Pack Gel Savilé,máxima Fijación,sin Residuos,0% Alcohol 8.82 Oz(250mL)",255768747406,4,$83.95,$78.00,$5.95,$0.00,$54.50,$0.00,$0.00,$18.85,$2.64,$0.00,$7.79,$40.80,$23.50,$20.99,4,0,0
ADES - JUGO DE SOJA ASSORTED 200 ML X 12 U/ SOYBEAN JUICE ASSORTED,255848865543,4,$184.16,$135.96,$12.24,$35.96,$55.73,$0.00,$0.00,$23.16,$1.85,$0.00,$0.00,$30.72,$116.19,$46.04,2,0,0
Nescafé Reserva Mexicana Xiapan Instant Coffee Café soluble 180 g,255907392588,4,$138.71,$96.80,$3.97,$37.94,$61.45,$0.00,$0.00,$17.62,$9.60,$0.00,$0.00,$34.23,$73.29,$34.68,4,0,0
Nescafé Reserva Mexicana Verarica Instant Coffee Café soluble 180 g,255983314212,4,$108.78,$89.80,$0.00,$18.98,$39.19,$0.00,$0.00,$13.58,$2.72,$0.00,$0.00,$22.89,$69.59,$27.20,2,0,0
2X NIVEA ANTITRANSPIRANTE ACLARADO NATURAL CLASSIC TOUCH DESODORANTE - 2 de 50g,256037909804,4,$85.33,$79.42,$5.91,$0.00,$34.94,$0.00,$0.00,$12.20,$7.68,$0.00,$0.00,$15.06,$44.48,$21.33,4,0,0
Persil ALTA HYGIENE Powder Laundry Detergent Antibacteria 4.5kg Henkel,256039012487,4,$182.83,$139.96,$16.87,$26.00,$86.29,$0.00,$0.00,$24.44,$8.95,$0.00,$0.00,$52.90,$79.67,$45.71,4,0,0
2 x HIGHLIGHTER PALETTE SLEEK MAKEUP SOLSTICE,256046247691,4,$69.15,$51.96,$6.89,$10.30,$28.82,$0.00,$0.00,$9.91,$2.03,$0.00,$0.00,$16.88,$33.44,$17.29,2,0,0
Head & Shoulders CREMA PARA PEINAR Hidratacion Aceite d Coco  300ml Styling,256143039317,4,$90.24,$84.00,$6.24,$0.00,$44.64,$0.00,$0.00,$13.16,$8.13,$0.00,$0.00,$23.35,$39.36,$22.56,4,0,0
2 X PANTENE PRO V RIZOS DEFINIDO CREMA /CURLY HAIR CREAM,256231738773,4,$108.85,$100.73,$8.12,$0.00,$56.47,$0.00,$0.00,$15.62,$10.45,$0.00,$0.00,$30.40,$44.26,$27.21,4,0,1
ARBOL VERDE  ANTICAIDA SHAMPOO  NATURAL  / REDUCES HAIR LOSS,256250500721,4,$78.18,$72.80,$5.38,$0.00,$44.26,$0.00,$0.00,$11.56,$2.70,$0.00,$0.00,$30.00,$28.54,$19.55,2,0,1
Item ID 256258020510,256258020510,4,$96.57,$73.80,$6.81,$15.96,$58.39,$0.00,$0.00,$13.99,$11.20,$0.00,$0.00,$33.20,$31.37,$24.14,4,0,0
Stefano Spray Deodorant Aerosol -Assorted Scents---159ml spay or 59g bar,254817491972,3,$48.90,$45.75,$3.15,$0.00,$21.84,$0.00,$0.00,$7.37,$1.52,$0.00,$0.00,$12.95,$23.91,$16.30,2,0,0
Gelatina McCornmick Fruit Gelatina Mexico Assorted Flavors,254830514812,3,$17.28,$17.28,$0.00,$0.00,$7.19,$0.00,$0.00,$2.31,$0.90,$0.00,$0.00,$3.98,$10.09,$5.76,3,0,0
HAIR TREATMENT FERMODYL REESTRUCTURACION INTENSIVA,255058766240,3,$52.46,$50.97,$1.49,$0.00,$15.41,$0.00,$0.00,$7.85,$2.68,$0.00,$0.00,$4.88,$35.56,$17.49,3,0,0
Mexican Coffee Cafe Mis Raices VeHav  Cafe Mexicano -454G Cafe Molido CHIAPAS,255151009583,3,$87.03,$77.97,$1.56,$7.50,$35.14,$0.00,$0.00,$11.19,$2.68,$0.00,$0.00,$21.27,$50.33,$29.01,1,0,0
Sugar Skull-Day of the Dead Dia de Los Muertos fabric Pink by the Yard,255173150169,3,$39.84,$37.41,$2.43,$0.00,$16.67,$0.00,$0.00,$5.58,$3.19,$0.00,$0.00,$7.90,$20.74,$13.28,3,0,0
2xGARNIER FRUCTIS HAIR FOOD AGUACATE CABELLO SECO 7 DRY HAIR 350ml -ENVIO GRATIS,255217496396,3,$60.82,$56.98,$3.84,$0.00,$35.69,$0.00,$0.00,$17.50,$5.60,$0.00,$10.91,$23.50,$21.29,$20.27,3,0,0
Sugar Skull-Day of the Dead Dia de Los Muertos fabric White by the Yard,255217627122,3,$42.28,$38.97,$3.31,$0.00,$14.71,$0.00,$0.00,$6.20,$2.29,$0.00,$0.00,$6.22,$24.26,$14.09,3,0,0
4 PK PALMOLIVE CAPRICE ESPECIALIDADES BIOTINA BIOTINE SHAMPOO 1L,255228207460,3,$102.79,$95.25,$7.54,$0.00,$52.49,$0.00,$0.00,$14.53,$2.07,$0.00,$0.00,$35.89,$42.76,$34.26,2,0,0
3 PK SAVILE SHAMPOO Almendras y Vitamina E Nutricion 730ml,255408881100,3,$101.58,$92.97,$8.61,$0.00,$60.98,$0.00,$0.00,$19.34,$0.00,$0.00,$4.68,$46.32,$31.99,$33.86,0,0,0
4x NIVEA FACIAL 5CUIDADO ACLARADO NATURAL CREMA NURTURING CLEANSING CREAM 200ml,255458031848,3,$153.03,$143.97,$9.06,$0.00,$48.35,$0.00,$0.00,$21.18,$3.07,$0.00,$0.00,$24.10,$95.62,$51.01,2,0,0
ZUKO Flavors No Sugar Needed (Sweetened with Aspartame) Zuko 29 and 5 Zuko Light,255636402290,3,$114.36,$107.97,$6.39,$0.00,$37.05,$0.00,$0.00,$14.39,$3.31,$0.00,$0.00,$19.35,$70.92,$38.12,3,0,0
5 x NIVEA MEN ANTI-PERSPIRANT DEODORANT ASSORTED SCENTS,255755081815,3,$78.29,$74.97,$3.32,$0.00,$32.16,$0.00,$0.00,$11.18,$1.06,$0.00,$0.00,$19.92,$42.81,$26.10,2,0,0
FERMODYL REHIDRATACION PROFUNDA Cont. 6 applications,255781800826,3,$59.05,$54.97,$4.08,$0.00,$24.69,$0.00,$0.00,$11.45,$2.76,$0.00,$3.08,$13.56,$30.28,$19.68,3,0,0
Victoria Secret VERY SEXY Perfume EDP 1.7oz/50mL - NEW IN BOX,255877664515,3,$156.73,$144.79,$11.94,$0.00,$35.89,$0.00,$0.00,$21.36,$0.00,$0.00,$0.00,$14.53,$108.90,$52.24,0,0,0
Café molido Legal tostado mezclado con azúcar a la canela 200 g Set of 2,255957899776,3,$46.51,$45.00,$1.51,$0.00,$24.78,$0.00,$0.00,$9.13,$2.21,$0.00,$3.61,$17.05,$20.22,$15.50,3,0,0
Naturella Camomile Pads - Naturella manzanilla toallas con alas,255991214681,3,$148.20,$122.55,$0.00,$25.65,$45.22,$0.00,$0.00,$19.94,$11.86,$0.00,$0.00,$13.42,$102.98,$49.40,3,0,0
ZEST AGUA DE COCO & AGAVE BAR SOAP 90 G PRODUCT OF MEXICO 5 PACK,255991219230,3,$43.88,$26.30,$2.61,$14.97,$31.77,$0.00,$0.00,$6.71,$2.26,$0.00,$0.00,$22.80,$9.50,$14.63,3,0,0
5 X NIVEA MEN SILVER DEODORANT SPRAY 150ml / 48h SILVER PROTECT SECA RÁPIDO,256237478216,3,$127.41,$114.54,$7.87,$5.00,$40.58,$0.35,$0.00,$17.48,$7.65,$0.00,$0.00,$15.10,$78.96,$42.47,3,0,0
6 X  MAIZENA ATOLE DE NUEZ 47g,256312089579,3,$31.19,$27.87,$0.00,$3.32,$14.43,$0.00,$0.00,$4.02,$2.81,$0.00,$0.00,$7.60,$16.76,$10.40,3,0,0
6 X  MAIZENA ATOLE DE COCO 47g,256327970861,3,$34.89,$28.97,$0.00,$5.92,$20.38,$0.00,$0.00,$4.76,$3.14,$0.00,$0.00,$12.48,$14.51,$11.63,3,0,0
2x Rexona Men Motion sense Power Deodorant Antiperspirant Spray  150ml Assorted,254689058127,2,$42.58,$39.89,$2.69,$0.00,$18.56,$0.00,$0.00,$6.17,$2.05,$0.00,$0.00,$10.34,$21.33,$21.29,2,0,0
GARNIER FRUCTIS ALOE  HAIR FOOD  1 SHAMPOO y 1 ACONDICIONADOR - ENVIO PRIORIDAD,254922819787,2,$49.26,$45.98,$3.28,$0.00,$25.98,$2.45,$0.00,$7.13,$1.97,$0.00,$0.00,$14.43,$20.00,$24.63,2,0,0
3x Nivea Deodorant Nivea Black and White Invisible 48h Roll,255056493761,2,$45.53,$41.98,$3.55,$0.00,$23.89,$0.00,$0.00,$6.56,$1.83,$0.00,$0.00,$15.50,$18.09,$22.77,2,0,0
HAIR TREATMENT FERMODYL RESTAURACION (RESTORATION),255058789839,2,$35.10,$31.98,$3.12,$0.00,$11.78,$0.00,$0.00,$4.95,$1.79,$0.00,$0.00,$5.04,$20.20,$17.55,2,0,0
"2 x  Elf Hat, ice cream Decoration Wreath Wire Frame Form Size 22”H X 21”W-NEW",255084219188,2,$42.04,$29.42,$2.38,$10.24,$19.75,$0.00,$0.00,$5.87,$0.00,$0.00,$0.00,$13.88,$19.91,$21.02,0,0,0
Garnier Obao Antiperspirant Deodorant Roll On Assorted Scents,255084287324,2,$14.32,$13.38,$0.94,$0.00,$11.65,$0.00,$0.00,$4.37,$0.52,$0.00,$2.22,$8.98,$1.73,$7.16,1,0,0
GARNIER FRUCTIS Banana HAIR FOOD  1 SHAMPOO y 1 ACONDICIONADOR - ENVIO PRIORIDAD,255228234115,2,$54.86,$50.98,$3.88,$0.00,$24.28,$0.00,$0.00,$11.77,$1.62,$0.00,$3.91,$14.80,$26.70,$27.43,1,0,0
2 X PALMOLIVE NEUTRO BALANCE DERMO PURIFICANTE JABON LIQUIDO CORPORAL 390ml each,255392963401,2,$50.36,$47.98,$2.38,$0.00,$31.81,$0.00,$0.00,$7.27,$1.71,$0.00,$0.00,$22.83,$16.17,$25.18,2,0,0
EGO FORCE Gel - 32oz (950ml)- Fragrancia Essential - FREE Shipping,255438247986,2,$51.32,$47.00,$4.32,$0.00,$24.66,$0.00,$0.00,$7.22,$1.54,$0.00,$0.00,$15.90,$22.34,$25.66,2,0,0
Hello Kitty Bolsa De Playa Pink Rosa 90 Saba Feminine Largo Protectores Diarios,255527853160,2,$62.20,$53.80,$0.00,$8.40,$31.98,$0.00,$0.00,$8.73,$1.65,$0.00,$0.00,$21.60,$30.22,$31.10,1,0,0
Brand New -Sanrio Hello Kitty Family Bakery Pancake Pan / Missing Tag brand new,255560669139,2,$68.26,$62.98,$5.28,$0.00,$21.68,$0.70,$0.00,$9.52,$2.87,$0.00,$0.00,$8.59,$41.30,$34.13,1,0,0
3 x Nivea Aclarado Natural Lilac Spray Deodorant 48H (89 g each),255634923749,2,$62.22,$57.98,$4.24,$0.00,$20.77,$0.00,$0.00,$17.69,$1.17,$0.00,$8.65,$10.56,$37.21,$31.11,1,0,0
"8 x ATRIX MOISTURIZING CREAM- CREMA PROTECCION INTENSIVA, ALOE- 200gr",255907441703,2,$160.96,$134.24,$9.72,$17.00,$49.94,$0.00,$0.00,$21.93,$11.63,$0.00,$0.00,$16.38,$101.30,$80.48,2,0,0
4 x Nivea Proteccion & Cuidado Proteccion 48h 0% alcohol,255963409655,2,$64.82,$59.98,$4.84,$0.00,$24.95,$0.00,$0.00,$9.19,$0.96,$0.00,$0.00,$14.80,$35.03,$32.41,1,0,0
8 packs of Bar Soaps Palmolive Neutro Balance (32 bars in total),255964137168,2,$0.00,$0.00,$0.00,$0.00,$26.98,$0.00,$0.00,$21.96,$0.00,$0.00,$21.66,$26.68,-$26.98,$0.00,0,0,0
Naturella Sanitary Pads Just Naurals 100% Organic 16 pk,255991210936,2,$45.65,$29.00,$0.00,$16.65,$18.90,$0.00,$0.00,$6.64,$2.05,$0.00,$0.00,$10.21,$26.75,$22.83,1,0,0
ZEST PEPINO & SABILA (CUCUMBER AND ALOE) BAR SOAP 90 G PRODUCT OF MEXICO 5 PACK,255991221067,2,$27.69,$18.60,$2.11,$6.98,$13.66,$0.00,$0.00,$3.97,$2.49,$0.00,$0.00,$7.20,$11.92,$13.85,2,0,0
"Ariel RevitaColor Laundry Detergent Powder, 750g (Pack of 3)",256044069266,2,$26.36,$24.99,$1.37,$0.00,$27.93,$0.00,$0.00,$7.84,$3.89,$0.00,$0.00,$16.20,-$2.94,$13.18,2,0,0
4 x Dove Tono Uniforme Rosas Whitening Deodorant RollOn 48h AntiPerspirant 50m,256049478811,2,$60.35,$55.98,$4.37,$0.00,$21.84,$0.00,$0.00,$8.60,$2.74,$0.00,$0.00,$10.50,$34.14,$30.18,1,0,0
3 x Persil Universal Powder Laundry Detergent Accion Profunda 800 g Henkel,256049493867,2,$60.25,$55.98,$4.27,$0.00,$29.80,$0.00,$0.00,$8.58,$5.42,$0.00,$0.00,$15.80,$26.18,$30.13,2,0,0
2 x Nivea Intimo Cuidado Suave Intimate Wash Lotion 250 ml / 8.3 fl oz,256051167933,2,$56.98,$56.98,$0.00,$0.00,$15.75,$0.00,$0.00,$7.85,$0.00,$0.00,$0.00,$7.90,$41.23,$28.49,0,0,0
4 x OBAO Garnier Men Roll-on Deodorant Stain Resistant Anti-manchas Intense 65g,256076070059,2,$60.67,$55.98,$4.69,$0.00,$23.92,$0.00,$0.00,$8.64,$2.77,$0.00,$0.00,$12.51,$32.06,$30.34,1,0,0
4 X TAJIN DULCE CHILITOS EN POLVO PARA BOTANAS TAJIN DULCE FRUITS CANDY TOPPIN,256168712548,2,$77.98,$64.00,$0.00,$13.98,$33.66,$0.00,$0.00,$9.90,$9.36,$0.00,$0.00,$14.40,$44.32,$38.99,2,0,0
NIVEA Serum Luminous 630 Anti Manchas Tratamiento Avanzado Anti imperfecciones 3,256221982748,2,$92.53,$85.78,$6.75,$0.00,$27.85,$0.00,$0.00,$12.86,$6.48,$0.00,$0.00,$8.51,$57.93,$46.27,2,0,1
8 X MAIZENA ATOLE 8 SABORES DIFERENTES CORN STARCH BEVERANGE,256317625005,2,$37.79,$29.98,$2.51,$5.30,$20.43,$0.00,$0.00,$5.11,$3.03,$0.00,$0.00,$12.29,$14.85,$18.90,2,0,0
2 x Gamesa Maria Doradas  Cookies/Galletas(hojaldradas),256327984232,2,$30.77,$21.28,$0.00,$9.49,$15.20,$0.00,$0.00,$3.97,$3.38,$0.00,$0.00,$7.85,$15.57,$15.39,2,0,0
D’gari Artistic Gelatin Dessert Crystal Clear Gelatina Artística Assorted flavor,254638363449,1,$8.50,$8.50,$0.00,$0.00,$6.10,$0.00,$0.00,$1.29,$0.26,$0.00,$0.00,$4.55,$2.40,$8.50,1,0,0
Garnier Obao Antiperspirant Deodorant Roll on/Spray,254649112749,1,$14.03,$13.24,$0.79,$0.00,$6.95,$0.00,$0.00,$2.11,$0.56,$0.00,$0.00,$4.28,$6.29,$14.03,1,0,0
Cactus Silicon Baking Mold,254820836753,1,$17.29,$16.20,$1.09,$0.00,$6.80,$0.00,$0.00,$2.53,$0.00,$0.00,$0.00,$4.27,$9.40,$17.29,0,0,0
Disney Pixar Monsters 2.5 Inch Mini Figures Cake Topper Party Favor Toy Lot 5,254864127512,1,$20.26,$14.99,$1.28,$3.99,$8.21,$0.00,$0.00,$2.98,$0.99,$0.00,$0.00,$4.24,$10.77,$20.26,1,0,0
GARNIER FRUCTIS COCO HAIR FOOD  1 SHAMPOO y 1 ACONDICIONADOR - ENVIO PRIORIDAD,254922810754,1,$25.17,$22.99,$2.18,$0.00,$12.76,$0.00,$0.00,$7.25,$1.01,$0.00,$3.40,$7.90,$10.23,$25.17,1,0,0
Dawn Platinum Powerwash Dish Spray and Refills Fresh Scent 16 fl oz PACK OF 2,254961198002,1,$24.02,$21.99,$2.03,$0.00,$14.73,$1.75,$0.00,$3.48,$1.20,$0.00,$0.00,$8.30,$7.26,$24.02,1,0,0
Trolls DreamWorks World Tour Collectible Doll Set of 4,254974717287,1,$24.90,$20.00,$1.90,$3.00,$9.13,$0.00,$0.00,$3.60,$0.72,$0.00,$0.00,$4.81,$13.87,$24.90,1,0,0
KERASHINE 13 EN 1 HYDRA-NO FRIZZ TRATAMIENTO PARA PEINAR 180ml,255034769184,1,$19.07,$17.99,$1.08,$0.00,$8.83,$1.05,$0.00,$2.83,$0.71,$0.00,$0.00,$4.24,$9.16,$19.07,1,0,0
Nivea Creme 400ml - 13.5oz Glass Jar Moisturizing All Over Thick Cream Mexico,255050344689,1,$25.95,$23.70,$2.25,$0.00,$11.95,$0.00,$0.00,$3.65,$0.00,$0.00,$0.00,$8.30,$11.75,$25.95,0,0,0
Mexican Coffee Cafe Mis Raices VeHav  Cafe Mexicano -454G Cafe Molido Puebla,255151015096,1,$28.41,$24.69,$1.22,$2.50,$11.04,$0.00,$0.00,$3.69,$1.28,$0.00,$0.00,$6.07,$16.15,$28.41,1,0,1
Mexican Coffee Cafe Mis Raices VeHav  Cafe Mexicano -454G Cafe Molido Reserva,255151017392,1,$28.49,$25.99,$0.00,$2.50,$12.49,$0.00,$0.00,$3.61,$1.28,$0.00,$0.00,$7.60,$16.00,$28.49,1,0,0
Mexican Coffee Tresso Puebla -400G Cafe  Molida Americano,255151021227,1,$28.49,$25.99,$0.00,$2.50,$11.20,$0.00,$0.00,$3.70,$1.28,$0.00,$0.00,$6.22,$17.29,$28.49,1,0,0
24  x Mini Mexican Tote Favor Bags Mexican Party Piñata Fiesta Candy Mercado New,255152590963,1,$57.18,$47.95,$4.24,$4.99,$21.88,$0.00,$0.00,$7.88,$0.00,$0.00,$0.00,$14.00,$31.06,$57.18,0,0,0
Palmolive Naturals Bar Soap Assorted,255228703295,1,$27.68,$25.99,$1.69,$0.00,$13.38,$0.00,$0.00,$3.97,$1.11,$0.00,$0.00,$8.30,$12.61,$27.68,1,0,0
2x SILICA BIFASICA CON TRATAMIENTP DE ARGAN + CERAMIDAS+ SABILA  102 ml each,255263724985,1,$22.84,$21.00,$1.84,$0.00,$8.21,$0.00,$0.00,$3.33,$0.00,$0.00,$0.00,$4.88,$12.79,$22.84,0,0,0
Hello Kitty Coffee Cup with Lid 32 Saba Feminine Sanitary Napkins,255385472071,1,$26.70,$23.50,$0.00,$3.20,$15.77,$0.00,$0.00,$3.74,$1.42,$0.00,$0.00,$10.61,$10.93,$26.70,1,0,0
Gran Mitla Sal de Gusano 100 Gram (3.52 oz) Jar Agave Worm Salt,255421558486,1,$26.99,$26.99,$0.00,$0.00,$9.91,$0.00,$0.00,$3.52,$1.35,$0.00,$0.00,$5.04,$17.08,$26.99,1,0,0
2 x eGo Sport Men Spray Deodorant 24h 150 ml,255444948093,1,$21.55,$20.00,$1.55,$0.00,$7.97,$0.00,$0.00,$3.16,$0.00,$0.00,$0.00,$4.81,$12.03,$21.55,0,0,0
8 x Palmolive Naturals Hidratacion Radiante- Moisturizing Bar Soap,255482542838,1,$28.30,$25.99,$2.31,$0.00,$12.35,$0.00,$0.00,$4.05,$0.00,$0.00,$0.00,$8.30,$13.64,$28.30,0,0,0
3 Pack Knorr Camaron Bouillon Cubes (8 cubes per pack--24 cubes total),255490520125,1,$15.14,$14.99,$0.15,$0.00,$7.44,$0.00,$0.00,$2.11,$0.00,$0.00,$0.00,$5.33,$7.55,$15.14,0,0,0
Hello Kitty Saba Diarios V-Sport Sanitary Napkins+ Gorra de Hello Kitty,255491948411,1,$24.99,$24.99,$0.00,$0.00,$7.72,$0.00,$0.00,$3.52,$0.00,$0.00,$0.00,$4.20,$17.27,$24.99,0,0,0
5X Nivea Whitening Deep Serum RollOn Classic Deodorant 40ml (Free-shipping),255560857850,1,$43.15,$39.95,$3.20,$0.00,$15.21,$0.70,$0.00,$5.87,$1.04,$0.00,$0.00,$7.60,$24.74,$43.15,1,0,0
Eye contour Nivea Luminous 630° cellular anti-dark circles 15ml Contorno de ojos,255562422027,1,$33.93,$30.99,$2.94,$0.00,$11.21,$2.80,$0.00,$9.49,$0.85,$0.00,$5.74,$3.81,$19.78,$33.93,1,0,0
2X Crema Real Skin Care Frescura Hidratante Aloe Vera + Pepino 220g c/u,255568250884,1,$23.53,$21.99,$1.54,$0.00,$8.60,$0.00,$0.00,$3.27,$1.18,$0.00,$0.00,$4.15,$13.39,$23.53,1,0,0
"Globe Wreath Frames 3pk 3D Floral Sphere Forms 14"" Dia. Wire Balls FREE SHIPPING",255636404874,1,$24.50,$19.50,$2.00,$3.00,$14.82,$0.00,$0.00,$7.01,$0.60,$0.40,$4.06,$10.87,$7.68,$24.50,0,0,0
"2x Ting Polvo 85g Ayuda A Eliminar La Sudoracion , Mal Olor , Comezon , Ardor,",255747333440,1,$40.86,$38.00,$2.86,$0.00,$10.49,$0.00,$0.00,$5.56,$1.96,$0.00,$0.00,$2.97,$27.51,$40.86,1,0,0
3 x MAJA DESODORANTE PERFUMADO ANTIPERSPIRANT ROLL ON - 50ml “FREE SHIPPING”,255748283530,1,$27.86,$24.99,$2.87,$0.00,$9.96,$0.00,$0.00,$3.99,$0.64,$0.00,$0.00,$5.33,$15.03,$27.86,1,0,0
Monster High Generation 3 G3 Reboot GHOULIA YELPS NEW Mattel 2022 IN HAND,255806110111,1,$39.30,$36.99,$2.31,$0.00,$17.15,$0.00,$0.00,$5.51,$0.79,$0.00,$0.00,$10.85,$19.84,$39.30,1,0,0
2 TING MEXICO Spray Antifungal Athletes Foot Pie De Atleta Antiseptic 150g,255845468224,1,$55.03,$48.20,$3.98,$2.85,$20.69,$0.00,$0.00,$7.59,$5.50,$0.00,$0.00,$7.60,$30.36,$55.03,1,0,0
3 Packs ZEST ALMENDRA & VANILLA (ALMOND & VANILLA)BAR SOAP 90G PRODUCT OF MEXICO,255952778965,1,$0.00,$0.00,$0.00,$0.00,$17.88,$1.05,$0.00,$4.13,$0.87,$0.00,$0.00,$11.83,-$17.88,$0.00,1,0,0
3 Packs ZEST AGUA DE COCO & AGAVE BAR SOAP 90 G PRODUCT OF MEXICO,255952794808,1,$0.00,$0.00,$0.00,$0.00,$6.40,$1.40,$0.00,$4.13,$0.87,$0.00,$0.00,$0.00,-$6.40,$0.00,1,0,0
4x Cafe Legal Mexican Ground Coffee Cafe Tostado De Grano Molido con Caramelo,255965050639,1,$41.12,$40.00,$1.12,$0.00,$13.55,$0.00,$0.00,$5.20,$1.15,$0.00,$0.00,$7.20,$26.45,$41.12,1,0,0
Zuko Light,255965100452,1,$46.35,$45.00,$1.35,$0.00,$11.90,$0.00,$0.00,$5.68,$0.00,$0.00,$0.00,$6.22,$33.10,$46.35,0,0,0
6x TEATRICAL CREMA AZUL LANOLINA 230gr / TEATRICAL CREAM BLUE LANOLIN,255972969250,1,$72.78,$56.99,$5.39,$10.40,$18.24,$0.00,$0.00,$9.94,$0.00,$0.00,$0.00,$8.30,$49.15,$72.78,0,0,0
2 X NIVEA ACLARADO CREMA EFECTO SATIN 48H 400ML,255973237244,1,$33.11,$30.59,$2.52,$0.00,$11.89,$0.00,$0.00,$13.29,$0.00,$0.00,$8.60,$7.20,$18.70,$33.11,0,0,0
Clight No Sugar Needed Makes 1 Liter 60 packs (40 limonada/20 fresas),255990082707,1,$38.20,$38.20,$0.00,$0.00,$12.46,$0.00,$0.00,$4.86,$0.00,$0.00,$0.00,$7.60,$25.74,$38.20,0,0,0
2X REXONA EFFICIENT TALCO PARA PIES FRESH 200g/FOOT TALCUM POWDER FREE SHIP,256000966220,1,$35.18,$22.45,$2.08,$10.65,$13.26,$0.00,$0.00,$4.96,$0.70,$0.00,$0.00,$7.60,$19.84,$35.18,1,0,0
ADES - JUGO DE SOJA ASSORTED FLAVORS 946 ML,256005307591,1,$46.07,$34.98,$2.10,$8.99,$15.47,$0.00,$0.00,$5.79,$1.38,$0.00,$0.00,$8.30,$28.50,$46.07,1,0,0
EGO FOR MEN Gel - 32oz (950ml)- FREE Shipping,256015616964,1,$24.78,$23.00,$1.78,$0.00,$12.38,$0.00,$0.00,$7.16,$1.00,$0.00,$4.08,$8.30,$10.62,$24.78,1,0,0
2 PK SAVILE SHAMPOO Menta y Eucalipto 700ml,256017042807,1,$27.18,$24.99,$2.19,$0.00,$11.80,$0.00,$0.00,$3.90,$0.00,$0.00,$0.00,$7.90,$13.19,$27.18,0,0,0
Mix Sizes White Nail Art Tip Half Pearls 3D Nail Beads Stone Rhinestones Decors,256023333964,1,$15.18,$8.95,$1.24,$4.99,$6.44,$0.00,$0.00,$2.31,$0.00,$0.00,$0.00,$4.13,$7.50,$15.18,0,0,0
"Mexican Handy craft bag, handwoven nylon plastic ",256034402766,1,$48.79,$40.00,$3.80,$4.99,$16.44,$0.00,$0.00,$7.62,$0.00,$0.00,$0.00,$8.82,$28.55,$48.79,0,0,0
2X NIVEA ANTITRANSPIRANTE ACLARADO NATURAL EFFECTO SATIN DESODORANTE - 2 de 50g,256037913585,1,$22.26,$20.90,$1.36,$0.00,$9.56,$0.00,$0.00,$3.25,$2.00,$0.00,$0.00,$4.31,$11.34,$22.26,1,0,0
"4 x ROYAL BAKING POWDER Polvo para Hornear  Made in Mexico, 110 g",256038997693,1,$28.00,$28.00,$0.00,$0.00,$10.08,$0.00,$0.00,$3.64,$0.00,$0.00,$0.00,$6.44,$17.92,$28.00,0,0,0
2500PCS Mixed Size Nail Art Rhinestones Flatback Crystal AB Glass Stones Box Kit,256044042009,1,$36.66,$34.50,$2.16,$0.00,$13.41,$0.00,$0.00,$5.16,$1.47,$0.00,$0.00,$6.78,$21.09,$36.66,1,0,0
