Lot,Product,Status,% Sieve ,% Sieve Fall ,% Tainted,% Less Tainted,% Uncolored,% SLightly Faded,% Decorated,%Less Decorated  ,% Broken,% Wrinkled,% Gnawed,% Wallowed,% Frozen,% Moldy,% Sprouted,Field Chopped %,Other Types %,% Other Defects
NE-Z30-139,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,50  ",0,0,"0,50  ","0,01  ","1,25  ","0,25  ","0,25  ","0,75  ","0,01  ","0,50  ",0,0,0,"0,75  ",0,0
NE-Z30-140,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,50  ","0,01  ","1,00  ","0,50  ","0,01  ","1,00  ","0,25  ","0,50  ","0,01  ",0,0,"0,50  ",0,0
NE-Z30-141,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,25  ",0,"1,50  ","0,50  ","0,25  ","1,00  ",0,"0,25  ","0,25  ",0,0,"0,50  ",0,0
NE-Z30-142,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,25  ","0,01  ","1,00  ","0,50  ","0,01  ","1,00  ","0,01  ","0,50  ","0,01  ",0,0,"0,25  ",0,0
NE-Z30-143,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,50  ",0,"2,00  ","0,25  ","0,25  ","0,50  ",0,"0,75  ","0,25  ",0,0,"0,75  ",0,0
NE-Z30-145,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,75  ","0,01  ","1,25  ","1,00  ","0,25  ","0,75  ","0,01  ","0,25  ","0,01  ",0,0,"0,50  ",0,"0,01  "
NE-Z30-148,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,25  ",0,"1,50  ","0,50  ","0,25  ","1,00  ",0,"0,25  ","0,25  ",0,0,"0,50  ",0,0
NE-Z30-149,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,50  ","0,01  ","2,00  ","0,50  ","0,01  ","1,00  ","0,01  ","1,00  ","0,01  ",0,0,"1,00  ",0,0
NE-Z30-150,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,"0,50  ",0,"0,75  ","0,25  ","0,01  ","1,50  ",0,"0,01  ","0,01  ",0,0,"1,00  ",0,0
NE-Z30-152,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,50  ",0,0,"0,75  ","0,25  ","0,75  ","0,25  ",0,0,"0,50  ","0,50  ","0,50  ",0,0,"0,50  ",0,0
NE-Z30-153,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,"0,50  ","0,25  ","1,25  ","0,75  ","0,01  ","0,50  ","0,01  ","0,25  ","0,50  ",0,0,"0,75  ",0,0
NE-Z30-155,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,50  ","0,01  ","1,50  ","0,50  ","0,25  ","0,75  ","0,01  ","0,25  ",0,0,0,"1,25  ",0,0
NE-Z30-156,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,01  ",0,"0,50  ","0,25  ","0,25  ","1,25  ","0,01  ","0,50  ","0,01  ",0,0,"1,00  ",0,0
NE-Z30-157,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,25  ","0,01  ","1,25  ","0,25  ","0,01  ","1,00  ","0,01  ","0,25  ","0,01  ",0,0,"0,50  ",0,0
NE-Z30-158,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,50  ",0,"0,75  ","0,25  ","0,25  ","0,50  ","0,01  ",0,0,0,0,"0,50  ",0,0
NE-Z30-159,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,50  ",0,"1,00  ","0,25  ","0,25  ","0,25  ",0,0,0,0,0,"0,75  ",0,"0,01  "
NE-Z30-164,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,"0,25  ",0,"0,75  ","0,50  ","0,01  ","1,00  ","0,01  ","0,25  ","0,01  ",0,0,"1,00  ",0,0
NE-Z30-165,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,"0,25  ",0,"0,25  ","0,50  ","0,01  ","1,00  ",0,"0,25  ","0,01  ",0,0,"0,75  ",0,0
NE-Z30-171,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,50  ",0,"1,50  ","1,50  ","0,50  ","1,50  ",0,"0,50  ",0,0,0,"1,00  ",0,0
NE-Z30-175,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,50  ",0,0,0,"0,25  ","4,00  ","3,00  ","0,75  ","1,25  ","0,25  ",0,0,0,0,"1,00  ",0,0
NE-Z30-193,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,"1,00  ",0,"4,50  ","0,50  ","0,25  ",0,0,"3,75  ","0,25  ",0,0,"0,50  ","0,25  ",0
NE-Z30-194,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,01  ",0,0,"0,75  ",0,"1,75  ","1,25  ","0,01  ","0,25  ",0,"8,00  ","0,25  ","0,25  ",0,"0,75  ",0,0
NE-Z30-201,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z30-203,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,01  ",0,0,"0,50  ",0,"4,00  ","2,50  ","0,01  ",0,"0,01  ","0,25  ","0,01  ",0,0,"1,50  ",0,0
NE-Z30-208,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"1,00  ","0,50  ","3,00  ","1,50  ","0,25  ","0,50  ",0,"7,00  ","0,25  ",0,0,"0,01  ",0,0
NE-Z30-218,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,01  ",0,0,"1,75  ","1,25  ",0,"0,25  ",0,"0,01  ",0,"0,25  ","4,00  ","0,25  ",0,"5,00  ",0,0
NE-Z30-221,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,"1,25  ","0,50  ","0,50  ","0,50  ","0,01  ","0,01  ","0,50  ",0,"4,25  ","0,01  ",0,"6,00  ",0,0
NE-Z30-222,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"1,25  ","0,25  ","2,75  ","0,75  ","0,01  ","0,25  ","0,01  ","0,25  ","1,50  ",0,0,"1,00  ",0,0
NE-Z30-224,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"1,25  ","0,25  ","2,75  ","0,75  ","0,01  ","0,25  ","0,01  ","0,25  ","1,50  ",0,0,"1,00  ",0,0
NE-Z30-227,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,75  ","0,25  ","2,75  ","0,50  ","0,25  ","0,25  ","0,25  ",0,"1,00  ","0,01  ",0,0,0,0
NE-Z30-228,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,01  ",0,0,"1,25  ","0,50  ","1,25  ","0,75  ","0,01  ","0,25  ","0,25  ","0,75  ","2,25  ",0,0,"5,25  ",0,0
NE-Z30-229,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,50  ","0,25  ","2,25  ","1,00  ","0,25  ",0,"0,25  ","0,50  ","1,00  ",0,0,"0,75  ",0,0
NE-Z30-230,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,01  ",0,0,"1,25  ","0,50  ","1,25  ","0,75  ","0,01  ","0,25  ","0,25  ","0,75  ","2,25  ",0,0,"5,25  ",0,0
NE-Z30-231,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"1,50  ",0,"3,50  ","0,75  ","0,25  ","1,00  ","0,25  ","0,50  ","1,00  ",0,0,"1,25  ",0,0
NE-Z30-239,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"2,00  ",0,"2,50  ","1,00  ","0,25  ","2,00  ",0,"0,50  ","2,00  ",0,0,"3,00  ",0,0
NE-Z30-240,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"1,00  ",0,"1,25  ","0,25  ","0,25  ","1,00  ","0,25  ","1,50  ","0,25  ",0,0,"1,00  ",0,0
NE-Z30-241,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"2,00  ","0,01  ","1,75  ","0,75  ","0,01  ","1,50  ",0,"0,25  ","0,75  ",0,0,"4,00  ",0,0
NE-Z30-248,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,01  ",0,0,"1,25  ","0,25  ","0,50  ","0,50  ",0,"0,50  ","0,25  ",0,"0,50  ",0,0,"1,25  ",0,0
NE-Z30-249,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z30-250,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,"1,25  ",0,"0,50  ","0,25  ","0,01  ","0,50  ",0,0,"0,25  ",0,0,"3,75  ",0,0
NE-Z30-251,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,"1,75  ",0,"0,50  ","0,25  ","0,01  ","0,50  ","0,25  ","0,50  ","1,00  ",0,0,"4,50  ",0,0
NE-Z30-252,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,"2,00  ","0,75  ","0,25  ","0,25  ",0,"0,50  ","0,25  ",0,"2,00  ","0,01  ",0,"6,25  ",0,0
NE-Z30-253,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,"2,00  ","0,50  ","3,00  ","1,75  ",0,"0,25  ","0,50  ",0,"0,75  ","0,01  ",0,"1,50  ",0,0
NE-Z30-254,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"2,75  ","1,00  ","5,00  ","2,25  ","0,25  ","0,50  ","0,25  ","0,25  ","3,25  ",0,0,"2,75  ",0,0
NE-Z30-255,Black Processed - Sieve 3.0,Pending Authorization ,0,"1,00  ",0,0,"1,50  ",0,"3,25  ","1,00  ","0,25  ","1,00  ","0,50  ","0,25  ","2,50  ",0,0,"1,00  ",0,0
NE-Z30-258,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,"1,50  ","0,75  ","0,75  ",0,0,0,"0,01  ",0,"3,00  ",0,0,"2,00  ",0,"0,01  "
NE-Z30-270,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,25  ",0,"1,50  ","0,75  ",0,"1,25  ","0,01  ","16,25 ",0,0,0,"0,25  ",0,"0,25  "
NE-Z30-271,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,"1,50  ","1,00  ","0,25  ","1,00  ","0,01  ","0,25  ",0,"0,25  ","1,75  ","0,01  ",0,"1,50  ",0,0
NE-Z30-281,Black Processed - Sieve 3.0,Pending Authorization ,0,"1,00  ",0,0,"2,25  ","1,00  ","1,25  ","0,75  ","0,50  ","0,75  ","0,25  ","0,25  ","1,50  ",0,0,"1,75  ",0,0
NE-Z30-290,Black Processed - Sieve 3.0,Authorized,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z30-300,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"1,00  ","0,50  ","0,25  ","0,25  ","0,25  ","2,25  ",0,"0,25  ",0,0,0,"1,50  ",0,0
NE-Z30-301,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,50  ",0,0,"0,50  ",0,"1,75  ","0,75  ","0,25  ","1,00  ",0,"0,50  ",0,0,0,"0,01  ",0,0
NE-Z30-302,Black Processed - Sieve 3.0,Authorized,0,"0,25  ",0,0,"0,25  ","0,25  ","5,00  ","1,75  ","0,50  ","0,50  ","0,25  ",0,"0,01  ","0,01  ",0,0,0,0
NE-Z30-303,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,"0,01  ","0,25  ","0,50  ","0,25  ","0,01  ","0,50  ",0,0,0,0,0,0,0,0
NE-Z30-A02,Black Processed - Sieve 3.0,Exported ,0,"2,00  ",0,0,"1,00  ","0,50  ","0,25  ","0,25  ","0,01  ","0,50  ","0,25  ",0,0,"0,01  ",0,0,0,0
NE-Z30-A06,Black Processed - Sieve 3.0,Exported ,0,0,0,0,"0,50  ","0,75  ","0,25  ","0,50  ","0,01  ",0,"0,50  ","0,50  ",0,0,0,"1,25  ","0,01  ",0
NE-Z30-A07,Black Processed - Sieve 3.0,Authorized,0,0,0,0,"0,50  ","0,25  ","0,75  ","1,25  ","0,01  ",0,"0,25  ","0,01  ",0,0,0,"1,00  ",0,0
NE-Z30-B06,Black Processed - Sieve 3.0,Exported ,0,0,0,0,"0,50  ","0,75  ","0,25  ","0,50  ","0,01  ",0,"0,50  ","0,50  ",0,0,0,"1,25  ","0,01  ",0
NE-Z30-SEM,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z35-001,Black Processed - Sieve 3.5,Pending Authorization ,0,"0,50  ",0,0,0,"1,00  ","0,50  ","1,50  ","0,25  ","0,25  ","0,50  ",0,"0,25  ","0,25  ",0,"0,01  ","0,01  ","0,01  "
NE-Z35-002,Black Processed - Sieve 3.5,Pending Authorization ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z35-100,Black Processed - Sieve 3.5,Exported ,0,0,0,0,"1,00  ","0,25  ","0,25  ","0,50  ","0,01  ","2,25  ","0,01  ","1,75  ",0,0,0,"0,75  ",0,0
NE-Z40-050,Black Processed - Sieve 4.0,Pending Authorization ,0,"0,75  ",0,0,0,0,"6,00  ","0,75  ","0,50  ",0,"0,01  ",0,0,0,0,"1,00  ",0,0
NE-Z40-052,Black Processed - Sieve 4.0,Exported ,0,"0,75  ",0,0,0,0,"3,50  ","0,75  ","0,50  ",0,"0,01  ",0,0,0,0,"1,00  ",0,0
NE-Z40-087,Black Processed - Sieve 4.0,Exported ,0,0,0,0,"1,00  ","0,25  ","0,50  ","0,50  ",0,"2,50  ","0,01  ","0,50  ",0,0,0,"1,50  ",0,0
NE-Z40-088,Black Processed - Sieve 4.0,Exported ,0,0,0,0,"1,00  ","0,25  ","0,50  ","0,50  ",0,"2,50  ","0,01  ","0,50  ",0,0,0,"1,50  ",0,0
NE-Z40-100,Black Processed - Sieve 4.0,Authorized,0,0,0,0,"1,00  ","0,25  ","0,25  ","0,50  ","0,01  ","2,25  ","0,01  ","1,75  ",0,0,0,"0,75  ",0,0
NE-Z40-104,Black Processed - Sieve 4.0,Pending Authorization ,0,"0,25  ",0,0,"0,75  ","0,25  ","0,50  ","0,25  ","0,25  ","1,00  ","0,25  ","0,50  ",0,0,0,"1,25  ",0,0
NE-Z40-106,Black Processed - Sieve 4.0,Pending Authorization ,0,"0,25  ",0,0,"1,00  ",0,"1,00  ","0,01  ","0,25  ","1,50  ","0,25  ","0,50  ","0,01  ",0,0,"1,00  ",0,0
NE-Z40-119,Black Processed - Sieve 4.0,Pending Authorization ,0,"0,25  ",0,0,"0,50  ",0,"1,00  ","0,50  ","0,50  ","1,50  ","0,01  ","1,25  ",0,0,0,"1,00  ",0,0
NE-Z40-125,Black Processed - Sieve 4.0,Pending Authorization ,0,"0,50  ",0,0,"0,75  ","0,50  ","1,75  ","1,00  ","0,50  ","0,50  ","0,25  ","0,50  ","0,25  ",0,0,"2,00  ",0,0
NE-Z40-126,Black Processed - Sieve 4.0,Pending Authorization ,0,"0,50  ",0,0,"0,25  ","0,25  ","1,50  ","0,50  ","0,01  ","1,00  ","0,01  ","0,25  ",0,0,0,"0,25  ",0,0
NE-Z40-161,Black Processed - Sieve 4.0,Exported ,0,0,0,0,"0,75  ",0,"0,75  ","0,50  ","0,01  ","2,00  ","0,25  ","0,50  ","0,01  ",0,0,"0,75  ",0,0
NE-Z40-162,Black Processed - Sieve 4.0,Exported ,0,0,0,0,"0,75  ",0,"0,50  ","0,25  ","0,01  ","1,50  ",0,"1,00  ","0,25  ",0,0,"1,00  ",0,0
NE-Z40-163,Black Processed - Sieve 4.0,Exported ,0,0,0,0,"0,50  ",0,"1,25  ","0,50  ","0,25  ","1,50  ",0,"1,00  ",0,0,0,"1,00  ",0,0
NE-Z40-168,Black Processed - Sieve 4.0,Pending Authorization ,0,0,0,0,"1,00  ",0,"4,00  ","0,75  ","0,25  ","1,25  ","0,01  ","0,01  ","0,01  ",0,0,"1,50  ",0,0
NE-Z40-169,Black Processed - Sieve 4.0,Pending Authorization ,0,0,0,0,"0,25  ",0,"3,00  ","1,00  ","0,25  ","1,25  ",0,"0,50  ","0,01  ",0,0,"1,00  ",0,0
NE-Z40-170,Black Processed - Sieve 4.0,Pending Authorization ,0,0,0,0,"0,25  ",0,"3,50  ","1,50  ","0,25  ","1,00  ","0,01  ","0,50  ",0,0,0,"0,50  ",0,0
NE-Z40-174,Black Processed - Sieve 4.0,Pending Authorization ,0,"0,25  ",0,0,"0,25  ",0,"2,00  ","1,50  ","0,25  ","1,00  ",0,0,0,0,0,"1,00  ",0,0
NE-Z40-177,Black Processed - Sieve 4.0,Exported ,0,0,0,0,"0,25  ",0,"1,00  ","0,50  ","0,01  ","2,50  ",0,"0,25  ","0,25  ",0,0,"1,00  ",0,0
NE-Z40-178,Black Processed - Sieve 4.0,Pending Authorization ,0,0,0,0,"0,25  ","0,25  ","2,50  ","1,50  ","0,25  ","0,75  ","0,25  ","0,50  ","0,01  ","0,01  ",0,"0,75  ",0,0
NE-Z40-179,Black Processed - Sieve 4.0,Pending Authorization ,0,0,0,0,"0,25  ",0,"3,50  ","0,50  ","0,25  ","1,00  ",0,"0,01  ","0,25  ",0,0,"0,50  ",0,0
NE-Z40-180,Black Processed - Sieve 4.0,Pending Authorization ,0,"0,50  ",0,0,"0,50  ",0,"1,50  ","1,00  ","0,50  ","0,75  ","0,25  ",0,"0,01  ",0,0,"0,75  ",0,0
NE-Z40-181,Black Processed - Sieve 4.0,Pending Authorization ,0,"0,25  ",0,0,"0,25  ",0,"0,75  ","0,75  ","0,25  ","1,00  ",0,"0,50  ","0,01  ",0,0,"0,75  ",0,0
NE-Z40-182,Black Processed - Sieve 4.0,Pending Authorization ,0,0,0,0,"0,50  ",0,"1,25  ","0,75  ",0,"1,00  ","0,01  ","0,25  ","0,01  ",0,0,"0,50  ",0,0
NE-Z40-185,Black Processed - Sieve 4.0,Pending Authorization ,0,"0,01  ",0,0,"0,50  ",0,"1,25  ","1,50  ","0,01  ","0,75  ",0,"0,25  ","0,01  ",0,0,"1,00  ",0,"0,01  "
NE-Z40-186,Black Processed - Sieve 4.0,Exported ,0,0,0,0,"0,25  ",0,"1,00  ","0,50  ","0,01  ","2,50  ",0,"0,25  ","0,25  ",0,0,"1,00  ",0,0
NE-Z40-187,Black Processed - Sieve 4.0,Exported ,0,0,0,0,"0,25  ",0,"1,00  ","0,50  ","0,01  ","2,50  ",0,"0,25  ","0,25  ",0,0,"1,00  ",0,0
NE-Z40-188,Black Processed - Sieve 4.0,Exported ,0,0,0,0,"0,25  ",0,"1,00  ","0,50  ","0,01  ","2,50  ",0,"0,25  ","0,25  ",0,0,"1,00  ",0,0
NE-Z40-190,Black Processed - Sieve 4.0,Pending Authorization ,0,0,0,0,"0,25  ",0,"1,00  ","1,25  ","0,25  ","1,50  ","0,25  ",0,"0,25  ",0,0,"0,25  ",0,0
NE-Z40-192,Black Processed - Sieve 4.0,Pending Authorization ,0,0,0,0,"0,25  ",0,"3,00  ","1,00  ","0,25  ","1,25  ",0,"0,50  ","0,01  ",0,0,"1,00  ",0,0
NE-Z40-196,Black Processed - Sieve 4.0,Pending Authorization ,0,0,0,0,"0,25  ",0,"3,00  ","1,00  ","0,25  ","1,25  ",0,"0,50  ","0,01  ",0,0,"1,00  ",0,0
NE-Z40-197,Black Processed - Sieve 4.0,Pending Authorization ,0,"0,25  ",0,0,"0,50  ","0,25  ","0,50  ","0,25  ",0,"0,25  ",0,"1,00  ","0,01  ",0,0,"1,00  ",0,0
NE-Z40-198,Black Processed - Sieve 4.0,Pending Authorization ,0,"0,25  ",0,0,"0,25  ","0,01  ","1,00  ","0,50  ","0,01  ","1,00  ","0,01  ","1,00  ",0,0,0,"1,00  ",0,0
NE-Z40-199,Black Processed - Sieve 4.0,Pending Authorization ,0,"0,25  ",0,0,"0,25  ","0,01  ","1,00  ","0,50  ","0,01  ","1,00  ","0,01  ","1,00  ",0,0,0,"1,00  ",0,0
NE-Z40-200,Black Processed - Sieve 4.0,Pending Authorization ,0,0,0,0,"1,00  ","0,25  ","0,25  ","0,50  ","0,01  ","2,25  ","0,01  ","1,75  ",0,0,0,"0,75  ",0,0
NE-Z40-201,Black Processed - Sieve 4.0,Pending Authorization ,0,0,0,0,"0,75  ","0,25  ","0,75  ","0,25  ","0,01  ","1,25  ","0,01  ","1,50  ","0,50  ",0,0,"1,25  ",0,0
NE-Z40-202,Black Processed - Sieve 4.0,Pending Authorization ,0,0,0,0,"0,75  ","0,25  ","0,75  ","0,25  ","0,01  ","1,25  ","0,01  ","1,50  ","0,50  ",0,0,"1,25  ",0,0
NE-Z40-210,Black Processed - Sieve 4.0,Exported ,0,0,0,0,"0,50  ",0,"1,25  ","0,50  ","0,25  ","1,50  ",0,"1,00  ",0,0,0,"1,00  ",0,0
NE-Z40-211,Black Processed - Sieve 4.0,Exported ,0,0,0,0,"0,50  ",0,"1,25  ","0,50  ","0,25  ","1,50  ",0,"1,00  ",0,0,0,"1,00  ",0,0
NE-Z40-212,Black Processed - Sieve 4.0,Exported ,0,0,0,0,"0,50  ",0,"1,25  ","0,50  ","0,25  ","1,50  ",0,"1,00  ",0,0,0,"1,00  ",0,0
NE-Z40-261,Black Processed - Sieve 4.0,Pending Authorization ,0,"0,50  ",0,0,"1,00  ",0,"1,00  ","0,25  ","0,01  ","0,50  ","0,01  ","0,25  ",0,"0,01  ",0,"0,50  ",0,0
NE-Z40-262,Black Processed - Sieve 4.0,Pending Authorization ,0,0,0,0,"0,50  ",0,"0,50  ","0,25  ",0,"0,25  ","0,25  ","0,75  ","0,01  ","0,01  ",0,"0,01  ",0,0
NE-Z40-276,Black Processed - Sieve 4.0,Pending Authorization ,0,0,0,0,"0,50  ","0,25  ","0,25  ","0,01  ",0,"0,25  ",0,"0,01  ",0,0,0,"0,25  ",0,"0,25  "
NE-Z40-301,Black Processed - Sieve 4.0,Exported ,0,"0,50  ",0,0,"0,50  ",0,"1,75  ","0,75  ","0,25  ","1,00  ",0,"0,50  ",0,0,0,"0,01  ",0,0
NE-Z40-302,Black Processed - Sieve 4.0,Exported ,0,"0,25  ",0,0,"0,25  ","0,25  ","5,00  ","1,75  ","0,50  ","0,50  ","0,25  ",0,"0,01  ","0,01  ",0,0,0,0
NE-Z40-303,Black Processed - Sieve 4.0,Exported ,0,0,0,0,"0,01  ","0,25  ","0,50  ","0,25  ","0,01  ","0,50  ",0,0,0,0,0,0,0,0
NE-Z40-304,Black Processed - Sieve 4.0,Exported ,0,0,0,0,"0,75  ",0,"1,25  ","1,50  ","0,01  ","0,50  ","0,01  ",0,"0,25  ",0,0,0,"0,02  ",0
NE-Z40-305,Black Processed - Sieve 4.0,Exported ,0,"0,50  ",0,0,"0,50  ",0,"1,75  ","0,75  ","0,25  ","1,00  ",0,"0,50  ",0,0,0,"0,01  ",0,0
NE-Z40-306,Black Processed - Sieve 4.0,Pending Authorization ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-307,Black Processed - Sieve 4.0,Exported ,0,"0,25  ",0,0,"0,01  ",0,"0,75  ","0,25  ","0,50  ","0,75  ","0,25  ",0,0,0,0,"0,50  ","0,01  ",0
NE-Z40-308,Black Processed - Sieve 4.0,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-309,Black Processed - Sieve 4.0,Exported ,0,"0,25  ",0,0,"0,75  ",0,"1,00  ","1,50  ","0,25  ",0,"0,25  ","0,50  ",0,"0,01  ",0,0,"0,01  ",0
NE-Z40-310,Black Processed - Sieve 4.0,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-311,Black Processed - Sieve 4.0,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-312,Black Processed - Sieve 4.0,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-313,Black Processed - Sieve 4.0,Exported ,0,0,0,0,"0,75  ","1,25  ","0,50  ","1,50  ",0,"0,25  ",0,0,0,"0,01  ",0,"0,01  ","0,25  ",0
NE-Z40-314,Black Processed - Sieve 4.0,Exported ,0,"0,25  ",0,0,0,"0,25  ","1,50  ","1,00  ","0,25  ","1,00  ","0,01  ","0,25  ",0,0,0,"0,50  ",0,0
NE-Z40-315,Black Processed - Sieve 4.0,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-316,Black Processed - Sieve 4.0,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-317,Black Processed - Sieve 4.0,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-318,Black Processed - Sieve 4.0,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-319,Black Processed - Sieve 4.0,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-320,Black Processed - Sieve 4.0,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-321,Black Processed - Sieve 4.0,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-322,Black Processed - Sieve 4.0,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-323,Black Processed - Sieve 4.0,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-324,Black Processed - Sieve 4.0,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-325,Black Processed - Sieve 4.0,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-326,Black Processed - Sieve 4.0,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-327,Black Processed - Sieve 4.0,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-328,Black Processed - Sieve 4.0,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-329,Black Processed - Sieve 4.0,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-330,Black Processed - Sieve 4.0,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-331,Black Processed - Sieve 4.0,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-332,Black Processed - Sieve 4.0,Exported ,0,0,0,0,"0,75  ",0,"2,00  ","0,50  ",0,"0,50  ","0,01  ",0,0,"0,25  ",0,0,0,0
NE-Z40-334,Black Processed - Sieve 4.0,Exported ,0,"0,25  ",0,0,"0,25  ","0,25  ","1,00  ","0,75  ","0,25  ","0,50  ","0,01  ","0,01  ",0,"0,50  ",0,"0,01  ","0,01  ",0
NE-Z40-335,Black Processed - Sieve 4.0,Exported ,0,0,0,0,"0,75  ",0,"2,00  ","0,50  ",0,"0,50  ","0,01  ",0,0,"0,25  ",0,0,0,0
NE-Z40-336,Black Processed - Sieve 4.0,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-337,Black Processed - Sieve 4.0,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
