No,Date,Box No.,Account name,Supplier,Bill,Voucher Type,Detail,Net Taxable,VAT,Amount
548,22/9/2021,368,AUTOMOTIVE PREPARATION AND OFFICE,SO- REP Y,200000447,BANK DEPOSIT,FORD RANGER DC AC789LJ,0,0,"7.000,00"
549,23/9/2021,368,FUELS AND LUBRICANTS,PER HER S.R,300050268,INVOICE B,FORD ECOSPORT S/2016 AA569HS,"790,00",210,"1.000,00"
550,23/9/2021,369,SANTADER RIO BANK,BAN SAN,7995,BUDGET,"CAYO DEPOSIT, ARIEL GERARDO",0,0,"17.200,00"
551,23/9/2021,369,SANTADER RIO BANK,BAN SAN,7993,CHECK,"CAYO DEPOSIT, ARIEL GERARDO",0,0,"20.000,00"
552,23/9/2021,369,SANTADER RIO BANK,BAN SAN,7991,BUDGET,"CAYO DEPOSIT, ARIEL GERARDO",0,0,"36.500,00"
553,23/9/2021,369,ADVERTISING EXPENSES,SAL GER DIG,0,BANK DEPOSIT,MARKETING SOCIAL NETWORKS AUGUST/2021,0,0,"8.000,00"
554,23/9/2021,369,USED CARS,FIA AUT S.A,0,PRICE,RENAULT CLIO EXPRESSION PACK II/2013 NAC951,0,0,"50.000,00"
555,23/9/2021,369,GS.MATENIM.Y CLEANING BS.USO,R-P,0,INVOICE A,REPAIR REPAIR ASPIRATOR,"1185,00",315,"1.500,00"
556,23/9/2021,392,FUELS AND LUBRICANTS,MIL S.R,4700006219,SALE PURCHASE TICKET,RENAULT OROCH AD639HT,"2369,98","629,9958","2.999,98"
557,23/9/2021,392,FUELS AND LUBRICANTS,MIL S.R,4700006220,BANK DEPOSIT,RENAULT OROCH AD639HT,0,0,"2.000,03"
558,24/9/2021,369,AUTOMOTIVE PREPARATION AND OFFICE,CER DEL AUT,300000173,BANK DEPOSIT,VW TIGUAN IWE875,0,0,"2.200,00"
559,24/9/2021,369,EXPENDITURES BY GESTORIA,GES,0,INVOICE A,PROCEDURES VS.,"2417,40","642,6","3.060,00"
560,24/9/2021,369,AUTOMOTIVE PREPARATION AND OFFICE,PRO DET,8692019,SALE PURCHASE TICKET,JEEP RENEGADE AD475EP,"2765,00",735,"3.500,00"
561,24/9/2021,370,EXPENDITURES BY GESTORIA,GES,0,SALE PURCHASE TICKET,PROCEDURES VS.,"40290,79","10710,21","51.001,00"
562,24/9/2021,370,EXPENDITURES BY GESTORIA,GES,0,INVOICE C,ESCRIBANA MARCELA VAZQUEZ,0,0,"58.200,00"
563,24/9/2021,370,NEW AUTOMOTORES,IND S.A,200152194,CHECK,PEUGEOT 208 FELINI 1,0,0,"2.520.000,00"
564,24/9/2021,370,OTHER EXPENSES,PAN,0,CHECK,BREAD,0,0,300
565,24/9/2021,370,AUTOMOTIVE PREPARATION AND OFFICE,SER ELE,200000408,BANK DEPOSIT,FORD RANGER AC789LS,0,0,"4.500,00"
566,25/9/2021,370,MACRO BANK,BAN MAC S.A,297893,PRICE,TRANSF,0,0,"150.000,00"
567,25/9/2021,372,FUELS AND LUBRICANTS,MIL S.R,4700006302,RECEIPT,FIAT TORO,0,0,"5.084,62"
568,25/9/2021,392,FUELS AND LUBRICANTS,MIL S.R,4600005434,SALE PURCHASE TICKET,RENAULT OROCH AD639HT,"395,17","105,0462","500,22"
569,28/9/2021,373,MACRO BANK,BAN MAC S.A,1910,BUDGET,TRANSF,0,0,"10.700,00"
570,28/9/2021,373,MACRO BANK,BAN MAC S.A,397950,CHECK,TRANSF,0,0,"1.000,00"
571,28/9/2021,373,AUTOMOTIVE PREPARATION AND OFFICE,CBA MEC INT,100000001,BUDGET,FORD RANGER AC789LS,0,0,"15.000,00"
572,28/9/2021,373,OTHER EXPENSES,CRU WAL -,0,RECEIPT,SEP GARDENING WORK/2021 LAND AND FERTILI,0,0,"2.700,00"
573,28/9/2021,373,OTHER EXPENSES,EL MUN DE,200079115,RECEIPT,"OMBU SHOE (VILTE, GERARD)",0,0,"5.608,00"
574,28/9/2021,373,AUTOMOTIVE PREPARATION AND OFFICE,EL MUN DE,200025034,INVOICE B,BUY HOSE WORKSHOP EXPENSES,"1734,05","460,95","2.195,00"
575,28/9/2021,373,EXPENDITURES BY GESTORIA,GES,0,THIRD CHECK,PROCEDURES VS.,0,0,"9.150,00"
576,28/9/2021,373,AUTOMOTIVE PREPARATION AND OFFICE,PRO DET,8692020,INVOICE A,PEUGEOT PARTNER AD316LZ,"24490,00",6510,"31.000,00"
577,28/9/2021,392,AUTOMOTIVE PREPARATION AND OFFICE,FAC REP -,500000809,BANK DEPOSIT,RENAULT OROCH AD639HT,0,0,"6.880,00"
578,29/9/2021,374,MACRO BANK,BAN MAC S.A,6075947,TICKET,TRANSF,"32785,00",8715,"41.500,00"
579,29/9/2021,374,EXPENDITURES BY GESTORIA,GES,0,THIRD CHECK,PROCEDURES VS.,0,0,"2.640,00"
580,29/9/2021,374,AUTOMOTIVE PREPARATION AND OFFICE,LUB - SAL,2200001015,SALE PURCHASE TICKET,FORD RANGER AC789LS,"10617,60","2822,4","13.440,00"
581,30/9/2021,375,PAID COMMISSIONS,CLA CES,0,VOUCHER,BUY VW UP!/2017 AB173JQ,0,0,"5.000,00"
582,30/9/2021,375,PAID COMMISSIONS,CLA CES,0,BUDGET,COMMISSION BUY RENAULT CLI/2013 NAC951,0,0,"5.000,00"
583,30/9/2021,375,EXPENDITURES BY GESTORIA,GES,5015,RECEIPT,ESCRIBANA MARCELA VAZQUEZ MONTH AUGUST/2021,0,0,"36.100,00"
584,30/9/2021,375,EXPENDITURES BY GESTORIA,GES,0,CHECK,PROCEDURES VS.,0,0,"7.360,00"
585,30/9/2021,375,AUTOMOTIVE PREPARATION AND OFFICE,NEU JUJ S.A,200031554,SALE PURCHASE TICKET,VW UP! AB173JQ,"24490,00",6510,"31.000,00"
586,30/9/2021,375,SALARIES AND COMMISSIONS,VIL GER,0,RECEIPT,EXPERTS (26) MONTH AUGUST/2021,0,0,"7.800,00"
587,1/10/2021,376,SALE AUTOMOTO.USES,ARA SIL VIV,0,SALE PURCHASE TICKET,REINTEGRO SIG,"23700,00",6300,"30.000,00"
588,1/10/2021,376,MACRO BANK,BAN MAC S.A,1110,SALE PURCHASE TICKET,TRANSF,"158000,00",42000,"200.000,00"
589,1/10/2021,376,AUTOMOTIVE PREPARATION AND OFFICE,NEU JUJ S.A,200031560,RECEIPT,RENAULT CLIO NAC951,0,0,"20.600,00"
590,1/10/2021,376,OTHER EXPENSES,PAN,0,BANK DEPOSIT,BREAD,0,0,300
591,1/10/2021,376,FUELS AND LUBRICANTS,PER HER S.R,300050558,CHECK,VW AMAROK MTS581,0,0,"1.500,00"
592,1/10/2021,376,FUELS AND LUBRICANTS,PER HER S.R,300060557,TICKET,RENAULT CLIO NAC951,"790,00",210,"1.000,00"
593,1/10/2021,376,AUTOMOTIVE PREPARATION AND OFFICE,TEC - QUI,300002818,VOUCHER,PEUGEOT PARTNER AD316LZ,0,0,"3.900,00"
594,1/10/2021,384,GS.MATENIM.Y CLEANING BS.USO,CAR PAB,400000519,INVOICE A,SEPTEMBER/2021 CLEANING SERVICE,"14241,68","3785,7624","18.027,44"
595,1/10/2021,389,VARIOUS ADMINISTRATION EXPENSES,INS DE INF,1000006528,BUDGET,CORPORATE QUOTA,0,0,200
596,2/10/2021,376,EXPENDITURES BY GESTORIA,GES,0,INVOICE A,PROCEDURES VS.,"20571,60","5468,4","26.040,00"
597,4/10/2021,378,AUTOMOTIVE PREPARATION AND OFFICE,CER DEL AUT,300000180,VOUCHER,FORD FIESTA PJW721,0,0,"4.500,00"
598,4/10/2021,378,USED CARS,FLO MAR FAB,0,RECEIPT,RENAULT DUSTER PH2 DYNAMIQUE 1,0,0,"1.850.000,00"
599,4/10/2021,378,FUELS AND LUBRICANTS,G N C,3300019558,RECEIPT,PEUGEOT 208 FELINE 0 KM,0,0,"1.000,01"
600,4/10/2021,378,EXPENDITURES BY GESTORIA,GES,0,BUDGET,TRANSF,0,0,"37.030,00"
601,4/10/2021,378,AUTOMOTIVE PREPARATION AND OFFICE,MER NOT,0,INVOICE A,CITROEN C3 NAY210,"79,00",21,100
602,5/10/2021,379,MACRO BANK,BAN MAC S.A,4911,INVOICE C,TRANSF,0,0,"60.000,00"
603,5/10/2021,379,MACRO BANK,BAN MAC S.A,2543385,VOUCHER,TRANSF,0,0,"100.000,00"
604,5/10/2021,379,MACRO BANK,BAN MAC S.A,1315672,TICKET,TRANSF,"38765,30","10304,7","49.070,00"
605,5/10/2021,379,NEW AUTOMOTIVE SALE,GUT MAR,0,BUDGET,REINTEGRO SIGN UNIT 0 KM,0,0,"100.000,00"
606,5/10/2021,379,AUTOMOTIVE PREPARATION AND OFFICE,LUB - SAL,2200001060,INVOICE A,RENAULT DUSTER AD458YK,"5332,50","1417,5","6.750,00"
607,6/10/2021,380,MACRO BANK,BAN MAC S.A,436234,RECEIPT,TRANSF,0,0,"1.700.000,00"
608,6/10/2021,380,AUTOMOTIVE PREPARATION AND OFFICE,BES,0,SALE PURCHASE TICKET,VW UP !! AB173JQ,"7110,00",1890,"9.000,00"
609,6/10/2021,380,SALARIES AND COMMISSIONS,FIG ZEN MAR,74797553,INVOICE B,DIFFEREND SALE MONTH SEPTEMBER/2021,"68453,50","18196,5","86.650,00"
610,6/10/2021,380,EXPENDITURES BY GESTORIA,GES,0,SALE PURCHASE TICKET,PROCEDURES VS.,"2488,50","661,5","3.150,00"
611,6/10/2021,380,SALARIES AND COMMISSIONS,GUT JUA CAR,74797551,BUDGET,DIFFEREND SALE MONTH SEPTEMBER/2021,0,0,"94.700,00"
612,6/10/2021,380,SALARIES AND COMMISSIONS,GUT LEO JOS,71797555,INVOICE A,NON -REMUNERATIVE AGREEMENT 2021 AUGUST/2021,"3160,00",840,"4.000,00"
613,6/10/2021,380,SALARIES AND COMMISSIONS,GUT LEO JOS,74797552,BUDGET,DIFFEREND SALE MONTH SEPTEMBER/2021,0,0,"42.000,00"
614,6/10/2021,380,AUTOMOTIVE PREPARATION AND OFFICE,MEN MAR,0,SALE PURCHASE TICKET,RENAULT DUSTER AD458YK,"4977,00",1323,"6.300,00"
615,6/10/2021,380,FUELS AND LUBRICANTS,MIL S.R,4700006855,SALE PURCHASE TICKET,VW TIGUAN,"4700,67","1249,5462","5.950,22"
616,6/10/2021,380,VARIOUS ADMINISTRATION EXPENSES,SER DE MEN,0,VOUCHER,CICERO STUDY CONTRIBUTIONS,0,0,200
617,6/10/2021,380,AUTOMOTIVE PREPARATION AND OFFICE,VAR SEB,0,VOUCHER,FORD RANGER AC789LS,0,0,"1.500,00"
618,6/10/2021,381,FRANK EXPENSES,BUS,609600005866,RECEIPT,CAMARA VAL MAGAZINES,0,0,"1.453,00"
619,6/10/2021,381,AUTOMOTIVE PREPARATION AND OFFICE,FAC REP -,600000616,CHECK,RENAULT CLIO NAC951,0,0,"2.710,00"
620,6/10/2021,381,AUTOMOTIVE PREPARATION AND OFFICE,VIL S.R,300002086,SALE PURCHASE TICKET,CITROEN C3 NAY210,"3555,00",945,"4.500,00"
621,6/10/2021,385,SANTADER RIO BANK,AUT S.A,4480796,INVOICE A,TRANSF,"40955,78","10886,9796","51.842,76"
622,6/10/2021,385,RETENT.Y PERCEPTION.IMP.GCIAS.,AUT S.A,202100001265,INVOICE C,DUPLEX RENTAL,0,0,"2.057,11"
623,6/10/2021,385,FEE,MAR PRO,11460,INVOICE B,ALTE COMMERCIAL LOCAL ADMINISTRATION,"2144,85","570,15","2.715,00"
624,6/10/2021,385,FEE,MAR PRO,200000676,BUDGET,ALTE COMMERCIAL LOCAL ADMINISTRATION,0,0,"2.185,00"
625,7/10/2021,381,MACRO BANK,BAN MAC S.A,4093394,BANK DEPOSIT,TRANSF,0,0,"1.453,00"
626,7/10/2021,381,SALARIES AND COMMISSIONS,CAS NES GAB,0,RECEIPT,DIF,0,0,"38.600,00"
627,7/10/2021,381,SELLING EXPENSES,EQU ARG S.A,1401139842,TICKET,VERAZ FERTILIZER SEPTEMBER/2021,"3624,52","963,48","4.588,00"
628,7/10/2021,381,SOCIAL CHARGES,FAE,0,THIRD CHECK,SEPTEMBER/2021 PERIOD,0,0,"2.493,82"
629,7/10/2021,381,SALARIES AND COMMISSIONS,FIA CAR ALB,0,RECEIPT,DIF,0,0,"63.650,00"
630,7/10/2021,381,SOCIAL CHARGES,INA,0,INVOICE B,PERIOD 09/2021,"1815,89","482,7039","2.298,59"
631,7/10/2021,381,AUTOMOTIVE PREPARATION AND OFFICE,MEC BRO,100000137,INVOICE C,CITROEN C3 NAY210,0,0,"2.783,00"
632,7/10/2021,381,AUTOMOTIVE PREPARATION AND OFFICE,MEC BRO,100000138,BANK DEPOSIT,RENAULT CLIO NAC951,0,0,"9.982,50"
633,7/10/2021,381,FUELS AND LUBRICANTS,MIL S.R,4700006873,INVOICE B,FIAT TORO,"4096,04","1088,8206","5.184,86"
634,7/10/2021,381,FRANK EXPENSES,ORG COO ARG,73900012016,INVOICE A,"ASHI MOTORS DDJJ DEL RIO, SEBASTIAN","701,50","186,4758","887,98"
635,7/10/2021,381,SOCIAL CHARGES,OSE,0,TICKET,ADDITIONAL CONTRIBUTION PERIOD 09/2021,"1659,00",441,"2.100,00"
636,7/10/2021,381,AUTOMOTIVE PREPARATION AND OFFICE,PRO DET,8692025,INVOICE B,FORD RANGER AC789LJ,"24490,00",6510,"31.000,00"
637,7/10/2021,381,VARIOUS ADMINISTRATION EXPENSES,SER DE MEN,0,VOUCHER,OCA-PAGO EASY,0,0,240
638,7/10/2021,381,SALARIES AND COMMISSIONS,VAZ ROD EDU,0,RECEIPT,COMMISSION FOR SALES SEPTEMBER/2021,0,0,"39.100,00"
639,9/10/2021,382,MACRO BANK,BAN MAC S.A,1130,SALE PURCHASE TICKET,TRANSF,"18193,70","4836,3","23.030,00"
640,9/10/2021,382,OTHER EXPENSES,SAL HNO S.H,200062026,BANK DEPOSIT,MATAFUEGOS RECARGES,0,0,"9.010,00"
641,12/10/2021,383,MACRO BANK,BAN MAC S.A,7119,THIRD CHECK,TRANSF,0,0,"48.350,00"
642,12/10/2021,383,MACRO BANK,BAN MAC S.A,1731,PRICE,TRANSF,0,0,"3.630,00"
643,12/10/2021,383,MACRO BANK,BAN MAC S.A,1111,RECEIPT,TRANSF,0,0,"100.000,00"
644,12/10/2021,383,EXPENDITURES BY GESTORIA,GES,0,RECEIPT,PROCEDURES VS.,0,0,"1.710,00"
645,12/10/2021,415,FUELS AND LUBRICANTS,FRI S.R,700021775,CHECK,RENAULT SANDERO AC585WM,0,0,"999,96"
646,13/10/2021,384,MACRO BANK,BAN MAC S.A,207,INVOICE A,TRANSF,"11850,00",3150,"15.000,00"
647,13/10/2021,384,MACRO BANK,BAN MAC S.A,5890,BUDGET,TRANSF,0,0,"51.750,00"
648,13/10/2021,384,FEE,CIC JOR ERN,0,THIRD CHECK,SEPTEMBER/2021,0,0,"39.200,00"
649,13/10/2021,384,WALLET CHECKS,GUT JUA CAR,57611039,INVOICE B,SETTLE X EFFECTIVE CHEQ,"110600,00",29400,"140.000,00"
650,13/10/2021,384,AUTOMOTIVE PREPARATION AND OFFICE,LA BUR -,100007059,CHECK,EXPENSES VS.,0,0,"3.390,00"
651,13/10/2021,384,AUTOMOTIVE PREPARATION AND OFFICE,MIP REP S.A,9300002128,SALE PURCHASE TICKET,CITROEN C4 OHZ470,"1823,51","484,7304","2.308,24"
652,13/10/2021,384,AUTOMOTIVE PREPARATION AND OFFICE,MIP REP S.A,9300002109,INVOICE A,CITROEN C4 OHZ470,"16589,64","4409,9034","20.999,54"
653,13/10/2021,384,FUELS AND LUBRICANTS,PER HER S.R,300050805,INVOICE C,FIAT MOBI,0,0,"4.000,00"
654,13/10/2021,384,AUTOMOTIVE PREPARATION AND OFFICE,PER HEM,200010122,INVOICE C,AMAROK MTS581 CLIO NAC951,0,0,"4.080,00"
655,13/10/2021,384,AUTOMOTIVE PREPARATION AND OFFICE,PRO DET,8692027,RECEIPT,VW UP PAINTING !! AB173JQ,0,0,"52.600,00"
656,13/10/2021,384,USED CARS,PUS SAL S.A,200103496,RECEIPT,FORD RANGER D/C 4X2 XL SAFETY 2,0,0,"749.046,00"
657,13/10/2021,384,VARIOUS ADMINISTRATION EXPENSES,SER DE MEN,0,VOUCHER,BANCO GALICIA AND MUNICIPALITY S,0,0,320
658,13/10/2021,385,FEE,MAR PRO,200000680,BUDGET,DUPLEX B ° ADMINISTRATION UNDER THE VIÑA,0,0,"2.600,00"
659,14/10/2021,385,AUTOMOTIVE PREPARATION AND OFFICE,ALI Y BAL,200001297,BUDGET,FORD RANGER ORD620,0,0,"3.500,00"
660,14/10/2021,385,RETENT.Y PERCEPTION.INGR.BRUTES,AUT S.A,46400002021,SALE PURCHASE TICKET,FACT,"898,33","238,7973","1.137,13"
661,14/10/2021,385,MACRO BANK,BAN MAC S.A,235535,VOUCHER,TRANSF,0,0,"20.590,00"
662,14/10/2021,385,MACRO BANK,BAN MAC S.A,493,INVOICE C,TRANSF,0,0,"15.580,00"
663,14/10/2021,385,OTHER EXPENSES,CRU WAL -,0,RECEIPT,MARKAS LA VIÑA COMPLEX GARDENING WORKS,0,0,"2.000,00"
664,14/10/2021,385,EXPENDITURES BY GESTORIA,GES,0,VOUCHER,"ESTRADA TRANSFER, MARIA JOSEFINA",0,0,"77.320,00"
665,14/10/2021,385,PAID COMMISSIONS,MED JOS,0,BUDGET,BUY FORD RANGER XL/2014 ORD620,0,0,"5.000,00"
666,14/10/2021,385,AUTOMOTIVE PREPARATION AND OFFICE,NEU ALT BRO,400011617,BANK DEPOSIT,FORD RANGER ORD620,0,0,"41.034,25"
667,14/10/2021,385,FUELS AND LUBRICANTS,PER HER S.R,300050854,PRICE,FORD RANGER AC789LS,0,0,"1.500,00"
668,14/10/2021,385,PAID RENTALS,ROD NOR BEA,0,INVOICE A,"25% DUPLEX RENTAL ""A"" MONTH OCTOBER/2021","6636,00",1764,"8.400,00"
669,14/10/2021,385,PAID RENTALS,ROD RUB EDU,0,BANK DEPOSIT,"25% DUPLEX RENTAL ""A"" MONTH OCTOBER/2021",0,0,"8.400,00"
670,14/10/2021,385,VARIOUS ADMINISTRATION EXPENSES,SER DE MEN,0,VOUCHER,PROPERTIES MARINE RENTALS,0,0,280
671,15/10/2021,386,AUTOMOTIVE PREPARATION AND OFFICE,ALI Y BAL,200001293,RECEIPT,PEUGEOT 208 NAK076,0,0,"13.000,00"
672,15/10/2021,386,AUTOMOTIVE PREPARATION AND OFFICE,ALI Y BAL,200001294,THIRD CHECK,CITROEN C4 OHZ470,0,0,"10.000,00"
673,15/10/2021,386,MACRO BANK,BAN MAC S.A,7107,BUDGET,TRANSF,0,0,"48.000,00"
674,15/10/2021,386,AUTOMOTIVE PREPARATION AND OFFICE,EL LOB -,300001248,BUDGET,RENAULT CLIO NAC591,0,0,"5.000,01"
675,15/10/2021,386,ADVERTISING EXPENSES,SAL GER DIG,0,VOUCHER,IN SOCIAL NETWORKS SEPTEMBER/2021,0,0,"8.000,00"
676,15/10/2021,386,AUTOMOTIVE PREPARATION AND OFFICE,LUM ACC Y,200001723,INVOICE A,RENAULT CLIO NAC951,"1184,99","314,9979","1.499,99"
677,15/10/2021,386,OTHER EXPENSES,PAN,0,INVOICE C,BREAD,0,0,300
678,15/10/2021,386,FUELS AND LUBRICANTS,PER HER S.R,300050888,VOUCHER,VW UP! AB173JQ,0,0,"1.000,00"
679,15/10/2021,386,FUELS AND LUBRICANTS,PER HER S.R,300050905,THIRD CHECK,FORD RANGER ORD620,0,0,"1.500,00"
680,15/10/2021,386,GS. REAL ESTATE,SAV REN,0,PRICE,LOCK INSTALLATION AND 5 KEYS,0,0,"25.000,00"
681,15/10/2021,386,AUTOMOTIVE PREPARATION AND OFFICE,VAR SEB,0,BANK DEPOSIT,RENAULT CLIO NAC951,0,0,"40.000,00"
682,16/10/2021,387,VARIOUS SALES EXPENSES,CRU ROL,0,BANK DEPOSIT,DIARIES MONTH SEPTEMBER/2021 AND INFOAUTO,0,0,"2.170,00"
683,18/10/2021,387,MACRO BANK,BAN MAC S.A,584851,INVOICE A,TRANSF,"52498,42","13955,277","66.453,70"
684,18/10/2021,387,MACRO BANK,BAN MAC S.A,1009,TICKET,TRANSF,"185808,00",49392,"235.200,00"
685,18/10/2021,387,AUTOMOTIVE PREPARATION AND OFFICE,BUR VID,300012071,PRICE,FORD RANGER ORD620,0,0,"16.100,00"
686,18/10/2021,387,FUELS AND LUBRICANTS,PER HER S.R,300050977,RECEIPT,RENAULT CLIO NAC951,0,0,"1.000,00"
687,18/10/2021,415,FUELS AND LUBRICANTS,MIL S.R,4700011297,TICKET,RENAULT SANDERO AC585WM,"789,97","209,9916","999,96"
688,19/10/2021,388,EXPENDITURES BY GESTORIA,GES,0,THIRD CHECK,PROCEDURES VS.,0,0,"4.220,00"
689,19/10/2021,388,AUTOMOTIVE PREPARATION AND OFFICE,M - A,0,INVOICE A,FORD RANGER ORD620,"6320,00",1680,"8.000,00"
690,19/10/2021,388,FUELS AND LUBRICANTS,PER HER S.R,300051032,SALE PURCHASE TICKET,PEUGEOT PARTNER AD316LZ,"790,00",210,"1.000,00"
691,20/10/2021,388,AUTOMOTIVE PREPARATION AND OFFICE,MEN MAR,0,INVOICE C,CLIO NAC-951 AND C4 OHZ470,0,0,"7.800,00"
692,20/10/2021,389,SANTADER RIO BANK,BAN SAN,3550,THIRD CHECK,"CAYO DEPOSIT, ARIEL GERARDO",0,0,"22.000,00"
693,20/10/2021,389,SANTADER RIO BANK,BAN SAN,3554,SALE PURCHASE TICKET,"CAYO DEPOSIT, ARIEL GERARDO","21014,00",5586,"26.600,00"
694,20/10/2021,389,MACRO BANK,BAN SAN,3552,INVOICE A,"CAYO DEPOSIT, ARIEL GERARDO","21409,00",5691,"27.100,00"
695,20/10/2021,389,OTHER EXPENSES,COM 5 -,59900000089,BUDGET,CAFÉ,0,0,"2.836,31"
696,20/10/2021,389,FUELS AND LUBRICANTS,PER HER S.R,300051063,PRICE,PEUGEOT 308 OOC035,0,0,"1.000,00"
697,20/10/2021,389,AUTOMOTIVE PREPARATION AND OFFICE,VAR SEB,0,THIRD CHECK,PEUGEOT 208 NAK076,0,0,"5.000,00"
698,20/10/2021,389,AUTOMOTIVE PREPARATION AND OFFICE,VIL S.R,300002125,INVOICE A,12V MUELITA LAMP VS EXPENSES,"790,15","210,0399","1.000,19"
699,21/10/2021,390,MACRO BANK,BAN MAC S.A,11,BANK DEPOSIT,TRANSF,0,0,"30.000,00"
700,21/10/2021,390,MACRO BANK,BAN MAC S.A,100238,BANK DEPOSIT,TRANSF,0,0,"159.955,00"
701,21/10/2021,390,MACRO BANK,BAN MAC S.A,1110,INVOICE A,TRANSF,"59803,00",15897,"75.700,00"
702,21/10/2021,390,MACRO BANK,BAN MAC S.A,6850,INVOICE A,TRANSF,"418700,00",111300,"530.000,00"
703,21/10/2021,390,MACRO BANK,BAN MAC S.A,9118,RECEIPT,TRANSF,0,0,"40.000,00"
704,21/10/2021,390,MACRO BANK,BAN MAC S.A,2746,TICKET,TRANSF,"442400,00",117600,"560.000,00"
705,21/10/2021,390,USED CARS,CAB MIG EMI,0,THIRD CHECK,TOYOTA HILUX 4X2 D/C DX 2,0,0,"3.000.000,00"
706,21/10/2021,390,EXPENDITURES BY GESTORIA,GES,0,BUDGET,"LEGALIZATION, VERIFICATIONS, OCA",0,0,"9.820,00"
707,21/10/2021,390,FUELS AND LUBRICANTS,PER HER S.R,300051109,RECEIPT,PEUGEOT 208 NAK076,0,0,"1.000,00"
708,21/10/2021,390,FUELS AND LUBRICANTS,PER HER S.R,1100000024,BANK DEPOSIT,CHEVROLET S-10 0 KM,0,0,"1.000,01"
709,21/10/2021,390,NEW AUTOMOTORES,PUS SAL S.A,200103744,BANK DEPOSIT,FORD RANGER XLT C/D 4X2 2,0,0,"50.000,00"
710,21/10/2021,390,AUTOMOTIVE PREPARATION AND OFFICE,TEC - QUI,300002904,VOUCHER,PEUGEOT 208 NAK076,0,0,"2.200,01"
711,21/10/2021,390,"WATER, LIGHT, TELEPHONE, GAS",VIL GER,48970,TICKET,50% PERSONAL CELL FERTILIZER,"410,80","109,2",520
712,21/10/2021,390,SALARIES AND COMMISSIONS,VIL GER,0,RECEIPT,EXPERTS (12) SEPTEMBER/2021,0,0,"3.600,00"
713,22/10/2021,391,AUTOMOTIVE PREPARATION AND OFFICE,ALI Y BAL,200001286,RECEIPT,RENAULT KANGOO AE186IN,0,0,300
714,22/10/2021,391,AUTOMOTIVE PREPARATION AND OFFICE,AUT S.A,5800002174,INVOICE A,RENAULT KANGOO AE186IN,"4009,53","1065,8256","5.075,36"
715,22/10/2021,391,MACRO BANK,BAN MAC S.A,2648,RECEIPT,TRANSF,0,0,"560.000,00"
716,22/10/2021,391,MACRO BANK,BAN MAC S.A,111,PRICE,TRANSF,0,0,"33.700,00"
717,22/10/2021,391,FUELS AND LUBRICANTS,PER HER S.R,1100000051,BUDGET,RENAULT SANDERO RS AC585WM,0,0,"1.000,00"
718,22/10/2021,391,EXPENDITURES BY GESTORIA,VAZ IVO MAR,5069,RECEIPT,MONTH CERTIFICATIONS SEPTEMBER/2021,0,0,"60.800,00"
719,23/10/2021,392,AUTOMOTIVE PREPARATION AND OFFICE,CAS SER,100001704,RECEIPT,RENAULT OROCH AD639HT,0,0,"15.000,00"
720,23/10/2021,392,FUELS AND LUBRICANTS,MIL S.R,4700007572,VOUCHER,FIAT TORO,0,0,"4.675,86"
721,23/10/2021,392,SALES COMMISSIONS,PAS JUA PAB,0,RECEIPT,FORD RANGER D/C 4X2 XLS AT/2018 AC789LJ,0,0,"36.000,00"
722,23/10/2021,392,AUTOMOTIVE PREPARATION AND OFFICE,PRO DET,8692029,VOUCHER,PEUGEOT 208 NAK076,0,0,"7.000,00"
723,25/10/2021,393,MACRO BANK,BAN MAC S.A,1101,BUDGET,TRANSF,0,0,"150.000,00"
724,25/10/2021,393,EXPENDITURES BY GESTORIA,GES,72467,INVOICE B,"TEJERINA TRANSFER, EMANUEL JORGE","91079,10","24210,9","115.290,00"
725,26/10/2021,394,AUTOMOTIVE PREPARATION AND OFFICE,ALI Y BAL,200001198,VOUCHER,VW AMAROK MTS581,0,0,500
726,26/10/2021,394,NEW AUTOMOTORES,AUT S.A,10575,VOUCHER,TOYOTA ETIOS 1,0,0,"100.000,00"
727,26/10/2021,394,MACRO BANK,BAN MAC S.A,716572,PRICE,TRANSF,0,0,"50.000,00"
728,26/10/2021,394,MACRO BANK,BAN MAC S.A,780716,THIRD CHECK,TRANSF,0,0,"200.000,00"
729,26/10/2021,394,MACRO BANK,BAN MAC S.A,728461,RECEIPT,TRANSF,0,0,"150.000,00"
730,26/10/2021,394,MACRO BANK,BAN MAC S.A,728536,SALE PURCHASE TICKET,TRANSF,"122450,00",32550,"155.000,00"
731,26/10/2021,394,MACRO BANK,BAN MAC S.A,780812,VOUCHER,TRANSF,0,0,"50.000,00"
732,26/10/2021,394,MACRO BANK,BAN MAC S.A,971063,INVOICE B,TRANSF,"102700,00",27300,"130.000,00"
733,26/10/2021,394,MACRO BANK,BAN MAC S.A,928138,CHECK,TRANSF,0,0,"130.000,00"
734,26/10/2021,394,MACRO BANK,BAN MAC S.A,928163,THIRD CHECK,TRANSF,0,0,"130.000,00"
735,26/10/2021,394,MACRO BANK,BAN MAC S.A,728388,INVOICE B,TRANSF,"102700,00",27300,"130.000,00"
736,26/10/2021,394,MACRO BANK,BAN MAC S.A,971204,INVOICE A,TRANSF,"102700,00",27300,"130.000,00"
737,26/10/2021,394,MACRO BANK,BAN MAC S.A,928747,INVOICE A,TRANSF,"82950,00",22050,"105.000,00"
