,Corporation,Shop,Supplier,Payment Type,Date Issue,Number,Invoice,Partial amount,Total Amount,Tag,Group,Status,Paid Status
3436,Con culpas S.A.S.,CDLM 6,S G ( - G S J S,Contado,16/02/2023,0006-00001423,Recibo,2000,2000,Almacen,Almacen,Cerrado,PAGADA
3437,Con culpas S.A.S.,CDLM 3,R I G ( - R G,Contado,16/02/2023,0003-00009172,Recibo,4250,4250,Empleado Eventual,Sueldos,Cerrado,PAGADA
3438,Con culpas S.A.S.,CDLM 3,A P G ( - A P G,Contado,16/02/2023,0003-00009178,Recibo,1800,1800,Empleado Eventual,Sueldos,Cerrado,PAGADA
3439,Con culpas S.A.S.,CDLM 4,M M ( - M M 1,Contado,16/02/2023,0004-00004313,Recibo,1800,1800,Empleado Eventual,Sueldos,Cerrado,PAGADA
3440,Con culpas S.A.S.,CDLM 6,L H S ( - L M,Contado,16/02/2023,0006-00126530,Fact. B,900,900,Bazar,Equipamiento,Cerrado,PAGADA
3441,Con culpas S.A.S.,CDLM 6,T D S ( - T D,Cta Cte,16/02/2023,0005-00262510,Fact. A,"88495,29","88495,29",Almacen,Almacen,Cerrado,PAGADA
3442,Con culpas S.A.S.,CDLM 3,G A ( - G A,Contado,16/02/2023,0003-00009179,Recibo,2250,2250,Empleado Eventual,Sueldos,Cerrado,PAGADA
3443,Con culpas S.A.S.,CDLM 2,O L ( - O L,Contado,16/02/2023,0002-00009440,Recibo,500,500,Kiosco y Supermercado,Almacen,Cerrado,PAGADA
3444,Con culpas S.A.S.,CDLM 1,S E Q ( - S E Q,Contado,16/02/2023,0001-00016213,Recibo,2250,2250,Empleado Eventual,Sueldos,Cerrado,PAGADA
3445,Con culpas S.A.S.,CDLM 2,F A ( - F A,Contado,16/02/2023,0002-00009436,Recibo,2300,2300,Empleado Eventual,Sueldos,Cerrado,PAGADA
3446,Con culpas S.A.S.,CDLM 2,L A I ( - L A I,Contado,16/02/2023,0002-00009437,Recibo,3300,3300,Empleado Eventual,Sueldos,Cerrado,PAGADA
3447,Con culpas S.A.S.,CDLM 2,A A ( - A A 2,Cta Cte,16/02/2023,0004-00000082,Fact. C,"151200,68","151200,68",Marketing e Indumentaria,Inversion,Cerrado,PAGADA
3448,Con culpas S.A.S.,CDLM 2,T B S A ( - 2 R C B,Contado,16/02/2023,0001-00000723,Fact. A,59985,59985,Bebidas,Bebidas,Cerrado,PAGADA
3449,Con culpas S.A.S.,CDLM 1,G B ( - G B,Contado,16/02/2023,0097-00001593,Fact. A,"1725,14","1725,14",Carne,"Carne, Pollo y Pescado",Abierto,PAGADA
3450,Con culpas S.A.S.,CDLM 3,I D ( - I D,Contado,16/02/2023,0003-00009174,Recibo,2000,2000,Empleado Eventual,Sueldos,Cerrado,PAGADA
3451,Con culpas S.A.S.,CDLM 3,J C C ( - J C,Contado,16/02/2023,0003-00009171,Ticket,3000,3000,Limpieza,Limpieza,Cerrado,PAGADA
3452,Con culpas S.A.S.,CDLM 2,T D S ( - T D,Cta Cte,16/02/2023,0005-00026209,Fact. A,"115644,64","115644,64",Almacen,Almacen,Cerrado,PAGADA
3453,Con culpas S.A.S.,CDLM 4,D D G C S ( - E,Contado,16/02/2023,0401-00747503,Fact. A,25567,25567,Servicios,Servicios y Honorarios,Cerrado,PAGADA
3454,Con culpas S.A.S.,CDLM 4,E A ( - E A,Contado,16/02/2023,0004-00004317,Recibo,1800,1800,Empleado Eventual,Sueldos,Cerrado,PAGADA
3455,Con culpas S.A.S.,CDLM 2,L O C S ( - S G,Contado,16/02/2023,0003-00023609,Fact. A,"168725,63","168725,63",Quesos y Fiambres,"Quesos, Fiambres y Lacteos",Cerrado,PAGADA
3456,Con culpas S.A.S.,CDLM 3,V D ( - V D,Contado,16/02/2023,0003-00009173,Recibo,2250,2250,Empleado Eventual,Sueldos,Cerrado,PAGADA
3457,Con culpas S.A.S.,CDLM 6,R A D ( - R A D,Contado,16/02/2023,0002-00000272,Fact. C,13400,13400,Panaderia,Panaderia,Cerrado,PAGADA
3458,Con culpas S.A.S.,CDLM 1,O R D ( - O D,Cta Cte,16/02/2023,0154-00029593,N/Cred. A,"62171,11","-62171,11",Almacen,Almacen,Abierto,PAGADA
3459,Con culpas S.A.S.,CDLM 1,E D S L P S ( - S - L P,Contado,16/02/2023,0012-00042390,Fact. A,"6000,01","6000,01",Combustible,Flete,Cerrado,PAGADA
3460,Con culpas S.A.S.,CDLM 1,O R D ( - O D,Cta Cte,16/02/2023,0165-00042392,Fact. A,"32106,28","32106,28",Almacen,Almacen,Cerrado,PAGADA
3461,Con culpas S.A.S.,CDLM 5,E ( - E,Contado,16/02/2023,0003-01512468,Fact. A,"450630,34","450630,34",Servicios,Servicios y Honorarios,Cerrado,PAGADA
3462,Con culpas S.A.S.,La Embajada,M S ( - A / C / L / L T,Cta Cte,16/02/2023,1028-00008628,Fact. A,"18731,61","18731,61",Carne,"Carne, Pollo y Pescado",Abierto,PAGADA
3463,Con culpas S.A.S.,La Embajada,M S ( - A / C / L / L T,Cta Cte,16/02/2023,1028-00008631,Fact. A,"9027,97","9027,97",Carne,"Carne, Pollo y Pescado",Cerrado,PAGADA
3464,Con culpas S.A.S.,La Embajada,M S ( - A / C / L / L T,Cta Cte,16/02/2023,1028-00008630,Fact. A,"18037,1","18037,1",Carne,"Carne, Pollo y Pescado",Cerrado,PAGADA
3465,Con culpas S.A.S.,La Embajada,M S ( - A / C / L / L T,Cta Cte,16/02/2023,1028-00008626,Fact. A,"18251,68","18251,68",Carne,"Carne, Pollo y Pescado",Cerrado,PAGADA
3466,Con culpas S.A.S.,La Embajada,M S ( - A / C / L / L T,Cta Cte,16/02/2023,1028-00008629,Fact. A,"18117,45","18117,45",Carne,"Carne, Pollo y Pescado",Cerrado,PAGADA
3467,Con culpas S.A.S.,La Embajada,M S ( - A / C / L / L T,Cta Cte,16/02/2023,1028-00008625,Fact. A,"18646,14","18646,14",Carne,"Carne, Pollo y Pescado",Cerrado,PAGADA
3468,Con culpas S.A.S.,La Embajada,M S ( - A / C / L / L T,Cta Cte,16/02/2023,1028-00008627,Fact. A,"19816,91","19816,91",Carne,"Carne, Pollo y Pescado",Cerrado,PAGADA
3469,Con culpas S.A.S.,CDLM 1,M C ( - M C,Contado,17/02/2023,0001-00016330,Recibo,2250,2250,Empleado Eventual,Sueldos,Cerrado,PAGADA
3470,Con culpas S.A.S.,CDLM 3,R B T ( - R B T,Contado,17/02/2023,0003-00009190,Recibo,2250,2250,Empleado Eventual,Sueldos,Cerrado,PAGADA
3471,Con culpas S.A.S.,CDLM 3,A A ( - A A,Contado,17/02/2023,0003-00009192,Recibo,2500,2500,Empleado Eventual,Sueldos,Cerrado,PAGADA
3472,Con culpas S.A.S.,CDLM 3,C G E ( - C G E,Contado,17/02/2023,0003-00009194,Recibo,2250,2250,Empleado Eventual,Sueldos,Cerrado,PAGADA
3473,Con culpas S.A.S.,CDLM 3,C E ( - C E,Contado,17/02/2023,0003-00009195,Recibo,2250,2250,Empleado Eventual,Sueldos,Cerrado,PAGADA
3474,Con culpas S.A.S.,CDLM 3,O J A ( - O J A,Contado,17/02/2023,0003-00009196,Recibo,2250,2250,Empleado Eventual,Sueldos,Cerrado,PAGADA
3475,Con culpas S.A.S.,CDLM 3,L B ( - L B,Contado,17/02/2023,0003-00009197,Recibo,2250,2250,Empleado Eventual,Sueldos,Cerrado,PAGADA
3476,Con culpas S.A.S.,CDLM 3,N L ( - N L,Contado,17/02/2023,0003-00009198,Recibo,2500,2500,Empleado Eventual,Sueldos,Cerrado,PAGADA
3477,Con culpas S.A.S.,CDLM 6,S G ( - G S J S,Contado,17/02/2023,0006-00001432,Recibo,5560,5560,Almacen,Almacen,Cerrado,PAGADA
3478,Con culpas S.A.S.,CDLM 1,B S V ( - B S V,Contado,17/02/2023,0001-00016331,Recibo,4020,4020,Limpieza,Limpieza,Cerrado,PAGADA
3479,Con culpas S.A.S.,CDLM 1,E N P ( - E N P,Contado,17/02/2023,0001-00016332,Recibo,3690,3690,Pollo,"Carne, Pollo y Pescado",Cerrado,PAGADA
3480,Con culpas S.A.S.,CDLM 6,S A P ( - S A P,Contado,17/02/2023,0006-00001426,Recibo,15000,15000,Mantenimiento,Mantenimiento y Mejoras,Cerrado,PAGADA
3481,Con culpas S.A.S.,CDLM 4,I S ( - C,Contado,17/02/2023,0011-00009276,Fact. B,4780,4780,Kiosco y Supermercado,Almacen,Cerrado,PAGADA
3482,Con culpas S.A.S.,CDLM 4,M D G ( - M D G,Contado,17/02/2023,0004-17022023,Recibo,34310,34310,Verduleria,Frutas y Verduras,Cerrado,PAGADA
3483,Con culpas S.A.S.,CDLM 2,B C O ( - I D,Cta Cte,17/02/2023,0010-00000242,Fact. A,"209788,59","209788,59",Empanados,Almacen,Cerrado,PAGADA
3484,Con culpas S.A.S.,CDLM 5,M D G ( - M D G,Contado,17/02/2023,0005-17022023,Recibo,25320,25320,Verduleria,Frutas y Verduras,Cerrado,PAGADA
3485,Con culpas S.A.S.,CDLM 2,H S ( - H,Cta Cte,17/02/2023,0009-00213796,Fact. A,"52649,16","52649,16",Bebidas,Bebidas,Cerrado,PAGADA
3486,Con culpas S.A.S.,CDLM 4,J B ( - J B,Contado,17/02/2023,0004-00004321,Recibo,2250,2250,Empleado Eventual,Sueldos,Cerrado,PAGADA
3487,Con culpas S.A.S.,CDLM 4,M E ( - M E,Contado,17/02/2023,0004-00004322,Recibo,2250,2250,Empleado Eventual,Sueldos,Cerrado,PAGADA
3488,Con culpas S.A.S.,CDLM 3,H S ( - H,Cta Cte,17/02/2023,0009-00213804,Fact. A,"62918,51","62918,51",Bebidas,Bebidas,Cerrado,PAGADA
3489,Con culpas S.A.S.,CDLM 4,I O ( - I O,Contado,17/02/2023,0004-00004323,Recibo,2250,2250,Empleado Eventual,Sueldos,Cerrado,PAGADA
3490,Con culpas S.A.S.,CDLM 4,J A ( - J A,Contado,17/02/2023,0004-00004324,Recibo,1800,1800,Empleado Eventual,Sueldos,Cerrado,PAGADA
3491,Con culpas S.A.S.,CDLM 4,M M ( - M M 1,Contado,17/02/2023,0004-00004325,Recibo,2000,2000,Empleado Eventual,Sueldos,Cerrado,PAGADA
3492,Con culpas S.A.S.,CDLM 6,G H C A ( - G A,Contado,17/02/2023,0006-00001433,Recibo,25740,25740,Panaderia,Panaderia,Cerrado,PAGADA
3493,Con culpas S.A.S.,CDLM 1,P S M ( - K G,Contado,17/02/2023,0001-00016334,Recibo,5470,5470,Libreria e Imprenta,"Libreria, Farmacia y Viaticos",Cerrado,PAGADA
3494,Con culpas S.A.S.,CDLM 6,G S ( - T,Cta Cte,17/02/2023,0012-00002740,Fact. A,"18848,99","18848,99",Empanados,Almacen,Cerrado,PAGADA
3495,Con culpas S.A.S.,CDLM 6,O C ( - F Y V,Contado,17/02/2023,0009-00000002,Recibo,49900,49900,Verduleria,Frutas y Verduras,Cerrado,PAGADA
3496,Con culpas S.A.S.,CDLM 2,S A S ( - S A,Cta Cte,17/02/2023,0018-00002363,Fact. A,"666088,06","666088,06",Papas Congeladas,Almacen,Cerrado,PAGADA
3497,Con culpas S.A.S.,CDLM 2,S A S ( - S A,Cta Cte,17/02/2023,0018-00002367,Fact. A,"399652,84","399652,84",Papas Congeladas,Almacen,Cerrado,PAGADA
3498,Con culpas S.A.S.,CDLM 3,S B ( - S B,Contado,17/02/2023,0003-00009188,Recibo,2400,2400,Empleado Eventual,Sueldos,Cerrado,PAGADA
3499,Con culpas S.A.S.,CDLM 4,Z S ( - Z S,Cta Cte,17/02/2023,0005-00257880,Fact. A,"54496,42","54496,42",Bebidas,Bebidas,Cerrado,PAGADA
3500,Con culpas S.A.S.,CDLM 6,G J N ( - J L Y P,Cta Cte,17/02/2023,0040-00002214,Fact. A,16530,16530,Libreria e Imprenta,"Libreria, Farmacia y Viaticos",Cerrado,PAGADA
3501,Con culpas S.A.S.,CDLM 6,G S ( - T,Cta Cte,17/02/2023,0012-00002760,Fact. A,"20887,35","20887,35",Empanados,Almacen,Cerrado,PAGADA
3502,Con culpas S.A.S.,CDLM 1,M D G ( - M D G,Contado,17/02/2023,0001-17022023,Recibo,40990,40990,Verduleria,Frutas y Verduras,Cerrado,PAGADA
3503,Con culpas S.A.S.,CDLM 3,M D G ( - M D G,Contado,17/02/2023,0002-17022023,Recibo,39750,39750,Verduleria,Frutas y Verduras,Cerrado,PAGADA
3504,Con culpas S.A.S.,CDLM 3,A P G ( - A P G,Contado,17/02/2023,0003-00009184,Recibo,2000,2000,Empleado Eventual,Sueldos,Cerrado,PAGADA
3505,Con culpas S.A.S.,CDLM 6,L L S ( - L B D J,Contado,17/02/2023,0050-00011464,Fact. A,"28310,12","28310,12",Quesos y Fiambres,"Quesos, Fiambres y Lacteos",Cerrado,PAGADA
3506,Con culpas S.A.S.,CDLM 3,J S V ( - J S V,Contado,17/02/2023,0003-00009183,Recibo,2300,2300,Empleado Eventual,Sueldos,Cerrado,PAGADA
3507,Con culpas S.A.S.,CDLM 3,R B T ( - R B T,Contado,17/02/2023,0003-00009182,Recibo,1800,1800,Empleado Eventual,Sueldos,Cerrado,PAGADA
3508,Con culpas S.A.S.,CDLM 5,Z S ( - Z S,Cta Cte,17/02/2023,0005-00257881,Fact. A,"48418,63","48418,63",Bebidas,Bebidas,Cerrado,PAGADA
3509,Con culpas S.A.S.,CDLM 1,G S ( - G S,Contado,17/02/2023,0041-00001216,Fact. A,31200,31200,Pollo,"Carne, Pollo y Pescado",Cerrado,PAGADA
3510,Con culpas S.A.S.,CDLM 2,A S ( - G B,Cta Cte,17/02/2023,0082-00011646,Fact. A,"235414,93","235414,93",Carne,"Carne, Pollo y Pescado",Cerrado,PAGADA
3511,Con culpas S.A.S.,CDLM 1,D S ( - D,Cta Cte,17/02/2023,0003-00407860,Fact. A,"59233,76","59233,76",Bebidas,Bebidas,Cerrado,PAGADA
3512,Con culpas S.A.S.,CDLM 1,R G H ( - D M R,Cta Cte,17/02/2023,0002-00003484,Fact. A,"11067,97","11067,97",Postres,Almacen,Cerrado,PAGADA
3513,Con culpas S.A.S.,CDLM 2,M D G ( - M D G,Contado,17/02/2023,0003-17022023,Recibo,30710,30710,Verduleria,Frutas y Verduras,Cerrado,PAGADA
3514,Con culpas S.A.S.,CDLM 1,M S ( - F M,Contado,17/02/2023,0082-00000065,Fact. A,"1964,03","1964,03",Farmacia,"Libreria, Farmacia y Viaticos",Abierto,PAGADA
3515,Con culpas S.A.S.,CDLM 4,R F A ( - M M D N,Contado,17/02/2023,0003-00001589,Fact. C,330,330,Libreria e Imprenta,"Libreria, Farmacia y Viaticos",Cerrado,PAGADA
3516,Con culpas S.A.S.,CDLM 2,R G H ( - D M R,Cta Cte,17/02/2023,0002-00003485,Fact. A,"16601,95","16601,95",Postres,Almacen,Cerrado,PAGADA
3517,Con culpas S.A.S.,CDLM 5,F D P S ( - F D P,Contado,17/02/2023,0005-00000257,Recibo,1750,1750,Farmacia,"Libreria, Farmacia y Viaticos",Cerrado,PAGADA
3518,Con culpas S.A.S.,CDLM 6,E S ( - A U,Contado,17/02/2023,0006-00001429,Recibo,900,900,Combustible,Flete,Cerrado,PAGADA
3519,Con culpas S.A.S.,CDLM 1,R P ( - M A S,Contado,17/02/2023,0001-00016324,Recibo,3900,3900,Empanados,Almacen,Cerrado,PAGADA
3520,Con culpas S.A.S.,CDLM 1,S S ( - S A,Contado,17/02/2023,1118-00089761,Ticket,1120,1120,Kiosco y Supermercado,Almacen,Cerrado,PAGADA
3521,Con culpas S.A.S.,CDLM 6,I S ( - T,Contado,17/02/2023,0006-00001428,Recibo,1800,1800,Hielo,Bebidas,Cerrado,PAGADA
3522,Con culpas S.A.S.,CDLM 6,F J ( - F J,Contado,17/02/2023,0006-00001430,Recibo,800,800,Empleado Eventual,Sueldos,Cerrado,PAGADA
3523,Con culpas S.A.S.,CDLM 4,E A ( - E A,Contado,17/02/2023,0004-00004318,Recibo,1800,1800,Empleado Eventual,Sueldos,Cerrado,PAGADA
3524,Con culpas S.A.S.,CDLM 4,J G ( - J G,Contado,17/02/2023,0004-00004319,Recibo,2250,2250,Empleado Eventual,Sueldos,Cerrado,PAGADA
3525,Con culpas S.A.S.,CDLM 4,F F ( - F F,Contado,17/02/2023,0004-00004320,Recibo,2250,2250,Empleado Eventual,Sueldos,Cerrado,PAGADA
3526,Con culpas S.A.S.,CDLM 5,C P M ( - C P M,Contado,17/02/2023,0001-00000168,Fact. M,24200,24200,Equipamiento,Inversion,Cerrado,PAGADA
3527,Con culpas S.A.S.,CDLM 3,R G H ( - D M R,Cta Cte,17/02/2023,0002-00003490,Fact. A,"22135,93","22135,93",Postres,Almacen,Cerrado,PAGADA
3528,Con culpas S.A.S.,CDLM 2,T B S A ( - 2 R C B,Contado,17/02/2023,0001-00000727,Fact. A,69660,69660,Bebidas,Bebidas,Cerrado,PAGADA
3529,Con culpas S.A.S.,CDLM 6,J S ( - J,Cta Cte,17/02/2023,0006-00404722,Fact. A,"131556,86","131556,86",Bebidas,Bebidas,Cerrado,PAGADA
3530,Con culpas S.A.S.,CDLM 2,A A ( - A A,Contado,17/02/2023,0005-00009447,Recibo,4500,4500,Empleado Eventual,Sueldos,Cerrado,PAGADA
3531,Con culpas S.A.S.,CDLM 3,R I G ( - R G,Contado,17/02/2023,0003-00009189,Recibo,4250,4250,Empleado Eventual,Sueldos,Cerrado,PAGADA
3532,Con culpas S.A.S.,CDLM 1,M R ( - M R,Contado,17/02/2023,0001-00016325,Recibo,2000,2000,Empleado Eventual,Sueldos,Cerrado,PAGADA
3533,Con culpas S.A.S.,CDLM 2,V S ( - V S,Contado,17/02/2023,0005-00009448,Recibo,2300,2300,Empleado Eventual,Sueldos,Cerrado,PAGADA
3534,Con culpas S.A.S.,CDLM 2,L A I ( - L A I,Contado,17/02/2023,0005-00009449,Recibo,2300,2300,Empleado Eventual,Sueldos,Cerrado,PAGADA
3535,Con culpas S.A.S.,CDLM 2,F A ( - F A 1,Contado,17/02/2023,0005-00009450,Recibo,2300,2300,Empleado Eventual,Sueldos,Cerrado,PAGADA
3536,Con culpas S.A.S.,CDLM 1,N C M ( - N C M,Contado,17/02/2023,0001-00016326,Recibo,1800,1800,Empleado Eventual,Sueldos,Cerrado,PAGADA
3537,Con culpas S.A.S.,CDLM 2,J O ( - J O,Contado,17/02/2023,0005-00009451,Recibo,2300,2300,Empleado Eventual,Sueldos,Cerrado,PAGADA
3538,Con culpas S.A.S.,CDLM 2,M I ( - M I,Contado,17/02/2023,0005-00009452,Recibo,2200,2200,Empleado Eventual,Sueldos,Cerrado,PAGADA
3539,Con culpas S.A.S.,CDLM 1,M M P ( - M M P,Contado,17/02/2023,0001-00016327,Recibo,1800,1800,Empleado Eventual,Sueldos,Cerrado,PAGADA
3540,Con culpas S.A.S.,CDLM 3,P V ( - W,Contado,17/02/2023,0011-00000982,Fact. A,2550,2550,Libreria e Imprenta,"Libreria, Farmacia y Viaticos",Cerrado,PAGADA
3541,Con culpas S.A.S.,CDLM 1,S J S ( - S J S,Contado,17/02/2023,0001-00016328,Recibo,1800,1800,Empleado Eventual,Sueldos,Cerrado,PAGADA
3542,Con culpas S.A.S.,CDLM 2,M B ( - T B S,Contado,17/02/2023,0005-00009453,Recibo,2300,2300,Almacen,Almacen,Cerrado,PAGADA
3543,Con culpas S.A.S.,CDLM 6,S S ( - S S,Contado,17/02/2023,0006-00001427,Recibo,55000,55000,Sin Asignacion,Sin Grupo,Cerrado,PAGADA
3544,Con culpas S.A.S.,CDLM 3,C S ( - E / J / V,Contado,17/02/2023,3645-00000741,Fact. A,"1641,12","1641,12",Kiosco y Supermercado,Almacen,Abierto,PAGADA
3545,Con culpas S.A.S.,CDLM 1,S E Q ( - S E Q,Contado,17/02/2023,0001-00016329,Recibo,2250,2250,Empleado Eventual,Sueldos,Cerrado,PAGADA
3546,Con culpas S.A.S.,CDLM 3,C S ( - E / J / V,Contado,17/02/2023,3644-00000078,Fact. A,"1900,52","1900,52",Kiosco y Supermercado,Almacen,Abierto,PAGADA
3547,Con culpas S.A.S.,CDLM 2,G V ( - G V,Contado,17/02/2023,0005-00009454,Recibo,1000,1000,Verduleria,Frutas y Verduras,Cerrado,PAGADA
3548,Con culpas S.A.S.,CDLM 3,N L ( - N L,Contado,17/02/2023,0003-00009185,Recibo,2500,2500,Empleado Eventual,Sueldos,Cerrado,PAGADA
3549,Con culpas S.A.S.,CDLM 3,V D ( - V D,Contado,17/02/2023,0003-00009187,Recibo,2250,2250,Empleado Eventual,Sueldos,Cerrado,PAGADA
3550,Con culpas S.A.S.,CDLM 5,D D F ( - D D F,Contado,17/02/2023,0011-00000268,Fact. A,1160,1160,Libreria e Imprenta,"Libreria, Farmacia y Viaticos",Cerrado,PAGADA
3551,Con culpas S.A.S.,CDLM 5,F G F ( - I 2,Contado,17/02/2023,0002-00005651,Fact. C,200,200,Libreria e Imprenta,"Libreria, Farmacia y Viaticos",Cerrado,PAGADA
3552,Con culpas S.A.S.,CDLM 6,L S J ( - L S J,Contado,17/02/2023,0006-00001431,Recibo,1800,1800,Empleado Eventual,Sueldos,Cerrado,PAGADA
3553,Con culpas S.A.S.,CDLM 1,S S ( - S A,Contado,17/02/2023,0015-00006734,Fact. A,"3473,73","3473,73",Kiosco y Supermercado,Almacen,Abierto,PAGADA
3554,Con culpas S.A.S.,CDLM 6,G F ( - G F,Contado,17/02/2023,0006-00001424,Recibo,2000,2000,Empleado Eventual,Sueldos,Cerrado,PAGADA
3555,Con culpas S.A.S.,CDLM 2,E N P ( - E N P,Contado,17/02/2023,0002-00009446,Remito,5500,5500,Pollo,"Carne, Pollo y Pescado",Cerrado,PAGADA
3556,Con culpas S.A.S.,CDLM 6,A W R ( - F C B,Contado,17/02/2023,0006-00024641,Ticket,400,400,Farmacia,"Libreria, Farmacia y Viaticos",Cerrado,PAGADA
3557,Con culpas S.A.S.,CDLM 2,A 8 ( - S D T,Contado,17/02/2023,0005-00009445,Recibo,1200,1200,Viaticos,"Libreria, Farmacia y Viaticos",Cerrado,PAGADA
3558,Con culpas S.A.S.,CDLM 2,A 8 ( - S D T,Contado,17/02/2023,0002-00009471,Recibo,2680,2680,Viaticos,"Libreria, Farmacia y Viaticos",Cerrado,PAGADA
3559,Con culpas S.A.S.,CDLM 6,M L E ( - L,Cta Cte,17/02/2023,0003-00001653,Fact. A,"33084,54","33084,54",Bebidas con Alcohol,Bebidas,Cerrado,PAGADA
3560,Con culpas S.A.S.,CDLM 6,B A A ( - B A A,Contado,17/02/2023,0002-00002396,Fact. A,"51001,5","51001,5",Almacen,Almacen,Cerrado,PAGADA
3561,Con culpas S.A.S.,CDLM 6,A W R ( - F C B,Contado,17/02/2023,0006-00024634,Ticket,2290,2290,Farmacia,"Libreria, Farmacia y Viaticos",Cerrado,PAGADA
3562,Con culpas S.A.S.,CDLM 6,D S V A ( - M M,Contado,17/02/2023,0006-00001425,Recibo,360,360,Kiosco y Supermercado,Almacen,Cerrado,PAGADA
3563,Con culpas S.A.S.,CDLM 2,G M E S ( - G,Cta Cte,17/02/2023,0010-00044667,Fact. A,"19395,44","19395,44",Materiales Construccion,Inversion,Cerrado,PAGADA
3564,Con culpas S.A.S.,CDLM 6,R A D ( - R A D,Contado,18/02/2023,0002-00000273,Fact. C,13400,13400,Panaderia,Panaderia,Cerrado,PAGADA
3565,Con culpas S.A.S.,CDLM 2,J O ( - J O,Contado,18/02/2023,0005-00009460,Recibo,2300,2300,Empleado Eventual,Sueldos,Cerrado,PAGADA
3566,Con culpas S.A.S.,CDLM 2,F A ( - F A,Contado,18/02/2023,0005-00009450,Recibo,2300,2300,Empleado Eventual,Sueldos,Cerrado,PAGADA
3567,Con culpas S.A.S.,CDLM 2,M G ( - M G 1,Contado,18/02/2023,0005-00009458,Recibo,2300,2300,Empleado Eventual,Sueldos,Cerrado,PAGADA
3568,Con culpas S.A.S.,CDLM 2,G G E ( - G G E,Contado,18/02/2023,0002-00009462,Recibo,4480,4480,Descartables,Descartables,Cerrado,PAGADA
3569,Con culpas S.A.S.,CDLM 5,R A ( - R A,Contado,18/02/2023,0005-00000259,Recibo,8500,8500,Mantenimiento,Mantenimiento y Mejoras,Cerrado,PAGADA
3570,Con culpas S.A.S.,CDLM 2,M B ( - T B S,Contado,18/02/2023,0005-00009463,Recibo,4300,4300,Almacen,Almacen,Cerrado,PAGADA
3571,Con culpas S.A.S.,CDLM 3,C E ( - C E,Contado,18/02/2023,0003-00006535,Recibo,2500,2500,Empleado Eventual,Sueldos,Cerrado,PAGADA
3572,Con culpas S.A.S.,CDLM 6,I S ( - T,Contado,18/02/2023,0006-00001438,Recibo,2700,2700,Hielo,Bebidas,Cerrado,PAGADA
3573,Con culpas S.A.S.,CDLM 3,A E S ( - A E S,Contado,18/02/2023,0003-00006530,Recibo,2000,2000,Empleado Eventual,Sueldos,Cerrado,PAGADA
3574,Con culpas S.A.S.,CDLM 1,M R ( - M R,Contado,18/02/2023,0001-00016222,Recibo,1800,1800,Empleado Eventual,Sueldos,Cerrado,PAGADA
3575,Con culpas S.A.S.,CDLM 1,J A L ( - J A L,Contado,18/02/2023,0001-00016223,Recibo,1800,1800,Empleado Eventual,Sueldos,Cerrado,PAGADA
3576,Con culpas S.A.S.,CDLM 1,F C A ( - F C A,Contado,18/02/2023,0001-00016224,Recibo,2250,2250,Empleado Eventual,Sueldos,Cerrado,PAGADA
3577,Con culpas S.A.S.,CDLM 4,A S ( - G B,Contado,18/02/2023,0095-00000212,Fact. A,"275,58","275,58",Carne,"Carne, Pollo y Pescado",Cerrado,PAGADA
3578,Con culpas S.A.S.,CDLM 4,J G ( - J G,Contado,18/02/2023,0004-00004330,Recibo,2250,2250,Empleado Eventual,Sueldos,Cerrado,PAGADA
3579,Con culpas S.A.S.,CDLM 4,F F ( - F F,Contado,18/02/2023,0004-00004331,Recibo,2400,2400,Empleado Eventual,Sueldos,Cerrado,PAGADA
3580,Con culpas S.A.S.,CDLM 2,E D S L P S ( - S - L P,Contado,18/02/2023,0012-00042473,Fact. A,"6000,01","6000,01",Combustible,Flete,Cerrado,PAGADA
3581,Con culpas S.A.S.,CDLM 4,M E ( - M E,Contado,18/02/2023,0004-00004332,Recibo,2400,2400,Empleado Eventual,Sueldos,Cerrado,PAGADA
3582,Con culpas S.A.S.,CDLM 4,J A ( - J A,Contado,18/02/2023,0004-00004333,Recibo,2000,2000,Empleado Eventual,Sueldos,Cerrado,PAGADA
3583,Con culpas S.A.S.,CDLM 4,M M ( - M M 1,Contado,18/02/2023,0004-00004334,Recibo,1800,1800,Empleado Eventual,Sueldos,Cerrado,PAGADA
3584,Con culpas S.A.S.,CDLM 2,A A ( - A A,Contado,18/02/2023,0005-00009461,Recibo,4500,4500,Empleado Eventual,Sueldos,Cerrado,PAGADA
3585,Con culpas S.A.S.,CDLM 1,S S ( - S A,Contado,18/02/2023,0015-00006754,Fact. A,"2495,98","2495,98",Kiosco y Supermercado,Almacen,Abierto,PAGADA
3586,Con culpas S.A.S.,CDLM 6,G F ( - G F,Contado,18/02/2023,0006-00001439,Recibo,2500,2500,Empleado Eventual,Sueldos,Cerrado,PAGADA
3587,Con culpas S.A.S.,CDLM 1,M C ( - M C,Contado,18/02/2023,0001-00016226,Recibo,2250,2250,Empleado Eventual,Sueldos,Cerrado,PAGADA
3588,Con culpas S.A.S.,CDLM 1,M S F L ( - A C,Contado,18/02/2023,0001-00016227,Recibo,300,300,Almacen,Almacen,Cerrado,PAGADA
3589,Con culpas S.A.S.,CDLM 4,L M L ( - A C,Contado,18/02/2023,0004-00004335,Recibo,840,840,Kiosco y Supermercado,Almacen,Cerrado,PAGADA
