Seller,ORDERDATE,%Delivery effectiveness,Rejected Boxes,%Break,Breaks,WEIGHTXBOX,UNITWEIGHT,SALESBOXES,ASSIGNEDBOXES,SHIPPEDBOXES,ORDEREDBOXES
265995,6/5/2023,4.50%,44.25,10.29%,115.5,6280.32,886,939.15,1007.4,983.4,1122.9
266199,6/5/2023,12.17%,38.3775,3.41%,12.75,845.289,144,276.9675,361.095,315.345,373.845
266200,6/5/2023,3.42%,26.0925,0.39%,3,5167.228,709,737.25,770.0925,763.3425,773.0925
266311,6/5/2023,9.84%,33.75,1.81%,6.75,313.635,59,309.12,366.87,342.87,373.62
266445,6/5/2023,9.66%,48.9675,3.64%,19.5975,3749.157,598,458.025,518.9925,506.9925,538.59
267235,6/5/2023,3.29%,24.12,1.71%,12.8025,6288.928,818,709.8225,733.9425,733.9425,746.745
267236,6/5/2023,6.27%,49.56,2.10%,16.98,6932.3602,856,741.015,790.575,790.575,807.555
267633,6/5/2023,3.66%,16.7475,2.86%,13.5,2602.339,412,441.15,457.8975,457.8975,471.3975
267743,6/5/2023,10.01%,51.8925,0.17%,0.8775,3972.75,629,466.3125,520.605,518.205,521.4825
267974,6/5/2023,7.64%,20.5575,3.50%,9.75,2292.106,312,248.3775,268.935,268.935,278.685
268050,6/5/2023,5.67%,20.4975,0.41%,1.5,301.429,58,340.695,361.1925,361.1925,362.6925
268207,6/5/2023,8.76%,47.7975,2.09%,11.625,3935.678,613,497.8575,545.655,545.655,557.28
268208,6/3/2023,69.39%,25.5,2.22%,1.5,145.565,26,11.25,66,36.75,67.5
268209,6/5/2023,4.82%,23.9925,9.09%,49.7625,4298.18,614,473.94,497.9325,497.9325,547.695
269039,6/5/2023,2.70%,24.015,2.41%,21.9225,7176.122,915,864.6,888.615,888.615,910.5375
269040,6/5/2023,5.10%,20.3025,4.82%,21,2386.143,401,377.4675,415.02,397.77,436.02
269042,6/5/2023,3.87%,19.3725,0.45%,2.25,3360.351,526,481.71,501.0825,501.0825,503.3325
269043,6/5/2023,7.68%,27.4425,0.63%,2.25,3199.383,446,329.7675,357.21,357.21,359.46
269093,6/5/2023,4.32%,12.9975,1.26%,3.825,1733.302,296,287.55,300.5475,300.5475,304.3725
269481,6/2/2023,0.00%,0,50.00%,14.445,172.69,26,14.445,14.445,14.445,28.89
