Shop,Supplier,Date,Invoice Number,Supply,Quantity,Unit Price,Price,Tag
CDLM 2,Arnaldo Chapini S.R.L. (0243 - ARNALDO CHAPINI),12/01/2023,0007-00152857,BOLSA PAPEL KRAFT *NRO 3* X 100 (UNID),2,"365,56","813,882784",Bazar
CDLM 2,Arnaldo Chapini S.R.L. (0243 - ARNALDO CHAPINI),12/01/2023,0007-00152857,FILM ROLUMINIO (PAPEL ALUMINIO( *28CM* CAJA X 7.5 (MTS),10,"565,94","6505,4803",Bazar
CDLM 2,Arnaldo Chapini S.R.L. (0243 - ARNALDO CHAPINI),12/01/2023,0007-00152857,KETCHUP BOLSA X 1 83KG) HELLMANS,3,"1478,36","4829,80212",Almacen
CDLM 2,Arnaldo Chapini S.R.L. (0243 - ARNALDO CHAPINI),12/01/2023,0007-00152857,SERVILLETA 33X33 BOUQUET ECO CLUB MILANESA CAJA X 2000,8,"7337,86","65348,046016",Bazar
CDLM 2,Arnaldo Chapini S.R.L. (0243 - ARNALDO CHAPINI),12/01/2023,0007-00152857,TOMATE *TRITURADO* BOLSA X 4 (KG) SILVIA,24,"526,5","14066,3952",Bazar
CDLM 2,Arnaldo Chapini S.R.L. (0243 - ARNALDO CHAPINI),12/01/2023,0007-00152857,BANDEJA ALUMINIO RECTANGULAR *F50/R2* (500GR) X 100 (UNID),3,"1580,37","5277,803652",Bazar
CDLM 2,Arnaldo Chapini S.R.L. (0243 - ARNALDO CHAPINI),12/01/2023,0007-00152857,BOLSA CAMISETA AD *45X608 PAQUETE X 1 (100UNI),8,"842,61","7748,64156",Descartables
CDLM 2,Arnaldo Chapini S.R.L. (0243 - ARNALDO CHAPINI),12/01/2023,0007-00152857,TAPA ALUMINIO P/BANDEJA *R2/F50* X 100 (UNID),10,"1126,03","12534,96596",Bazar
CDLM 6,Cafe America Mayorista S.A. (2395 - CAFE AMERICA MAYORISTA),12/01/2023,0178-00005892,MARVESE  125G SEM MIX SILVESTRE,3,"126,405","458,85015",Almacen
CDLM 6,Cafe America Mayorista S.A. (2395 - CAFE AMERICA MAYORISTA),12/01/2023,0178-00005892,FAVORITA 900G REBOZADOR,4,"180,884","875,47856",Almacen
CDLM 6,Cafe America Mayorista S.A. (2395 - CAFE AMERICA MAYORISTA),12/01/2023,0178-00005892,ALICANTE 25G CANELA MOLIDA,4,"124,967","604,84028",Almacen
CDLM 2,Mapuesa S.R.L. (1843 - EL CLUB DE LA MILANESA),12/01/2023,0009-00000328,BASTONES DE MOZZARELLA,10,"5900,89","71400,769",Empanados
CDLM 2,Mapuesa S.R.L. (1843 - EL CLUB DE LA MILANESA),12/01/2023,0009-00000328,MEDIUM TERNERA,44,"12421,48","661319,5952",Empanados
CDLM 6,Arnaldo Chapini S.R.L. (0243 - ARNALDO CHAPINI),12/01/2023,0007-00152900,LAMINA FOLEX *20X25*- PAQUETE X 1 (KG),4,"801,43","3684,97514",Bazar
CDLM 6,Arnaldo Chapini S.R.L. (0243 - ARNALDO CHAPINI),12/01/2023,0007-00152900,FILM PVC *38CM* ROLLO X 1000 (MTS) RESINITE,1,"7509,87","8632,595565",Bazar
CDLM 6,Arnaldo Chapini S.R.L. (0243 - ARNALDO CHAPINI),12/01/2023,0007-00152900,BOLSA PAPEL KRAFT *NRO. 1* DELIVERY FONDO CUADRADO X 5,4,"426,56","1961,32288",Bazar
CDLM 6,Arnaldo Chapini S.R.L. (0243 - ARNALDO CHAPINI),12/01/2023,0007-00152900,BOBINA DE PAPEL DOBLE HOJA ROLLO X 360 (MTS) FELPITA,2,"3289,2","7163,8776",Bazar
CDLM 6,Arnaldo Chapini S.R.L. (0243 - ARNALDO CHAPINI),12/01/2023,0007-00152900,ALCOHOL 70% BIDON X 5 (LT),1,"1945,2","2165,39664",Bazar
CDLM 2,Grandbar S.A. (0642 - GRANDBAR DISTRIBUCIONES),12/01/2023,0003-00076664,PORTILLO MALBEC X 750 ML,36,"542,51","23631,7356",Bebidas con Alcohol
CDLM 6,Romalat Srl (2493 - ROMALAT SRL),12/01/2023,0004-00111037,GUACAMOLE 12U X 0.453K,2,"15250,35","36905,847",Papas Congeladas
CDLM 2,Tres Birritas Sociedad Anonima (1750 - 23 RIOS CRAFT BEER),12/01/2023,0001-00000701,BARRIL GOLDEN,150,310,56265,Bebidas con Alcohol
CDLM 2,Mapuesa S.R.L. (1843 - EL CLUB DE LA MILANESA),12/01/2023,0009-00000328,NUGGTS DE CERDO,30,"606,28","22007,964",Empanados
CDLM 2,Grandbar S.A. (0642 - GRANDBAR DISTRIBUCIONES),12/01/2023,0003-00076664,APERITIVO APEROL X 750ML,4,"1059,94",0,Bebidas con Alcohol
CDLM 2,Mariano Emanuel Monserrat (0576 - SNACH),12/01/2023,0006-00000150,WRAPS,260,60,15600,Almacen
CDLM 2,Lg Oeste Congelados S.A.S (1841 - SOLUCIONES GOURMET),12/01/2023,0003-00022407,LECHE ENTERA L. VIDA - TREGAR,24,"190,4","5529,216",Lacteos
CDLM 2,Lg Oeste Congelados S.A.S (1841 - SOLUCIONES GOURMET),12/01/2023,0003-00022407,GUACAMOLE X 450 GRS,24,"1174,9","34119,096",Lacteos
CDLM 2,Lg Oeste Congelados S.A.S (1841 - SOLUCIONES GOURMET),12/01/2023,0003-00022407,FIAMBRE PATA - MED GRAS,"16,59","929,56","18659,894484",Lacteos
CDLM 2,Lg Oeste Congelados S.A.S (1841 - SOLUCIONES GOURMET),12/01/2023,0003-00022407,PANCETA AHUMADA IL BERICO,"15,5","1419,7","26626,4735",Quesos y Fiambres
CDLM 2,Grandbar S.A. (0642 - GRANDBAR DISTRIBUCIONES),12/01/2023,0003-00076664,CAMPARI X 1 LT.,2,"1247,06",0,Bebidas con Alcohol
CDLM 6,Cafe America Mayorista S.A. (2395 - CAFE AMERICA MAYORISTA),12/01/2023,0178-00005892,TRES ARROYO 1KG SUPREMA,"4,675","786,181","4061,312773375",Almacen
CDLM 6,Cafe America Mayorista S.A. (2395 - CAFE AMERICA MAYORISTA),12/01/2023,0178-00005892,TRES ARROYO 1KG SUPREMA,"1,535","786,18","1333,4988615",Almacen
CDLM 2,Food Packaging S.R.L. (2226 - FOOD PACKAGING),12/01/2023,0001-00021150,SERVILLETAS 33 X 33 ECO SABEMOS LO QUE,25,"2846,17","86096,6425",Bazar
CDLM 2,Tres Birritas Sociedad Anonima (1750 - 23 RIOS CRAFT BEER),12/01/2023,0001-00000701,BARRIL IPA,150,360,65340,Bebidas con Alcohol
CDLM 2,Grandbar S.A. (0642 - GRANDBAR DISTRIBUCIONES),12/01/2023,0003-00076664,PROMO BRANCA MAYORISTA X 750ML,1,"1121,1","1356,531",Bebidas con Alcohol
CDLM 2,Grandbar S.A. (0642 - GRANDBAR DISTRIBUCIONES),12/01/2023,0003-00076664,CAMPARI X 1 LT.,10,"1247,06","15089,426",Bebidas con Alcohol
CDLM 2,Grandbar S.A. (0642 - GRANDBAR DISTRIBUCIONES),12/01/2023,0003-00076664,CALLIA ALTA MALBEC X 750 ML,24,"463,46","13458,8784",Bebidas con Alcohol
CDLM 2,Grandbar S.A. (0642 - GRANDBAR DISTRIBUCIONES),12/01/2023,0003-00076664,APERITIVO APEROL X 750ML,20,"1059,94","25650,548",Bebidas con Alcohol
CDLM 2,Grandbar S.A. (0642 - GRANDBAR DISTRIBUCIONES),12/01/2023,0003-00076664,CINZANO PRO SPRITZ X 750 ML,20,"1227,1","29695,82",Bebidas con Alcohol
CDLM 2,Grandbar S.A. (0642 - GRANDBAR DISTRIBUCIONES),12/01/2023,0003-00076664,CINZANO PRO SPRITZ X 750 ML,4,"1227,1",0,Bebidas con Alcohol
CDLM 2,Grandbar S.A. (0642 - GRANDBAR DISTRIBUCIONES),12/01/2023,0003-00076664,SALENTEIN RESERVE MALBEC X 750 ML,24,"1270,43","36893,2872",Bebidas con Alcohol
CDLM 6,Cafe America Mayorista S.A. (2395 - CAFE AMERICA MAYORISTA),12/01/2023,0178-00005892,CROM 3.9 HERM RETANGL PICNIC,4,"705,339","3413,84076",Almacen
CDLM 6,Cafe America Mayorista S.A. (2395 - CAFE AMERICA MAYORISTA),12/01/2023,0178-00005892,OLIVAR 5LT ACEITE DE OLIVA,1,"5523,471","6683,39991",Almacen
CDLM 6,Arnaldo Chapini S.R.L. (0243 - ARNALDO CHAPINI),12/01/2023,0007-00152900,FILM ROLOPAPER (PAPEL MANTECA) 28CM CAJA X 5 (MTS),8,"562,18","5169,80728",Bazar
CDLM 2,Arnaldo Chapini S.R.L. (0243 - ARNALDO CHAPINI),12/01/2023,0007-00152857,ALTA ULTRA DETERGENTE (LIMON) BIDON X 5 (LT),4,"1704,5","7424,802",Limpieza
CDLM 2,Arnaldo Chapini S.R.L. (0243 - ARNALDO CHAPINI),12/01/2023,0007-00152857,ALCOHOL 70% BIDON X 5 (LT),1,"1945,2","2165,39664",Bazar
CDLM 2,Arnaldo Chapini S.R.L. (0243 - ARNALDO CHAPINI),12/01/2023,0007-00152857,BOBINA DE PAPEL DOBLE HOJA ROLLO X 360 (MTS) FELPITA,2,"3289,2","7163,8776",Bazar
CDLM 2,Arnaldo Chapini S.R.L. (0243 - ARNALDO CHAPINI),12/01/2023,0007-00152857,FILM PVC *38CM* ROLLO X 1000 (MTS) RESINITE,1,"7509,87","8632,595565",Bazar
CDLM 2,Arnaldo Chapini S.R.L. (0243 - ARNALDO CHAPINI),12/01/2023,0007-00152857,PAJITA *POLIPAPEL* PAQUETE X 25 (UN) PRIFAMON SAIC,4,"143,78","640,223584",Bazar
CDLM 2,Arnaldo Chapini S.R.L. (0243 - ARNALDO CHAPINI),12/01/2023,0007-00152857,FILM ROLOPAPER (PAPEL MANTECA) 28CM CAJA X 5 (MTS),20,"562,18","12924,5182",Bazar
CDLM 2,Arnaldo Chapini S.R.L. (0243 - ARNALDO CHAPINI),12/01/2023,0007-00152857,BOLSA PAPEL KRAFT *NRO. 1* DELIVERY FONDO CUADRADO X 5,4,"426,56","1961,32288",Bazar
CDLM 2,Mariano Emanuel Monserrat (0576 - SNACH),12/01/2023,0006-00000150,NACHOS CLASICOS X KG,35,1640,57400,Almacen
CDLM 2,Lg Oeste Congelados S.A.S (1841 - SOLUCIONES GOURMET),12/01/2023,0003-00022407,QUESO BLANCO CLASIC 3K FEST (3UXCJ),4,"2021,21","9782,6564",Quesos y Fiambres
CDLM 2,Arnaldo Chapini S.R.L. (0243 - ARNALDO CHAPINI),12/01/2023,0007-00152857,LAMINA FOLEX *20X25*- PAQUETE X 1 (KG),4,"801,43","3684,97514",Bazar
CDLM 2,Mapuesa S.R.L. (1843 - EL CLUB DE LA MILANESA),12/01/2023,0009-00000328,MIX DE TERNERA,15,"4816,59","87421,1085",Empanados
CDLM 2,Lg Oeste Congelados S.A.S (1841 - SOLUCIONES GOURMET),12/01/2023,0003-00022407,ROQUEFORT - ALLO,"2,02","1218,47","2978,184374",Lacteos
CDLM 2,Lg Oeste Congelados S.A.S (1841 - SOLUCIONES GOURMET),12/01/2023,0003-00022407,PROVOLONE PARRILERO - MANJAR,19,"1411,94","32460,5006",Lacteos
CDLM 2,Mapuesa S.R.L. (1843 - EL CLUB DE LA MILANESA),12/01/2023,0009-00000328,PEGHUGUITAS CRISPY,16,"5900,46","114232,9056",Empanados
CDLM 2,Mapuesa S.R.L. (1843 - EL CLUB DE LA MILANESA),12/01/2023,0009-00000328,LARGE TERNERA,21,"14122,19","358844,8479",Empanados
CDLM 2,Mapuesa S.R.L. (1843 - EL CLUB DE LA MILANESA),12/01/2023,0009-00000328,SMALL TERNERA,5,"2803,84","16963,232",Empanados
CDLM 2,Mapuesa S.R.L. (1843 - EL CLUB DE LA MILANESA),12/01/2023,0009-00000328,MEDIUM POLLO,12,"13916,81","202072,0812",Empanados
CDLM 2,Mapuesa S.R.L. (1843 - EL CLUB DE LA MILANESA),12/01/2023,0009-00000328,TRIANGULITOS DE PROVOLONE,8,"6250,05","60500,484",Empanados
CDLM 2,Tronador Sociedad Anonima Comercial (1861 - RAPANUI),12/01/2023,0124-00042372,FRANUI LECHE,10,"12479,3388","150999,99948",Postres
CDLM 6,Liñan Linares S.R.L (0943 - LA BOUTIQUE DEL JAMON),12/01/2023,0050-00001045,CREM DE LECHE MILK,1,"5118,34","6007,395658",Quesos y Fiambres
CDLM 2,Ab Logistica S.A (1800 - AB LOGISTICA),12/01/2023,0040-00009720,SIMPLOT CORTE TRADIC 10 MM 6X2,60,"5473,54","397379,004",Papas Congeladas
CDLM 6,Gaston Horacio Cuillieri Arenas (2482 - GASTON ARENAS),12/01/2023,0006-00001143,PAN DE HAMBUERGUESA X9,54,110,5940,Panaderia
CDLM 6,Liñan Linares S.R.L (0943 - LA BOUTIQUE DEL JAMON),12/01/2023,0050-00001045,PIMIE MORRO CARAC EN,4,"519,835","2440,521358",Quesos y Fiambres
CDLM 6,Liñan Linares S.R.L (0943 - LA BOUTIQUE DEL JAMON),12/01/2023,0050-00001045,RODO EMPE KG X 1K,"4,565","1280,99","6863,468201095",Quesos y Fiambres
CDLM 6,Liñan Linares S.R.L (0943 - LA BOUTIQUE DEL JAMON),12/01/2023,0050-00001045,QUESO CREM MILK BOLS,1,"2747,93","3225,245441",Quesos y Fiambres
CDLM 6,Liñan Linares S.R.L (0943 - LA BOUTIQUE DEL JAMON),12/01/2023,0050-00001045,PROVOLETA,"6,2","1643,8","11961,833972",Quesos y Fiambres
CDLM 2,Food Packaging S.R.L. (2226 - FOOD PACKAGING),12/01/2023,0001-00021149,SERVILLETAS 33 X 33 ECO SABEMOS LO QUE,15,"2846,17","51657,9855",Bazar
CDLM 2,Grandbar S.A. (0642 - GRANDBAR DISTRIBUCIONES),12/01/2023,0003-00076665,PROMO BRANCA MAYORISTA X 750ML,11,"1121,1","14921,841",Bebidas con Alcohol
CDLM 6,Cafe America Mayorista S.A. (2395 - CAFE AMERICA MAYORISTA),13/01/2023,0178-00005908,ALICANTE 25G COND ARROZ,12,"73,669","1069,67388",Almacen
CDLM 6,Cafe America Mayorista S.A. (2395 - CAFE AMERICA MAYORISTA),13/01/2023,0178-00005908,DOS ANCLAS 35G TOMILLO,4,"121,331","587,24204",Almacen
CDLM 6,Cafe America Mayorista S.A. (2395 - CAFE AMERICA MAYORISTA),13/01/2023,0178-00005908,MENOYO 1LT VINAGRE ALCOHOL,2,"125,157","302,87994",Almacen
CDLM 6,Cafe America Mayorista S.A. (2395 - CAFE AMERICA MAYORISTA),13/01/2023,0178-00005908,GALLO 617 1K ORO BOLSA,1,"211,174","255,52054",Almacen
CDLM 6,Cafe America Mayorista S.A. (2395 - CAFE AMERICA MAYORISTA),13/01/2023,0178-00005908,LUCCHETTI 2128 500G FID TIRAB,5,"125,744","760,7512",Almacen
CDLM 6,Cafe America Mayorista S.A. (2395 - CAFE AMERICA MAYORISTA),13/01/2023,0178-00005908,LA VIRGINIA 20UN TE C/CANELA,6,"155,744","1130,70144",Almacen
CDLM 6,Cafe America Mayorista S.A. (2395 - CAFE AMERICA MAYORISTA),13/01/2023,0178-00005908,FLORENCIA HARINA 1K /3/0,3,"115,71","383,57865",Almacen
CDLM 6,Cafe America Mayorista S.A. (2395 - CAFE AMERICA MAYORISTA),13/01/2023,0178-00005908,LUCCHETTI 1060 1KGARROZ LARGO BOLSA,5,"147,694","893,5487",Almacen
CDLM 6,Cafe America Mayorista S.A. (2395 - CAFE AMERICA MAYORISTA),13/01/2023,0178-00005908,VERDEFLOR 1K YERBA COMPUESTA,1,"447,711","541,73031",Almacen
CDLM 6,Cafe America Mayorista S.A. (2395 - CAFE AMERICA MAYORISTA),13/01/2023,0178-00005908,COCA COLA 500CC,24,"125,587","3647,04648",Almacen
CDLM 6,Cafe America Mayorista S.A. (2395 - CAFE AMERICA MAYORISTA),13/01/2023,0178-00005908,CA 1K PICADA ESPECIAL,5,"950,226","5249,99865",Almacen
CDLM 6,Cafe America Mayorista S.A. (2395 - CAFE AMERICA MAYORISTA),13/01/2023,0178-00005908,DOLCA 170G CAFE SUAVE,4,"473,372","2291,12048",Almacen
CDLM 6,Oscar Celedon (0717 - FRUTAS Y VERDURAS),13/01/2023,0000-00000002,LECHUGA MORADA,3,1600,4800,Verduleria
CDLM 6,Oscar Celedon (0717 - FRUTAS Y VERDURAS),13/01/2023,0000-00000002,RUCULA CAJON,2,1400,2800,Verduleria
CDLM 6,Oscar Celedon (0717 - FRUTAS Y VERDURAS),13/01/2023,0000-00000002,PAPA BOLSA,3,2800,8400,Verduleria
CDLM 6,Oscar Celedon (0717 - FRUTAS Y VERDURAS),13/01/2023,0000-00000002,ZAPALLO,3,1500,4500,Verduleria
CDLM 6,Oscar Celedon (0717 - FRUTAS Y VERDURAS),13/01/2023,0000-00000002,ALBAHACA CAJON,1,2000,2000,Verduleria
CDLM 1,Distrosol S.A. (0277 - DISTROSOL),13/01/2023,0003-00400884,PEPSI CAN 4X6 354,8,"1491,63","14438,9784",Bebidas sin Alcohol
CDLM 1,Distrosol S.A. (0277 - DISTROSOL),13/01/2023,0003-00400884,7-UP NF CAN 4X6 354CC,5,"1538,71","9309,1955",Bebidas sin Alcohol
CDLM 1,Distrosol S.A. (0277 - DISTROSOL),13/01/2023,0003-00400884,PDTOROS POM CAN 4X6 269CC,3,"1050,37","3812,8431",Bebidas sin Alcohol
CDLM 6,Joel S.R.L. (2398 - JOEL),13/01/2023,0006-00399809,ECO DE LOS ANDES SG PET X12 500,4,"1721,9256","8334,119904",Bebidas sin Alcohol
CDLM 6,Joel S.R.L. (2398 - JOEL),13/01/2023,0006-00399809,PDTOROS TONICA CAN 4X6 269,2,"2287,876","5536,65992",Bebidas
CDLM 4,Zuppa S.R.L. (2081 - ZUPPA S.R.L.),13/01/2023,0005-00253578,PEPSI CAN 4X6 354 BLACK,3,"1677,8484","6090,589692",Bebidas sin Alcohol
CDLM 6,Joel S.R.L. (2398 - JOEL),13/01/2023,0006-00399809,PDTOROS  POM CAN 4X6 269,2,"2287,876","5536,65992",Bebidas
CDLM 6,Joel S.R.L. (2398 - JOEL),13/01/2023,0006-00399809,7-UP NF CAN 4X6 354,4,"2207,7148","10685,339632",Bebidas
CDLM 6,Joel S.R.L. (2398 - JOEL),13/01/2023,0006-00399809,MIRINDA NARANJA 4X6 LAT 354,2,"2207,7148","5342,669816",Bebidas
CDLM 1,Distrosol S.A. (0277 - DISTROSOL),13/01/2023,0003-00400884,MIRINDA NARANJA * 4X6 LAT 354,3,"1538,71","5585,5173",Bebidas sin Alcohol
CDLM 1,Distrosol S.A. (0277 - DISTROSOL),13/01/2023,0003-00400884,OLIOVITA CLASICO BT X12 500CC,1,"7131,34","8628,9214",Aceite
CDLM 1,Distrosol S.A. (0277 - DISTROSOL),13/01/2023,0003-00400884,PEPSI CAN 4X6 354 BLACK,3,"1491,63","5414,6169",Bebidas sin Alcohol
CDLM 4,Zuppa S.R.L. (2081 - ZUPPA S.R.L.),13/01/2023,0005-00253578,ECO DE LOS ANDES SG PET X 12 500 CC,2,"1249,3774","3023,493308",Bebidas sin Alcohol
CDLM 4,Zuppa S.R.L. (2081 - ZUPPA S.R.L.),13/01/2023,0005-00253578,ECO DE LOS ANDES CG PET X12 500CC,1,"1249,1404","1511,459884",Bebidas sin Alcohol
CDLM 4,Zuppa S.R.L. (2081 - ZUPPA S.R.L.),13/01/2023,0005-00253578,7-UP NF CAN 4X6 LAT 473CC,3,"1630,765","5919,67695",Bebidas sin Alcohol
CDLM 6,Gaston Horacio Cuillieri Arenas (2482 - GASTON ARENAS),13/01/2023,0006-00001146,PAN DE HAMBUERGUESA X9,36,110,3960,Panaderia
CDLM 6,Joel S.R.L. (2398 - JOEL),13/01/2023,0006-00399809,ECO DE LOS ANDES CG PET X12 500MIX 203,4,"1663,2231","8049,999804",Bebidas
CDLM 6,Joel S.R.L. (2398 - JOEL),13/01/2023,0006-00399809,QUILMES 4X6 LAT 473,1,"3231,0495","3909,569895",Bebidas
CDLM 5,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),13/01/2023,0005-13012023,CIBULLET - ATADO,10,50,500,Verduleria
CDLM 6,Oscar Celedon (0717 - FRUTAS Y VERDURAS),13/01/2023,0000-00000002,TOMATE CAJON,3,4000,12000,Verduleria
CDLM 6,Oscar Celedon (0717 - FRUTAS Y VERDURAS),13/01/2023,0000-00000002,CIBULLETE,15,100,1500,Verduleria
CDLM 6,Oscar Celedon (0717 - FRUTAS Y VERDURAS),13/01/2023,0000-00000002,PIMIENTO VERDE CAJON,1,1800,1800,Verduleria
CDLM 6,Oscar Celedon (0717 - FRUTAS Y VERDURAS),13/01/2023,0000-00000002,ENVIO,1,3000,3000,Verduleria
CDLM 6,Oscar Celedon (0717 - FRUTAS Y VERDURAS),13/01/2023,0000-00000002,ZANAHORIA BOLSA,1,700,700,Verduleria
CDLM 6,Oscar Celedon (0717 - FRUTAS Y VERDURAS),13/01/2023,0000-00000002,CEBOLLA VERDEO FARDO,15,120,1800,Verduleria
CDLM 6,Cafe America Mayorista S.A. (2395 - CAFE AMERICA MAYORISTA),13/01/2023,0178-00005908,BAGLEY 398 GALL SURTIDAS,8,"227,719","2204,31992",Almacen
CDLM 5,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),13/01/2023,0005-13012023,CEBOLLA DE VERDEO - FARDO,5,200,1000,Verduleria
CDLM 5,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),13/01/2023,0005-13012023,CAJON DE HUEVO,2,3500,7000,Verduleria
CDLM 6,Cafe America Mayorista S.A. (2395 - CAFE AMERICA MAYORISTA),13/01/2023,0178-00005908,DOS ANCLAS  25G LAUREL TRITURADO,5,"88,446","535,0983",Almacen
CDLM 6,Cafe America Mayorista S.A. (2395 - CAFE AMERICA MAYORISTA),13/01/2023,0178-00005908,BAHIA 170G ATUN DESME NATURAL,10,"219,496","2655,9016",Almacen
CDLM 6,Cafe America Mayorista S.A. (2395 - CAFE AMERICA MAYORISTA),13/01/2023,0178-00005908,MAGGI 12X9CALDO DE VERDURA,7,"92,207","780,99329",Almacen
CDLM 6,Cafe America Mayorista S.A. (2395 - CAFE AMERICA MAYORISTA),13/01/2023,0178-00005908,CARACAS  380G CABALLA ACEITE,4,"398,306","1927,80104",Almacen
CDLM 6,Cafe America Mayorista S.A. (2395 - CAFE AMERICA MAYORISTA),13/01/2023,0178-00005908,LUCCHETTI 500G FID LINGUINE,12,"131,893","1915,08636",Almacen
CDLM 6,Cafe America Mayorista S.A. (2395 - CAFE AMERICA MAYORISTA),13/01/2023,0178-00005908,PROFECIA 500G TOMATE,10,"220,86","2672,406",Almacen
CDLM 6,Cafe America Mayorista S.A. (2395 - CAFE AMERICA MAYORISTA),13/01/2023,0178-00005908,LEDESMA 1K AZUCAR,10,"193,058","2336,0018",Almacen
CDLM 6,Cafe America Mayorista S.A. (2395 - CAFE AMERICA MAYORISTA),13/01/2023,0178-00005908,BUCKINGHAM 50GR CONDIM CURRY,6,"160,215","1163,1609",Almacen
CDLM 6,Cafe America Mayorista S.A. (2395 - CAFE AMERICA MAYORISTA),13/01/2023,0178-00005908,ME-LA-GA 1KG PIMENTON EXTRA NVO,1,"1464,231","1771,71951",Almacen
CDLM 6,Cafe America Mayorista S.A. (2395 - CAFE AMERICA MAYORISTA),13/01/2023,0178-00005908,GALVAN 1K OREGANO,1,"1421,479","1719,98959",Almacen
CDLM 6,Cafe America Mayorista S.A. (2395 - CAFE AMERICA MAYORISTA),13/01/2023,0178-00005908,MILKAUT 1K DULCE DE LECHE REPOSTERO,2,"684,099","1655,51958",Almacen
CDLM 6,Cafe America Mayorista S.A. (2395 - CAFE AMERICA MAYORISTA),13/01/2023,0178-00005908,HIELERET 400M ENDULZANTE MATE,1,"330,686","400,13006",Almacen
CDLM 4,Zuppa S.R.L. (2081 - ZUPPA S.R.L.),13/01/2023,0005-00253578,QUILMES 4X6 LAT 473CC,2,"2499,8884","6049,729928",Bebidas con Alcohol
CDLM 6,Cafe America Mayorista S.A. (2395 - CAFE AMERICA MAYORISTA),13/01/2023,0178-00005908,GALVAN 50SAQ YERBA SAQUITOS,1,"294,455","356,29055",Almacen
CDLM 4,Zuppa S.R.L. (2081 - ZUPPA S.R.L.),13/01/2023,0005-00253578,MIRINDA NARANJA 4X6  LAT 354,1,"1630,7479","1973,204959",Bebidas
CDLM 4,Zuppa S.R.L. (2081 - ZUPPA S.R.L.),13/01/2023,0005-00253578,PEPSI CAN 4X6 354 NF,8,"1677,825","16241,346",Bebidas sin Alcohol
CDLM 6,Cafe America Mayorista S.A. (2395 - CAFE AMERICA MAYORISTA),13/01/2023,0178-00005908,FLORENCIA  1 K HARINA 4/0,3,"134,95","447,35925",Almacen
CDLM 6,Joel S.R.L. (2398 - JOEL),13/01/2023,0006-00399809,PEPSI CAN  4X6 354NF,6,"2239,9614","16262,119764",Bebidas sin Alcohol
CDLM 6,Joel S.R.L. (2398 - JOEL),13/01/2023,0006-00399809,PEPSI CAN 4X6 354 BLACK,3,"2239,9614","8131,059882",Bebidas
CDLM 3,Ruppert Gerardo Horacio (1974 - DISTRIBUIDORA MAC RUPPERT),13/01/2023,0002-00003319,BG-BQ H. DULCE DE LECHE X 5 LTS,1,"4573,54","5533,9834",Almacen
CDLM 1,Ruppert Gerardo Horacio (1974 - DISTRIBUIDORA MAC RUPPERT),13/01/2023,0002-00003320,BG-BQ H. AMERICANA X 5 LTS,1,"4573,54","5533,9834",Almacen
CDLM 1,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),13/01/2023,0002-13012023,RUCULA  - CAJÓN,2,1000,2000,Verduleria
CDLM 1,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),13/01/2023,0002-13012023,PAPA - BOLSA,4,3200,12800,Verduleria
CDLM 4,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),13/01/2023,0004-13012023,CIBULLET - ATADO,10,50,500,Verduleria
CDLM 4,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),13/01/2023,0004-13012023,ZAPALLO COREANO - BOLSA,2,1500,3000,Verduleria
CDLM 4,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),13/01/2023,0004-13012023,AJO - UN,6,30,180,Verduleria
CDLM 4,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),13/01/2023,0004-13012023,TOMATE  - CAJÓN,1,3000,3000,Verduleria
CDLM 4,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),13/01/2023,0004-13012023,RUCULA  - CAJÓN,2,1000,2000,Verduleria
CDLM 4,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),13/01/2023,0004-13012023,PAPA - BOLSA,1,3200,3200,Verduleria
CDLM 4,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),13/01/2023,0004-13012023,CEBOLLON - BOLSA,2,2300,4600,Verduleria
CDLM 2,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),13/01/2023,0003-13012023,CIBULLET - ATADO,12,50,600,Verduleria
CDLM 2,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),13/01/2023,0003-13012023,ZAPALLO COREANO - BOLSA,1,1500,1500,Verduleria
CDLM 2,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),13/01/2023,0003-13012023,PEPINO - KG,1,250,250,Verduleria
CDLM 2,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),13/01/2023,0003-13012023,ALBAHACA CAJON,1,1000,1000,Verduleria
CDLM 2,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),13/01/2023,0003-13012023,TOMATE  - CAJÓN,2,3000,6000,Verduleria
