PAYMENT RELEASE DATE,MERCADO PAGO OPERATION ID,ID,REGISTRATION TYPE,DESCRIPTION,NET AMOUNT,NET AMOUNT DEBITED,GROSS AMOUNT,MERCADO PAGO O MERCADO LIBRE FEE (INCLUDES VAT),SHIPPING COST,TAXES COLLECTED THROUGH IIBB WITHHOLDINGS,MEDIO DE PAGO,TAX DETAILS,CASH REGISTER ID,CASH REGISTER NAME,BRANCH ID,BRANCH NAME,CURRENCY,BROKEN DOWN TAXES,EXTRA DATA,REFUND ID,SALES CHANNEL,BALANCE
2023-11-30T12:09:36.000-03:00,,,Balance prior to withdrawal,pre_payout_67882824224,485955.29,0.00,485955.29,0.00,0.00,0.00,,,,,,,,,,,,485955.29
2023-11-30T12:09:39.000-03:00,67882824224,,Settled money,Reserve for payment,0.00,212139.80,-212139.80,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,,273815.49
2023-11-30T12:09:42.000-03:00,67882824224,,Settled money,Reserve for payment,212139.80,0.00,212139.80,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,,485955.29
2023-11-30T12:09:42.000-03:00,67882824224,ORD6LEN8XL3W18P2M1Y30V,Settled money,Cash withdrawal,0.00,212139.80,-210874.55,0.00,0.00,-1265.25,Available money,debits_credits,,,,,ARS,"[{""amount"":-1265.25,""detail"":""tax_withholding_payout"",""financial_entity"":""debitos_creditos""}]",{},,,273815.49
2023-11-30T12:09:45.000-03:00,,,Balance prior to withdrawal,post_payout_67882824224,273815.49,0.00,273815.49,0.00,0.00,0.00,,,,,,,,,,,,273815.49
2023-11-30T14:28:38.000-03:00,,,Balance prior to withdrawal,pre_payout_67891623516,273815.49,0.00,273815.49,0.00,0.00,0.00,,,,,,,,,,,,273815.49
2023-11-30T14:28:41.000-03:00,67891623516,,Settled money,Reserve for payment,0.00,24345.20,-24345.20,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,,249470.29
2023-11-30T14:28:46.000-03:00,67891623516,,Settled money,Reserve for payment,24345.20,0.00,24345.20,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,,273815.49
2023-11-30T14:28:46.000-03:00,67891623516,ORD6LEN8XLWW6ZG2M1Y30V,Settled money,Cash withdrawal,0.00,24345.20,-24200.00,0.00,0.00,-145.20,Available money,debits_credits,,,,,ARS,"[{""amount"":-145.20,""detail"":""tax_withholding_payout"",""financial_entity"":""debitos_creditos""}]",{},,,249470.29
2023-11-30T14:28:49.000-03:00,,,Balance prior to withdrawal,post_payout_67891623516,249470.29,0.00,249470.29,0.00,0.00,0.00,,,,,,,,,,,,249470.29
2023-11-30T17:17:07.000-03:00,67902003904,,Settled money,Payment,164840.98,0.00,170114.53,0.00,0.00,-5273.55,Digital bank account,debits_credits,,,,,ARS,"[{""amount"":-1020.69,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""},{""amount"":-4252.86,""detail"":""tax_withholding_collector"",""financial_entity"":""sircupa""}]",{},,,414311.27
,,,Total available money,,414311.27,0.00,485620.63,-27167.24,0.00,-44142.12,,,,,,,,,,,,0.00
