MONTH,YEAR,order_id,billing_state,billing_country,referring_platform,marketing_campaign_source,product_type,product_title, Gross Sale of Products , Customer Shipping Payment , TOTAL GROSS ORDER SALES , gross_profit ,gross_profit margin
JUNE,2020,2401871331410,Arizona,United States,direct,,Tabletop & Statuary,Cthulhu Statue, $35.00 , $-   , $35.00 , $7.00 ,20%
JUNE,2020,2401871331410,Arizona,United States,direct,,,, $-   , $-   , $-   , $-   ,0%
JUNE,2020,2404374970450,Tennessee,United States,alphabet,google,,, $-   , $7.00 , $7.00 , $-   ,0%
JUNE,2020,2404374970450,Tennessee,United States,alphabet,google,Tabletop & Statuary,"Gargoyle Statue-9.45""", $40.00 , $-   , $40.00 , $10.00 ,25%
JUNE,2020,2409454796882,California,United States,direct,,,, $-   , $-   , $-   , $-   ,0%
JUNE,2020,2409454796882,California,United States,direct,,Tabletop & Statuary,Zombie Dog, $36.00 , $-   , $36.00 , $11.00 ,31%
JUNE,2020,2409454796882,California,United States,direct,,Outdoor Statuary,Crawling Zombie Gnome, $35.00 , $-   , $35.00 , $11.00 ,31%
JUNE,2020,2411651858514,Wisconsin,United States,meta,,,, $-   , $7.00 , $7.00 , $-   ,0%
JUNE,2020,2411651858514,Wisconsin,United States,meta,,Candle Holders,Cauldron Oil or Wax Burner, $25.00 , $-   , $25.00 , $8.00 ,32%
JUNE,2020,2411863015506,Pennsylvania,United States,alphabet,google,Tabletop & Statuary,Faux Geode Black Skull, $36.00 , $-   , $36.00 , $16.00 ,44%
JUNE,2020,2411863015506,Pennsylvania,United States,alphabet,google,Tabletop & Statuary,"See, Hear, Speak No Evil Goblins", $25.00 , $-   , $25.00 , $6.40 ,26%
JUNE,2020,2411863015506,Pennsylvania,United States,alphabet,google,,, $-   , $8.50 , $8.50 , $-   ,0%
JUNE,2020,2423250059346,Georgia,United States,alphabet,,,, $-   , $-   , $-   , $-   ,0%
JUNE,2020,2423250059346,Georgia,United States,alphabet,,Tabletop & Statuary,Dracula Skull, $70.00 , $-   , $70.00 , $28.50 ,41%
JUNE,2020,2423326310482,Michigan,United States,meta,,Tabletop & Statuary,Horror Statuary - Pinhead, $15.00 , $-   , $15.00 , $4.00 ,27%
JUNE,2020,2423326310482,Michigan,United States,meta,,,, $-   , $7.00 , $7.00 , $-   ,0%
JUNE,2020,2423326310482,Michigan,United States,meta,,Tabletop & Statuary,Horror Statuary - Pennywise, $15.00 , $-   , $15.00 , $4.00 ,27%
JUNE,2020,2426496319570,Ohio,United States,meta,Facebook,,, $-   , $7.00 , $7.00 , $-   ,0%
JUNE,2020,2426496319570,Ohio,United States,meta,Facebook,Tabletop & Statuary,Horror Statuary - Jason, $15.00 , $-   , $15.00 , $4.00 ,27%
JUNE,2020,2428337553490,Texas,United States,meta,,,, $-   , $7.00 , $7.00 , $-   ,0%
JUNE,2020,2428337553490,Texas,United States,meta,,Curio Boxes,Spirit Board Curio Box, $30.00 , $-   , $30.00 , $12.00 ,40%
JUNE,2020,2428562473042,Arizona,United States,meta,,Tabletop & Statuary,"PRE-ORDER - See, Hear, Speak No Evil Goblins", $25.00 , $-   , $25.00 , $6.40 ,26%
JUNE,2020,2428562473042,Arizona,United States,meta,,,, $-   , $7.00 , $7.00 , $-   ,0%
JUNE,2020,2431148228690,Michigan,United States,meta,,,, $-   , $7.00 , $7.00 , $-   ,0%
JUNE,2020,2431148228690,Michigan,United States,meta,,Tabletop & Statuary,Baphomet Statue, $38.00 , $-   , $38.00 , $13.82 ,36%
JUNE,2020,2432655327314,Florida,United States,alphabet,google,,, $-   , $7.00 , $7.00 , $-   ,0%
JUNE,2020,2432655327314,Florida,United States,alphabet,google,Wall Art & Decor,Bat Wall Decor With Hooks, $25.00 , $-   , $25.00 , $10.00 ,40%
JUNE,2020,2435305111634,New Jersey,United States,direct,,,, $-   , $7.00 , $7.00 , $-   ,0%
JUNE,2020,2435305111634,New Jersey,United States,direct,,Door Knockers,PRE-ORDER - Tree Man Door Knocker, $20.00 , $-   , $20.00 , $8.00 ,40%
JUNE,2020,2438561693778,New York,United States,android,abandoned_cart,,, $-   , $7.00 , $7.00 , $-   ,0%
JUNE,2020,2438561693778,New York,United States,android,abandoned_cart,Wall Art & Decor,Bat Pentagram, $36.50 , $-   , $32.85 , $5.41 ,16%
JUNE,2020,2439930216530,Louisiana,United States,meta,,,, $-   , $7.00 , $7.00 , $-   ,0%
JUNE,2020,2439930216530,Louisiana,United States,meta,,Tabletop & Statuary,Cthulhu Statue, $35.00 , $-   , $35.00 , $7.00 ,20%
JUNE,2020,2441700540498,Illinois,United States,meta,,Tabletop & Statuary,Tree Skull, $32.00 , $-   , $28.80 , $6.80 ,24%
JUNE,2020,2441700540498,Illinois,United States,meta,,Tabletop & Statuary,Moon & Bat Statue, $35.00 , $-   , $31.50 , $8.00 ,25%
JUNE,2020,2441700540498,Illinois,United States,meta,,,, $-   , $-   , $-   , $-   ,0%
JUNE,2020,2443587780690,New York,United States,meta,,Doormats,A Witch Lives Here Doormat, $45.00 , $-   , $45.00 , $11.34 ,25%
JUNE,2020,2443587780690,New York,United States,meta,,,, $-   , $-   , $-   , $-   ,0%
JUNE,2020,2443587780690,New York,United States,meta,,coffee mug,Large Witch Mug, $22.00 , $-   , $22.00 , $7.18 ,33%
JUNE,2020,2443601477714,Washington,United States,alphabet,google,Tabletop & Statuary,Cthulhu Statue, $35.00 , $-   , $35.00 , $7.00 ,20%
JUNE,2020,2443601477714,Washington,United States,alphabet,google,,, $-   , $7.00 , $7.00 , $-   ,0%
JUNE,2020,2445167362130,New York,United States,meta,Facebook,Door Knockers,Dragon Door Knocker, $33.00 , $-   , $33.00 , $16.74 ,51%
JUNE,2020,2445167362130,New York,United States,meta,Facebook,,, $-   , $8.23 , $8.23 , $-   ,0%
JUNE,2020,2446087553106,Arkansas,United States,direct,,,, $-   , $7.00 , $7.00 , $-   ,0%
JUNE,2020,2446087553106,Arkansas,United States,direct,,Tabletop & Statuary,Black Skull with Faux Geode, $36.00 , $-   , $36.00 , $16.45 ,46%
JUNE,2020,2446650835026,Missouri,United States,meta,,,, $-   , $7.00 , $7.00 , $-   ,0%
JUNE,2020,2446650835026,Missouri,United States,meta,,Door Knockers,PRE-ORDER - Tree Man Door Knocker, $20.00 , $-   , $20.00 , $8.00 ,40%
JULY,2020,2260434911314,Rhode Island,United States,direct,,Rug,Goat Skull Area Rug, $-   , $-   , $(70.00), $-   ,0%
JULY,2020,2260434911314,Rhode Island,United States,direct,,,, $-   , $-   , $-   , $-   ,0%
JULY,2020,2459427962962,Washington,United States,meta,,Doormats,Baphomet Doormat, $45.00 , $-   , $45.00 , $11.34 ,25%
JULY,2020,2459427962962,Washington,United States,meta,,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2460231663698,New York,United States,alphabet,google,Candle Holders,Purple Candle Lantern, $25.00 , $-   , $25.00 , $3.23 ,13%
JULY,2020,2460231663698,New York,United States,alphabet,google,Tabletop & Statuary,Raven Eating Zombie, $29.00 , $-   , $29.00 , $10.00 ,34%
JULY,2020,2460231663698,New York,United States,alphabet,google,,, $-   , $-   , $-   , $-   ,0%
JULY,2020,2461448863826,Illinois,United States,subscribe-it,subscribe-it,Tabletop & Statuary,Cthulhu Statue, $35.00 , $-   , $35.00 , $7.00 ,20%
JULY,2020,2461448863826,Illinois,United States,subscribe-it,subscribe-it,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2461681942610,New York,United States,subscribe-it,subscribe-it,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2461681942610,New York,United States,subscribe-it,subscribe-it,Tabletop & Statuary,Moon & Bat Statue, $35.00 , $-   , $35.00 , $11.50 ,33%
JULY,2020,2463560826962,New Jersey,United States,alphabet,google,Candle Holders,Cauldron Oil or Wax Burner, $25.00 , $-   , $25.00 , $8.00 ,32%
JULY,2020,2463560826962,New Jersey,United States,alphabet,google,,, $-   , $7.64 , $7.64 , $-   ,0%
JULY,2020,2465744158802,Virginia,United States,alphabet,google,Candle Holders,PRE-ORDER - Skull Tealight Holder, $15.00 , $-   , $15.00 , $6.25 ,42%
JULY,2020,2465744158802,Virginia,United States,alphabet,google,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2466871869522,Oklahoma,United States,direct,,Tabletop & Statuary,Baphomet Statue, $38.00 , $-   , $38.00 , $13.82 ,36%
JULY,2020,2466871869522,Oklahoma,United States,direct,,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2467471818834,Massachusetts,United States,meta,,,, $-   , $7.02 , $7.47 , $-   ,0%
JULY,2020,2467471818834,Massachusetts,United States,meta,,Tabletop & Statuary,Horror Statue - Monster Stitch, $23.00 , $-   , $24.46 , $5.00 ,22%
JULY,2020,2468314054738,Virginia,United States,direct,,Tabletop & Statuary,Cthulhu Statue, $35.00 , $-   , $35.00 , $7.00 ,20%
JULY,2020,2468314054738,Virginia,United States,direct,,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2469020926034,Texas,United States,alphabet,,coffee mug,Large Witch Mug, $22.00 , $-   , $22.00 , $7.18 ,33%
JULY,2020,2469020926034,Texas,United States,alphabet,,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2470013370450,Virginia,United States,meta,,,, $-   , $-   , $-   , $-   ,0%
JULY,2020,2470013370450,Virginia,United States,meta,,Door Knockers,PRE-ORDER - Baphomet Door Knocker, $70.00 , $-   , $70.00 , $36.60 ,52%
JULY,2020,2470397116498,Michigan,United States,alphabet,,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2470397116498,Michigan,United States,alphabet,,Tabletop & Statuary,"Gargoyle Statue-9.45""", $40.00 , $-   , $40.00 , $10.00 ,25%
JULY,2020,2471013875794,North Carolina,United States,meta,,Wall Art & Decor,Bat Pentagram, $36.50 , $-   , $36.50 , $9.06 ,25%
JULY,2020,2471013875794,North Carolina,United States,meta,,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2471279853650,Florida,United States,alphabet,,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2471279853650,Florida,United States,alphabet,,Door Knockers,PRE-ORDER - Tree Man Door Knocker, $20.00 , $-   , $20.00 , $8.00 ,40%
JULY,2020,2471986626642,Iowa,United States,direct,,Tabletop & Statuary,"Gargoyle Statue-9.45""", $40.00 , $-   , $40.00 , $10.00 ,25%
JULY,2020,2471986626642,Iowa,United States,direct,,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2472258240594,Idaho,United States,android,google,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2472258240594,Idaho,United States,android,google,Doormats,Baphomet Doormat, $45.00 , $-   , $45.00 , $11.34 ,25%
JULY,2020,2477512130642,Louisiana,United States,direct,,Tabletop & Statuary,Horror Statuary - Pennywise, $15.00 , $-   , $15.00 , $4.00 ,27%
JULY,2020,2477512130642,Louisiana,United States,direct,,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2478169522258,Puerto Rico,United States,android,,Doormats,A Witch Lives Here Doormat, $45.00 , $-   , $-   , $-   ,0%
JULY,2020,2478169522258,Puerto Rico,United States,android,,,, $-   , $-   , $-   , $-   ,0%
JULY,2020,2479060680786,North Carolina,United States,meta,,Tabletop & Statuary,Horror Statuary - Jason, $15.00 , $-   , $15.00 , $4.00 ,27%
JULY,2020,2479060680786,North Carolina,United States,meta,,Tabletop & Statuary,Horror Statuary - Pennywise, $15.00 , $-   , $15.00 , $4.00 ,27%
JULY,2020,2479060680786,North Carolina,United States,meta,,Tabletop & Statuary,Horror Statuary - Leatherface, $15.00 , $-   , $15.00 , $4.00 ,27%
JULY,2020,2479060680786,North Carolina,United States,meta,,Tabletop & Statuary,Horror Statuary - Pinhead, $15.00 , $-   , $15.00 , $4.00 ,27%
JULY,2020,2479060680786,North Carolina,United States,meta,,Tabletop & Statuary,Horror Statuary - Freddy, $15.00 , $-   , $15.00 , $4.00 ,27%
JULY,2020,2479060680786,North Carolina,United States,meta,,,, $-   , $-   , $-   , $-   ,0%
JULY,2020,2483328909394,Texas,United States,meta,,Tabletop & Statuary,Monster & Bride, $19.00 , $-   , $19.00 , $4.00 ,21%
JULY,2020,2483328909394,Texas,United States,meta,,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2483707052114,Texas,United States,meta,,Door Knockers,Tree Man Door Knocker, $20.00 , $-   , $20.00 , $8.00 ,40%
JULY,2020,2483707052114,Texas,United States,meta,,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2484198146130,Connecticut,United States,meta,,,, $-   , $7.64 , $8.13 , $-   ,0%
JULY,2020,2484198146130,Connecticut,United States,meta,,Bathroom Decor,Skull & Heart Hand Towel, $30.00 , $-   , $31.91 , $10.20 ,34%
JULY,2020,2484651491410,Oregon,United States,meta,,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2484651491410,Oregon,United States,meta,,Tabletop & Statuary,Horror Statuary - Pinhead, $15.00 , $-   , $15.00 , $4.00 ,27%
JULY,2020,2484651491410,Oregon,United States,meta,,Tabletop & Statuary,Horror Statuary - Freddy, $15.00 , $-   , $15.00 , $4.00 ,27%
JULY,2020,2484651491410,Oregon,United States,meta,,Tabletop & Statuary,Grim Reaper, $15.00 , $-   , $15.00 , $4.00 ,27%
JULY,2020,2486616129618,New York,United States,direct,,Doormats,Baphomet Doormat, $45.00 , $-   , $45.00 , $11.34 ,25%
JULY,2020,2486616129618,New York,United States,direct,,,, $-   , $8.30 , $8.30 , $-   ,0%
JULY,2020,2488388452434,California,United States,meta,,Tabletop & Statuary,Silver Dragon Skull, $35.00 , $-   , $35.00 , $15.43 ,44%
JULY,2020,2488388452434,California,United States,meta,,Tabletop & Statuary,Bloody Vampire Skull, $35.00 , $-   , $35.00 , $17.00 ,49%
JULY,2020,2488388452434,California,United States,meta,,,, $-   , $-   , $-   , $-   ,0%
JULY,2020,2489516163154,Washington,United States,meta,,Doormats,Baphomet Doormat, $45.00 , $-   , $45.00 , $11.34 ,25%
JULY,2020,2489516163154,Washington,United States,meta,,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2491207254098,Georgia,United States,alphabet,,,, $-   , $9.54 , $9.54 , $-   ,0%
JULY,2020,2491207254098,Georgia,United States,alphabet,,Door Knockers,Baphomet Door Knocker, $35.00 , $-   , $35.00 , $18.30 ,52%
JULY,2020,2493357785170,California,United States,subscribe-it,subscribe-it,wallet,Spirit Board Wallet, $30.00 , $-   , $30.00 , $10.00 ,33%
JULY,2020,2493357785170,California,United States,subscribe-it,subscribe-it,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2493653778514,Missouri,United States,alphabet,,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2493653778514,Missouri,United States,alphabet,,wallet,Spirit Board Wallet, $30.00 , $-   , $30.00 , $10.00 ,33%
JULY,2020,2495408242770,Illinois,United States,alphabet,google,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2495408242770,Illinois,United States,alphabet,google,Candle Holders,Skull Tealight Holder, $15.00 , $-   , $15.00 , $6.25 ,42%
JULY,2020,2495421743186,Florida,United States,meta,,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2495421743186,Florida,United States,meta,,wallet,Spirit Board Wallet, $30.00 , $-   , $30.00 , $10.00 ,33%
JULY,2020,2496009994322,Washington,United States,direct,,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2496009994322,Washington,United States,direct,,Bathroom Decor,Skull & Heart Hand Towel, $16.00 , $-   , $16.00 , $5.10 ,32%
JULY,2020,2496267255890,Illinois,United States,subscribe-it,subscribe-it,Tabletop & Statuary,Horror Statuary - Michael Myers, $15.00 , $-   , $15.00 , $4.00 ,27%
JULY,2020,2496267255890,Illinois,United States,subscribe-it,subscribe-it,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2496286982226,Colorado,United States,alphabet,google,wallet,Spirit Board Wallet, $30.00 , $-   , $30.00 , $10.00 ,33%
JULY,2020,2496286982226,Colorado,United States,alphabet,google,,, $-   , $-   , $-   , $-   ,0%
JULY,2020,2496286982226,Colorado,United States,alphabet,google,Tabletop & Statuary,Cthulhu Statue, $35.00 , $-   , $35.00 , $7.00 ,20%
JULY,2020,2496315719762,Massachusetts,United States,meta,,CANDLES,PRE-ORDER - Pumpkin Spice Soy Candle, $15.00 , $-   , $15.00 , $6.00 ,40%
JULY,2020,2496315719762,Massachusetts,United States,meta,,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2498826109010,New York,United States,direct,,Tabletop & Statuary,Baphomet Statue, $38.00 , $-   , $38.00 , $13.82 ,36%
JULY,2020,2498826109010,New York,United States,direct,,Doormats,Baphomet Doormat, $45.00 , $-   , $45.00 , $11.34 ,25%
JULY,2020,2498826109010,New York,United States,direct,,,, $-   , $-   , $-   , $-   ,0%
JULY,2020,2499291873362,California,United States,alphabet,google,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2499291873362,California,United States,alphabet,google,Candle Holders,Skull Tealight Holder, $15.00 , $-   , $15.00 , $6.25 ,42%
JULY,2020,2500589355090,Texas,United States,meta,,Tabletop & Statuary,"See, Hear, Speak No Evil Goblins", $25.00 , $-   , $25.00 , $6.40 ,26%
JULY,2020,2500589355090,Texas,United States,meta,,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2501688229970,Oregon,United States,alphabet,google,,, $-   , $-   , $-   , $-   ,0%
JULY,2020,2501688229970,Oregon,United States,alphabet,google,Tabletop & Statuary,The Three Little Skulls, $20.00 , $-   , $20.00 , $5.60 ,28%
JULY,2020,2501688229970,Oregon,United States,alphabet,google,Tabletop & Statuary,Tree Skull, $32.00 , $-   , $32.00 , $10.00 ,31%
JULY,2020,2503532806226,California,United States,alphabet,google,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2503532806226,California,United States,alphabet,google,Doormats,Baphomet Doormat, $45.00 , $-   , $45.00 , $11.34 ,25%
JULY,2020,2503942078546,Michigan,United States,meta,,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2503942078546,Michigan,United States,meta,,Tabletop & Statuary,"Gargoyle Statue-9.45""", $40.00 , $-   , $40.00 , $10.00 ,25%
JULY,2020,2504362328146,Oklahoma,United States,meta,,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2504362328146,Oklahoma,United States,meta,,Tabletop & Statuary,Cthulhu Statue, $35.00 , $-   , $35.00 , $7.00 ,20%
JULY,2020,2505266036818,Arizona,United States,meta,,Tabletop & Statuary,Monster & Bride, $19.00 , $-   , $19.00 , $4.00 ,21%
JULY,2020,2505266036818,Arizona,United States,meta,,Tabletop & Statuary,Hell's Desire Skull, $35.00 , $-   , $35.00 , $15.00 ,43%
JULY,2020,2505266036818,Arizona,United States,meta,,Tabletop & Statuary,Horror Statue - Monster Stitch, $23.00 , $-   , $23.00 , $5.00 ,22%
JULY,2020,2505266036818,Arizona,United States,meta,,,, $-   , $-   , $-   , $-   ,0%
JULY,2020,2505440133202,Georgia,United States,meta,,Wall Art & Decor,Bat Pentagram, $36.50 , $-   , $36.50 , $9.06 ,25%
JULY,2020,2505440133202,Georgia,United States,meta,,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2506941923410,New York,United States,direct,,Candle Holders,Skull Tealight Holder, $15.00 , $-   , $15.00 , $6.25 ,42%
JULY,2020,2506941923410,New York,United States,direct,,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2506941923410,New York,United States,direct,,Wall Art & Decor,Bat Wall Decor With Hooks, $25.00 , $-   , $25.00 , $10.00 ,40%
JULY,2020,2507034886226,Texas,United States,meta,Facebook,,, $-   , $-   , $-   , $-   ,0%
JULY,2020,2507034886226,Texas,United States,meta,Facebook,Candle Holders,Pentacle Candlestick Holders, $30.00 , $-   , $30.00 , $11.88 ,40%
JULY,2020,2507034886226,Texas,United States,meta,Facebook,Doormats,A Witch Lives Here Doormat, $45.00 , $-   , $45.00 , $11.34 ,25%
JULY,2020,2507281465426,Georgia,United States,alphabet,,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2507281465426,Georgia,United States,alphabet,,Tabletop & Statuary,Cthulhu Statue, $35.00 , $-   , $35.00 , $7.00 ,20%
JULY,2020,2507376066642,Georgia,United States,meta,,Wall Art & Decor,Bat Pentagram, $36.50 , $-   , $36.50 , $9.06 ,25%
JULY,2020,2507376066642,Georgia,United States,meta,,Candle Holders,Skull Tealight Holder, $15.00 , $-   , $15.00 , $6.25 ,42%
JULY,2020,2507376066642,Georgia,United States,meta,,,, $-   , $-   , $-   , $-   ,0%
JULY,2020,2507684577362,Virginia,United States,meta,Facebook,Tabletop & Statuary,Horror Statuary - Michael Myers, $15.00 , $-   , $15.00 , $4.00 ,27%
JULY,2020,2507684577362,Virginia,United States,meta,Facebook,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2508129796178,Texas,United States,direct,,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2508129796178,Texas,United States,direct,,DEFECT,Baphomet Statue - DEFECT DISCOUNT, $28.00 , $-   , $28.00 , $-   ,0%
JULY,2020,2509035929682,Nevada,United States,meta,,Door Knockers,Baphomet Door Knocker, $35.00 , $-   , $35.00 , $18.30 ,52%
JULY,2020,2509035929682,Nevada,United States,meta,,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2509218709586,Indiana,United States,alphabet,google,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2509218709586,Indiana,United States,alphabet,google,Candle Holders,Skull Tealight Holder, $15.00 , $-   , $15.00 , $6.25 ,42%
JULY,2020,2510257651794,Virginia,United States,alphabet,google,Doormats,A Witch Lives Here Doormat, $45.00 , $-   , $45.00 , $11.34 ,25%
JULY,2020,2510257651794,Virginia,United States,alphabet,google,Candle Holders,Skull Tealight Holder, $15.00 , $-   , $15.00 , $6.25 ,42%
JULY,2020,2510257651794,Virginia,United States,alphabet,google,Tabletop & Statuary,The Three Little Skulls, $20.00 , $-   , $20.00 , $5.60 ,28%
JULY,2020,2510257651794,Virginia,United States,alphabet,google,,, $-   , $-   , $-   , $-   ,0%
JULY,2020,2511681781842,California,United States,alphabet,google,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2511681781842,California,United States,alphabet,google,Candle Holders,Cauldron Oil or Wax Burner, $25.00 , $-   , $25.00 , $8.00 ,32%
JULY,2020,2512811556946,Virginia,United States,meta,,,, $-   , $-   , $-   , $-   ,0%
JULY,2020,2512811556946,Virginia,United States,meta,,CANDLES,PRE-ORDER - Walk In The Woods Soy Candle, $15.00 , $-   , $15.00 , $6.00 ,40%
JULY,2020,2512811556946,Virginia,United States,meta,,Tabletop & Statuary,Cthulhu Statue, $35.00 , $-   , $35.00 , $7.00 ,20%
JULY,2020,2512909566034,California,United States,direct,,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2512909566034,California,United States,direct,,Tabletop & Statuary,"See, Hear, Speak No Evil Goblins", $25.00 , $-   , $25.00 , $6.40 ,26%
JULY,2020,2513932419154,Texas,United States,alphabet,google,Tabletop & Statuary,Baphomet Statue, $38.00 , $-   , $38.00 , $13.82 ,36%
JULY,2020,2513932419154,Texas,United States,alphabet,google,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2514576932946,California,United States,alphabet,google,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2514576932946,California,United States,alphabet,google,Candle Holders,Cauldron Oil or Wax Burner, $22.00 , $-   , $22.00 , $5.00 ,23%
JULY,2020,2515578060882,Virginia,United States,alphabet,,wallet,Spirit Board Wallet, $30.00 , $-   , $30.00 , $10.00 ,33%
JULY,2020,2515578060882,Virginia,United States,alphabet,,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2516580466770,Mississippi,United States,alphabet,google,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2516580466770,Mississippi,United States,alphabet,google,Candle Holders,Cauldron Oil or Wax Burner, $22.00 , $-   , $22.00 , $5.00 ,23%
JULY,2020,2516766359634,Florida,United States,alphabet,google,,, $-   , $9.99 , $9.99 , $-   ,0%
JULY,2020,2516766359634,Florida,United States,alphabet,google,Candle Holders,Skull Tealight Holder, $15.00 , $-   , $15.00 , $6.25 ,42%
JULY,2020,2518180659282,Texas,United States,meta,,DEFECT,Poe Raven Skull 1 - DEFECT DISCOUNT, $22.00 , $-   , $22.00 , $-   ,0%
JULY,2020,2518180659282,Texas,United States,meta,,DEFECT,Poe Raven Skull 2 - DEFECT DISCOUNT, $22.00 , $-   , $22.00 , $-   ,0%
JULY,2020,2518180659282,Texas,United States,meta,,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2518756163666,Michigan,United States,meta,,Candle Holders,Purple Candle Lantern, $25.00 , $-   , $25.00 , $3.23 ,13%
JULY,2020,2518756163666,Michigan,United States,meta,,,, $-   , $-   , $-   , $-   ,0%
JULY,2020,2518756163666,Michigan,United States,meta,,Tabletop & Statuary,Faux Geode Black Skull, $36.00 , $-   , $36.00 , $16.00 ,44%
JULY,2020,2522513277010,New York,United States,alphabet,google,Tabletop & Statuary,"See, Hear, Speak No Evil Goblins", $25.00 , $-   , $25.00 , $6.40 ,26%
JULY,2020,2522513277010,New York,United States,alphabet,google,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2525487628370,California,United States,alphabet,google,,, $-   , $14.97 , $14.97 , $-   ,0%
JULY,2020,2525487628370,California,United States,alphabet,google,Candle Holders,Skull Tealight Holder, $30.00 , $-   , $30.00 , $12.50 ,42%
JULY,2020,2525760553042,Florida,United States,meta,,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2525760553042,Florida,United States,meta,,Tabletop & Statuary,Cthulhu Statue, $35.00 , $-   , $35.00 , $7.00 ,20%
JULY,2020,2526239096914,Georgia,United States,meta,,Tabletop & Statuary,Hell's Desire Skull, $35.00 , $-   , $35.00 , $15.00 ,43%
JULY,2020,2526239096914,Georgia,United States,meta,,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2526686543954,Arizona,United States,alphabet,,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2526686543954,Arizona,United States,alphabet,,Tabletop & Statuary,Cthulhu Statue, $35.00 , $-   , $35.00 , $7.00 ,20%
JULY,2020,2526742839378,Arizona,United States,direct,,Candle Holders,Colored Glass Lanterns (Assorted), $45.30 , $-   , $45.30 , $15.64 ,35%
JULY,2020,2526742839378,Arizona,United States,direct,,Tabletop & Statuary,Tree Skull, $32.00 , $-   , $32.00 , $10.00 ,31%
JULY,2020,2526742839378,Arizona,United States,direct,,Tabletop & Statuary,Silver Skull, $32.50 , $-   , $32.50 , $14.50 ,45%
JULY,2020,2526742839378,Arizona,United States,direct,,Tabletop & Statuary,Hell's Desire Skull, $35.00 , $-   , $35.00 , $-   ,0%
JULY,2020,2526742839378,Arizona,United States,direct,,Tabletop & Statuary,Silver Dragon Skull, $35.00 , $-   , $35.00 , $15.43 ,44%
JULY,2020,2526742839378,Arizona,United States,direct,,,, $-   , $-   , $-   , $-   ,0%
JULY,2020,2527946080338,Nebraska,United States,meta,,Tabletop & Statuary,Baphomet Statue, $38.00 , $-   , $38.00 , $13.82 ,36%
JULY,2020,2527946080338,Nebraska,United States,meta,,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2528089800786,California,United States,alphabet,google,,, $-   , $7.00 , $7.00 , $-   ,0%
JULY,2020,2528089800786,California,United States,alphabet,google,Doormats,PRE-ORDER - Baphomet Doormat, $45.00 , $-   , $45.00 , $11.34 ,25%
