DATE_2018,VAT_2018,GROSS_TOTAL_2018,NET_2018,DATE_2019,VAT_2019,GROSS_TOTAL_2019,NET_2019,DATE_2020,VAT_2020,GROSS_TOTAL_2020,NET_2020,DATE_2021,VAT_2021,GROSS_TOTAL_2021,NET_2021,DATE_2022,GROSS_TOTAL_2022
17/6/2018,"1540,89","8878,5",,17-jun,"1145,98",6603,,17-jun,"2266,17","13057,5",17-jul,17-jun,"6151,51","35444,5",,,
18/6/2018,"1462,2","8425,05",,18-jun,"1175,52","6773,25",,18-jun,"1175,24","6771,6",27-abr,18-jun,"8879,69",51164,,,
19/6/2018,"1322,68","7621,1",,19-jun,"2201,39",12684,,19-jun,"3099,32",17858,27-may,19-jun,"5810,15","33477,5",,,
20/6/2018,"1253,52","7222,82",,20-jun,"1488,27","8575,2",,20-jun,"3168,96","18259,3",24-abr,20-jun,"2786,56",16056,,,
21/6/2018,"2210,05","12734,02",,21-jun,"1367,89","7881,5",,21-jun,"1391,55",8018,20-feb,21-jun,"4992,8",28768,,,
22/6/2018,"1660,32","9566,58",,22-jun,"2131,22","12279,88",,22-jun,"1361,19",7843,28-sept,22-jun,"4069,48",23448,,,
23/6/2018,"2740,29","15789,28",,23-jun,"1313,42",7568,,23-jun,"846,07",4875,10-ene,23-jun,"4953,38",28541,,,
24/6/2018,"1456,54","8392,5",,24-jun,"1297,95","7478,6",,24-jun,"3646,88",21013,18-jul,24-jun,"3866,97",22281,,,
25/6/2018,"1012,29","5832,55",,25-jun,"1160,18","6684,83",,25-jun,"4486,06","25848,33",26-jun,25-jun,"7079,12","40789,25",,,
26/6/2018,"906,62","5223,76",,26-jun,"2753,84","15867,4",,26-jun,"2763,32",15922,9-ene,26-jun,"10164,25","58565,5",,,
27/6/2018,"978,84","5639,9",,27-jun,"3685,03","21232,74",,27-jun,"5145,03",29645,27-ene,27-jun,"5196,91",29944,,,
28/6/2018,"1123,45","6473,2",,28-jun,"2793,69",16097,,28-jun,"2840,84","16368,7",12-ene,28-jun,"7430,64","42860,5",,,
29/6/2018,"2808,54","16182,6",,29-jun,"3907,53","22514,75",,29-jun,"2532,51",14592,5-ene,29-jun,"4653,07","26810,5",,,
30/6/2018,"5385,18","31028,67",,30-jun,"5279,61","30420,8",,30-jun,"1257,91",7248,25-may,30-jun,"7381,39",42531,,,
1/7/2018,"1210,48","6974,7",,1-jul,"928,5",5350,,1-jul,"2769,88","15959,75",9-feb,1-jul,"23528,89","135571,3",,,
2/7/2018,"807,24","4651,3",,2-jul,"2776,89",16000,,2-jul,"1769,2",10194,23-ene,2-jul,"6119,62","35260,51",,,
3/7/2018,"2071,07","11933,28",,3-jul,"2408,89","13879,6",,3-jul,"1597,91",9207,30-oct,3-jul,"19071,04","109885,5",,,
4/7/2018,"979,17","5641,85",,4-jul,"1529,73","8814,3",,4-jul,"2665,35","15357,5",30-sept,4-jul,"17860,68","102911,49",,,
5/7/2018,1482,"8538,85",,5-jul,"1692,56","9752,5",,5-jul,"1858,92",10711,26-mar,5-jul,"12174,02","70145,54",,,
6/7/2018,"2103,59",12121,,6-jul,"2007,51","11567,16",,6-jul,"896,92",5168,10-sept,6-jul,"6046,53","34949,5",,,
7/7/2018,"2292,79","13210,7",,7-jul,"2473,73","14253,3",,7-jul,"1605,37",9250,4-dic,7-jul,"5115,66",29476,,,
8/7/2018,"1381,66",7961,,8-jul,"2008,72",11574,,8-jul,1562,9000,12-may,8-jul,"17655,34","101728,38",,,
9/7/2018,"1156,3","6662,4",,9-jul,"372,11","2144,01",,9-jul,"1660,92",9570,26-ago,9-jul,"8933,52","51473,99",,,
10/7/2018,"839,41","4836,6",,10-jul,"515,97",2973,,10-jul,"2596,19",14959,4-nov,10-jul,"9275,76","53446,01",,,
11/7/2018,"1559,21","8984,02",,11-jul,"1271,11","7323,95",,11-jul,"1298,36",7481,3-dic,11-jul,"6967,68",40147,,,
12/7/2018,"1191,55","6865,52",,12-jul,"2074,62","11953,71",,12-jul,"1604,51",9245,30-nov,12-jul,"5691,6","32794,5",,,
13/7/2018,"1918,53","11054,4",,13-jul,"1726,85","9949,9",,13-jul,"1615,97",9311,24-ene,13-jul,"7287,9",41992,,,
14/7/2018,"1801,62","10380,85",,14-jul,"740,84","4268,65",,14-jul,"2107,39","12142,5",22-jun,14-jul,"3132,26","18047,75",,,
15/7/2018,"1222,76","7045,4",,15-jul,"821,69","4734,5",,15-jul,"908,38",5234,3-nov,15-jul,"4138,4",23845,,,
16/7/2018,"997,74",5749,,16-jul,"1638,96","9443,4",,16-jul,"2071,77","11937,4",3-ene,16-jul,"7825,47","45089,5",,,
17/7/2018,"1393,64","8026,5",,17-jul,"1332,39","7677,11",,17-jul,"2945,2",16970,24-may,17-jul,"8316,8","47920,66",,,
18/7/2018,"833,04","4799,7",,18-jul,"1335,18","7693,4",,18-jul,"2192,93","12785,5",30-dic,18-jul,"5218,77",30070,,,
19/7/2018,"1931,66","11130,1",,19-jul,"1800,53","10374,5",,19-jul,"2038,23",11744,27-jul,19-jul,"5887,92","33925,75",,,
20/7/2018,"2116,08","12192,9",,20-jul,"2151,33","12395,86",,20-jul,"1874,1","10798,5",6-jun,20-jul,"5035,06","29011,5",,,
21/7/2018,"2621,69","15106,1",,21-jul,"975,58","5621,27",,21-jul,"1930,63",11124,2-mar,21-jul,"2788,14","2788,14",,,
22/7/2018,"2659,6","15324,4",,22-jul,"1533,47",8836,,22-jul,"2943,02","16957,5",14-may,22-jul,"10252,19",59072,,,
23/7/2018,"1650,15","9507,8",,23-jul,"2228,16","12838,5",,23-jul,"4005,62",23240,28-ago,23-jul,"4532,57",26116,,,
24/7/2018,"1703,88","9817,7",,24-jul,"713,74","4112,5",,24-jul,"1846,6",10640,27-ene,24-jul,"8940,47",51514,,,
25/7/2018,"1675,92","9656,25",,25-jul,"2221,95","12802,55",,25-jul,"1911,7",11015,2-dic,25-jul,"6537,01","37665,5",,,
26/7/2018,"1350,73","7782,8",,26-jul,"4696,4",27060,,26-jul,"1927,05","11103,5",13-feb,26-jul,"4149,34",23908,,,
27/7/2018,"3304,64",19041,,27-jul,"3620,8","20862,4",,27-jul,"968,26",5579,14-ago,27-jul,"5907,93",34041,,,
28/7/2018,"4586,27","26425,65",,28-jul,"2963,1",17073,,28-jul,"1531,35","8823,5",18-dic,28-jul,"3966,75",22856,,,
29/7/2018,"1702,8","9811,05",,29-jul,"1862,11","10729,25",,29-jul,"3437,05",19804,21-oct,29-jul,"10574,93","60931,5",,,
30/7/2018,"2659,07","15321,2",,30-jul,"1259,15",7255,,30-jul,"4127,71","23783,5",23-oct,30-jul,"9387,95","54092,5",,,
31/7/2018,"6932,54","39944,74",,31-jul,"1265,9","7292,94",,31-jul,"5467,55","31503,5",12-abr,31-jul,"4379,5","25234,5",,,
1/8/2018,"2010,72","11585,3",,1/8/2019,"1861,77","10727,4",,1-ago,"3019,27","17396,75",12-may,1-ago,"2592,03",14935,,,
2/8/2018,"1852,13","10671,55",,2/8/2019,"1305,33",7521,,2-ago,"1751,84",10094,2-nov,2-ago,"5532,75",31879,,,
3/8/2018,"2983,56","17190,8",,3/8/2019,"1619,11","9329,05",,3-ago,"1076,9",6205,14-ene,3-ago,"2931,5",16891,,,
4/8/2018,"3385,44","19506,5",,4/8/2019,"1215,32","7002,5",,4-ago,"2542,31","14648,5",21-feb,4-ago,"8006,11","46130,5",,,
5/8/2018,"2605,14","15010,55",,5/8/2019,"930,43",5361,,5-ago,"2227,93",12837,16-ene,5-ago,"6754,38",38918,,,
06/082018,"2128,58","12264,8",,6/8/2019,"1183,48",6819,,6-ago,"459,22",2646,25-dic,6-ago,"6766,4","38987,25",,,
7/8/2018,"1101,49","6346,6",,7/8/2019,"1168,86","6734,75",,7-ago,"1822,5",10501,4-oct,7-ago,"8663,97",49921,,,
8/8/2018,"1743,26","10044,35",,8/8/2019,"1275,43",7349,,8-ago,"1804,04","10394,75",8-jul,8-ago,"3561,03","20518,37",,,
9/8/2018,"1985,06","11437,63",,9/8/2019,"2106,39","12136,85",,9-ago,"1588,52",9153,15-sept,9-ago,"4644,49",26761,,,
10/8/2018,"2898,61","16701,5",,10/8/2019,"1970,77","11355,5",,10-ago,"1276,14",7353,19-ago,10-ago,"2543,76",14657,,,
11/8/2018,"2774,49","15986,39",,11/8/2019,"1087,67","6267,1",,11-ago,"1822,93","10503,5",6-oct,11-ago,"7556,88",43542,,,
12/8/2018,"2060,52","11872,56",,12/8/2019,"747,74","4308,3",,12-ago,"1004,71",5789,4-feb,12-ago,"6054,25","34883,8",,,
13/8/2018,"814,15",4691,,13/8/2019,"960,45",5534,,13-ago,"1704,46","9821,06",21-mar,13-ago,"3808,13",21942,,,
14/8/2018,"1578,99","9098,02",,14/8/2019,"1143,7","6590,01",,14-ago,"1151,2",6633,2-ene,14-ago,"10420,74","60043,5",,,
15/8/2018,"1867,65","10761,27",,15/8/2019,"1641,16","9456,01",,15-ago,"2495,53",14379,13-jul,15-ago,"7378,82",42516,,,
16/8/2018,"1146,25","6604,5",,16/8/2019,"1538,33","8863,81",,16-ago,"1861,19",10724,5-abr,16-ago,"8913,22",51357,,,
17/8/2018,"2062,6","11884,5",,17/8/2019,"1678,2","9669,54",,17-ago,"2566,16",14786,14-jun,17-ago,"4503,2",25947,,,
18/8/2018,"2396,81","13810,25",,18/8/2019,"683,18","3936,5",,18-ago,"1487,7",8572,24-may,18-ago,"4084,23",23533,,,
19/8/2018,"2559,39",14747,,19/8/2019,5621,"975,54",,19-ago,"2348,15","13529,8",11-ago,19-ago,"3229,94","18610,5",,,
20/8/2018,"3654,57","21057,42",,20/8/2019,"1742,37","10039,5",,20-ago,"1254,6","7228,9",9-may,20-ago,"7269,42","41885,5",,,
21/8/2018,"1183,83","6821,23",,21/8/2019,"748,25","4311,29",,21-ago,"2777,66","16004,5",17-mar,21-ago,"7830,01","45115,75",,,
22/8/2018,"1623,19","9352,7",,22/8/2019,"1430,17","8240,5",,22-ago,"1666,62",9603,22-sept,22-ago,"4442,79",25599,,,
23/8/2018,"936,93","5398,5",,23/8/2019,"1891,92","10901,12",,23-ago,"1171,95","6752,7",11-abr,23-ago,"3467,98",19982,,,
24/8/2018,"901,1",5192,,24/8/2019,"2332,97","13442,3",,24-ago,"1420,53",8185,8-jul,24-ago,"3487,66","20095,5",,,
25/8/2018,"3071,69","17698,85",,25/8/2019,"1657,45",9550,,25-ago,"2858,42",16470,6-abr,25-ago,"12482,86","71924,95",,,
26/8/2018,"1279,98",7375,,26/8/2019,"1323,75","7627,5",,26-ago,"713,66",4112,20-abr,26-ago,"12777,53","73622,93",,,
27/8/2018,"462,99","2667,5",,27/8/2019,"1109,45","6392,5",,27-ago,"4163,95","23992,3",14-abr,27-ago,"13869,21","79912,99",,,
28/8/2018,"869,53","5010,2",,28/8/2019,"1854,75","10686,95",,28-ago,"4057,98","23381,75",25-nov,28-ago,"9517,16",54837,,,
29/8/2018,"988,43","5695,35",,29/8/2019,"2224,12","12815,15",,29-ago,"4878,63","28110,25",8-ago,29-ago,"19975,07","115094,52",,,
30/8/2018,"772,89","4453,5",,30/8/2019,"2999,12","17280,5",,30-ago,"2605,38",15012,18-dic,30-ago,"17622,99","101541,99",,,
31/8/2018,"1179,74","6797,65",,31/8/2019,"5486,19","31610,7",,31-ago,"5709,37",32897,7-jun,31-ago,"13172,22",75897,,,
1-sept,"2342,57","13497,95",,1-sept,"1227,1","7070,29",,1-sept,"1761,97","10152,3",20-dic,,,,,,
2-sept,"1164,18",6708,,2-sept,"1352,41","7792,4",,2-sept,"2755,17",15875,1-dic,,,,,,
3-sept,1131,"6516,8",,3-sept,"1271,1",7324,,3-sept,"2483,31","14308,5",16-may,,,,,,
4-sept,"1151,44","6634,45",,4-sept,"1144,23","6592,9",,4-sept,"3614,44",20826,13-feb,,,,,,
5-sept,"890,22","5129,47",,5-sept,"1592,08","9173,3",,5-sept,"2643,58",15232,18-jun,,,,,,
6-sept,"977,19","5630,4",,6-sept,"1060,73","6111,8",,6-sept,"2498,45","14395,9",27-jul,,,,,,
7-sept,"1052,4","6063,9",,7-sept,"880,1",5071,,7-sept,"1619,3","9330,25",8-feb,,,,,,
8-sept,"1906,84","10986,97",,8-sept,"1543,72","8894,8",,8-sept,"1867,26",10759,4-may,,,,,,
9-sept,"1080,47","6225,5",,9-sept,"1259,12",7255,,9-sept,"2818,14",16238,26-sept,,,,,,
10-sept,"1233,69","7108,3",,10-sept,"1283,43",7395,,10-sept,"1999,86",11523,26-ene,,,,,,
11-sept,"888,47","5119,3",,11-sept,"1237,57","7130,8",,11-sept,"2794,13","16099,44",4-jun,,,,,,
12-sept,"1070,54","6168,4",,12-sept,"1161,81","6694,22",,12-sept,"3261,44",18792,8-jul,,,,,,
13-sept,"1595,8","9194,73",,13-sept,"1440,13",8298,,13-sept,"2181,57",12570,9-jun,,,,,,
14-sept,"1616,03","9311,5",,14-sept,"2029,8","11695,5",,14-sept,"1249,97","7247,5",1-jun,,,,,,
15-sept,"2349,03","13534,78",,15-sept,"1931,88","11131,37",,15-sept,"534,54",3080,19-dic,,,,,,
16-sept,"2278,43","13128,04",,16-sept,"578,66","3334,3",,16-sept,"3212,82",18512,19-nov,,,,,,
17-sept,"959,34","5527,5",,17-sept,"983,39","5666,4",,17-sept,"1550,6","8934,5",18-mar,,,,,,
18-sept,"1406,16",8102,,18-sept,"1450,87","8359,94",,18-sept,"1682,96",9697,9-dic,,,,,,
19-sept,"1170,02","6741,45",,19-sept,"959,53","5528,7",,19-sept,"3550,37",20457,14-abr,,,,,,
20-sept,"1459,42","8408,95",,20-sept,"2328,83","13418,5",,20-sept,"2500,54","14407,9",6-ago,,,,,,
21-sept,"1692,83","9756,9",,21-sept,"1807,52","10414,75",,21-sept,"2246,62","12944,9",15-abr,,,,,,
22-sept,"2076,71","11965,8",,22-ago,"2103,38","12119,55",,22-sept,"1533,99","8838,8",30-dic,,,,,,
23-sept,"2443,69","14080,15",,23-sept,"1073,17","6183,5",,23-sept,"3112,6","17934,51",29-jul,,,,,,
24-sept,"1548,2","8920,55",,24-sept,"605,55",3489,,24-sept,"1842,1",10614,5-ene,,,,,,
25-sept,"1533,39","8835,35",,25-sept,"2069,01","11921,5",,25-sept,"4182,22","24097,5",10-jul,,,,,,
26-sept,"1423,13","8199,85",,26-sept,"1556,36","8982,55",,26-sept,"2714,64","15641,5",22-may,,,,,,
27-sept,"2165,94","12480,05",,27-sept,"1736,83","10007,36",,27-sept,"2499,33","14400,9",31-jul,,,,,,
28-sept,"3017,56","17386,7",,28-sept,"1888,9","10883,8",,28-sept,"1908,78","10998,3",18-nov,,,,,,
29-sept,"4313,98","24856,8",,29-sept,"1597,26","9203,25",,29-sept,"2103,01","12117,5",1-jun,,,,,,
30-sept,"4945,81","28497,5",,30-sept,"1443,21","8315,75",,30-sept,"6536,59",37663,20-mar,,,,,,
1-oct,"1567,65","9032,5",,1-oct,"1514,96","8729,01",,1-oct,"3002,57","17300,5",21-feb,1-oct,"13416,51","77298,5",,,
2-oct,"1764,74","10168,5",,2-oct,"1271,09",7324,,2-oct,"2085,69","12017,5",10-mar,2-oct,"10793,47",62550,,,
3-oct,"1697,12","9778,5",,3-oct,"1621,05","9340,4",,3-oct,"2716,22","15650,5",30-may,3-oct,"10853,39",62536,,,
4-oct,"1211,48","6980,3",,4-oct,"1964,35","11318,5",,4-oct,"2475,2",14262,7-abr,4-oct,"6638,51","38250,5",,,
5-oct,"2392,25","13783,95",,5-oct,"1253,64","7223,5",,5-oct,"1812,52","10443,5",17-ago,5-oct,"8727,84",50289,,,
6-oct,"2027,38","11681,49",,6-oct,"1639,31","9445,5",,6-oct,"2370,43",13708,14-ene,6-oct,"11264,25","65263,4",,,
7-oct,"1462,75","8428,15",,7-oct,"1203,33","6933,5",,7-oct,"2172,01",12740,5-dic,7-oct,"10426,59",60077,,,
8-oct,"1317,27",7590,,8-oct,"1963,63","11314,15",,8-oct,"2574,72","14835,25",25-jul,8-oct,"14796,94","85258,5",,,
9-oct,"763,84","4401,2",,9-oct,"625,54","3604,25",,9-oct,"5401,08","31120,5",31-may,9-oct,"11326,03","65259,5",,,
10-oct,"1335,44","7694,8",,10-oct,"1513,53","8721,01",,10-oct,"2297,77","13239,5",14-dic,10-oct,"12996,55",75265,,,
11-oct,"1094,75","6308,05",,11-oct,"2808,59","16182,8",,11-oct,"2523,82",14542,25-nov,11-oct,"15592,83","89844,5",,,
12-oct,"1522,98","8775,05",,12-oct,"2240,24","12908,1",,12-oct,"1827,21",10528,26-oct,12-oct,"3942,44","23095,75",,,
13-oct,"1941,61","11187,4",,13-oct,"1700,05","9795,5",,13-oct,"2228,03","12837,75",16-ene,13-oct,"6403,7","36897,5",,,
14-oct,"1360,48",7839,,14-oct,"1993,61",11487,,14-oct,"1624,44",9360,5-mar,14-oct,"4060,32",23395,,,
15-oct,"1620,86","9339,1",,15-oct,"1593,63","9182,23",,15-oct,"1645,21","9479,5",12-jun,15-oct,"6943,7",40009,,,
16-oct,"774,42","4462,25",,16-oct,"1762,68","10351,58",,16-oct,"3106,76",17901,2-jul,16-oct,"12781,35",74405,,,
17-oct,"1692,83","9753,9",,17-oct,"1361,51","7974,95",,17-oct,"2631,41",15207,5-jun,17-oct,"4459,28",25694,,,
18-oct,"1792,62","10329,19",,18-oct,"1902,8","10963,81",,18-oct,"1611,45",9285,2-ene,18-oct,"9001,59",51866,,,
19-oct,"1501,49","8651,34",,19-oct,"1664,58","9591,26",,19-oct,"3014,67",17420,9-jun,19-oct,"6580,42","37915,5",,,
20-oct,"3067,05","17671,96",,20-oct,"1416,6","8162,26",,20-oct,"19620,54","113051,95",20-oct,20-oct,"9999,71","57617,51",,,
21-oct,"1651,98","9518,5",,21-oct,"1262,68","7275,4",,21-oct,"1450,72",8359,29-nov,21-oct,"11132,19","64142,5",,,
22-oct,"1482,88","8544,2",,22-oct,"1536,65","8854,07",,22-oct,"1267,62",7304,10-jul,22-oct,"14427,03",83127,,,
23-oct,"1962,95","11310,45",,23-oct,"512,93","2955,51",,23-oct,"9230,5","53185,5",4-may,23-oct,"16166,97","93542,52",,,
24-oct,"1395,46","8040,5",,24-oct,"1405,19","8096,53",,24-oct,"7816,74","45199,42",6-may,24-oct,"10813,83",62308,,,
25-oct,"1177,9","6787,09",,25-oct,"2099,83","12099,01",,25-oct,"1638,34",9440,10-may,25-oct,"15071,8",86842,,,
26-oct,"4901,18","28240,18",,26-oct,"2309,5",13307,,26-oct,"2063,55",11890,25-nov,26-oct,"17475,53","100692,38",,,
27-oct,"6539,2","37678,2",,27-oct,"1158,13",6673,,27-oct,"1659,13","9559,75",17-ago,27-oct,"28126,93","162064,6",,,
28-oct,"6116,44","35242,1",,28-oct,"999,05","5756,5",,28-oct,"1542,83","8889,5",10-feb,28-oct,"22991,81","132476,76",,,
29-oct,"3043,85","17538,2",,29-oct,"890,06","5128,5",,29-oct,"16158,16","93101,78",29-ago,29-oct,"28935,6","166724,16",,,
30-oct,"2841,86","16374,44",,30-oct,"3935,64","22741,56",,30-oct,"6086,63","35070,37",8-may,30-oct,"20506,24","118154,9",,,
31-oct,"3126,19","18012,5",,31-oct,"7911,03","45647,6",,31-oct,"7185,1","41479,75",21-nov,31-oct,"18424,08","106157,78",,,
1-nov,"3627,29",20900,,1-nov,"1743,61","10176,5",,1-nov,"4056,73","23374,5",19-nov,1-nov,"9871,83","56880,5",,,
2-nov,"3830,4","22070,29",,2-nov,"2618,02","15139,99",,2-nov,"2547,61",14679,18-mar,2-nov,"7983,99",46393,,,
3-nov,"1862,94","10734,2",,3-nov,"1565,02","9127,5",,3-nov,"2493,72","14368,5",4-jul,3-nov,"8388,24",48722,,,
4-nov,"1857,83","10704,7",,4-nov,"1465,75","8555,37",,4-nov,"2465,3","14204,75",20-feb,4-nov,"9342,06",53828,,,
5-nov,"1376,68","7932,3",,5-nov,"1080,32","6279,56",,5-nov,"2671,61","15443,5",18-dic,5-nov,"20787,11","119773,29",,,
6-nov,"1566,74","9027,4",,6-nov,"897,48","5226,35",,6-nov,"2425,21","14073,5",21-nov,6-nov,"16940,79",97923,,,
7-nov,"1516,16",8736,,7-nov,"1748,73",10076,,7-nov,"4181,76",24095,8-jul,7-nov,"8712,6","50202,67",,,
8-nov,"1369,44","7890,6",,8-nov,"2566,24","14786,5",,8-nov,"2253,45","12984,23",17-may,8-nov,"2405,11",13858,,,
9-nov,"1911,03","11010,95",,9-nov,"1705,09","9879,5",,9-nov,"2783,1",16036,12-abr,9-nov,"1750,44",40086,,,
10-nov,"1997,03","11506,65",,10-nov,"1318,19","7595,3",,10-nov,"3388,61","19524,7",5-mar,10-nov,"11723,14","67547,5",,,
11-nov,"1959,49","11290,54",,11-nov,"1672,55",9747,,11-nov,"2318,07","13356,5",21-mar,11-nov,"4634,42",26703,,,
12-nov,"867,08",4996,,12-nov,"1032,13",5947,,12-nov,"3634,1","20939,24",18-may,12-nov,"9240,68",53244,,,
13-nov,"884,44",5096,,13-nov,"1600,2","9275,01",,13-nov,"2568,96",14802,28-jun,13-nov,"15305,45","88188,61",,,
14-nov,"1285,02","7404,25",,14-nov,"2485,89","14433,4",,14-nov,"4810,51","27767,5",6-nov,14-nov,"9934,74",57243,,,
15-nov,"1673,82","9644,45",,15-nov,"2346,4","13519,62",,15-nov,"2811,59",16200,26-ago,15-nov,"18265,66",105245,,,
16-nov,"940,43","5418,65",,16-nov,"1701,87",9861,,16-nov,"1605,36",9250,4-dic,16-nov,"20975,43","120858,13",,,
17-nov,"2600,44","14983,32",,17-nov,"1958,11","11337,5",,17-nov,"1882,14","10844,5",14-jul,17-nov,"9531,59",54920,,,
18-nov,"1000,37",5764,,18-nov,"2156,36","12424,8",,18-nov,"1475,55",8502,27-mar,18-nov,"2071,72",12327,,,
19-nov,"1103,63","6358,95",,19-nov,"1318,04","7594,5",,19-nov,"2437,52","14044,76",11-oct,19-nov,"6577,19","37897,01",,,
20-nov,"1191,45","6865,05",,20-nov,"1833,15","10562,3",,20-nov,"3390,19",19534,12-mar,20-nov,"10659,34",61688,,,
21-nov,"1090,75","6284,7",,21-nov,"1983,96","11596,31",,21-nov,"2755,26","15875,5",2-dic,21-nov,"11144,41",66703,,,
22-nov,"1361,01","7842,09",,22-nov,"1476,67","8508,51",,22-ene,"5463,04","31477,52",22-mar,22-nov,"6364,65","36672,5",,,
23-nov,"2464,37","14199,53",,23-nov,"2392,84","13952,52",,23-nov,"2744,93",16216,17-nov,23-nov,"1621,51",9343,,,
24-nov,"3286,68","18937,56",,24-nov,"2087,84","12029,81",,24-nov,"2626,92",15136,31-mar,24-nov,"4447,31",26165,,,
25-nov,"2207,26","12717,98",,25-nov,"1884,75","10859,8",,25-nov,"2446,16","14094,5",21-nov,25-nov,"5424,76",31527,,,
26-nov,"1820,46","10489,4",,26-nov,"1536,42","8852,75",,26-nov,2290,"13194,78",7-nov,26-nov,"4721,84","27866,8",,,
27-nov,"3279,72","18897,33",,27-nov,"2469,27","14282,7",,27-nov,"2893,86",16674,22-sept,27-nov,"5929,07","34162,9",,,
28-nov,"922,26","5313,95",,28-nov,"2005,34","11554,6",,28-nov,"6957,95","40090,92",16-sept,28-nov,"2254,12","12988,1",,,
29-nov,"1314,86","7576,06",,29-nov,"2172,37",12627,,29-nov,"8760,12","50474,98",16-mar,29-nov,"2153,46",12408,,,
30-nov,"2231,21","12855,94",,30-nov,"6849,35","39465,32",,30-nov,"6820,49","39298,99",1-dic,30-nov,"3140,28",18364,,,
1/12/2018,"2121,79","12225,6",,1-dic,"2625,98","15130,6",,1-dic,"1906,31",11224,4-jul,1-dic,"3851,15",22190,,,
2/12/2018,"1205,81","6947,8",,2-dic,"2041,64","11818,8",,2-dic,"2292,91","13371,5",30-abr,2-dic,"4382,75",25793,,,
3/12/2018,"1507,53","8686,2",,3-dic,"1731,53","10032,01",,3-dic,"1640,61",9453,21-may,3-dic,"2594,29",14948,,,
4/12/2018,"1572,3","9059,7",,4-dic,"1713,27","7926,79",,4-dic,"15953,82",9195,28-jun,4-dic,"7296,76",42433,,,
5/12/2018,"2221,67","12801,2",,5-dic,"1669,35","9783,4",,5-dic,"3544,65",20424,18-mar,5-dic,"4525,5","26567,01",,,
6/12/2018,"1725,09","9939,8",,6-dic,"2642,36",15225,,6-dic,"3519,15",20357,4-feb,6-dic,"5450,29",31404,,,
7/12/2018,"1478,44","8518,7",,7-dic,"1348,32","7768,85",,7-dic,"3056,27",17610,4-nov,7-dic,"3861,39",22249,,,
8/12/2018,"2577,28","14850,12",,8-dic,"747,79","4363,72",,8-dic,"1182,95",6816,3-jun,8-dic,"11761,91",68311,,,
9/12/2018,"2090,77","12046,8",,9-dic,"1093,79","6412,2",,9-dic,"2826,83",16288,7-nov,9-dic,"7137,31","41124,5",,,
10/12/2018,"940,23","5417,55",,10-dic,"2456,89","14156,34",,10-dic,"2421,44",13952,26-jul,10-dic,"4800,32",27659,,,
11/12/2018,"1163,03","6701,2",,11-dic,"2097,21",12084,,11-dic,"1596,32",9198,22-oct,11-dic,"5039,66",29038,,,
12/12/2018,"2030,36","11698,86",,12-dic,"1340,6","7944,5",,12-dic,"2051,23",11819,27-sept,12-dic,"2669,1",15379,,,
13/12/2018,"1094,26","6304,9",,13-dic,"2770,61",16074,,13-dic,"1641,81",9460,27-may,13-dic,"3555,07",20484,,,
14/12/2018,"1020,84","5881,9",,14-dic,"2244,91",12990,,14-dic,"2485,39",14375,19-jul,14-dic,"2543,45",14655,,,
15/12/2018,2840,16367,,15-dic,"1232,58","7102,11",,15-dic,794,4575,8-may,15-dic,"2381,6","14142,5",,,
16/12/2018,"857,02",4938,,16-dic,"1483,6","8603,24",,16-dic,"2737,84","15775,1",10-sept,16-dic,"4290,79",25059,,,
17/12/2018,"861,43","4963,5",,17-dic,"1399,93","8121,29",,17-dic,"1488,06",8574,25-may,17-dic,"6903,48","40047,5",,,
18/12/2018,"956,84","5513,25",,18-dic,"3139,82","18091,5",,18-dic,"4285,57",24693,14-nov,18-dic,"2322,5",13382,,,
19/12/2018,"1855,87","10693,5",,19-dic,"2296,79","13233,82",,19-dic,"4156,1",23947,7-mar,19-dic,"3042,41",17530,,,
20/12/2018,"2716,53","15652,2",,20-dic,"1533,43","8835,55",,20-dic,"3083,1","17764,5",11-mar,20-dic,"4345,77",25580,,,
21/12/2018,"2260,75","13026,2",,21-dic,"4057,98","23436,75",,21-dic,"988,39",5695,18-nov,21-dic,"5986,18",34492,,,
22/12/2018,"4393,89","25317,1",,22-dic,"1209,47","6968,7",,22-dic,"1821,86","10497,5",1-oct,22-dic,"3989,25","23525,5",,,
23/12/2018,"2395,14","13800,6",,23-dic,"1894,62","10916,5",,23-dic,"3663,55",21109,5-oct,23-dic,"4958,09",29258,,,
24/12/2018,"4938,31","28453,95",,24-dic,"2545,96","14669,65",,24-dic,"3989,62","22987,88",5-ene,24-dic,"10134,71","58395,18",,,
25/12/2018,"4162,16","23981,65",,25-dic,"1753,86","10160,52",,25-dic,"3454,69","19905,5",13-ene,25-dic,"4368,5",25441,,,
26/12/2018,"2808,04","16179,73",,26-dic,"880,53","5073,5",,26-dic,"2576,25",14844,1-ago,26-dic,"5175,92","29823,11",,,
27/12/2018,"1941,9","11189,35",,27-dic,"2935,43","16913,79",,27-dic,"1863,98",10740,19-abr,27-dic,"5110,99",29449,,,
28/12/2018,"1858,73","10709,8",,28-dic,"3211,54","18504,6",,28-dic,"2340,38",13485,5-jul,28-dic,"2383,77",13735,,,
29/12/2018,"3268,38","18832,3",,29-dic,"1368,38","7884,5",,29-dic,"2512,97","14479,5",4-oct,29-dic,"7015,72",40424,,,
